date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,COST,NASDAQ,40.3601329472,40.3601329472,38.975090636,39.4460050218,6057400.0,
2000-01-04,COST,NASDAQ,39.4183041756,39.5014067143,37.2022364777,37.2853390164,5722800.0,
2000-01-05,COST,NASDAQ,37.4238432475,38.0609627107,37.0914330929,37.9224584795,7726400.0,
2000-01-06,COST,NASDAQ,38.3933728653,39.5014067143,38.3379711729,38.6842317507,7221400.0,
2000-01-07,COST,NASDAQ,38.5041762502,41.329662565,38.476475404,41.2465600263,5164800.0,
2000-01-10,COST,NASDAQ,41.2465600263,42.1329871055,40.6925431019,42.1052862593,4454000.0,
2000-01-11,COST,NASDAQ,41.7728761046,42.1606879517,40.5540388708,40.6094405632,2955000.0,
2000-01-12,COST,NASDAQ,41.2742608726,41.8836794895,39.8338168689,40.5540388708,4687400.0,
2000-01-13,COST,NASDAQ,41.0249532565,42.6039014913,40.2770304085,42.077585413,5750800.0,
2000-01-14,COST,NASDAQ,42.6593031837,44.5429607269,42.5484997988,43.4903285704,4571000.0,
2000-01-18,COST,NASDAQ,43.2133201082,45.8726013456,42.7701065686,45.429387806,5932000.0,
2000-01-19,COST,NASDAQ,46.0388064229,47.0914385794,44.432157342,45.9834047305,4130500.0,
2000-01-20,COST,NASDAQ,46.4266182701,47.0914385794,44.3213539571,44.3213539571,5551900.0,
2000-01-21,COST,NASDAQ,45.5955928834,45.6509945758,42.5484997988,42.9917133384,3520200.0,
2000-01-24,COST,NASDAQ,42.7147048762,45.429387806,41.2188591801,41.6620727197,5005500.0,
2000-01-25,COST,NASDAQ,42.1606879517,44.0997471873,40.5540388708,44.0443454949,3730800.0,
2000-01-26,COST,NASDAQ,43.5457302629,46.0942081154,43.1579184157,44.7091658042,3782800.0,
2000-01-27,COST,NASDAQ,44.8199691891,45.5401911909,41.2188591801,43.3795251855,3109600.0,
2000-01-28,COST,NASDAQ,43.1025167233,44.0997471873,40.6648422556,40.7756456405,2834600.0,
2000-01-31,COST,NASDAQ,40.831047333,43.8781404175,39.8892185614,43.3795251855,3270300.0,
2000-02-01,COST,NASDAQ,43.7119353402,46.2050115003,42.5484997988,45.9834047305,4530500.0,
2000-02-02,COST,NASDAQ,46.0942081154,47.8670622737,45.2077810362,47.8116605812,4945700.0,
2000-02-03,COST,NASDAQ,47.8670622737,48.7534893528,47.2022419643,48.033267351,4640800.0,
2000-02-04,COST,NASDAQ,48.531882583,48.9196944302,46.6482250399,46.9806351945,3273700.0,
2000-02-07,COST,NASDAQ,46.0942081154,46.3158148852,45.2077810362,45.429387806,2566700.0,
2000-02-08,COST,NASDAQ,46.0388064229,47.6454555039,45.8726013456,47.036036887,2440700.0,
2000-02-09,COST,NASDAQ,46.0942081154,46.9806351945,45.5955928834,46.8698318096,1466800.0,
2000-02-10,COST,NASDAQ,46.8144301172,46.8698318096,45.9834047305,46.2050115003,2761800.0,
2000-02-11,COST,NASDAQ,46.2050115003,46.3712165776,45.2077810362,45.8171996532,2071000.0,
2000-02-14,COST,NASDAQ,45.7063962683,45.7617979607,44.3213539571,44.9861742665,1856300.0,
2000-02-15,COST,NASDAQ,44.3767556496,44.7645674967,42.9917133384,43.7673370326,2675400.0,
2000-02-16,COST,NASDAQ,43.6011319553,43.7119353402,41.1080557952,42.326893029,4231600.0,
2000-02-17,COST,NASDAQ,42.5484997988,42.5484997988,38.5595779427,39.0027914823,6955400.0,
2000-02-18,COST,NASDAQ,38.7811847125,40.7202439481,37.1191339391,39.8338168689,6004200.0,
2000-02-22,COST,NASDAQ,39.7230134841,40.1108253312,37.7839542484,39.0027914823,3769600.0,
2000-02-23,COST,NASDAQ,39.3352016369,40.1108253312,38.6842317507,39.5014067143,4267300.0,
2000-02-24,COST,NASDAQ,39.6260605223,39.9446202538,38.1163644031,39.3352016369,3990500.0,
2000-02-25,COST,NASDAQ,39.224398252,42.8532091073,38.7811847125,42.2160896441,7698400.0,
2000-02-28,COST,NASDAQ,41.8836794895,44.8753708816,41.8836794895,43.3795251855,6621300.0,
2000-02-29,COST,NASDAQ,43.3241234931,44.3213539571,42.6593031837,43.9889438024,3681800.0,
2000-03-01,COST,NASDAQ,43.8227387251,44.1551488798,40.8864490254,41.2188591801,4624400.0,
2000-03-02,COST,NASDAQ,42.1606879517,45.9834047305,42.1052862593,43.9889438024,7841800.0,
2000-03-03,COST,NASDAQ,44.4875590344,45.429387806,43.3241234931,44.2659522647,2430500.0,
2000-03-06,COST,NASDAQ,44.2105505722,44.5429607269,43.5457302629,44.432157342,3419200.0,
2000-03-07,COST,NASDAQ,44.3490548033,44.3767556496,39.8892185614,40.2216287161,7506100.0,
2000-03-08,COST,NASDAQ,41.0526541028,41.1080557952,37.5623474786,40.4432354859,6526600.0,
2000-03-09,COST,NASDAQ,40.332432101,40.3878337934,38.72578302,39.5014067143,4937300.0,
2000-03-10,COST,NASDAQ,39.6122100992,40.9972524103,38.9473897898,39.1135948671,4934000.0,
2000-03-13,COST,NASDAQ,39.0027914823,39.8892185614,37.5623474786,38.1163644031,3747300.0,
2000-03-14,COST,NASDAQ,38.5595779427,40.332432101,38.227167788,38.3933728653,2097100.0,
2000-03-15,COST,NASDAQ,38.2825694805,44.7645674967,38.1163644031,44.1551488798,5515300.0,
2000-03-16,COST,NASDAQ,43.3241234931,49.6953181244,42.7701065686,49.5983651626,12820600.0,
2000-03-17,COST,NASDAQ,48.531882583,48.6426859679,46.3158148852,47.8116605812,7765900.0,
2000-03-20,COST,NASDAQ,47.6454555039,47.8116605812,45.2077810362,46.3712165776,3873800.0,
2000-03-21,COST,NASDAQ,46.2050115003,47.2022419643,46.0942081154,46.2604131927,4335200.0,
2000-03-22,COST,NASDAQ,46.3712165776,48.7534893528,46.2050115003,46.8698318096,5072800.0,
2000-03-23,COST,NASDAQ,46.7590284247,47.8670622737,46.0942081154,47.534652119,2929400.0,
2000-03-24,COST,NASDAQ,47.7008571963,48.8088910453,47.2576436568,47.7562588888,5254700.0,
2000-03-27,COST,NASDAQ,47.2022419643,48.4210791981,46.7590284247,47.3684470417,2459100.0,
2000-03-28,COST,NASDAQ,47.2022419643,49.3629079697,44.5429607269,45.3185844211,6036600.0,
