date,code,exchange,open,high,low,close,volume,count_trx
2000-01-04,AAL,LONDON,996.961317905,1015.6543426158,991.9765113155,996.961317905,1336220.3982790245,
2000-01-05,AAL,LONDON,974.2804479227,1005.6847294367,973.2834866048,1005.6847294367,1899854.4492033545,
2000-01-06,AAL,LONDON,996.961317905,1037.0890109507,996.961317905,1030.3595220549,1365602.4336792307,
2000-01-07,AAL,LONDON,1036.8397706212,1071.7334167479,1036.8397706212,1066.7486101584,2512441.7287045782,
2000-01-10,AAL,LONDON,1072.4811377363,1090.4264414586,1071.7334167479,1077.9644249848,4612521.252455381,
2000-01-11,AAL,LONDON,1071.7334167479,1075.970502349,1053.0403920372,1053.2896323667,2171011.990705722,
2000-01-12,AAL,LONDON,1053.0403920372,1053.0403920372,1023.8792734885,1041.3260965518,2730975.714669947,
2000-01-13,AAL,LONDON,1034.3473673265,1096.6574496955,1034.3473673265,1059.5206406036,6742452.768815038,
2000-01-14,AAL,LONDON,1064.2562068636,1065.502408511,1053.0403920372,1061.5145632394,2001889.5386942762,
2000-01-17,AAL,LONDON,1055.532795332,1069.2410134532,1046.8093838003,1067.9948118058,2793623.729343487,
2000-01-18,AAL,LONDON,1055.532795332,1059.5206406036,1021.8853508527,1024.6269944769,4042525.3014668683,
2000-01-19,AAL,LONDON,1016.9005442631,1038.0859722686,1015.6543426158,1032.6026850201,3538412.690398211,
2000-01-20,AAL,LONDON,1021.8853508527,1028.864080078,1009.4233343788,1016.6513039337,2723145.683821723,
2000-01-21,AAL,LONDON,1004.1892874598,1011.6664973441,996.961317905,998.7060002114,2699632.2876138114,
2000-01-24,AAL,LONDON,994.7181549397,1025.6239557948,972.0372849574,972.0372849574,964014.2890295092,
2000-01-25,AAL,LONDON,963.3138734257,964.5600750731,950.8518569519,953.0950199172,6516916.0320464205,
2000-01-26,AAL,LONDON,947.1132520098,947.1132520098,923.4354207095,928.6694676285,2731418.4842714835,
2000-01-27,AAL,LONDON,928.4202272991,946.1162906919,914.2135285189,917.7028931316,2031213.3149363857,
2000-01-28,AAL,LONDON,904.7423959988,909.9764429178,872.8396338259,875.8305177796,2699974.074674647,
2000-01-31,AAL,LONDON,859.8791366931,876.3289984385,859.3806560341,867.8548272363,3095204.2032040595,
2000-02-01,AAL,LONDON,894.7727828198,921.1922577443,860.6268576815,897.514426444,849037.898553328,
2000-02-02,AAL,LONDON,909.7272025883,922.1892190622,891.5600749728,897.7636667735,2005128.7478844642,
2000-02-03,AAL,LONDON,897.2651861145,897.2651861145,879.8183630512,882.5600066754,1801645.0444274629,
2000-02-04,AAL,LONDON,887.2955729355,898.7606280914,877.3259597564,882.0615260165,3748071.864613484,
2000-02-07,AAL,LONDON,907.2347992936,930.9126305938,899.7575894093,905.7393573167,2882624.3031961946,
2000-02-08,AAL,LONDON,901.2530313862,922.1892190622,890.7350894823,909.4779622589,3564419.57857267,
2000-02-09,AAL,LONDON,909.7272025883,918.45061412,899.7575894093,907.7332799525,1528572.7185956435,
2000-02-10,AAL,LONDON,894.5235424903,898.5113877619,872.3411531669,888.5417745829,707569.1269185469,
2000-02-11,AAL,LONDON,897.2651861145,899.7575894093,848.6633218667,865.3624239416,4557124.560992969,
2000-02-14,AAL,LONDON,854.8943301036,857.3867333983,844.9247169245,844.1769959361,1930646.356229506,
2000-02-15,AAL,LONDON,841.1861119824,853.6481284562,834.9551037455,839.1921893466,1624265.3277417487,
2000-02-16,AAL,LONDON,852.4019268088,857.6359737278,838.4444683581,841.1861119824,759621.7427061961,
2000-02-17,AAL,LONDON,845.9216782424,897.2651861145,845.9216782424,891.5326585366,2948899.921447235,
2000-02-18,AAL,LONDON,891.0341778776,891.0341778776,853.6481284562,858.3836947162,755229.0021856894,
2000-02-21,AAL,LONDON,844.9247169245,864.1162222942,826.2316922138,826.2316922138,2175078.479940886,
2000-02-22,AAL,LONDON,823.739288919,824.237769578,773.8912230238,780.1222312607,2711478.316426849,
2000-02-23,AAL,LONDON,806.2924658557,846.4201589014,800.5599382777,820.4991646358,1838732.8244719536,
2000-02-24,AAL,LONDON,822.4930872717,822.4930872717,806.7909465147,807.7879078326,1228437.0718558745,
2000-02-25,AAL,LONDON,785.1070378502,785.1070378502,747.7209884288,756.195159631,2501854.097706434,
2000-02-28,AAL,LONDON,757.9398419373,757.9398419373,725.2893587759,731.5203670128,925916.6835780055,
2000-02-29,AAL,LONDON,722.7969554812,739.7452978855,677.9336961754,720.0553118569,2713043.545807719,
