date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ABMD,NASDAQ,18.515625,18.65625,18.25,18.25,185600.0,
2000-01-04,ABMD,NASDAQ,18.5,18.5,17.0,17.8125,34400.0,
2000-01-05,ABMD,NASDAQ,17.0625,18.1875,16.9375,18.0,122800.0,
2000-01-06,ABMD,NASDAQ,17.625,18.0625,17.625,18.03125,84200.0,
2000-01-07,ABMD,NASDAQ,18.0,18.25,17.5625,17.9375,69000.0,
2000-01-10,ABMD,NASDAQ,18.0625,20.5,17.8125,20.5,282600.0,
2000-01-11,ABMD,NASDAQ,20.125,20.4375,19.25,19.8125,107200.0,
2000-01-12,ABMD,NASDAQ,20.3125,20.3125,19.3125,19.59375,80400.0,
2000-01-13,ABMD,NASDAQ,19.25,21.4375,19.25,21.0,101600.0,
2000-01-14,ABMD,NASDAQ,21.4375,22.4375,21.25,21.375,125000.0,
2000-01-18,ABMD,NASDAQ,22.5,26.0,22.5,26.0,214400.0,
2000-01-19,ABMD,NASDAQ,25.75,26.0,23.65625,24.375,105200.0,
2000-01-20,ABMD,NASDAQ,23.53125,24.4375,23.46875,23.5,53400.0,
2000-01-21,ABMD,NASDAQ,23.5,30.125,23.5,29.4375,598600.0,
2000-01-24,ABMD,NASDAQ,30.125,32.5,29.9375,31.375,585600.0,
2000-01-25,ABMD,NASDAQ,31.5,32.25,28.25,28.75,342800.0,
2000-01-26,ABMD,NASDAQ,29.875,29.875,28.5,28.875,100800.0,
2000-01-27,ABMD,NASDAQ,29.25,29.4375,28.5,29.0,155000.0,
2000-01-28,ABMD,NASDAQ,29.0,29.5,29.0,29.4375,109000.0,
2000-01-31,ABMD,NASDAQ,29.3125,29.5,23.8125,29.25,273200.0,
2000-02-01,ABMD,NASDAQ,27.75,29.0625,27.75,28.75,120600.0,
2000-02-02,ABMD,NASDAQ,28.53125,29.0,25.875,28.125,52000.0,
2000-02-03,ABMD,NASDAQ,27.9375,27.9375,25.0,26.75,169200.0,
2000-02-04,ABMD,NASDAQ,26.875,28.5,25.6875,27.5625,50200.0,
2000-02-07,ABMD,NASDAQ,30.1875,31.375,28.4375,29.5625,142000.0,
2000-02-08,ABMD,NASDAQ,29.1875,29.5625,28.34375,28.375,33200.0,
2000-02-09,ABMD,NASDAQ,29.59375,29.6875,26.125,27.375,30800.0,
2000-02-10,ABMD,NASDAQ,28.90625,30.21875,28.90625,29.4375,52200.0,
2000-02-11,ABMD,NASDAQ,29.0625,29.5625,28.4375,29.5,39400.0,
2000-02-14,ABMD,NASDAQ,29.5,29.9375,28.875,29.25,20200.0,
2000-02-15,ABMD,NASDAQ,29.25,32.5625,29.25,32.5,196000.0,
2000-02-16,ABMD,NASDAQ,32.5,37.0625,32.25,35.375,258800.0,
2000-02-17,ABMD,NASDAQ,35.03125,41.375,34.9375,41.3125,378000.0,
2000-02-18,ABMD,NASDAQ,40.28125,41.6875,38.375,40.75,371200.0,
2000-02-22,ABMD,NASDAQ,39.25,40.5,36.1875,36.9375,218000.0,
2000-02-23,ABMD,NASDAQ,36.9375,37.0625,35.375,35.554688,129400.0,
2000-02-24,ABMD,NASDAQ,35.5,36.375,35.375,35.625,79400.0,
2000-02-25,ABMD,NASDAQ,36.4375,40.125,36.3125,37.625,188200.0,
2000-02-28,ABMD,NASDAQ,37.5,37.6875,35.625,37.0,233000.0,
2000-02-29,ABMD,NASDAQ,37.5,41.0,36.5,36.96875,485000.0,
2000-03-01,ABMD,NASDAQ,34.0625,34.96875,33.03125,33.625,3240600.0,
2000-03-02,ABMD,NASDAQ,34.0625,34.125,32.25,32.3125,291600.0,
2000-03-03,ABMD,NASDAQ,33.375,34.375,32.75,33.875,565000.0,
2000-03-06,ABMD,NASDAQ,33.9375,34.0625,33.75,34.0625,341800.0,
2000-03-07,ABMD,NASDAQ,34.0,34.0,32.0,32.125,375000.0,
2000-03-08,ABMD,NASDAQ,32.84375,32.875,28.9375,29.5,610400.0,
2000-03-09,ABMD,NASDAQ,29.75,30.625,29.625,30.625,755200.0,
2000-03-10,ABMD,NASDAQ,30.75,32.0,30.75,30.75,316200.0,
2000-03-13,ABMD,NASDAQ,31.0,31.0,26.5,28.3125,199000.0,
2000-03-14,ABMD,NASDAQ,28.9375,28.9375,25.375,26.34375,366800.0,
2000-03-15,ABMD,NASDAQ,26.375,26.625,21.9375,22.875,331200.0,
2000-03-16,ABMD,NASDAQ,24.8125,25.5625,22.75,23.0,252200.0,
2000-03-17,ABMD,NASDAQ,24.125,27.0,23.5,25.75,223600.0,
2000-03-20,ABMD,NASDAQ,25.78125,27.3125,23.0,23.0,125600.0,
2000-03-21,ABMD,NASDAQ,22.8125,24.25,20.8125,24.25,182400.0,
2000-03-22,ABMD,NASDAQ,26.625,27.75,24.46875,27.125,228200.0,
2000-03-23,ABMD,NASDAQ,27.1875,28.0,25.0,25.3125,131200.0,
