date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ACGL,NASDAQ,1.3405007704,1.3471042225,1.2018282769,1.215035181,433800.8676013015,
2000-01-04,ACGL,NASDAQ,1.2018282769,1.215035181,1.2018282769,1.208431729,84600.1692002538,
2000-01-05,ACGL,NASDAQ,1.2216386331,1.3206904142,1.2216386331,1.3206904142,80100.1602002403,
2000-01-06,ACGL,NASDAQ,1.3206904142,1.3603111266,1.2612593455,1.30748351,348300.6966010449,
2000-01-07,ACGL,NASDAQ,1.30748351,1.3867249349,1.30748351,1.3801214828,247500.4950007425,
2000-01-10,ACGL,NASDAQ,1.3735180307,1.4395525514,1.3735180307,1.4263456473,455400.9108013662,
2000-01-11,ACGL,NASDAQ,1.4131387432,1.4527594556,1.3867249349,1.4395525514,407700.8154012231,
2000-01-12,ACGL,NASDAQ,1.4395525514,1.4527594556,1.399931839,1.4395525514,216900.4338006507,
2000-01-13,ACGL,NASDAQ,1.4527594556,1.5055870722,1.4527594556,1.5055870722,404100.8082012124,
2000-01-14,ACGL,NASDAQ,1.5320008804,1.584828497,1.5320008804,1.5716215929,432000.8640012961,
2000-01-18,ACGL,NASDAQ,1.5452077846,1.769725155,1.5452077846,1.6376561136,1624503.2490048734,
2000-01-19,ACGL,NASDAQ,1.677276826,1.677276826,1.6310526615,1.677276826,667801.3356020034,
2000-01-20,ACGL,NASDAQ,1.677276826,1.677276826,1.6112423053,1.6376561136,985501.9710029566,
2000-01-21,ACGL,NASDAQ,1.6442595656,1.6508630177,1.6244492094,1.6508630177,460800.9216013824,
2000-01-24,ACGL,NASDAQ,1.6178457574,1.6508630177,1.6178457574,1.6376561136,1108802.2176033263,
2000-01-25,ACGL,NASDAQ,1.6376561136,1.6574664698,1.6244492094,1.6310526615,504901.0098015147,
2000-01-26,ACGL,NASDAQ,1.6244492094,1.6244492094,1.5980354011,1.5980354011,151200.3024004536,
2000-01-27,ACGL,NASDAQ,1.5914319491,1.6244492094,1.584828497,1.6178457574,219600.4392006588,
2000-01-28,ACGL,NASDAQ,1.6145440313,1.6145440313,1.584828497,1.5980354011,75600.1512002268,
2000-01-31,ACGL,NASDAQ,1.584828497,1.6112423053,1.5452077846,1.5452077846,102600.2052003078,
2000-02-01,ACGL,NASDAQ,1.5320008804,1.5320008804,1.492380168,1.492380168,612901.2258018387,
2000-02-02,ACGL,NASDAQ,1.492380168,1.492380168,1.4791732639,1.4857767159,89100.1782002673,
