date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ADI,NASDAQ,46.75,46.875,44.0,45.09375,3026200.0,
2000-01-04,ADI,NASDAQ,44.75,45.75,42.78125,42.8125,2257200.0,
2000-01-05,ADI,NASDAQ,42.8125,44.125,41.625,43.4375,2809000.0,
2000-01-06,ADI,NASDAQ,43.4375,43.8125,41.625,42.4375,2375200.0,
2000-01-07,ADI,NASDAQ,42.0,44.25,41.3125,43.4375,1667200.0,
2000-01-10,ADI,NASDAQ,45.0,47.375,44.625,47.21875,2245000.0,
2000-01-11,ADI,NASDAQ,46.75,47.0,45.125,45.28125,1638600.0,
2000-01-12,ADI,NASDAQ,45.15625,47.75,44.5,47.0,2482600.0,
2000-01-13,ADI,NASDAQ,47.875,47.875,46.375,46.90625,1554800.0,
2000-01-14,ADI,NASDAQ,47.875,50.96875,47.8125,50.96875,4380800.0,
2000-01-18,ADI,NASDAQ,50.25,50.875,49.03125,49.25,1678200.0,
2000-01-19,ADI,NASDAQ,49.75,51.125,49.5,50.71875,1573000.0,
2000-01-20,ADI,NASDAQ,51.625,52.0,49.5,49.71875,1759800.0,
2000-01-21,ADI,NASDAQ,49.9375,49.96875,48.3125,48.3125,1593800.0,
2000-01-24,ADI,NASDAQ,50.25,50.75,48.8125,49.28125,2626800.0,
2000-01-25,ADI,NASDAQ,49.28125,52.625,49.0,52.5,2181000.0,
2000-01-26,ADI,NASDAQ,52.0,52.125,49.3125,50.84375,2440800.0,
2000-01-27,ADI,NASDAQ,50.96875,51.53125,47.0,48.03125,2430200.0,
2000-01-28,ADI,NASDAQ,47.5,49.0625,46.5,47.75,2573800.0,
2000-01-31,ADI,NASDAQ,47.0,47.8125,43.0,46.75,3045200.0,
2000-02-01,ADI,NASDAQ,46.5,49.34375,45.125,48.90625,2523000.0,
2000-02-02,ADI,NASDAQ,48.9375,49.21875,47.53125,48.125,1710600.0,
2000-02-03,ADI,NASDAQ,49.0,53.8125,48.75,52.96875,3751800.0,
2000-02-04,ADI,NASDAQ,53.0,56.25,51.875,55.75,3348400.0,
2000-02-07,ADI,NASDAQ,55.625,59.875,54.59375,59.78125,2273400.0,
2000-02-08,ADI,NASDAQ,59.9375,60.1875,57.0,57.34375,2400600.0,
2000-02-09,ADI,NASDAQ,57.34375,58.5,56.125,57.8125,2236200.0,
2000-02-10,ADI,NASDAQ,57.375,59.375,57.0,58.0625,2527800.0,
2000-02-11,ADI,NASDAQ,59.0,59.90625,56.25,57.0,1653400.0,
2000-02-14,ADI,NASDAQ,58.5,59.375,57.375,58.5,1819400.0,
2000-02-15,ADI,NASDAQ,58.5,59.9375,56.0,59.9375,2789000.0,
2000-02-16,ADI,NASDAQ,61.875,64.0,61.125,63.5,3492600.0,
2000-02-17,ADI,NASDAQ,64.4375,71.8125,62.25,70.5,4019400.0,
2000-02-18,ADI,NASDAQ,70.5,71.0,67.5,67.875,3121000.0,
2000-02-22,ADI,NASDAQ,68.0,72.875,67.9375,71.84375,3939200.0,
2000-02-23,ADI,NASDAQ,71.84375,75.25,71.6875,74.0,3629000.0,
2000-02-24,ADI,NASDAQ,75.5,83.65625,75.25,80.65625,4775800.0,
2000-02-25,ADI,NASDAQ,78.25,81.125,77.625,78.25,2961000.0,
2000-02-28,ADI,NASDAQ,77.25,77.46875,69.25,74.71875,3669600.0,
2000-02-29,ADI,NASDAQ,78.5,80.25,75.84375,78.5,2999200.0,
2000-03-01,ADI,NASDAQ,79.5,82.46875,78.625,80.75,3369000.0,
2000-03-02,ADI,NASDAQ,80.9375,81.15625,76.625,78.03125,3027000.0,
2000-03-03,ADI,NASDAQ,79.0,83.875,78.03125,83.5,2735800.0,
2000-03-06,ADI,NASDAQ,85.5,92.75,85.0,91.75,3408600.0,
2000-03-07,ADI,NASDAQ,91.75,91.75,79.0,82.0,3142400.0,
2000-03-08,ADI,NASDAQ,82.5,83.75,78.5,82.8125,2469200.0,
2000-03-09,ADI,NASDAQ,82.8125,90.125,81.25,88.5,2688800.0,
