date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ADSK,NASDAQ,8.5,8.65625,8.03125,8.34375,2845600.0,
2000-01-04,ADSK,NASDAQ,8.046875,8.125,7.875,7.9375,3348800.0,
2000-01-05,ADSK,NASDAQ,7.75,7.765625,7.34375,7.4375,4297600.0,
2000-01-06,ADSK,NASDAQ,7.375,7.46875,6.90625,6.984375,3856800.0,
2000-01-07,ADSK,NASDAQ,7.015625,7.875,7.0,7.8125,6387600.0,
2000-01-10,ADSK,NASDAQ,7.90625,8.03125,7.5,7.71875,1180800.0,
2000-01-11,ADSK,NASDAQ,7.625,7.8125,7.515625,7.515625,934000.0,
2000-01-12,ADSK,NASDAQ,7.5,7.53125,7.203125,7.390625,1117600.0,
2000-01-13,ADSK,NASDAQ,7.390625,7.65625,7.265625,7.3125,1217200.0,
2000-01-14,ADSK,NASDAQ,7.3515625,7.53125,7.3125,7.53125,1225600.0,
2000-01-18,ADSK,NASDAQ,7.4375,7.5,7.25,7.328125,1618000.0,
2000-01-19,ADSK,NASDAQ,7.2734375,7.65625,7.265625,7.546875,3188800.0,
2000-01-20,ADSK,NASDAQ,7.5625,7.7734375,7.46875,7.5625,1371600.0,
2000-01-21,ADSK,NASDAQ,7.59375,7.71875,7.515625,7.6875,1968400.0,
2000-01-24,ADSK,NASDAQ,7.859375,8.71875,7.78125,8.40625,8451600.0,
2000-01-25,ADSK,NASDAQ,8.3515625,8.53125,8.09375,8.265625,2772800.0,
2000-01-26,ADSK,NASDAQ,8.125,8.3125,8.078125,8.078125,3570000.0,
2000-01-27,ADSK,NASDAQ,8.078125,8.25,8.0,8.125,2780400.0,
2000-01-28,ADSK,NASDAQ,8.0,8.078125,7.71875,7.71875,1506000.0,
2000-01-31,ADSK,NASDAQ,7.65625,7.78125,7.4375,7.640625,1864400.0,
2000-02-01,ADSK,NASDAQ,7.546875,8.0,7.46875,7.921875,698800.0,
2000-02-02,ADSK,NASDAQ,7.875,8.125,7.65625,7.96875,1245600.0,
2000-02-03,ADSK,NASDAQ,8.0,8.3125,7.96875,8.25,3368000.0,
2000-02-04,ADSK,NASDAQ,8.25,8.296875,7.875,8.171875,1589600.0,
2000-02-07,ADSK,NASDAQ,8.1875,9.3125,8.171875,9.140625,11131200.0,
2000-02-08,ADSK,NASDAQ,9.21875,10.046875,9.1875,9.875,12836800.0,
2000-02-09,ADSK,NASDAQ,9.75,9.828125,9.125,9.515625,3866000.0,
2000-02-10,ADSK,NASDAQ,9.578125,9.875,9.328125,9.53125,1761600.0,
2000-02-11,ADSK,NASDAQ,9.5625,9.671875,9.140625,9.21875,1704800.0,
2000-02-14,ADSK,NASDAQ,9.171875,9.703125,8.98828125,9.296875,3272000.0,
2000-02-15,ADSK,NASDAQ,9.28125,9.3125,8.9375,9.203125,1969200.0,
2000-02-16,ADSK,NASDAQ,9.1875,9.40625,9.140625,9.3125,2137600.0,
2000-02-17,ADSK,NASDAQ,9.3125,9.78125,9.25,9.6875,3688400.0,
2000-02-18,ADSK,NASDAQ,9.640625,9.78125,9.3125,9.515625,3000800.0,
2000-02-22,ADSK,NASDAQ,9.46875,9.5,8.75,9.03125,3323200.0,
2000-02-23,ADSK,NASDAQ,9.1875,9.65625,9.1875,9.625,3070800.0,
2000-02-24,ADSK,NASDAQ,9.59375,10.53125,9.59375,10.265625,12786800.0,
2000-02-25,ADSK,NASDAQ,10.75,12.25,10.75,12.0,18195200.0,
2000-02-28,ADSK,NASDAQ,11.875,11.875,10.96875,11.390625,7662400.0,
2000-02-29,ADSK,NASDAQ,11.25,11.34375,10.875,11.171875,8181200.0,
2000-03-01,ADSK,NASDAQ,11.15625,11.390625,11.0,11.203125,4728400.0,
2000-03-02,ADSK,NASDAQ,11.15625,11.421875,10.9375,10.984375,5231200.0,
2000-03-03,ADSK,NASDAQ,10.984375,11.75,10.984375,11.484375,10904800.0,
2000-03-06,ADSK,NASDAQ,11.515625,11.90625,11.4375,11.765625,5149600.0,
2000-03-07,ADSK,NASDAQ,11.75,12.359375,11.75,12.0,12373600.0,
2000-03-08,ADSK,NASDAQ,12.03125,12.125,11.671875,12.0,6500800.0,
2000-03-09,ADSK,NASDAQ,12.0625,12.59375,12.03125,12.578125,10476400.0,
2000-03-10,ADSK,NASDAQ,13.375,14.015625,13.109375,13.71875,10580800.0,
2000-03-13,ADSK,NASDAQ,13.125,13.3125,12.765625,13.234375,6472800.0,
2000-03-14,ADSK,NASDAQ,13.265625,13.421875,13.09375,13.1875,4920800.0,
2000-03-15,ADSK,NASDAQ,13.0546875,13.125,12.046875,12.78125,5452800.0,
2000-03-16,ADSK,NASDAQ,12.7421875,12.765625,11.5625,12.734375,5088400.0,
2000-03-17,ADSK,NASDAQ,12.46875,12.65625,11.75,12.28125,6840800.0,
2000-03-20,ADSK,NASDAQ,12.265625,12.46875,11.9375,12.25,6203600.0,
2000-03-21,ADSK,NASDAQ,12.2734375,12.8125,12.03125,12.796875,5066800.0,
2000-03-22,ADSK,NASDAQ,12.828125,12.828125,12.40625,12.546875,4082800.0,
2000-03-23,ADSK,NASDAQ,12.4375,12.8125,12.25,12.640625,4261600.0,
2000-03-24,ADSK,NASDAQ,12.625,12.9375,12.265625,12.4375,4045600.0,
2000-03-27,ADSK,NASDAQ,12.59375,12.8125,12.46875,12.546875,2181600.0,
2000-03-28,ADSK,NASDAQ,12.390625,12.46875,12.09765625,12.21875,3158400.0,
2000-03-29,ADSK,NASDAQ,12.0625,12.140625,11.1875,11.375,4663600.0,
2000-03-30,ADSK,NASDAQ,11.203125,11.5625,10.9375,11.09375,4889200.0,
2000-03-31,ADSK,NASDAQ,11.09375,11.375,10.40625,11.375,3737600.0,
2000-04-03,ADSK,NASDAQ,11.25,11.359375,10.875,11.0,5558000.0,
2000-04-04,ADSK,NASDAQ,11.03125,11.26171875,9.75,11.046875,10303200.0,
2000-04-05,ADSK,NASDAQ,10.953125,11.90625,10.828125,11.328125,6670800.0,
2000-04-06,ADSK,NASDAQ,11.6484375,11.75,11.109375,11.21875,2242400.0,
2000-04-07,ADSK,NASDAQ,11.234375,11.78125,11.21875,11.53125,1966000.0,
