date,code,exchange,open,high,low,close,volume,count_trx
2017-11-01,ALTR,NASDAQ,17.0,18.98,16.55,18.31,7533536.0,29670.0
2017-11-02,ALTR,NASDAQ,18.05,18.2,17.33,17.41,952072.0,4262.0
2017-11-03,ALTR,NASDAQ,17.5,19.4,17.5,19.37,842709.0,5340.0
2017-11-06,ALTR,NASDAQ,19.06,19.6,18.101,18.97,427430.0,2330.0
2017-11-07,ALTR,NASDAQ,18.99,19.945,18.85,19.51,1008722.0,3777.0
2017-11-08,ALTR,NASDAQ,19.55,20.38,18.62,20.36,558417.0,2353.0
2017-11-09,ALTR,NASDAQ,20.12,20.62,20.0,20.4,282539.0,1570.0
2017-11-10,ALTR,NASDAQ,20.4,20.85,20.23,20.76,132348.0,940.0
2017-11-13,ALTR,NASDAQ,20.62,21.78,20.501,21.72,222996.0,1268.0
2017-11-14,ALTR,NASDAQ,21.54,22.98,21.52,22.36,318864.0,2300.0
2017-11-15,ALTR,NASDAQ,22.53,23.55,22.03,23.49,638265.0,4199.0
2017-11-16,ALTR,NASDAQ,23.9,23.9988,23.4,23.94,328162.0,1914.0
2017-11-17,ALTR,NASDAQ,23.94,24.33,23.7508,24.16,329609.0,2267.0
2017-11-20,ALTR,NASDAQ,24.28,24.95,24.09,24.76,307984.0,2101.0
2017-11-21,ALTR,NASDAQ,24.89,25.59,24.28,24.5,376697.0,2916.0
2017-11-22,ALTR,NASDAQ,24.01,24.3,23.6801,23.94,296546.0,1739.0
2017-11-24,ALTR,NASDAQ,23.86,24.93,23.86,24.9,76227.0,643.0
2017-11-27,ALTR,NASDAQ,24.5,25.09,22.59,22.65,353294.0,2642.0
2017-11-28,ALTR,NASDAQ,23.38,23.9855,22.87,23.87,275419.0,2026.0
2017-11-29,ALTR,NASDAQ,23.99,24.34,21.3521,22.14,396836.0,3299.0
2017-11-30,ALTR,NASDAQ,22.18,23.15,21.845,22.39,303427.0,2975.0
2017-12-01,ALTR,NASDAQ,21.38,24.63,21.38,23.46,533622.0,3451.0
2017-12-04,ALTR,NASDAQ,23.48,23.9436,21.6,21.9,327833.0,2192.0
2017-12-05,ALTR,NASDAQ,21.68,22.9399,21.2,21.56,435673.0,3076.0
2017-12-06,ALTR,NASDAQ,21.21,21.7,20.501,21.02,236233.0,1883.0
2017-12-07,ALTR,NASDAQ,20.95,22.7,20.5,22.2,293398.0,2547.0
2017-12-08,ALTR,NASDAQ,22.32,22.47,21.385,21.6,140153.0,1335.0
2017-12-11,ALTR,NASDAQ,21.68,23.11,21.68,23.08,145567.0,1424.0
2017-12-12,ALTR,NASDAQ,22.97,23.585,22.13,22.32,272348.0,2200.0
2017-12-13,ALTR,NASDAQ,22.35,22.98,21.39,21.44,197155.0,1438.0
2017-12-14,ALTR,NASDAQ,21.43,21.82,21.0,21.0,176819.0,1170.0
2017-12-15,ALTR,NASDAQ,21.0,21.49,20.61,21.26,715276.0,1707.0
2017-12-18,ALTR,NASDAQ,21.36,23.565,21.0357,22.63,428309.0,3028.0
2017-12-19,ALTR,NASDAQ,22.45,22.85,21.13,22.59,180919.0,1455.0
2017-12-20,ALTR,NASDAQ,22.47,23.44,22.19,23.24,297255.0,2135.0
2017-12-21,ALTR,NASDAQ,23.4,24.64,23.355,24.39,296506.0,2643.0
2017-12-22,ALTR,NASDAQ,24.51,24.59,23.06,23.13,490952.0,1904.0
2017-12-26,ALTR,NASDAQ,23.12,23.3999,22.63,23.03,116514.0,897.0
2017-12-27,ALTR,NASDAQ,23.1,23.68,22.72,23.61,82744.0,648.0
2017-12-28,ALTR,NASDAQ,23.64,24.33,23.1848,24.31,209081.0,1384.0
2017-12-29,ALTR,NASDAQ,24.43,24.45,23.665,23.92,123439.0,1042.0
2018-01-02,ALTR,NASDAQ,24.14,24.4577,23.77,24.27,291583.0,2103.0
2018-01-03,ALTR,NASDAQ,24.5,25.525,24.5,25.05,484223.0,3166.0
2018-01-04,ALTR,NASDAQ,25.3,25.5401,24.65,24.92,177916.0,1423.0
2018-01-05,ALTR,NASDAQ,25.06,25.35,24.84,25.0,98722.0,840.0
2018-01-08,ALTR,NASDAQ,25.12,25.495,24.52,25.41,158243.0,1180.0
2018-01-09,ALTR,NASDAQ,25.43,26.6999,25.33,26.6,289949.0,2241.0
2018-01-10,ALTR,NASDAQ,26.61,28.0,26.32,27.99,209886.0,1862.0
2018-01-11,ALTR,NASDAQ,28.3,28.9,26.14,26.45,331737.0,2854.0
2018-01-12,ALTR,NASDAQ,26.43,26.769,25.17,25.88,193630.0,1640.0
2018-01-16,ALTR,NASDAQ,25.87,26.08,25.26,25.58,193166.0,1821.0
2018-01-17,ALTR,NASDAQ,25.71,25.71,23.885,24.86,265479.0,2616.0
2018-01-18,ALTR,NASDAQ,24.88,25.87,24.4208,25.51,318346.0,1896.0
2018-01-19,ALTR,NASDAQ,25.77,27.09,25.3,26.75,220731.0,1729.0
2018-01-22,ALTR,NASDAQ,27.15,27.49,25.2701,25.68,246613.0,2222.0
2018-01-23,ALTR,NASDAQ,25.79,26.33,24.87,25.91,160359.0,1657.0
2018-01-24,ALTR,NASDAQ,25.96,26.33,25.33,25.47,73488.0,674.0
2018-01-25,ALTR,NASDAQ,25.58,25.58,24.75,25.01,85958.0,896.0
2018-01-26,ALTR,NASDAQ,25.05,26.28,24.5001,26.27,221980.0,1679.0
2018-01-29,ALTR,NASDAQ,26.27,26.5,25.18,25.22,86945.0,956.0
2018-01-30,ALTR,NASDAQ,25.0,26.31,24.9,26.26,211383.0,1216.0
2018-01-31,ALTR,NASDAQ,26.57,27.0,26.125,26.6,446402.0,1800.0
2018-02-01,ALTR,NASDAQ,26.5,27.52,26.4,27.49,321876.0,2660.0
2018-02-02,ALTR,NASDAQ,27.29,28.255,26.751,26.95,286222.0,2851.0
2018-02-05,ALTR,NASDAQ,26.95,27.62,26.26,26.8,212088.0,2236.0
2018-02-06,ALTR,NASDAQ,26.42,28.0,26.2,26.42,450330.0,2995.0
2018-02-07,ALTR,NASDAQ,26.5,26.78,26.32,26.52,169649.0,1193.0
2018-02-08,ALTR,NASDAQ,26.47,27.47,25.06,25.29,276360.0,1753.0
2018-02-09,ALTR,NASDAQ,25.35,25.87,24.21,25.24,284979.0,1909.0
2018-02-12,ALTR,NASDAQ,25.3,25.88,24.9709,25.74,104615.0,1047.0
2018-02-13,ALTR,NASDAQ,25.58,26.4173,25.58,25.72,209156.0,1585.0
2018-02-14,ALTR,NASDAQ,25.5,26.09,25.455,25.81,188103.0,1618.0
2018-02-15,ALTR,NASDAQ,25.95,26.75,25.55,26.54,234523.0,2321.0
2018-02-16,ALTR,NASDAQ,26.55,27.02,25.7747,26.84,205950.0,1704.0
2018-02-20,ALTR,NASDAQ,26.69,26.94,25.2,26.15,350387.0,2520.0
2018-02-21,ALTR,NASDAQ,26.23,26.5,25.55,25.9,84653.0,918.0
2018-02-22,ALTR,NASDAQ,25.86,26.23,25.45,25.9,75039.0,972.0
2018-02-23,ALTR,NASDAQ,26.11,26.5,25.92,26.16,290505.0,1418.0
2018-02-26,ALTR,NASDAQ,26.34,26.69,26.14,26.41,260851.0,1617.0
2018-02-27,ALTR,NASDAQ,26.42,26.85,26.03,26.64,324504.0,2100.0
2018-02-28,ALTR,NASDAQ,26.75,26.75,26.18,26.32,201750.0,1430.0
2018-03-01,ALTR,NASDAQ,26.35,26.72,26.2,26.25,107429.0,1039.0
2018-03-02,ALTR,NASDAQ,26.21,26.645,25.82,26.48,123116.0,1273.0
2018-03-05,ALTR,NASDAQ,26.44,26.7,25.6301,26.49,64085.0,746.0
2018-03-06,ALTR,NASDAQ,26.57,27.89,26.57,27.29,194183.0,1465.0
2018-03-07,ALTR,NASDAQ,27.19,30.33,26.9872,29.98,769401.0,5374.0
2018-03-08,ALTR,NASDAQ,29.84,30.65,28.57,29.24,419970.0,2806.0
2018-03-09,ALTR,NASDAQ,29.5,30.0,28.0621,29.4,164387.0,1843.0
2018-03-12,ALTR,NASDAQ,29.4,30.36,28.6,30.11,183846.0,1568.0
2018-03-13,ALTR,NASDAQ,30.19,30.76,28.651,29.6,219495.0,1764.0
2018-03-14,ALTR,NASDAQ,29.62,30.37,29.11,29.21,199875.0,1448.0
2018-03-15,ALTR,NASDAQ,29.22,29.84,28.76,29.5,177736.0,1597.0
2018-03-16,ALTR,NASDAQ,29.39,29.73,28.0,29.58,647420.0,2366.0
2018-03-19,ALTR,NASDAQ,29.3,30.0,28.48,29.58,494512.0,3186.0
