date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,APA,NASDAQ,15.8820335997,15.8820335997,14.7456700372,14.7727263125,921921.0599248683,
2000-01-04,APA,NASDAQ,14.2857133571,14.5562761101,13.9610380536,14.1233757054,2420649.157342194,
2000-01-05,APA,NASDAQ,14.2316008065,14.5833323854,14.1233757054,14.5292198348,2016399.1310659423,
2000-01-06,APA,NASDAQ,14.9350639643,16.0173149762,14.7456700372,15.909089875,2103486.136726598,
2000-01-07,APA,NASDAQ,16.1255400774,16.450215381,15.5573582961,15.8549773244,1596210.1037536557,
2000-01-10,APA,NASDAQ,15.5844145714,15.5844145714,15.1515141667,15.2326829926,1427811.0928077204,
2000-01-11,APA,NASDAQ,15.2326829926,15.4491331949,15.0974016161,15.2867955432,1570800.1021020056,
2000-01-12,APA,NASDAQ,15.1515141667,15.367964369,15.0162327902,15.2056267173,848694.0551651132,
2000-01-13,APA,NASDAQ,15.178570442,15.8008647738,15.178570442,15.5303020208,1291059.0839188397,
2000-01-14,APA,NASDAQ,15.638527122,15.6926396726,15.178570442,15.3950206443,1993992.1296094873,
2000-01-18,APA,NASDAQ,15.909089875,17.0995659881,15.6926396726,16.8290032351,3064908.1992190313,
2000-01-19,APA,NASDAQ,17.2077910893,17.2077910893,16.6937218586,16.7207781339,1874103.121816702,
2000-01-20,APA,NASDAQ,17.0995659881,17.0995659881,16.5854967574,16.8290032351,2104872.136816688,
2000-01-21,APA,NASDAQ,17.1536785387,18.1277044494,16.9642846116,17.4242412917,2695308.17519503,
2000-01-24,APA,NASDAQ,17.4242412917,17.6948040446,16.450215381,16.9642846116,1946175.126501382,
2000-01-25,APA,NASDAQ,17.2077910893,17.4242412917,17.0183971622,17.1536785387,1689534.1098197163,
2000-01-26,APA,NASDAQ,17.4242412917,17.4242412917,16.9372283363,16.9642846116,1254561.0815464696,
2000-01-27,APA,NASDAQ,16.8831157857,16.9913408869,16.179652628,16.179652628,1509816.0981380455,
2000-01-28,APA,NASDAQ,16.0173149762,16.3961028304,15.9361461503,16.0714275268,1188726.0772671944,
2000-01-31,APA,NASDAQ,16.179652628,16.179652628,15.4761894702,15.8008647738,2820279.1833181456,
2000-02-01,APA,NASDAQ,15.8008647738,16.5584404821,15.6926396726,16.4231591057,1974819.1283632424,
2000-02-02,APA,NASDAQ,16.4231591057,16.7478344092,16.3961028304,16.3961028304,1554861.1010659707,
2000-02-03,APA,NASDAQ,16.8831157857,16.8831157857,16.450215381,16.4772716563,928620.0603603034,
2000-02-04,APA,NASDAQ,16.8831157857,17.1536785387,15.9632024256,16.0173149762,1311387.0852401596,
2000-02-07,APA,NASDAQ,15.9632024256,16.6125530327,15.8549773244,16.5584404821,1215984.0790389644,
2000-02-08,APA,NASDAQ,16.450215381,16.7748906845,15.8008647738,15.9902587009,1158927.0753302593,
2000-02-09,APA,NASDAQ,15.8820335997,15.8820335997,15.1515141667,15.178570442,1705704.1108707662,
2000-02-10,APA,NASDAQ,15.5844145714,16.2337651786,15.3950206443,15.8549773244,1468467.0954503606,
2000-02-11,APA,NASDAQ,16.0173149762,16.1255400774,15.4491331949,15.4761894702,437514.0284384116,
2000-02-14,APA,NASDAQ,15.4220769196,16.6125530327,15.3950206443,16.3419902798,1393392.090570485,
2000-02-15,APA,NASDAQ,16.7207781339,17.3701287411,16.6937218586,17.3160161905,1706859.1109458413,
2000-02-16,APA,NASDAQ,17.3430724658,17.7218603199,17.2889599152,17.3701287411,1884960.1225224067,
2000-02-17,APA,NASDAQ,17.5324663929,17.6948040446,16.7478344092,17.0454534375,1703625.110735631,
2000-02-18,APA,NASDAQ,16.9372283363,16.9642846116,16.179652628,16.179652628,1215291.0789939193,
2000-02-22,APA,NASDAQ,16.3149340045,16.3149340045,15.7738084985,15.8008647738,1378146.089579495,
2000-02-23,APA,NASDAQ,15.909089875,15.909089875,15.3409080938,15.3950206443,1373526.089279195,
2000-02-24,APA,NASDAQ,15.3950206443,15.4220769196,14.2857133571,14.5021635595,3313926.2154052025,
2000-02-25,APA,NASDAQ,14.6103886607,14.6103886607,13.906925503,14.1504319807,2483943.161456304,
2000-02-28,APA,NASDAQ,14.177488256,14.8268388631,14.1504319807,14.8268388631,3200274.2080178214,
2000-02-29,APA,NASDAQ,14.7456700372,15.8279210491,14.7456700372,15.8008647738,2276505.1479728334,
2000-03-01,APA,NASDAQ,15.909089875,15.909089875,14.8268388631,15.5032457455,4057977.26376852,
2000-03-02,APA,NASDAQ,15.5844145714,16.3961028304,15.5573582961,16.3149340045,4924920.320119818,
2000-03-03,APA,NASDAQ,16.8831157857,16.8831157857,15.8820335997,16.450215381,2348577.1526575135,
2000-03-06,APA,NASDAQ,16.3419902798,17.6948040446,16.3149340045,16.9372283363,3037419.197432246,
2000-03-07,APA,NASDAQ,17.3160161905,18.8311676071,17.2077910893,18.5876611295,4215057.27397872,
2000-03-08,APA,NASDAQ,18.8311676071,18.8852801577,18.1547607247,18.3170983765,3573108.232252033,
2000-03-09,APA,NASDAQ,18.3441546518,18.3982672024,17.5324663929,17.9653667976,1894200.123123007,
2000-03-10,APA,NASDAQ,18.0194793482,19.0205615342,17.451297567,17.640691494,2615151.1699848245,
2000-03-13,APA,NASDAQ,17.3701287411,18.5606048542,17.2077910893,17.8300854211,1627164.105765666,
2000-03-14,APA,NASDAQ,17.7489165952,17.9924230729,17.3160161905,17.8841979717,1385769.09007499,
2000-03-15,APA,NASDAQ,17.9924230729,17.9924230729,17.1266222634,17.4242412917,784014.050960913,
2000-03-16,APA,NASDAQ,17.0995659881,19.0205615342,17.0995659881,18.3170983765,2456223.159654504,
2000-03-17,APA,NASDAQ,18.6688299554,18.6688299554,17.7759728705,17.8030291458,1490181.0968617706,
2000-03-20,APA,NASDAQ,18.0735918988,18.0735918988,17.3701287411,17.5324663929,1220835.0793542794,
2000-03-21,APA,NASDAQ,17.640691494,18.2900421012,17.640691494,17.9924230729,1304457.0847897097,
2000-03-22,APA,NASDAQ,17.911254247,18.7770550565,17.8841979717,18.722942506,2251095.146321183,
2000-03-23,APA,NASDAQ,18.452379753,18.6147174048,18.2088732753,18.4794360283,2030028.1319518276,
2000-03-24,APA,NASDAQ,18.4794360283,18.7499987813,18.3441546518,18.4794360283,1289673.0838287496,
2000-03-27,APA,NASDAQ,18.5335485789,18.5606048542,17.5324663929,18.452379753,1709862.1111410363,
2000-03-28,APA,NASDAQ,18.6147174048,19.4805182143,18.5335485789,19.182899186,1747284.1135734664,
2000-03-29,APA,NASDAQ,18.722942506,20.6980506027,18.722942506,20.6709943274,4344879.282417151,
2000-03-30,APA,NASDAQ,21.2662323839,22.186145744,21.0497821815,21.4285700357,5763219.374609256,
2000-03-31,APA,NASDAQ,21.8614704405,22.1320331935,20.3733752991,21.5367951369,4481631.291306031,
2000-04-03,APA,NASDAQ,21.4285700357,21.5909076875,21.0497821815,21.2391761086,2056131.1336485227,
2000-04-04,APA,NASDAQ,21.3203449345,21.4015137604,19.7510809673,20.6980506027,2555553.1661109542,
2000-04-05,APA,NASDAQ,20.3463190238,20.6168817768,20.183981372,20.183981372,1636404.106366266,
2000-04-06,APA,NASDAQ,20.4004315744,21.0497821815,20.2922064732,20.8603882545,1433817.0931981101,
2000-04-07,APA,NASDAQ,20.7521631533,21.3203449345,20.454544125,21.1038947321,2027949.1318166924,
2000-04-10,APA,NASDAQ,20.9415570804,20.9415570804,20.0757562708,20.1028125461,1857702.1207506368,
