date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ATVI,NASDAQ,1.312484,1.374984,1.166653,1.369775,7226486.717689,
2000-01-04,ATVI,NASDAQ,1.343734,1.35415,1.187486,1.328109,4262451.149324,
2000-01-05,ATVI,NASDAQ,1.317693,1.364567,1.312484,1.333317,3390040.680417,
2000-01-06,ATVI,NASDAQ,1.322901,1.333317,1.296859,1.307276,2430029.160299,
2000-01-07,ATVI,NASDAQ,1.322901,1.35415,1.291651,1.343734,15549786.597113,
2000-01-10,ATVI,NASDAQ,1.35415,1.41665,1.322901,1.411441,10951331.415747,
2000-01-11,ATVI,NASDAQ,1.41665,1.520815,1.406233,1.473941,10711328.535717,
2000-01-12,ATVI,NASDAQ,1.437483,1.437483,1.364567,1.411441,2689232.270731,
2000-01-13,ATVI,NASDAQ,1.406233,1.437483,1.374984,1.427066,3267639.211602,
2000-01-14,ATVI,NASDAQ,1.406233,1.427066,1.390608,1.411441,2554830.657914,
2000-01-18,ATVI,NASDAQ,1.41665,1.453108,1.411441,1.41665,2461229.534703,
2000-01-19,ATVI,NASDAQ,1.427066,1.427066,1.390608,1.395817,3594043.128442,
2000-01-20,ATVI,NASDAQ,1.3854,1.41665,1.302068,1.317693,5340064.080657,
2000-01-21,ATVI,NASDAQ,1.315088,1.317693,1.239568,1.260402,11461337.53581,
2000-01-24,ATVI,NASDAQ,1.252589,1.26561,1.229152,1.249985,5056860.682222,
2000-01-25,ATVI,NASDAQ,1.260402,1.260402,1.132799,1.208319,6114073.368752,
2000-01-26,ATVI,NASDAQ,1.229152,1.374984,1.208319,1.322901,11746940.963045,
2000-01-27,ATVI,NASDAQ,1.437483,1.468732,1.35415,1.432274,9349312.19155,
2000-01-28,ATVI,NASDAQ,1.395817,1.41665,1.343734,1.364567,2926835.12196,
2000-01-31,ATVI,NASDAQ,1.380192,1.3854,1.291651,1.302068,1468817.625781,
2000-02-01,ATVI,NASDAQ,1.315088,1.458316,1.312484,1.406233,2316027.792285,
2000-02-02,ATVI,NASDAQ,1.41665,1.473941,1.374984,1.447899,6187274.247161,
2000-02-03,ATVI,NASDAQ,1.453108,1.468732,1.432274,1.463524,6501678.02,
2000-02-04,ATVI,NASDAQ,1.46092,1.463524,1.249985,1.312484,25299903.598312,
2000-02-07,ATVI,NASDAQ,1.260402,1.276026,1.244777,1.249985,10280523.366065,
2000-02-08,ATVI,NASDAQ,1.260402,1.270818,1.187486,1.229152,7245686.948091,
2000-02-09,ATVI,NASDAQ,1.229152,1.244777,1.197902,1.210923,2530830.369911,
2000-02-10,ATVI,NASDAQ,1.239568,1.239568,1.197902,1.203111,2600431.20512,
2000-02-11,ATVI,NASDAQ,1.229152,1.249985,1.213527,1.239568,1788021.45622,
2000-02-14,ATVI,NASDAQ,1.239568,1.249985,1.187486,1.197902,2164825.977866,
2000-02-15,ATVI,NASDAQ,1.213527,1.213527,1.166653,1.166653,2475629.707505,
2000-02-16,ATVI,NASDAQ,1.197902,1.223944,1.166653,1.167955,2821233.854747,
2000-02-17,ATVI,NASDAQ,1.197902,1.213527,1.166653,1.169257,2438429.2611,
2000-02-18,ATVI,NASDAQ,1.187486,1.208319,1.052071,1.124987,5575266.903086,
2000-02-22,ATVI,NASDAQ,1.124987,1.151028,1.088529,1.11457,1398016.776172,
2000-02-23,ATVI,NASDAQ,1.124987,1.124987,1.072904,1.088529,1274415.292957,
2000-02-24,ATVI,NASDAQ,1.104153,1.104153,1.062487,1.093737,1604419.252997,
2000-02-25,ATVI,NASDAQ,1.104153,1.104153,1.052071,1.062487,2985635.827567,
2000-02-28,ATVI,NASDAQ,1.057279,1.072904,1.041654,1.046862,2763633.16354,
2000-02-29,ATVI,NASDAQ,1.041654,1.072904,1.041654,1.057279,2793633.523544,
2000-03-01,ATVI,NASDAQ,1.072904,1.249985,1.062487,1.208319,16405396.864418,
2000-03-02,ATVI,NASDAQ,1.231756,1.249985,1.177069,1.208319,2438429.2611,
2000-03-03,ATVI,NASDAQ,1.208319,1.255193,1.177069,1.23436,12320547.846315,
2000-03-06,ATVI,NASDAQ,1.249985,1.249985,1.187486,1.197902,2218826.625873,
