date,code,exchange,open,high,low,close,volume,count_trx
2015-05-07,ATYR,NASDAQ,185.5,210.14,180.6,209.3,235946.5714285714,14394.0
2015-05-08,ATYR,NASDAQ,210.28,272.72,210.28,269.78,46809.4285714286,4569.0
2015-05-11,ATYR,NASDAQ,282.94,303.8,274.4,290.5,39193.5,2833.0
2015-05-12,ATYR,NASDAQ,303.52,306.46,269.3614,301.98,19398.7857142857,1433.0
2015-05-13,ATYR,NASDAQ,301.98,308.0,254.8,274.26,26651.8571428571,1974.0
2015-05-14,ATYR,NASDAQ,268.66,298.76,256.9,288.12,7170.9285714286,595.0
2015-05-15,ATYR,NASDAQ,294.98,300.86,264.3774,281.82,10303.5714285714,708.0
2015-05-18,ATYR,NASDAQ,275.94,283.22,264.6014,278.6,6644.9285714286,534.0
2015-05-19,ATYR,NASDAQ,285.46,285.46,273.49,281.4,2794.8571428571,301.0
2015-05-20,ATYR,NASDAQ,280.56,324.24,267.12,320.32,10926.4285714286,1121.0
2015-05-21,ATYR,NASDAQ,324.8,389.48,320.6,336.0,13199.6428571429,1301.0
2015-05-22,ATYR,NASDAQ,332.64,363.58,322.0,345.94,5391.4285714286,694.0
2015-05-26,ATYR,NASDAQ,352.8,371.0,336.42,354.76,16505.2857142857,1766.0
2015-05-27,ATYR,NASDAQ,361.62,375.9,329.56,345.66,11490.2142857143,959.0
2015-05-28,ATYR,NASDAQ,339.08,351.96,334.74,335.72,8113.5,782.0
2015-05-29,ATYR,NASDAQ,330.26,336.0,309.82,320.46,11807.3571428571,1135.0
2015-06-01,ATYR,NASDAQ,338.38,339.78,317.66,328.72,7917.0,684.0
2015-06-02,ATYR,NASDAQ,330.54,368.76,320.2304,353.36,11950.2142857143,1238.0
2015-06-03,ATYR,NASDAQ,349.86,395.22,341.04,390.32,27185.8571428571,1823.0
2015-06-04,ATYR,NASDAQ,396.06,396.06,372.4,382.62,4502.1428571429,459.0
2015-06-05,ATYR,NASDAQ,375.76,386.6478,350.84,362.18,5105.5714285714,506.0
2015-06-08,ATYR,NASDAQ,360.08,377.8586,346.5,349.02,6619.2142857143,746.0
2015-06-09,ATYR,NASDAQ,349.44,349.44,305.2,309.96,11135.1428571429,1131.0
2015-06-10,ATYR,NASDAQ,316.12,329.595,284.06,315.56,6129.8571428571,586.0
2015-06-11,ATYR,NASDAQ,315.98,327.04,290.5462,303.24,6616.9285714286,789.0
2015-06-12,ATYR,NASDAQ,302.82,321.02,295.89,311.22,6504.8571428571,749.0
2015-06-15,ATYR,NASDAQ,308.0,325.64,305.76,317.1,9621.7142857143,1216.0
2015-06-16,ATYR,NASDAQ,312.9,321.8586,304.5,307.3,7730.5,926.0
2015-06-17,ATYR,NASDAQ,305.9,321.6486,302.6814,313.88,4593.0,641.0
2015-06-18,ATYR,NASDAQ,311.78,324.24,303.2904,309.26,5621.5714285714,696.0
2015-06-19,ATYR,NASDAQ,310.8,324.66,302.54,305.48,18676.7857142857,870.0
2015-06-22,ATYR,NASDAQ,302.4,320.74,302.4,319.9,6521.3571428571,766.0
2015-06-23,ATYR,NASDAQ,319.9,321.44,302.4,307.16,6539.2142857143,738.0
2015-06-24,ATYR,NASDAQ,304.08,314.02,304.08,307.02,9165.5714285714,1168.0
2015-06-25,ATYR,NASDAQ,305.62,313.18,271.1338,274.4,18824.4285714286,1772.0
2015-06-26,ATYR,NASDAQ,272.44,281.82,262.5,275.24,63746.2142857143,1268.0
2015-06-29,ATYR,NASDAQ,276.08,276.08,259.14,263.9,4069.3571428571,632.0
