date,code,exchange,open,high,low,close,volume,count_trx
2009-08-06,AVGO,NASDAQ,1.65,1.691,1.556,1.618,241984090.0,
2009-08-07,AVGO,NASDAQ,1.615,1.676,1.603,1.643,24542720.0,
2009-08-10,AVGO,NASDAQ,1.663,1.663,1.561,1.597,24209150.0,
2009-08-11,AVGO,NASDAQ,1.598,1.6,1.55,1.567,23053710.0,
2009-08-12,AVGO,NASDAQ,1.615,1.62,1.566,1.6,14512930.0,
2009-08-13,AVGO,NASDAQ,1.6,1.672,1.6,1.655,11505590.0,
2009-08-14,AVGO,NASDAQ,1.65,1.7,1.625,1.66,6377820.0,
2009-08-17,AVGO,NASDAQ,1.627,1.637,1.62,1.622,2543880.0,
2009-08-18,AVGO,NASDAQ,1.648,1.72,1.635,1.707,14466160.0,
2009-08-19,AVGO,NASDAQ,1.684,1.794,1.68,1.789,20707630.0,
2009-08-20,AVGO,NASDAQ,1.795,1.795,1.729,1.776,18820770.0,
2009-08-21,AVGO,NASDAQ,1.779,1.797,1.758,1.782,8635110.0,
2009-08-24,AVGO,NASDAQ,1.752,1.785,1.73,1.75,10215840.0,
2009-08-25,AVGO,NASDAQ,1.765,1.79,1.755,1.785,5307240.0,
2009-08-26,AVGO,NASDAQ,1.769,1.785,1.715,1.785,7085740.0,
2009-08-27,AVGO,NASDAQ,1.785,1.821,1.755,1.816,11611000.0,
2009-08-28,AVGO,NASDAQ,1.81,1.9,1.8,1.847,12949490.0,
2009-08-31,AVGO,NASDAQ,1.835,1.84,1.781,1.82,10047190.0,
2009-09-01,AVGO,NASDAQ,1.825,1.844,1.694,1.785,13834800.0,
2009-09-02,AVGO,NASDAQ,1.776,1.825,1.748,1.768,12933880.0,
2009-09-03,AVGO,NASDAQ,1.797,1.797,1.7,1.745,36576070.0,
2009-09-04,AVGO,NASDAQ,1.775,1.79989,1.749,1.776,11585840.0,
2009-09-08,AVGO,NASDAQ,1.776,1.793,1.745,1.77,5748900.0,
2009-09-09,AVGO,NASDAQ,1.785,1.785,1.722,1.726,5511810.0,
2009-09-10,AVGO,NASDAQ,1.701,1.746,1.695,1.705,4151990.0,
2009-09-11,AVGO,NASDAQ,1.7,1.733,1.654,1.688,6202810.0,
2009-09-14,AVGO,NASDAQ,1.664,1.68999,1.631,1.665,16144910.0,
2009-09-15,AVGO,NASDAQ,1.725,1.735,1.663,1.718,19871870.0,
2009-09-16,AVGO,NASDAQ,1.74,1.775,1.711,1.758,20223690.0,
2009-09-17,AVGO,NASDAQ,1.766,1.79,1.653,1.664,14463510.0,
2009-09-18,AVGO,NASDAQ,1.657,1.702,1.618,1.62,8998150.0,
2009-09-21,AVGO,NASDAQ,1.628,1.663,1.587,1.661,5529560.0,
2009-09-22,AVGO,NASDAQ,1.696,1.737,1.682,1.725,11140120.0,
2009-09-23,AVGO,NASDAQ,1.762,1.779,1.73,1.74,5302810.0,
2009-09-24,AVGO,NASDAQ,1.733,1.78488,1.675,1.749,7787130.0,
2009-09-25,AVGO,NASDAQ,1.748,1.748,1.71,1.713,4684350.0,
2009-09-28,AVGO,NASDAQ,1.732,1.785,1.703,1.765,2335280.0,
2009-09-29,AVGO,NASDAQ,1.755,1.784,1.695,1.703,3566730.0,
2009-09-30,AVGO,NASDAQ,1.7,1.733,1.696,1.707,5125890.0,
2009-10-01,AVGO,NASDAQ,1.7,1.709,1.621,1.631,6604880.0,
2009-10-02,AVGO,NASDAQ,1.62,1.636,1.59002,1.609,6295030.0,
2009-10-05,AVGO,NASDAQ,1.61,1.653,1.6,1.649,1888210.0,
2009-10-06,AVGO,NASDAQ,1.674,1.71993,1.644,1.647,4693720.0,
2009-10-07,AVGO,NASDAQ,1.657,1.661,1.592,1.613,2916870.0,
2009-10-08,AVGO,NASDAQ,1.611,1.618,1.594,1.601,5572220.0,
2009-10-09,AVGO,NASDAQ,1.598,1.645,1.594,1.625,8704660.0,
2009-10-12,AVGO,NASDAQ,1.622,1.645,1.604,1.634,12887390.0,
2009-10-13,AVGO,NASDAQ,1.619,1.667,1.615,1.653,5572880.0,
2009-10-14,AVGO,NASDAQ,1.684,1.7,1.654,1.686,6988870.0,
2009-10-15,AVGO,NASDAQ,1.74,1.795,1.71,1.716,20919290.0,
2009-10-16,AVGO,NASDAQ,1.723,1.723,1.621,1.643,12637450.0,
2009-10-19,AVGO,NASDAQ,1.646,1.664,1.606,1.624,21428090.0,
2009-10-20,AVGO,NASDAQ,1.634,1.673,1.627,1.653,4889300.0,
2009-10-21,AVGO,NASDAQ,1.637,1.691,1.611,1.649,2337050.0,
2009-10-22,AVGO,NASDAQ,1.633,1.633,1.561,1.628,9833910.0,
2009-10-23,AVGO,NASDAQ,1.613,1.641,1.592,1.605,11340650.0,
2009-10-26,AVGO,NASDAQ,1.591,1.612,1.581,1.584,1623290.0,
2009-10-27,AVGO,NASDAQ,1.595,1.5988,1.526,1.545,3287580.0,
2009-10-28,AVGO,NASDAQ,1.55,1.55,1.489,1.493,6219700.0,
2009-10-29,AVGO,NASDAQ,1.495,1.52,1.47184,1.504,11832630.0,
2009-10-30,AVGO,NASDAQ,1.51,1.5187,1.487,1.5,2780900.0,
2009-11-02,AVGO,NASDAQ,1.51,1.51,1.47201,1.487,2765410.0,
2009-11-03,AVGO,NASDAQ,1.468,1.482,1.444,1.449,3636120.0,
2009-11-04,AVGO,NASDAQ,1.46,1.525,1.433,1.478,8052180.0,
2009-11-05,AVGO,NASDAQ,1.502,1.574,1.485,1.532,2740820.0,
2009-11-06,AVGO,NASDAQ,1.532,1.5686,1.487,1.529,2574470.0,
2009-11-09,AVGO,NASDAQ,1.526,1.574,1.509,1.566,2529010.0,
2009-11-10,AVGO,NASDAQ,1.569,1.569,1.518,1.545,1467650.0,
2009-11-11,AVGO,NASDAQ,1.553,1.553,1.512,1.536,1534150.0,
2009-11-12,AVGO,NASDAQ,1.54,1.595,1.54,1.56,1299070.0,
2009-11-13,AVGO,NASDAQ,1.561,1.575,1.541,1.558,621000.0,
2009-11-16,AVGO,NASDAQ,1.563,1.621,1.553,1.601,1559190.0,
2009-11-17,AVGO,NASDAQ,1.583,1.619,1.558,1.607,984140.0,
2009-11-18,AVGO,NASDAQ,1.615,1.615,1.58102,1.603,1154760.0,
2009-11-19,AVGO,NASDAQ,1.584,1.589,1.525,1.557,1165640.0,
2009-11-20,AVGO,NASDAQ,1.556,1.565,1.531,1.544,4236590.0,
2009-11-23,AVGO,NASDAQ,1.554,1.561,1.515,1.519,4652130.0,
2009-11-24,AVGO,NASDAQ,1.51,1.533,1.501,1.526,5227190.0,
2009-11-25,AVGO,NASDAQ,1.538,1.598,1.536,1.55,1352980.0,
2009-11-27,AVGO,NASDAQ,1.513,1.588,1.506,1.586,615790.0,
2009-11-30,AVGO,NASDAQ,1.587,1.599,1.525,1.586,2764490.0,
2009-12-01,AVGO,NASDAQ,1.59,1.634,1.59,1.596,4177940.0,
2009-12-02,AVGO,NASDAQ,1.603,1.6112,1.538,1.561,8464140.0,
2009-12-03,AVGO,NASDAQ,1.558,1.594,1.558,1.593,5078450.0,
2009-12-04,AVGO,NASDAQ,1.64,1.671,1.56001,1.652,9467900.0,
2009-12-07,AVGO,NASDAQ,1.65,1.693,1.65,1.687,3085880.0,
2009-12-08,AVGO,NASDAQ,1.661,1.697,1.655,1.675,2494080.0,
2009-12-09,AVGO,NASDAQ,1.661,1.681,1.634,1.681,966180.0,
2009-12-10,AVGO,NASDAQ,1.68,1.699,1.675,1.677,2554230.0,
2009-12-11,AVGO,NASDAQ,1.669,1.67,1.646,1.658,773120.0,
2009-12-14,AVGO,NASDAQ,1.674,1.69,1.669,1.685,2247360.0,
2009-12-15,AVGO,NASDAQ,1.685,1.69,1.671,1.674,1404000.0,
2009-12-16,AVGO,NASDAQ,1.688,1.713,1.674,1.7,3156310.0,
2009-12-17,AVGO,NASDAQ,1.691,1.6982,1.614,1.631,1489390.0,
2009-12-18,AVGO,NASDAQ,1.63,1.68,1.623,1.639,4178010.0,
2009-12-21,AVGO,NASDAQ,1.679,1.685,1.636,1.649,1442480.0,
2009-12-22,AVGO,NASDAQ,1.65,1.673,1.623,1.673,3127000.0,
2009-12-23,AVGO,NASDAQ,1.675,1.684,1.665,1.678,2234070.0,
2009-12-24,AVGO,NASDAQ,1.672,1.7,1.672,1.678,307130.0,
2009-12-28,AVGO,NASDAQ,1.675,1.78,1.675,1.738,7953250.0,
2009-12-29,AVGO,NASDAQ,1.752,1.768,1.74,1.753,2275670.0,
2009-12-30,AVGO,NASDAQ,1.731,1.778,1.731,1.769,3024940.0,
2009-12-31,AVGO,NASDAQ,1.761,1.829,1.761,1.829,5557950.0,
2010-01-04,AVGO,NASDAQ,1.83,1.89,1.801,1.886,5386450.0,
2010-01-05,AVGO,NASDAQ,1.895,1.924,1.81,1.9,3010370.0,
2010-01-06,AVGO,NASDAQ,1.895,1.93,1.859,1.915,5330350.0,
2010-01-07,AVGO,NASDAQ,1.904,1.917,1.865,1.903,2717290.0,
2010-01-08,AVGO,NASDAQ,1.89,1.93,1.88501,1.917,2898440.0,
2010-01-11,AVGO,NASDAQ,1.92,1.955,1.9028,1.929,5126880.0,
2010-01-12,AVGO,NASDAQ,1.914,1.914,1.874,1.9,9166300.0,
2010-01-13,AVGO,NASDAQ,1.896,1.896,1.825,1.842,9438290.0,
2010-01-14,AVGO,NASDAQ,1.848,1.887,1.815,1.843,10653750.0,
2010-01-15,AVGO,NASDAQ,1.856,1.856,1.815,1.824,1601760.0,
2010-01-19,AVGO,NASDAQ,1.79,1.815,1.73,1.781,3812200.0,
2010-01-20,AVGO,NASDAQ,1.771,1.801,1.744,1.796,1937150.0,
2010-01-21,AVGO,NASDAQ,1.787,1.849,1.779,1.7985,3385050.0,
2010-01-22,AVGO,NASDAQ,1.788,1.806,1.738,1.756,9234790.0,
2010-01-25,AVGO,NASDAQ,1.767,1.78,1.746,1.765,2613100.0,
2010-01-26,AVGO,NASDAQ,1.703,1.8,1.6842,1.776,7653650.0,
2010-01-27,AVGO,NASDAQ,1.764,1.795,1.725,1.741,6965010.0,
2010-01-28,AVGO,NASDAQ,1.755,1.774,1.725,1.772,144575740.0,
2010-01-29,AVGO,NASDAQ,1.772,1.786,1.725,1.738,33569100.0,
2010-02-01,AVGO,NASDAQ,1.738,1.769,1.729,1.75,5094710.0,
2010-02-02,AVGO,NASDAQ,1.751,1.78,1.735,1.77,17728350.0,
2010-02-03,AVGO,NASDAQ,1.754,1.769,1.748,1.762,12859430.0,
2010-02-04,AVGO,NASDAQ,1.738,1.758,1.706,1.722,13766590.0,
2010-02-05,AVGO,NASDAQ,1.725,1.732,1.66,1.72,5386680.0,
2010-02-08,AVGO,NASDAQ,1.708,1.729,1.687,1.701,4982800.0,
2010-02-09,AVGO,NASDAQ,1.704,1.738,1.682,1.699,1895750.0,
2010-02-10,AVGO,NASDAQ,1.686,1.694,1.651,1.68,5779180.0,
2010-02-11,AVGO,NASDAQ,1.676,1.725,1.65,1.713,3699750.0,
2010-02-12,AVGO,NASDAQ,1.698,1.739,1.679,1.736,1631280.0,
2010-02-16,AVGO,NASDAQ,1.74,1.751,1.72701,1.748,4226160.0,
2010-02-17,AVGO,NASDAQ,1.76,1.76,1.717,1.741,5076730.0,
2010-02-18,AVGO,NASDAQ,1.747,1.75,1.73,1.745,4618570.0,
2010-02-19,AVGO,NASDAQ,1.75,1.762,1.736,1.753,3745760.0,
2010-02-22,AVGO,NASDAQ,1.75,1.759,1.723,1.735,8464930.0,
2010-02-23,AVGO,NASDAQ,1.735,1.749,1.713,1.738,18201720.0,
2010-02-24,AVGO,NASDAQ,1.75,1.787,1.741,1.774,8522440.0,
2010-02-25,AVGO,NASDAQ,1.8,1.839,1.769,1.809,23196210.0,
2010-02-26,AVGO,NASDAQ,1.805,1.819,1.796,1.815,2806420.0,
2010-03-01,AVGO,NASDAQ,1.87,1.88,1.812,1.83,8721800.0,
2010-03-02,AVGO,NASDAQ,1.819,1.874,1.819,1.872,9809160.0,
2010-03-03,AVGO,NASDAQ,1.875,1.994,1.875,1.891,10633920.0,
2010-03-04,AVGO,NASDAQ,1.901,1.924,1.85019,1.906,3966020.0,
2010-03-05,AVGO,NASDAQ,1.905,1.966,1.905,1.936,3766080.0,
2010-03-08,AVGO,NASDAQ,1.948,1.952,1.909,1.931,2219290.0,
2010-03-09,AVGO,NASDAQ,1.944,2.0,1.915,1.935,9226400.0,
2010-03-10,AVGO,NASDAQ,1.946,1.998,1.936,1.974,5448690.0,
2010-03-11,AVGO,NASDAQ,1.979,1.9974,1.979,1.986,3946110.0,
2010-03-12,AVGO,NASDAQ,1.99,2.0,1.944,1.965,4983290.0,
2010-03-15,AVGO,NASDAQ,1.956,1.956,1.903,1.942,1791560.0,
2010-03-16,AVGO,NASDAQ,1.942,1.968,1.916,1.95,1622240.0,
2010-03-17,AVGO,NASDAQ,1.959,1.999,1.956,1.989,3093780.0,
2010-03-18,AVGO,NASDAQ,1.994,2.0,1.948,1.998,2117000.0,
2010-03-19,AVGO,NASDAQ,2.0,2.028,1.969,2.011,6364120.0,
2010-03-22,AVGO,NASDAQ,1.987,2.015,1.97,1.994,4733840.0,
2010-03-23,AVGO,NASDAQ,1.998,2.03,1.995,2.022,2818490.0,
2010-03-24,AVGO,NASDAQ,2.02,2.02,1.957,1.962,1534470.0,
2010-03-25,AVGO,NASDAQ,1.975,1.975,1.931,1.965,5834510.0,
2010-03-26,AVGO,NASDAQ,1.966,2.02,1.966,1.991,5249990.0,
2010-03-29,AVGO,NASDAQ,2.009,2.04,1.994,2.022,2960090.0,
2010-03-30,AVGO,NASDAQ,2.028,2.051,1.996,2.038,3538540.0,
2010-03-31,AVGO,NASDAQ,2.039,2.068,2.017,2.05625,6619250.0,
2010-04-01,AVGO,NASDAQ,2.069,2.08,2.009,2.05,3245870.0,
2010-04-05,AVGO,NASDAQ,2.069,2.07,1.979,2.026,6120180.0,
2010-04-06,AVGO,NASDAQ,2.005,2.083,2.0,2.068,2357960.0,
2010-04-07,AVGO,NASDAQ,2.058,2.0743,2.04,2.048,1445900.0,
2010-04-08,AVGO,NASDAQ,2.048,2.048,2.008,2.01,1401370.0,
2010-04-09,AVGO,NASDAQ,2.01,2.014,1.983,2.001,1982440.0,
2010-04-12,AVGO,NASDAQ,1.992,2.015,1.967,2.002,2866620.0,
2010-04-13,AVGO,NASDAQ,1.986,2.024,1.975,2.015,2366140.0,
2010-04-14,AVGO,NASDAQ,2.063,2.156,2.05,2.155,4782140.0,
2010-04-15,AVGO,NASDAQ,2.16,2.2,2.16,2.196,6147640.0,
2010-04-16,AVGO,NASDAQ,2.197,2.198,2.167,2.188,3438400.0,
2010-04-19,AVGO,NASDAQ,2.168,2.204,2.13,2.19,4867250.0,
2010-04-20,AVGO,NASDAQ,2.247,2.288,2.218,2.237,8505600.0,
2010-04-21,AVGO,NASDAQ,2.25,2.2825,2.146,2.184,5401280.0,
2010-04-22,AVGO,NASDAQ,2.184,2.186,2.097,2.153,6440240.0,
2010-04-23,AVGO,NASDAQ,2.143,2.162,2.108,2.149,1885690.0,
2010-04-26,AVGO,NASDAQ,2.135,2.2025,2.13,2.179,2549400.0,
2010-04-27,AVGO,NASDAQ,2.186,2.186,2.082,2.1,2505970.0,
2010-04-28,AVGO,NASDAQ,2.118,2.129,2.068,2.101,3138450.0,
2010-04-29,AVGO,NASDAQ,2.133,2.18,2.133,2.14,3184040.0,
2010-04-30,AVGO,NASDAQ,2.157,2.169,2.049,2.051,3602360.0,
2010-05-03,AVGO,NASDAQ,2.065,2.147,2.039,2.112,4238290.0,
2010-05-04,AVGO,NASDAQ,2.097,2.097,1.9924,2.005,5559800.0,
2010-05-05,AVGO,NASDAQ,1.994,2.006,1.9201,1.959,6265820.0,
2010-05-06,AVGO,NASDAQ,1.957,1.958,1.855,1.92,9154030.0,
2010-05-07,AVGO,NASDAQ,1.924,1.95,1.83812,1.929,6024930.0,
2010-05-10,AVGO,NASDAQ,2.0,2.091,2.0,2.074,8943820.0,
2010-05-11,AVGO,NASDAQ,2.033,2.08,2.017,2.066,2173470.0,
