date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,BIIB,NASDAQ,30.204134914,30.2425137385,26.3854418721,28.6306031078,2792727.9272792726,
2000-01-04,BIIB,NASDAQ,27.5176171961,28.4770878096,26.3278736353,26.6924724684,2935529.355293553,
2000-01-05,BIIB,NASDAQ,26.4430101089,29.0143913532,23.0272947248,28.5538454587,3390033.900339003,
2000-01-06,BIIB,NASDAQ,27.7862689679,30.2425137385,27.3257230734,29.8203466686,2742327.4232742325,
2000-01-07,BIIB,NASDAQ,29.781967844,33.3128197018,29.781967844,33.255251465,4736447.364473645,
2000-01-10,BIIB,NASDAQ,35.308518578,37.1123233314,34.6944573853,36.6901562614,5765757.657576576,
2000-01-11,BIIB,NASDAQ,35.5771703497,36.3831256651,33.1593044036,33.8117444208,3386133.861338613,
2000-01-12,BIIB,NASDAQ,33.8885020699,33.9076914822,29.9354831422,32.4301067374,4256142.561425614,
2000-01-13,BIIB,NASDAQ,32.5836220355,36.1528527179,32.0846973165,35.6539279988,3178531.785317853,
2000-01-14,BIIB,NASDAQ,36.3447468406,36.8436715596,33.0057891055,35.4620338761,2877928.7792877927,
2000-01-18,BIIB,NASDAQ,35.0398668062,36.8436715596,32.2382126147,32.8714632196,3359433.594335943,
2000-01-19,BIIB,NASDAQ,32.8714632196,37.4961115768,32.545243211,37.1507021559,2685026.8502685027,
2000-01-20,BIIB,NASDAQ,35.6155491743,38.2253092431,30.0889984403,37.6688162872,15550655.506555066,
2000-01-21,BIIB,NASDAQ,38.5323398394,45.7475588532,36.5366409633,45.3637706078,9227192.271922719,
2000-01-24,BIIB,NASDAQ,43.8669964506,46.5535141685,40.2210081192,42.1591387586,4815348.153481535,
2000-01-25,BIIB,NASDAQ,43.1377987844,43.3680717316,38.2636880676,41.7177822763,4178141.781417814,
2000-01-26,BIIB,NASDAQ,41.3723728555,45.7475588532,41.1420999082,44.0205117488,3650736.5073650735,
2000-01-27,BIIB,NASDAQ,44.2507846961,44.5194364679,39.990735172,39.990735172,1650616.5061650616,
2000-01-28,BIIB,NASDAQ,39.7604622247,40.700743426,37.5153009891,39.3766739793,1899618.996189962,
2000-01-31,BIIB,NASDAQ,39.2615375057,39.2999163302,36.5366409633,38.7434233744,2178621.7862178623,
2000-02-01,BIIB,NASDAQ,38.8777492603,40.911826961,37.6208427566,40.8158798996,1500915.0091500913,
2000-02-02,BIIB,NASDAQ,35.0014879816,36.1528527179,32.2190232024,32.545243211,16297062.970629705,
2000-02-03,BIIB,NASDAQ,33.1593044036,34.2339114908,31.4706361238,31.6625302465,8475684.756847568,
2000-02-04,BIIB,NASDAQ,32.4876749742,35.0782456307,31.5473937729,33.6198502981,3219932.199321993,
2000-02-07,BIIB,NASDAQ,34.8479726835,35.5579809375,33.7733655963,35.2509503411,3684036.8403684036,
2000-02-08,BIIB,NASDAQ,35.9801480074,40.0674928211,35.4620338761,39.8755986984,5076950.769507695,
2000-02-09,BIIB,NASDAQ,39.7604622247,39.7988410493,36.3831256651,37.7647633486,3266132.6613266133,
2000-02-10,BIIB,NASDAQ,37.8798998222,38.0142257081,35.6155491743,35.9801480074,2262622.626226262,
2000-02-11,BIIB,NASDAQ,36.018526832,37.7647633486,35.2317609289,36.4790727265,2169621.6962169623,
2000-02-14,BIIB,NASDAQ,36.5366409633,37.7647633486,35.8458221215,36.4790727265,1397413.9741397414,
2000-02-15,BIIB,NASDAQ,36.517451551,36.6133986124,34.8479726835,35.7306856479,1440614.4061440614,
2000-02-16,BIIB,NASDAQ,35.6155491743,38.4555821903,34.6944573853,37.4193539277,4291242.912429124,
2000-02-17,BIIB,NASDAQ,37.726384524,40.8350693119,37.6880056995,40.4129022419,5101851.018510185,
2000-02-18,BIIB,NASDAQ,41.3723728555,45.7475588532,37.7647633486,40.489659891,5254552.545525455,
2000-02-22,BIIB,NASDAQ,40.3745234174,40.6047963646,37.5536798136,38.3404457167,2592925.9292592923,
2000-02-23,BIIB,NASDAQ,39.9331669352,42.9842834862,38.6858551376,42.6580634776,1815318.1531815317,
2000-02-24,BIIB,NASDAQ,42.7348211267,43.2913140825,40.7775010751,42.6004952408,2410824.108241082,
2000-02-25,BIIB,NASDAQ,43.6751023279,43.751859977,41.6794034518,42.1975175831,1927819.2781927818,
2000-02-28,BIIB,NASDAQ,42.9842834862,43.9053752752,39.990735172,40.9885846101,4113941.139411394,
2000-02-29,BIIB,NASDAQ,41.0845316714,44.2124058715,40.911826961,43.252935258,2574625.7462574625,
2000-03-01,BIIB,NASDAQ,43.1377987844,46.0545894495,41.7561611009,45.0759294237,1934719.3471934719,
2000-03-02,BIIB,NASDAQ,46.016210625,46.016210625,41.9864340481,42.6964423021,1827018.2701827018,
2000-03-03,BIIB,NASDAQ,43.5791552666,46.0545894495,42.6772528899,46.0545894495,2667026.670266703,
2000-03-06,BIIB,NASDAQ,45.4405282568,53.1162931651,45.2870129587,52.5981790338,4147841.478414784,
2000-03-07,BIIB,NASDAQ,52.2719590252,52.3487166743,46.7454082912,48.6835389306,3462334.6233462333,
2000-03-08,BIIB,NASDAQ,49.0481377637,49.1632742373,45.1334976605,46.8605447649,1746317.4631746316,
2000-03-09,BIIB,NASDAQ,48.4916448079,48.5108342201,43.4448293807,43.8669964506,1603816.0381603816,
2000-03-10,BIIB,NASDAQ,44.4810576433,45.2870129587,38.9928857339,39.7028939879,3360033.600336003,
2000-03-13,BIIB,NASDAQ,38.1869304185,39.5493786898,35.385276227,35.5387915252,4317643.176431764,
2000-03-14,BIIB,NASDAQ,36.7861033228,36.8244821473,29.1679066514,32.2382126147,10685506.85506855,
2000-03-15,BIIB,NASDAQ,32.6987585091,33.965259719,30.3960290367,33.3320091141,9727597.27597276,
2000-03-16,BIIB,NASDAQ,34.0036385435,38.0717939449,33.9268808945,36.8052927351,8470284.702847028,
2000-03-17,BIIB,NASDAQ,35.9225797706,38.1101727695,35.7690644724,36.517451551,3074730.747307473,
2000-03-20,BIIB,NASDAQ,36.6517774369,38.0717939449,32.3917279128,32.6987585091,3603036.0303603034,
2000-03-21,BIIB,NASDAQ,32.2382126147,35.9225797706,27.4984277838,35.4908179945,10193801.93801938,
2000-03-22,BIIB,NASDAQ,36.3831256651,41.8521081622,35.4236550516,40.2977657683,4879548.795487954,
2000-03-23,BIIB,NASDAQ,40.9885846101,41.5258881536,38.0334151204,38.7242339621,3172531.725317253,
2000-03-24,BIIB,NASDAQ,39.1464010321,39.7028939879,35.308518578,36.5366409633,2843728.4372843727,
2000-03-27,BIIB,NASDAQ,36.3831256651,37.6112480504,34.9439197448,36.0569056565,2810728.1072810725,
2000-03-28,BIIB,NASDAQ,35.8458221215,36.9971868578,34.5025632626,34.8479726835,2055020.550205502,
2000-03-29,BIIB,NASDAQ,35.4956153476,35.5196021129,29.6284525458,29.6668313704,8186481.8648186475,
2000-03-30,BIIB,NASDAQ,29.8203466686,31.5473937729,25.09975125,26.6349042316,6728467.284672846,
2000-03-31,BIIB,NASDAQ,27.6327536697,31.6913143649,27.2873442488,30.1657560894,4108241.082410824,
2000-04-03,BIIB,NASDAQ,30.5111655103,30.703059633,27.939784266,28.8992548796,3118531.185311853,
2000-04-04,BIIB,NASDAQ,28.7073607569,30.5879231594,25.7905700917,29.6284525458,4142441.424414244,
2000-04-05,BIIB,NASDAQ,29.0527701777,35.5387915252,28.860876055,33.7733655963,5295352.953529535,
2000-04-06,BIIB,NASDAQ,35.308518578,36.5366409633,31.1636055275,32.8714632196,3437434.374343743,
2000-04-07,BIIB,NASDAQ,33.466335,33.466335,29.8587254931,31.1060372907,3473734.7373473733,
2000-04-10,BIIB,NASDAQ,31.3938784747,31.3938784747,29.2638537127,29.7435890195,1719317.1931719317,
2000-04-11,BIIB,NASDAQ,29.0143913532,29.0527701777,26.1359795126,27.1530183629,3858638.586385864,
2000-04-12,BIIB,NASDAQ,23.756492391,25.7905700917,21.2618687959,24.6967735923,15036450.364503644,
2000-04-13,BIIB,NASDAQ,24.6583947678,24.7927206536,22.8737794266,23.7948712156,2982329.8232982326,
2000-04-14,BIIB,NASDAQ,23.4782459131,23.6413559174,20.8780805504,22.1062029358,4941049.410494105,
2000-04-17,BIIB,NASDAQ,20.6094287787,21.6456570413,18.2683204816,19.8610417001,5349053.490534905,
2000-04-18,BIIB,NASDAQ,20.494292305,22.4132335321,19.4004958056,22.1829605848,4002040.0204002038,
2000-04-19,BIIB,NASDAQ,22.835400602,25.9440853899,22.4132335321,23.756492391,4341643.416434164,
2000-04-20,BIIB,NASDAQ,21.3194370327,21.415384094,18.2683204816,19.3813063933,15258452.584525844,
2000-04-24,BIIB,NASDAQ,19.0934652093,19.0934652093,17.0785769209,17.6158804644,4710647.1064710645,
2000-04-25,BIIB,NASDAQ,18.3258887184,18.8823816743,17.8461534117,18.3450781307,5605856.058560586,
2000-04-26,BIIB,NASDAQ,18.71927167,18.9207604988,17.8461534117,18.4794040166,2946629.466294663,
2000-04-27,BIIB,NASDAQ,18.2683204816,18.3066993062,17.3088498681,17.8077745871,3364833.648336483,
2000-04-28,BIIB,NASDAQ,18.6137299025,20.4175346559,17.654259289,19.6499581651,5520055.200552005,
2000-05-01,BIIB,NASDAQ,20.1296934719,22.7970217775,19.7267158142,22.1445817603,6054660.546605466,
2000-05-02,BIIB,NASDAQ,22.1062029358,22.1062029358,20.494292305,20.5518605418,3667836.6783667835,
2000-05-03,BIIB,NASDAQ,20.5710499541,20.5710499541,18.7672452007,19.9377993492,2141721.417214172,
2000-05-04,BIIB,NASDAQ,20.1105040596,22.4132335321,20.0337464105,21.9910664621,2370323.703237032,
2000-05-05,BIIB,NASDAQ,22.0678241112,24.3321747592,22.0294452867,23.0848629616,2933129.331293313,
2000-05-08,BIIB,NASDAQ,23.1424311984,23.1424311984,21.5305205676,22.9313476634,2059520.595205952,
2000-05-09,BIIB,NASDAQ,22.9697264879,22.9697264879,21.6456570413,22.4324229444,2266822.668226682,
2000-05-10,BIIB,NASDAQ,22.1062029358,22.8737794266,21.1851111468,22.2021499971,1229412.294122941,
2000-05-11,BIIB,NASDAQ,23.0848629616,23.9483865137,22.4516123566,22.6051276548,1290312.9031290312,
2000-05-12,BIIB,NASDAQ,23.6221665051,24.5624477064,23.0272947248,24.1019018119,2158821.588215882,
2000-05-15,BIIB,NASDAQ,24.111496518,24.1210912242,22.4132335321,23.0656735493,1659316.5931659315,
2000-05-16,BIIB,NASDAQ,23.4878406192,23.8140606278,22.3940441198,23.0081053125,2035220.3522035219,
2000-05-17,BIIB,NASDAQ,22.2597182339,22.6435064793,21.7224146903,21.9910664621,2463024.6302463026,
2000-05-18,BIIB,NASDAQ,22.1062029358,22.9505370757,21.7224146903,22.0294452867,2700327.0032700323,
2000-05-19,BIIB,NASDAQ,21.8759299885,22.0678241112,20.8780805504,21.4537629186,2467224.6722467225,
2000-05-22,BIIB,NASDAQ,21.3770052695,21.4345735063,18.8056240252,19.0167075602,3325833.258332583,
2000-05-23,BIIB,NASDAQ,19.1126546215,20.5710499541,18.9975181479,19.3813063933,4089640.896408964,
2000-05-24,BIIB,NASDAQ,19.1894122706,19.6499581651,17.6926381135,19.6307687528,2506525.0652506524,
2000-05-25,BIIB,NASDAQ,19.995367586,20.8205123136,18.4218357798,18.4218357798,2850628.5062850625,
2000-05-26,BIIB,NASDAQ,18.7864346129,19.7075264019,17.5007439908,19.3813063933,1104311.043110431,
2000-05-30,BIIB,NASDAQ,19.5060375731,20.1488828842,18.7480557884,20.0721252351,2584225.8422584226,
2000-05-31,BIIB,NASDAQ,19.995367586,20.1680722964,18.8440028498,19.5923899283,2706927.0692706928,
2000-06-01,BIIB,NASDAQ,20.2640193578,23.6989241542,20.1680722964,23.0656735493,4093840.938409384,
2000-06-02,BIIB,NASDAQ,23.9483865137,26.7116618807,23.6221665051,26.5389571703,4477544.775447754,
2000-06-05,BIIB,NASDAQ,25.9057065653,28.9184442918,25.7521912672,27.2489654243,3616536.1653616535,
2000-06-06,BIIB,NASDAQ,28.5538454587,29.781967844,27.8438372047,29.5325054845,5550355.503555035,
2000-06-07,BIIB,NASDAQ,29.6092631336,29.6284525458,27.6711324942,29.2062854759,2778027.7802778026,
2000-06-08,BIIB,NASDAQ,29.283043125,29.3022325372,28.3235725114,28.6689819323,969609.6960969609,
2000-06-09,BIIB,NASDAQ,28.9952019409,31.2787420011,28.4387089851,30.7798172821,2730627.3062730627,
2000-06-12,BIIB,NASDAQ,30.6838702207,30.6838702207,28.6689819323,29.1487172391,1502115.0211502113,
2000-06-13,BIIB,NASDAQ,28.7073607569,32.6028114478,28.5154666341,31.7584773079,3666336.6633666335,
2000-06-14,BIIB,NASDAQ,31.624151422,31.6433408343,29.0911490023,29.9546725544,3642936.4293642933,
2000-06-15,BIIB,NASDAQ,30.280892563,30.8949537557,29.3598007741,30.0506196158,13121831.218312183,
2000-06-16,BIIB,NASDAQ,29.8587254931,32.2382126147,29.6860207827,32.1038867288,4965649.656496565,
2000-06-19,BIIB,NASDAQ,32.8138949828,36.9588080332,31.9311820183,36.9204292087,7588875.888758888,
2000-06-20,BIIB,NASDAQ,36.728535086,36.9971868578,35.0014879816,35.9033903583,5620856.208562085,
2000-06-21,BIIB,NASDAQ,35.4236550516,38.8969386726,35.2701397534,37.649626875,4610446.104461044,
2000-06-22,BIIB,NASDAQ,37.726384524,37.726384524,33.3128197018,33.3128197018,4328743.287432875,
2000-06-23,BIIB,NASDAQ,34.0803961926,35.2701397534,33.1593044036,34.8479726835,3357333.5733357333,
2000-06-26,BIIB,NASDAQ,34.9439197448,36.2487997792,33.0825467546,36.2104209547,5159151.591515915,
2000-06-27,BIIB,NASDAQ,35.4620338761,36.0760950688,35.0014879816,35.4044656393,3249932.499324993,
