date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CDNS,NASDAQ,23.75,23.8125,21.8125,22.0625,1301100.0,
2000-01-04,CDNS,NASDAQ,21.875,22.4375,21.5625,21.9375,1393600.0,
2000-01-05,CDNS,NASDAQ,21.625,21.6875,20.75,21.625,2445600.0,
2000-01-06,CDNS,NASDAQ,21.5,21.625,20.375,20.9375,1236400.0,
2000-01-07,CDNS,NASDAQ,21.0,22.375,21.0,22.3125,1580400.0,
2000-01-10,CDNS,NASDAQ,22.5,23.875,22.0625,23.375,1018800.0,
2000-01-11,CDNS,NASDAQ,23.0,23.375,22.1875,22.25,1170400.0,
2000-01-12,CDNS,NASDAQ,22.625,22.75,20.75,20.8125,895000.0,
2000-01-13,CDNS,NASDAQ,21.375,21.375,20.3125,21.0,1043000.0,
2000-01-14,CDNS,NASDAQ,21.0,22.3125,21.0,22.25,1081700.0,
2000-01-18,CDNS,NASDAQ,22.25,23.0625,22.0625,22.875,776500.0,
2000-01-19,CDNS,NASDAQ,22.5625,23.3125,22.25,23.0,741400.0,
2000-01-20,CDNS,NASDAQ,23.0,24.375,22.625,23.0625,1367000.0,
2000-01-21,CDNS,NASDAQ,22.875,22.9375,20.25,21.875,2226100.0,
2000-01-24,CDNS,NASDAQ,22.75,24.0,22.125,23.6875,2302500.0,
2000-01-25,CDNS,NASDAQ,24.5,24.5,23.0,24.0,2510100.0,
2000-01-26,CDNS,NASDAQ,23.5,23.5,21.625,22.6875,2282600.0,
2000-01-27,CDNS,NASDAQ,22.0,22.375,21.0,21.4375,1650100.0,
2000-01-28,CDNS,NASDAQ,21.625,22.125,21.25,21.9375,1942300.0,
2000-01-31,CDNS,NASDAQ,21.9375,22.1875,20.625,20.625,1788900.0,
2000-02-01,CDNS,NASDAQ,20.9375,21.875,20.875,21.625,919400.0,
2000-02-02,CDNS,NASDAQ,21.75,22.375,21.625,22.25,1878400.0,
2000-02-03,CDNS,NASDAQ,22.375,22.8125,21.875,22.4375,1627000.0,
2000-02-04,CDNS,NASDAQ,22.375,22.8125,22.3125,22.375,1181400.0,
2000-02-07,CDNS,NASDAQ,23.0,23.0,22.5625,22.6875,605400.0,
2000-02-08,CDNS,NASDAQ,22.3125,23.0,22.3125,23.0,1612400.0,
2000-02-09,CDNS,NASDAQ,23.25,23.375,22.3125,22.5625,1041300.0,
2000-02-10,CDNS,NASDAQ,22.4375,22.4375,21.3125,21.8125,1004200.0,
2000-02-11,CDNS,NASDAQ,21.75,21.9375,21.375,21.8125,605900.0,
2000-02-14,CDNS,NASDAQ,20.875,21.0625,19.3125,20.0,2585400.0,
2000-02-15,CDNS,NASDAQ,19.0,19.5,18.375,18.8125,1675600.0,
2000-02-16,CDNS,NASDAQ,18.6875,20.0625,18.6875,19.5,1791200.0,
2000-02-17,CDNS,NASDAQ,19.4375,19.75,17.8125,18.5625,2177800.0,
2000-02-18,CDNS,NASDAQ,18.25,18.6875,17.75,18.6875,2381100.0,
2000-02-22,CDNS,NASDAQ,19.0,19.1875,18.0,18.1875,828000.0,
2000-02-23,CDNS,NASDAQ,18.125,18.1875,17.8125,18.125,1067700.0,
2000-02-24,CDNS,NASDAQ,18.375,19.0625,18.1875,18.875,1695100.0,
2000-02-25,CDNS,NASDAQ,19.25,19.75,19.125,19.5625,1299400.0,
2000-02-28,CDNS,NASDAQ,19.1875,19.375,18.8125,19.25,970300.0,
2000-02-29,CDNS,NASDAQ,19.3125,20.0,19.3125,19.9375,744200.0,
2000-03-01,CDNS,NASDAQ,20.0625,21.4375,20.0625,21.25,1626100.0,
2000-03-02,CDNS,NASDAQ,21.25,21.625,20.5,20.8125,1462300.0,
2000-03-03,CDNS,NASDAQ,21.0,21.1875,20.3125,20.5,1142600.0,
2000-03-06,CDNS,NASDAQ,20.5,21.375,20.5,20.625,1331600.0,
2000-03-07,CDNS,NASDAQ,20.625,21.0,20.375,20.875,744700.0,
2000-03-08,CDNS,NASDAQ,20.6875,20.6875,19.4375,20.375,1480200.0,
2000-03-09,CDNS,NASDAQ,20.625,22.375,20.5625,22.125,1154000.0,
2000-03-10,CDNS,NASDAQ,22.625,23.0,21.75,22.125,1055300.0,
