date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,CPRT,NASDAQ,0.8984366016,0.915363668,0.7213534453,0.8124991875,5620805.620805621,
2000-01-04,CPRT,NASDAQ,0.7734367266,0.7760408906,0.6953118047,0.7109367891,8107208.107208108,
2000-01-05,CPRT,NASDAQ,0.7135409531,0.7317701016,0.6979159688,0.7057284609,8841608.841608841,
2000-01-06,CPRT,NASDAQ,0.7057284609,0.7265617734,0.6432285234,0.6562493438,7944007.944007944,
2000-01-07,CPRT,NASDAQ,0.6575514258,0.7421867578,0.6549472617,0.7317701016,2592002.592002592,
2000-01-10,CPRT,NASDAQ,0.7447909219,0.7552075781,0.7278638555,0.7421867578,4886404.886404887,
2000-01-11,CPRT,NASDAQ,0.7369784297,0.7421867578,0.7122388711,0.7122388711,2385602.3856023857,
2000-01-12,CPRT,NASDAQ,0.7317701016,0.7317701016,0.708332625,0.7135409531,14208014.208014209,
2000-01-13,CPRT,NASDAQ,0.7265617734,0.7265617734,0.708332625,0.7213534453,3945603.9456039458,
2000-01-14,CPRT,NASDAQ,0.7213534453,0.7317701016,0.7187492812,0.7304680195,9172809.172809172,
2000-01-18,CPRT,NASDAQ,0.7317701016,0.7369784297,0.7291659375,0.7356763477,8304008.304008304,
2000-01-19,CPRT,NASDAQ,0.7350253066,0.7734367266,0.7317701016,0.7526034141,9652809.652809653,
2000-01-20,CPRT,NASDAQ,0.7760408906,0.8203116797,0.7708325625,0.8190095977,8088008.088008088,
2000-01-21,CPRT,NASDAQ,0.8229158437,0.8294262539,0.790363793,0.8124991875,8059208.05920806,
2000-01-24,CPRT,NASDAQ,0.7955721211,0.8229158437,0.7942700391,0.8111971055,6326406.326406326,
2000-01-25,CPRT,NASDAQ,0.8333325,0.8333325,0.6458326875,0.8138012695,5167205.167205167,
2000-01-26,CPRT,NASDAQ,0.7604159063,0.791665875,0.708332625,0.74999925,5800805.800805801,
2000-01-27,CPRT,NASDAQ,0.790363793,0.791665875,0.6822909844,0.7395825938,2882402.8824028824,
2000-01-28,CPRT,NASDAQ,0.7395825938,0.7656242344,0.7343742656,0.7539054961,1656001.656001656,
2000-01-31,CPRT,NASDAQ,0.7565096602,0.7578117422,0.6770826563,0.708332625,5323205.323205323,
2000-02-01,CPRT,NASDAQ,0.7395825938,0.7656242344,0.7187492812,0.7291659375,2220002.22000222,
2000-02-02,CPRT,NASDAQ,0.74999925,0.7708325625,0.7395825938,0.7578117422,1353601.3536013537,
2000-02-03,CPRT,NASDAQ,0.7682283984,0.791665875,0.74999925,0.7864575469,3732003.732003732,
2000-02-04,CPRT,NASDAQ,0.7864575469,0.7864575469,0.7708325625,0.7864575469,5808005.808005808,
2000-02-07,CPRT,NASDAQ,0.8020825313,0.8072908594,0.7890617109,0.8072908594,3588003.588003588,
2000-02-08,CPRT,NASDAQ,0.8124991875,0.8255200078,0.8020825313,0.8046866953,4279204.279204279,
2000-02-09,CPRT,NASDAQ,0.8059887773,0.8437491563,0.8046866953,0.8333325,3360003.36000336,
2000-02-10,CPRT,NASDAQ,0.8307283359,0.9192699141,0.8281241719,0.9192699141,10442410.442410443,
2000-02-11,CPRT,NASDAQ,0.9205719961,0.9218740781,0.8541658125,0.8671866328,11306411.306411307,
2000-02-14,CPRT,NASDAQ,0.8658845508,0.8958324375,0.8541658125,0.8906241094,10617610.617610618,
2000-02-15,CPRT,NASDAQ,0.9010407656,0.9010407656,0.8828116172,0.8906241094,3676803.676803677,
2000-02-16,CPRT,NASDAQ,0.8867178633,0.9062490938,0.8854157813,0.8984366016,2049602.0496020496,
2000-02-17,CPRT,NASDAQ,0.9049470117,0.9114574219,0.8723949609,0.8854157813,5047205.047205048,
2000-02-18,CPRT,NASDAQ,0.8841136992,0.8854157813,0.8697907969,0.874999125,4512004.512004512,
2000-02-22,CPRT,NASDAQ,0.8697907969,0.8906241094,0.8489574844,0.8906241094,9984009.984009985,
2000-02-23,CPRT,NASDAQ,0.8906241094,0.8932282734,0.8541658125,0.8684887148,4389604.38960439,
2000-02-24,CPRT,NASDAQ,0.8645824688,0.874999125,0.791665875,0.8333325,6777606.777606778,
2000-02-25,CPRT,NASDAQ,0.8489574844,0.8489574844,0.8072908594,0.8203116797,3705603.7056037057,
2000-02-28,CPRT,NASDAQ,0.958332375,0.9895823438,0.8359366641,0.9062490938,13833613.833613833,
2000-02-29,CPRT,NASDAQ,0.9270824062,0.9479157188,0.791665875,0.876301207,7509607.50960751,
2000-03-01,CPRT,NASDAQ,0.8710928789,0.8880199453,0.8541658125,0.873697043,6739206.73920674,
2000-03-02,CPRT,NASDAQ,0.8385408281,0.874999125,0.7291659375,0.7812492188,9602409.602409603,
2000-03-03,CPRT,NASDAQ,0.7877596289,0.791665875,0.708332625,0.7200513633,9578409.578409579,
2000-03-06,CPRT,NASDAQ,0.7187492812,0.7395825938,0.624999375,0.7031242969,30631230.631230634,
2000-03-07,CPRT,NASDAQ,0.7187492812,0.7187492812,0.6692701641,0.6874993125,7468807.468807469,
2000-03-08,CPRT,NASDAQ,0.6901034766,0.7656242344,0.6901034766,0.7343742656,4480804.480804481,
2000-03-09,CPRT,NASDAQ,0.7343742656,0.7395825938,0.7031242969,0.7291659375,3283203.2832032833,
2000-03-10,CPRT,NASDAQ,0.7291659375,0.7447909219,0.7057284609,0.7057284609,4648804.648804649,
2000-03-13,CPRT,NASDAQ,0.708332625,0.7760408906,0.6979159688,0.74999925,4048804.048804049,
2000-03-14,CPRT,NASDAQ,0.7604159063,0.7604159063,0.7057284609,0.7265617734,5496005.496005496,
2000-03-15,CPRT,NASDAQ,0.7213534453,0.7239576094,0.666666,0.6953118047,5143205.1432051435,
2000-03-16,CPRT,NASDAQ,0.7109367891,0.7291659375,0.6562493438,0.7291659375,4077604.0776040778,
2000-03-17,CPRT,NASDAQ,0.624999375,0.74999925,0.624999375,0.7421867578,3828003.828003828,
2000-03-20,CPRT,NASDAQ,0.7395825938,0.7708325625,0.7343742656,0.7604159063,13790413.790413791,
