date,code,exchange,open,high,low,close,volume,count_trx
2019-06-12,CRWD,NASDAQ,63.5,67.0,56.0,58.0,19449162.0,149631.0
2019-06-13,CRWD,NASDAQ,63.86,69.67,61.6,67.56,10923944.0,86322.0
2019-06-14,CRWD,NASDAQ,69.78,70.79,63.0201,64.16,6264212.0,38805.0
2019-06-17,CRWD,NASDAQ,64.75,70.01,62.0,70.01,3247471.0,19572.0
2019-06-18,CRWD,NASDAQ,73.0,78.7,71.5,76.5,6612626.0,39937.0
2019-06-19,CRWD,NASDAQ,78.75,79.79,73.555,77.22,3319070.0,22684.0
2019-06-20,CRWD,NASDAQ,78.0,78.22,70.69,74.85,3429610.0,20104.0
2019-06-21,CRWD,NASDAQ,72.46,73.9278,68.3,72.23,2657468.0,13037.0
2019-06-24,CRWD,NASDAQ,71.05,72.39,65.08,67.97,2448037.0,15349.0
2019-06-25,CRWD,NASDAQ,67.1,68.99,61.17,61.52,2482213.0,15309.0
2019-06-26,CRWD,NASDAQ,63.3,64.92,62.005,62.65,1625502.0,8875.0
2019-06-27,CRWD,NASDAQ,63.39,64.995,62.571,63.28,914612.0,5900.0
2019-06-28,CRWD,NASDAQ,64.36,68.38,63.3,68.29,1474303.0,9379.0
2019-07-01,CRWD,NASDAQ,69.1,69.729,61.81,63.2,2675367.0,16284.0
2019-07-02,CRWD,NASDAQ,63.3,65.03,61.7211,64.52,1738845.0,9259.0
2019-07-03,CRWD,NASDAQ,64.68,67.48,64.52,67.24,1564108.0,8096.0
2019-07-05,CRWD,NASDAQ,67.15,67.25,64.84,67.21,805222.0,6494.0
2019-07-08,CRWD,NASDAQ,68.26,71.7146,66.9,66.91,4567154.0,28326.0
2019-07-09,CRWD,NASDAQ,67.42,69.2,66.88,68.45,1782694.0,11081.0
2019-07-10,CRWD,NASDAQ,70.0,74.5,69.5,74.34,2719347.0,17867.0
2019-07-11,CRWD,NASDAQ,74.5,74.98,70.5,70.88,2351834.0,16027.0
2019-07-12,CRWD,NASDAQ,71.6,75.2,70.5,73.5,1838306.0,11798.0
2019-07-15,CRWD,NASDAQ,74.0,74.295,71.4,71.6,1325082.0,9935.0
2019-07-16,CRWD,NASDAQ,71.93,73.0873,69.0,69.54,1582319.0,11371.0
2019-07-17,CRWD,NASDAQ,70.0,71.56,69.59,71.0,1037007.0,7138.0
2019-07-18,CRWD,NASDAQ,71.0,74.19,70.15,72.75,3389964.0,24288.0
2019-07-19,CRWD,NASDAQ,85.16,85.85,80.75,83.52,13669036.0,90791.0
2019-07-22,CRWD,NASDAQ,82.27,88.5,82.08,87.68,5357744.0,32431.0
2019-07-23,CRWD,NASDAQ,88.32,89.44,84.49,86.74,2529779.0,17820.0
2019-07-24,CRWD,NASDAQ,86.79,87.85,85.5,87.46,1250712.0,10051.0
2019-07-25,CRWD,NASDAQ,87.5,93.339,87.0,92.28,3270376.0,24165.0
2019-07-26,CRWD,NASDAQ,93.04,95.5,91.91,92.88,2053022.0,15682.0
2019-07-29,CRWD,NASDAQ,93.69,93.9,82.65,87.23,3317799.0,28015.0
2019-07-30,CRWD,NASDAQ,86.0,96.19,84.0,94.0,3127169.0,23494.0
2019-07-31,CRWD,NASDAQ,94.0,94.8011,86.8167,89.07,2475977.0,19357.0
2019-08-01,CRWD,NASDAQ,90.07,94.32,89.4389,91.53,2238247.0,18430.0
2019-08-02,CRWD,NASDAQ,91.54,92.78,86.91,88.01,1801007.0,14803.0
2019-08-05,CRWD,NASDAQ,83.34,86.92,82.25,85.48,2196373.0,19138.0
2019-08-06,CRWD,NASDAQ,87.2,89.76,82.71,85.24,1357428.0,12692.0
2019-08-07,CRWD,NASDAQ,83.69,86.45,82.8,84.22,990406.0,9156.0
2019-08-08,CRWD,NASDAQ,85.49,91.86,85.49,91.65,1692269.0,13448.0
2019-08-09,CRWD,NASDAQ,90.25,98.0,90.0,94.9,3063879.0,21983.0
2019-08-12,CRWD,NASDAQ,94.25,98.2,91.53,93.01,1895649.0,14431.0
2019-08-13,CRWD,NASDAQ,92.84,100.5,92.84,99.65,3034908.0,20725.0
2019-08-14,CRWD,NASDAQ,96.52,97.73,91.6,94.02,2822881.0,21121.0
2019-08-15,CRWD,NASDAQ,95.99,97.14,91.3701,93.66,1520342.0,13806.0
2019-08-16,CRWD,NASDAQ,95.0,98.1,93.4,96.05,1530550.0,10837.0
2019-08-19,CRWD,NASDAQ,98.8,101.4799,95.6,99.39,2801463.0,18527.0
2019-08-20,CRWD,NASDAQ,99.23,101.88,97.26,99.16,1439345.0,11433.0
2019-08-21,CRWD,NASDAQ,100.59,100.96,96.2701,96.58,1805604.0,13912.0
2019-08-22,CRWD,NASDAQ,96.29,96.58,92.8,92.97,1767533.0,14333.0
2019-08-23,CRWD,NASDAQ,91.37,91.56,86.0,88.43,3050846.0,24664.0
2019-08-26,CRWD,NASDAQ,90.24,90.84,86.13,88.88,1463680.0,12449.0
2019-08-27,CRWD,NASDAQ,89.28,89.95,83.2337,84.08,1828841.0,14537.0
2019-08-28,CRWD,NASDAQ,84.0,87.5244,82.6141,86.99,1921251.0,16161.0
2019-08-29,CRWD,NASDAQ,88.3,89.3463,83.29,83.82,1789971.0,14923.0
2019-08-30,CRWD,NASDAQ,84.02,84.94,78.89,81.28,1910152.0,16606.0
2019-09-03,CRWD,NASDAQ,80.85,83.8,80.2517,83.76,1832813.0,14535.0
2019-09-04,CRWD,NASDAQ,85.0,87.77,82.89,85.31,2412963.0,19663.0
2019-09-05,CRWD,NASDAQ,86.25,87.19,82.5,86.85,3971133.0,32875.0
2019-09-06,CRWD,NASDAQ,79.7,81.5,75.305,75.98,8672342.0,62799.0
2019-09-09,CRWD,NASDAQ,76.105,76.1184,64.34,67.1,8598237.0,60202.0
2019-09-10,CRWD,NASDAQ,65.7,71.8,65.7,71.65,4672469.0,31458.0
2019-09-11,CRWD,NASDAQ,69.21,70.93,67.2,69.11,3113980.0,24582.0
2019-09-12,CRWD,NASDAQ,69.68,72.4,69.06,69.66,2923450.0,20242.0
2019-09-13,CRWD,NASDAQ,69.86,70.31,64.71,64.86,4166281.0,31008.0
2019-09-16,CRWD,NASDAQ,63.71,68.86,63.5,67.86,2804534.0,22999.0
2019-09-17,CRWD,NASDAQ,68.64,71.3342,68.1301,71.04,2820589.0,21218.0
2019-09-18,CRWD,NASDAQ,70.12,71.8789,68.8,70.85,2003010.0,16610.0
2019-09-19,CRWD,NASDAQ,71.5,71.87,67.64,68.93,1690628.0,14224.0
2019-09-20,CRWD,NASDAQ,68.95,69.458,66.19,66.97,3374383.0,19576.0
2019-09-23,CRWD,NASDAQ,67.12,68.57,66.54,66.91,826629.0,7892.0
2019-09-24,CRWD,NASDAQ,67.02,67.37,62.0,62.52,2615966.0,21201.0
2019-09-25,CRWD,NASDAQ,62.0,63.39,60.11,62.02,2466798.0,17823.0
2019-09-26,CRWD,NASDAQ,62.05,62.36,57.66,58.3,2892188.0,20698.0
2019-09-27,CRWD,NASDAQ,58.27,58.33,52.84,53.46,4516813.0,31457.0
2019-09-30,CRWD,NASDAQ,53.5,58.65,51.61,58.31,4104029.0,28920.0
2019-10-01,CRWD,NASDAQ,58.3,59.51,55.65,57.89,2841737.0,21570.0
2019-10-02,CRWD,NASDAQ,56.805,57.66,54.07,56.63,1589815.0,14186.0
2019-10-03,CRWD,NASDAQ,59.48,62.4,56.754,62.14,5076359.0,31908.0
2019-10-04,CRWD,NASDAQ,62.0,64.46,61.55,63.84,2157446.0,17030.0
2019-10-07,CRWD,NASDAQ,63.36,69.7,62.72,68.78,3621793.0,27116.0
2019-10-08,CRWD,NASDAQ,67.4,68.43,64.48,65.3,2766793.0,19752.0
2019-10-09,CRWD,NASDAQ,66.35,66.43,62.5,63.08,2207773.0,18439.0
2019-10-10,CRWD,NASDAQ,62.6,63.61,60.4,61.41,2306927.0,16139.0
2019-10-11,CRWD,NASDAQ,58.77,61.48,57.27,60.27,3335811.0,23388.0
2019-10-14,CRWD,NASDAQ,55.8,57.85,53.2,54.52,4458071.0,31039.0
2019-10-15,CRWD,NASDAQ,55.01,56.41,54.0301,55.21,1982381.0,13765.0
2019-10-16,CRWD,NASDAQ,53.57,55.77,51.8,52.03,2597819.0,19474.0
2019-10-17,CRWD,NASDAQ,51.76,53.15,50.33,50.44,2785744.0,20749.0
2019-10-18,CRWD,NASDAQ,50.0,50.32,46.46,47.04,3675231.0,25118.0
2019-10-21,CRWD,NASDAQ,46.93,48.97,46.2203,47.4,2411137.0,16186.0
2019-10-22,CRWD,NASDAQ,47.25,48.48,44.581,46.2,2707238.0,16387.0
2019-10-23,CRWD,NASDAQ,47.0,50.43,46.03,47.87,3707978.0,22251.0
2019-10-24,CRWD,NASDAQ,48.6,52.18,48.11,51.84,2050992.0,15465.0
2019-10-25,CRWD,NASDAQ,50.88,52.07,49.41,50.11,1532804.0,12193.0
2019-10-28,CRWD,NASDAQ,50.26,51.3115,47.71,47.95,2761081.0,12473.0
2019-10-29,CRWD,NASDAQ,47.43,48.37,46.21,47.8,1740730.0,12591.0
2019-10-30,CRWD,NASDAQ,47.72,52.48,46.78,51.445,2224354.0,14663.0
2019-10-31,CRWD,NASDAQ,51.2,51.64,48.1,49.91,1052905.0,7853.0
2019-11-01,CRWD,NASDAQ,49.94,50.8473,47.75,48.5,1441265.0,10662.0
2019-11-04,CRWD,NASDAQ,49.15,50.4832,48.01,49.65,1311746.0,9203.0
2019-11-05,CRWD,NASDAQ,50.18,50.6,47.77,48.7,1468191.0,8696.0
2019-11-06,CRWD,NASDAQ,48.56,48.71,46.9,47.83,1028805.0,7416.0
2019-11-07,CRWD,NASDAQ,48.26,48.5,45.38,45.5,1669002.0,9896.0
2019-11-08,CRWD,NASDAQ,45.02,47.21,44.8,47.21,1980150.0,12958.0
2019-11-11,CRWD,NASDAQ,46.5,47.0,45.46,46.2,1287808.0,8258.0
2019-11-12,CRWD,NASDAQ,47.5,47.85,46.11,47.05,1740792.0,11305.0
2019-11-13,CRWD,NASDAQ,46.83,52.44,46.65,52.0,2868214.0,17251.0
2019-11-14,CRWD,NASDAQ,51.31,54.92,50.6428,52.73,2834077.0,21159.0
2019-11-15,CRWD,NASDAQ,53.0,59.99,53.0,59.75,4025799.0,31067.0
2019-11-18,CRWD,NASDAQ,60.0,60.0,55.52,57.07,2243460.0,16414.0
2019-11-19,CRWD,NASDAQ,57.45,57.556,53.76,56.0,1598494.0,12243.0
2019-11-20,CRWD,NASDAQ,55.24,58.3099,53.39,54.88,2260907.0,15177.0
2019-11-21,CRWD,NASDAQ,55.46,55.46,52.8515,53.77,963275.0,6857.0
2019-11-22,CRWD,NASDAQ,54.19,55.3,53.75,54.2,1029525.0,7809.0
2019-11-25,CRWD,NASDAQ,55.32,56.17,54.855,55.84,1849286.0,13317.0
2019-11-26,CRWD,NASDAQ,56.5,58.02,54.26,55.58,1998927.0,12867.0
2019-11-27,CRWD,NASDAQ,56.37,56.67,55.23,56.29,986792.0,6950.0
2019-11-29,CRWD,NASDAQ,56.96,59.5,56.32,58.0,1244410.0,7866.0
2019-12-02,CRWD,NASDAQ,58.5,58.6,52.5407,55.01,2931538.0,23564.0
2019-12-03,CRWD,NASDAQ,53.29,57.59,53.01,57.37,1402740.0,11375.0
2019-12-04,CRWD,NASDAQ,56.61,57.0,54.3,54.98,1607973.0,11158.0
2019-12-05,CRWD,NASDAQ,55.0,55.21,51.61,52.95,3557577.0,25284.0
2019-12-06,CRWD,NASDAQ,54.0,55.1,50.5,50.89,8033750.0,54263.0
2019-12-09,CRWD,NASDAQ,49.14,50.96,48.41,49.0,13807012.0,79925.0
2019-12-10,CRWD,NASDAQ,49.92,50.02,47.22,47.55,5760528.0,35267.0
2019-12-11,CRWD,NASDAQ,47.01,48.8,46.33,47.73,9367919.0,44771.0
2019-12-12,CRWD,NASDAQ,47.95,48.5,46.32,47.3,5712136.0,31725.0
2019-12-13,CRWD,NASDAQ,47.5,49.86,46.7,49.41,6366544.0,37742.0
2019-12-16,CRWD,NASDAQ,50.0,50.11,48.15,49.45,5035127.0,30126.0
2019-12-17,CRWD,NASDAQ,49.34,49.44,47.52,48.39,4745321.0,30104.0
2019-12-18,CRWD,NASDAQ,48.96,50.3,48.6,50.14,5660591.0,27652.0
2019-12-19,CRWD,NASDAQ,50.45,50.45,49.2,49.47,3047153.0,20545.0
2019-12-20,CRWD,NASDAQ,49.91,50.0,48.58,49.49,3120594.0,20028.0
2019-12-23,CRWD,NASDAQ,49.25,49.3,47.61,47.85,4589110.0,28983.0
2019-12-24,CRWD,NASDAQ,48.0,48.72,47.15,47.75,1508382.0,11908.0
2019-12-26,CRWD,NASDAQ,48.41,50.06,48.09,50.03,4779941.0,27177.0
2019-12-27,CRWD,NASDAQ,50.3,50.38,48.2,48.92,3510623.0,26064.0
2019-12-30,CRWD,NASDAQ,50.0,50.56,48.3912,50.03,5709659.0,34420.0
2019-12-31,CRWD,NASDAQ,49.34,50.34,48.9,49.87,3290695.0,20205.0
2020-01-02,CRWD,NASDAQ,50.03,50.75,49.25,49.44,4427985.0,29633.0
2020-01-03,CRWD,NASDAQ,48.92,51.99,48.7901,50.75,11256554.0,65269.0
2020-01-06,CRWD,NASDAQ,51.85,56.17,51.03,55.11,21771072.0,122171.0
2020-01-07,CRWD,NASDAQ,54.55,56.5,54.5,54.75,12638949.0,83102.0
2020-01-08,CRWD,NASDAQ,54.2,55.86,53.3,55.66,7526569.0,45902.0
2020-01-09,CRWD,NASDAQ,56.95,57.25,55.1,55.94,6521874.0,40069.0
2020-01-10,CRWD,NASDAQ,56.49,58.3,56.0,57.2,8155289.0,52155.0
2020-01-13,CRWD,NASDAQ,57.36,59.74,57.0,58.97,7045548.0,44465.0
2020-01-14,CRWD,NASDAQ,59.23,60.66,57.5,59.24,7789240.0,51653.0
2020-01-15,CRWD,NASDAQ,59.23,61.97,59.23,60.25,7973345.0,53681.0
2020-01-16,CRWD,NASDAQ,61.5,62.75,61.0,62.24,6164623.0,43772.0
2020-01-17,CRWD,NASDAQ,63.05,63.7,62.06,63.45,6255850.0,35852.0
2020-01-21,CRWD,NASDAQ,63.02,63.39,61.26,62.24,6086676.0,43727.0
2020-01-22,CRWD,NASDAQ,63.0,64.04,62.3,62.57,4257778.0,28620.0
2020-01-23,CRWD,NASDAQ,62.57,62.66,60.71,61.55,4071701.0,30110.0
2020-01-24,CRWD,NASDAQ,62.0,63.05,57.84,59.25,6580248.0,48774.0
2020-01-27,CRWD,NASDAQ,56.58,58.16,55.3103,58.06,4425855.0,38359.0
2020-01-28,CRWD,NASDAQ,58.66,59.64,58.13,59.07,3073983.0,24126.0
2020-01-29,CRWD,NASDAQ,60.0,61.78,59.74,60.26,3483081.0,26612.0
2020-01-30,CRWD,NASDAQ,60.0,62.56,58.94,62.45,4162821.0,32086.0
2020-01-31,CRWD,NASDAQ,62.5,63.0,60.25,61.09,4062159.0,32810.0
2020-02-03,CRWD,NASDAQ,61.13,61.46,59.65,61.08,3706758.0,29214.0
2020-02-04,CRWD,NASDAQ,61.92,64.33,61.15,63.555,4618990.0,36841.0
2020-02-05,CRWD,NASDAQ,64.21,64.8,60.06,61.815,3998594.0,31156.0
2020-02-06,CRWD,NASDAQ,61.6,62.98,60.18,62.19,2259841.0,17733.0
2020-02-07,CRWD,NASDAQ,62.0,63.72,61.82,62.09,3055678.0,23627.0
2020-02-10,CRWD,NASDAQ,62.33,63.86,61.45,63.3,3877454.0,30252.0
2020-02-11,CRWD,NASDAQ,66.0,66.84,63.6552,65.19,7978151.0,58366.0
2020-02-12,CRWD,NASDAQ,65.19,65.5,62.72,65.08,5448316.0,36463.0
2020-02-13,CRWD,NASDAQ,64.25,66.2,64.13,65.31,4124467.0,27675.0
2020-02-14,CRWD,NASDAQ,65.81,65.83,63.87,64.85,4202496.0,34153.0
2020-02-18,CRWD,NASDAQ,65.0,66.28,64.55,66.04,4326970.0,33916.0
2020-02-19,CRWD,NASDAQ,66.63,67.56,65.61,66.03,5306912.0,37042.0
2020-02-20,CRWD,NASDAQ,65.7,65.98,60.03,63.38,6179145.0,46699.0
2020-02-21,CRWD,NASDAQ,62.58,62.64,59.26,60.93,4629137.0,34662.0
2020-02-24,CRWD,NASDAQ,56.4,59.25,56.02,58.08,4638814.0,41523.0
2020-02-25,CRWD,NASDAQ,59.5,59.79,56.06,57.74,5337941.0,43262.0
2020-02-26,CRWD,NASDAQ,58.39,60.26,57.51,58.46,4429001.0,37092.0
2020-02-27,CRWD,NASDAQ,56.15,59.45,54.345,57.5,4874094.0,43838.0
2020-02-28,CRWD,NASDAQ,55.6,60.02,55.5,59.64,4450477.0,41529.0
2020-03-02,CRWD,NASDAQ,60.2,60.97,58.0,59.13,4013660.0,31268.0
2020-03-03,CRWD,NASDAQ,59.61,60.7325,55.01,56.48,4071468.0,35851.0
2020-03-04,CRWD,NASDAQ,57.18,58.08,56.06,57.2,2320969.0,20965.0
2020-03-05,CRWD,NASDAQ,56.08,57.44,54.55,55.92,3212544.0,28641.0
2020-03-06,CRWD,NASDAQ,54.24,54.87,50.36,51.96,5119948.0,45055.0
2020-03-09,CRWD,NASDAQ,46.81,48.89,45.65,45.74,5816707.0,43877.0
2020-03-10,CRWD,NASDAQ,48.47,48.47,45.0,46.91,4569922.0,37705.0
2020-03-11,CRWD,NASDAQ,45.96,46.3,42.23,42.85,5395728.0,39145.0
2020-03-12,CRWD,NASDAQ,38.6,40.2,35.98,37.82,6636462.0,52060.0
2020-03-13,CRWD,NASDAQ,39.9,40.08,36.59,39.55,5015228.0,36792.0
2020-03-16,CRWD,NASDAQ,36.0,36.0,32.12,33.01,6816301.0,54399.0
2020-03-17,CRWD,NASDAQ,33.93,38.3,31.95,38.01,5664702.0,43971.0
2020-03-18,CRWD,NASDAQ,35.76,41.47,35.5,38.63,6358453.0,53381.0
2020-03-19,CRWD,NASDAQ,40.43,44.49,38.2,41.74,7442733.0,50795.0
2020-03-20,CRWD,NASDAQ,49.955,51.97,46.81,49.01,14253612.0,93888.0
2020-03-23,CRWD,NASDAQ,46.24,53.0,46.01,51.45,11127193.0,89219.0
2020-03-24,CRWD,NASDAQ,54.92,58.65,54.28,57.33,8087964.0,60833.0
2020-03-25,CRWD,NASDAQ,56.0,59.5,55.6,55.78,5517240.0,49658.0
2020-03-26,CRWD,NASDAQ,55.84,59.1,55.04,58.64,5840860.0,49106.0
2020-03-27,CRWD,NASDAQ,57.02,59.87,56.02,58.79,3826133.0,32915.0
2020-03-30,CRWD,NASDAQ,58.81,59.83,56.27,57.72,4449457.0,38108.0
2020-03-31,CRWD,NASDAQ,57.03,60.03,55.26,55.68,4925797.0,37047.0
2020-04-01,CRWD,NASDAQ,54.0,56.55,53.53,54.58,3113910.0,25280.0
2020-04-02,CRWD,NASDAQ,54.51,56.92,54.11,56.69,3058704.0,24345.0
2020-04-03,CRWD,NASDAQ,55.85,59.25,55.85,57.82,4555900.0,31051.0
2020-04-06,CRWD,NASDAQ,59.08,60.53,58.66,59.07,5008134.0,39887.0
2020-04-07,CRWD,NASDAQ,59.45,61.3,57.75,59.6,7472839.0,53732.0
2020-04-08,CRWD,NASDAQ,59.65,60.88,59.05,60.32,4337540.0,33998.0
2020-04-09,CRWD,NASDAQ,60.48,60.79,57.5,58.15,3752874.0,32993.0
2020-04-13,CRWD,NASDAQ,58.0,59.37,57.36,58.77,2867117.0,28420.0
2020-04-14,CRWD,NASDAQ,59.99,62.0,58.5,60.89,6485718.0,45420.0
2020-04-15,CRWD,NASDAQ,59.34,62.64,58.73,61.82,4196854.0,31437.0
2020-04-16,CRWD,NASDAQ,62.0,64.45,61.54,63.45,5002061.0,44788.0
2020-04-17,CRWD,NASDAQ,64.46,65.62,63.25,64.74,4139739.0,34238.0
2020-04-20,CRWD,NASDAQ,64.87,70.2,64.39,68.43,6529901.0,57331.0
2020-04-21,CRWD,NASDAQ,68.66,70.5,62.77,66.07,6950252.0,62002.0
2020-04-22,CRWD,NASDAQ,67.67,69.31,67.23,68.07,3734368.0,26917.0
2020-04-23,CRWD,NASDAQ,68.06,69.96,68.0,68.91,3064956.0,30865.0
2020-04-24,CRWD,NASDAQ,69.0,74.65,68.895,72.0,9725058.0,68138.0
2020-04-27,CRWD,NASDAQ,73.0,75.0,72.02,73.6,4360219.0,43739.0
2020-04-28,CRWD,NASDAQ,74.0,74.71,68.39,70.13,4634072.0,46456.0
2020-04-29,CRWD,NASDAQ,71.0,71.6,68.19,69.28,6111394.0,45471.0
2020-04-30,CRWD,NASDAQ,69.28,69.28,67.12,67.66,2216753.0,25379.0
2020-05-01,CRWD,NASDAQ,66.28,70.19,65.8,69.21,2997771.0,30036.0
2020-05-04,CRWD,NASDAQ,68.35,73.67,67.81,73.43,3899618.0,34665.0
2020-05-05,CRWD,NASDAQ,74.27,75.0,70.88,71.59,3743180.0,33426.0
2020-05-06,CRWD,NASDAQ,71.94,73.62,69.32,72.44,4492886.0,39263.0
2020-05-07,CRWD,NASDAQ,74.0,76.75,73.66,75.49,5661630.0,59767.0
2020-05-08,CRWD,NASDAQ,76.55,77.96,75.0,76.7,3464212.0,40951.0
2020-05-11,CRWD,NASDAQ,77.05,78.35,76.15,76.23,2418245.0,30843.0
2020-05-12,CRWD,NASDAQ,77.0,80.63,75.31,76.15,4514351.0,51259.0
2020-05-13,CRWD,NASDAQ,77.86,79.3,73.12,76.57,4333098.0,48871.0
2020-05-14,CRWD,NASDAQ,76.0,77.4,74.53,77.14,3322230.0,34792.0
2020-05-15,CRWD,NASDAQ,77.5,80.29,76.33,77.14,3292902.0,35915.0
2020-05-18,CRWD,NASDAQ,78.11,78.99,75.78,76.1,2869357.0,35571.0
2020-05-19,CRWD,NASDAQ,76.53,79.58,76.5,78.55,2675401.0,32359.0
2020-05-20,CRWD,NASDAQ,80.72,81.74,79.1503,80.97,3564140.0,41038.0
2020-05-21,CRWD,NASDAQ,81.62,81.87,78.8148,80.6,2072322.0,25877.0
2020-05-22,CRWD,NASDAQ,81.0,82.7,80.0,82.22,2823015.0,37356.0
2020-05-26,CRWD,NASDAQ,83.39,83.4,77.95,79.35,4122386.0,50437.0
2020-05-27,CRWD,NASDAQ,79.0,79.0,71.5101,77.99,7021299.0,70919.0
2020-05-28,CRWD,NASDAQ,78.2,82.28,78.0,79.5,3816778.0,39528.0
2020-05-29,CRWD,NASDAQ,83.19,88.0,81.2,87.81,13487761.0,94511.0
2020-06-01,CRWD,NASDAQ,90.56,95.8,90.21,94.84,12028839.0,119918.0
2020-06-02,CRWD,NASDAQ,96.59,96.8,90.03,92.25,12883326.0,134378.0
2020-06-03,CRWD,NASDAQ,99.98,103.8,95.6,98.1,21051536.0,176540.0
2020-06-04,CRWD,NASDAQ,94.23,98.49,91.83,95.98,16371219.0,173314.0
2020-06-05,CRWD,NASDAQ,92.73,95.98,88.87,93.93,9600631.0,120652.0
2020-06-08,CRWD,NASDAQ,93.87,97.5,93.62,95.43,7482362.0,77468.0
2020-06-09,CRWD,NASDAQ,96.0,96.88,93.62,93.9,4351106.0,47831.0
2020-06-10,CRWD,NASDAQ,95.0,97.74,94.33,97.22,5816775.0,58585.0
2020-06-11,CRWD,NASDAQ,94.85,100.12,94.22,95.04,8323151.0,94652.0
2020-06-12,CRWD,NASDAQ,97.9865,97.9865,91.05,93.12,6452416.0,84535.0
2020-06-15,CRWD,NASDAQ,92.65,100.0,91.5,99.02,9025336.0,99648.0
2020-06-16,CRWD,NASDAQ,100.0,101.68,94.69,101.04,9814259.0,106138.0
2020-06-17,CRWD,NASDAQ,101.64,101.7427,97.77,98.69,7637680.0,69343.0
2020-06-18,CRWD,NASDAQ,98.18,101.87,97.86,101.61,9565135.0,78736.0
2020-06-19,CRWD,NASDAQ,103.0,104.89,100.64,101.08,10744141.0,90399.0
2020-06-22,CRWD,NASDAQ,101.34,105.56,100.26,105.02,8418191.0,89447.0
2020-06-23,CRWD,NASDAQ,105.8,107.3,103.15,104.27,8600862.0,81056.0
2020-06-24,CRWD,NASDAQ,103.83,106.095,100.5,103.7,4958050.0,67711.0
2020-06-25,CRWD,NASDAQ,103.8,108.3357,103.64,105.71,6112378.0,66827.0
2020-06-26,CRWD,NASDAQ,104.0,104.0,97.52,98.79,17438536.0,143117.0
2020-06-29,CRWD,NASDAQ,99.77,99.77,94.18,98.1,6304608.0,85664.0
2020-06-30,CRWD,NASDAQ,98.44,101.38,97.33,100.29,5056172.0,62990.0
2020-07-01,CRWD,NASDAQ,100.0,103.645,99.25,102.95,5355583.0,60080.0
