date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,DLTR,NASDAQ,10.7361164797,10.8611165422,10.5555608339,10.8611165422,2134348.932718816,
2000-01-04,DLTR,NASDAQ,10.6388942089,10.9444499172,10.6388942089,10.8472276464,1854449.072682741,
2000-01-05,DLTR,NASDAQ,10.7777831672,10.8888943339,10.6666720005,10.8611165422,1842299.0787583457,
2000-01-06,DLTR,NASDAQ,10.8888943339,11.5555613339,10.7777831672,11.0555610839,4415847.791855312,
2000-01-07,DLTR,NASDAQ,11.0277832922,11.5277835422,10.9444499172,11.4583390631,3104548.447570549,
2000-01-10,DLTR,NASDAQ,11.5277835422,11.8888948339,11.2222278339,11.8888948339,2665798.6669673766,
2000-01-11,DLTR,NASDAQ,11.7777836673,11.7777836673,11.3055612089,11.4444501672,2284198.857786361,
2000-01-12,DLTR,NASDAQ,11.4444501672,11.4583390631,10.9861166047,11.2361167297,2380948.809406548,
2000-01-13,DLTR,NASDAQ,11.2222278339,11.6666725006,11.215283386,11.5833391256,2675248.6622419064,
2000-01-14,DLTR,NASDAQ,11.5555613339,12.0277837923,11.5555613339,11.8750059381,4453197.773178454,
2000-01-18,DLTR,NASDAQ,11.8333392506,12.1111171673,11.7777836673,11.8750059381,3394348.3026561313,
2000-01-19,DLTR,NASDAQ,11.8472281464,11.9583393131,11.5833391256,11.6111169172,1293299.3532856584,
2000-01-20,DLTR,NASDAQ,11.6666725006,11.7361169798,10.8055609589,10.9444499172,4147647.925968655,
2000-01-21,DLTR,NASDAQ,11.0000055006,11.0000055006,10.4166718755,10.6527831047,2277448.8611616967,
2000-01-24,DLTR,NASDAQ,10.5555608339,10.5833386255,9.9444494172,10.125005063,4721397.639065111,
2000-01-25,DLTR,NASDAQ,10.2222273338,10.3888940839,9.6944492922,10.375005188,2458348.7707026973,
2000-01-26,DLTR,NASDAQ,10.4166718755,10.8333387505,10.3333385005,10.3333385005,3739948.129838938,
2000-01-27,DLTR,NASDAQ,10.3993107557,10.4861163547,9.791671563,9.8888938338,3025348.487174489,
2000-01-28,DLTR,NASDAQ,9.7777826672,9.9444494172,9.3333380005,9.9166716255,4707447.646040805,
2000-01-31,DLTR,NASDAQ,9.8888938338,10.0555605838,9.6666715005,9.791671563,2523148.7382994737,
2000-02-01,DLTR,NASDAQ,9.8888938338,10.208338438,9.8333382505,10.0694494797,4168347.9156176248,
