date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ETFC,NASDAQ,268.75,282.5,260.0,280.625,728120.0,
2000-01-04,ETFC,NASDAQ,280.0,298.75,272.5,273.125,710450.0,
2000-01-05,ETFC,NASDAQ,271.875,272.5,252.5,261.25,691050.0,
2000-01-06,ETFC,NASDAQ,265.0,277.5,260.0,263.75,513710.0,
2000-01-07,ETFC,NASDAQ,261.25,269.375,260.0,266.875,377470.0,
2000-01-10,ETFC,NASDAQ,274.375,285.0,266.875,280.625,499660.0,
2000-01-11,ETFC,NASDAQ,280.625,280.625,265.0,266.875,505740.0,
2000-01-12,ETFC,NASDAQ,266.25,273.75,256.875,260.625,807770.0,
2000-01-13,ETFC,NASDAQ,260.0,283.75,252.5,280.625,781060.0,
2000-01-14,ETFC,NASDAQ,285.625,290.0,272.5,287.5,683060.0,
2000-01-18,ETFC,NASDAQ,283.75,296.25,275.0,279.375,592250.0,
2000-01-19,ETFC,NASDAQ,292.03125,292.5,260.625,261.875,1073980.0,
2000-01-20,ETFC,NASDAQ,267.5,267.5,250.0,250.625,846120.0,
2000-01-21,ETFC,NASDAQ,251.25,252.03125,228.75,235.625,861230.0,
2000-01-24,ETFC,NASDAQ,238.125,244.375,232.5,233.125,728030.0,
2000-01-25,ETFC,NASDAQ,235.625,236.25,220.625,225.625,992410.0,
2000-01-26,ETFC,NASDAQ,225.0,246.25,220.625,242.8125,981290.0,
2000-01-27,ETFC,NASDAQ,246.875,248.75,223.125,233.75,531870.0,
2000-01-28,ETFC,NASDAQ,230.0,233.75,224.375,226.25,500810.0,
2000-01-31,ETFC,NASDAQ,228.125,228.75,209.375,210.625,991870.0,
2000-02-01,ETFC,NASDAQ,211.25,212.5,193.75,199.375,1794980.0,
2000-02-02,ETFC,NASDAQ,196.25,212.5,191.875,202.5,2183850.0,
2000-02-03,ETFC,NASDAQ,208.125,223.125,206.25,220.0,1553860.0,
2000-02-04,ETFC,NASDAQ,223.75,236.25,215.0,218.125,966990.0,
2000-02-07,ETFC,NASDAQ,231.25,235.0,226.875,227.5,817310.0,
2000-02-08,ETFC,NASDAQ,235.0,236.875,228.125,230.0,701380.0,
2000-02-09,ETFC,NASDAQ,231.25,232.5,217.5,218.75,590990.0,
2000-02-10,ETFC,NASDAQ,225.0,225.0,215.0,220.0,414560.0,
2000-02-11,ETFC,NASDAQ,216.875,220.0,211.875,213.75,343290.0,
2000-02-14,ETFC,NASDAQ,219.375,219.375,210.0,215.0,392960.0,
2000-02-15,ETFC,NASDAQ,215.0,227.5,210.0,224.375,652970.0,
2000-02-16,ETFC,NASDAQ,223.125,223.75,211.25,213.75,474400.0,
