date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,EVRG,NASDAQ,16.625,16.8125,16.125,16.5,419600.0,
2000-01-04,EVRG,NASDAQ,16.5625,17.125,16.25,17.0625,623100.0,
2000-01-05,EVRG,NASDAQ,17.0,17.9375,17.0,17.9375,310400.0,
2000-01-06,EVRG,NASDAQ,17.9375,17.9375,17.625,17.8125,283700.0,
2000-01-07,EVRG,NASDAQ,17.875,17.9375,17.3125,17.625,225100.0,
2000-01-10,EVRG,NASDAQ,17.625,17.875,17.0,17.3125,373200.0,
2000-01-11,EVRG,NASDAQ,17.5625,17.5625,17.0625,17.4375,202200.0,
2000-01-12,EVRG,NASDAQ,17.25,17.3125,17.0625,17.3125,222800.0,
2000-01-13,EVRG,NASDAQ,17.25,17.4375,16.875,17.125,258700.0,
2000-01-14,EVRG,NASDAQ,16.9375,16.9375,16.25,16.5625,253700.0,
2000-01-18,EVRG,NASDAQ,16.5625,16.5625,16.0,16.0625,278000.0,
2000-01-19,EVRG,NASDAQ,16.0625,17.0625,16.0,16.75,221800.0,
2000-01-20,EVRG,NASDAQ,16.625,16.6875,16.3125,16.375,160700.0,
2000-01-21,EVRG,NASDAQ,16.4375,16.6875,16.25,16.625,214100.0,
2000-01-24,EVRG,NASDAQ,16.5,17.3125,16.5,16.5625,197900.0,
2000-01-25,EVRG,NASDAQ,16.5625,16.6875,16.0,16.125,267200.0,
2000-01-26,EVRG,NASDAQ,16.0,16.1875,15.3125,15.3125,657500.0,
2000-01-27,EVRG,NASDAQ,15.375,16.0,15.375,15.875,262900.0,
2000-01-28,EVRG,NASDAQ,16.0,16.125,15.5,15.875,195200.0,
2000-01-31,EVRG,NASDAQ,16.0,16.0625,15.875,16.0,140400.0,
2000-02-01,EVRG,NASDAQ,15.9375,16.0,15.5,15.5625,138500.0,
2000-02-02,EVRG,NASDAQ,15.5,15.8125,15.5,15.75,109700.0,
2000-02-03,EVRG,NASDAQ,16.0625,17.1875,16.0625,16.625,463200.0,
2000-02-04,EVRG,NASDAQ,16.75,16.875,16.0,16.5,190000.0,
2000-02-07,EVRG,NASDAQ,16.5,16.875,16.5,16.625,239000.0,
2000-02-08,EVRG,NASDAQ,16.5625,16.8125,16.5625,16.6875,234000.0,
2000-02-09,EVRG,NASDAQ,16.5625,16.625,16.1875,16.625,205800.0,
2000-02-10,EVRG,NASDAQ,16.4375,16.4375,16.0,16.0,259300.0,
2000-02-11,EVRG,NASDAQ,16.0625,16.25,15.9375,16.0,171000.0,
2000-02-14,EVRG,NASDAQ,16.1875,16.1875,15.75,15.8125,247800.0,
2000-02-15,EVRG,NASDAQ,15.625,15.9375,15.625,15.75,208600.0,
2000-02-16,EVRG,NASDAQ,15.8125,15.875,15.6875,15.75,161700.0,
2000-02-17,EVRG,NASDAQ,15.6875,15.9375,15.625,15.8125,180900.0,
2000-02-18,EVRG,NASDAQ,15.75,15.8125,15.625,15.8125,130900.0,
2000-02-22,EVRG,NASDAQ,15.9375,16.125,15.8125,16.0,215900.0,
2000-02-23,EVRG,NASDAQ,15.9375,16.0,15.75,15.8125,120500.0,
2000-02-24,EVRG,NASDAQ,15.875,15.9375,15.5,15.5625,165800.0,
2000-02-25,EVRG,NASDAQ,15.625,15.6875,15.375,15.5,175500.0,
2000-02-28,EVRG,NASDAQ,15.625,15.8125,15.5,15.8125,112300.0,
2000-02-29,EVRG,NASDAQ,15.8125,16.0,15.375,15.4375,195900.0,
2000-03-01,EVRG,NASDAQ,15.5625,15.6875,15.375,15.5,301100.0,
2000-03-02,EVRG,NASDAQ,15.5625,16.375,15.5625,16.375,396700.0,
2000-03-03,EVRG,NASDAQ,16.625,16.625,16.375,16.5,158000.0,
2000-03-06,EVRG,NASDAQ,16.75,16.75,15.3125,16.125,1251100.0,
2000-03-07,EVRG,NASDAQ,16.125,16.75,15.75,16.75,798800.0,
2000-03-08,EVRG,NASDAQ,16.75,17.25,16.5,16.875,7778100.0,
2000-03-09,EVRG,NASDAQ,17.125,17.125,16.8125,17.0,1269300.0,
2000-03-10,EVRG,NASDAQ,17.0,17.5625,16.9375,17.25,294100.0,
2000-03-13,EVRG,NASDAQ,17.0,17.1875,16.9375,17.125,205900.0,
2000-03-14,EVRG,NASDAQ,16.9375,17.25,16.8125,16.875,130900.0,
2000-03-15,EVRG,NASDAQ,16.8125,17.1875,16.8125,17.1875,217000.0,
2000-03-16,EVRG,NASDAQ,17.125,17.5,17.0,17.375,603800.0,
2000-03-17,EVRG,NASDAQ,17.25,17.3125,16.75,17.1875,276500.0,
2000-03-20,EVRG,NASDAQ,17.125,17.3125,16.9375,17.0625,99900.0,
2000-03-21,EVRG,NASDAQ,16.8125,17.0,16.75,16.875,89500.0,
2000-03-22,EVRG,NASDAQ,16.6875,16.8125,16.3125,16.375,245300.0,
2000-03-23,EVRG,NASDAQ,16.375,16.8125,16.3125,16.8125,170500.0,
2000-03-24,EVRG,NASDAQ,16.75,16.875,16.375,16.75,120800.0,
2000-03-27,EVRG,NASDAQ,17.0,17.0,16.375,16.8125,154200.0,
2000-03-28,EVRG,NASDAQ,16.625,16.625,16.25,16.625,131100.0,
2000-03-29,EVRG,NASDAQ,17.5,18.3125,16.625,16.75,591100.0,
2000-03-30,EVRG,NASDAQ,16.875,16.9375,15.4375,15.75,652300.0,
2000-03-31,EVRG,NASDAQ,15.75,15.9375,15.5625,15.8125,720500.0,
2000-04-03,EVRG,NASDAQ,15.5,15.5625,14.8125,15.0,622300.0,
2000-04-04,EVRG,NASDAQ,15.75,15.75,14.6875,15.375,580100.0,
2000-04-05,EVRG,NASDAQ,14.875,15.5625,14.8125,15.375,271700.0,
2000-04-06,EVRG,NASDAQ,15.3125,15.3125,14.9375,15.0625,152800.0,
2000-04-07,EVRG,NASDAQ,15.125,15.25,14.8125,14.9375,234300.0,
2000-04-10,EVRG,NASDAQ,14.9375,15.25,14.875,15.0625,173900.0,
2000-04-11,EVRG,NASDAQ,15.125,15.4375,15.125,15.375,202900.0,
2000-04-12,EVRG,NASDAQ,15.4375,16.3125,15.4375,15.625,294900.0,
2000-04-13,EVRG,NASDAQ,15.6875,15.9375,15.6875,15.6875,218800.0,
2000-04-14,EVRG,NASDAQ,15.6875,15.6875,15.0,15.125,282700.0,
2000-04-17,EVRG,NASDAQ,14.8125,15.9375,14.75,15.75,285200.0,
2000-04-18,EVRG,NASDAQ,15.75,15.9375,15.375,15.9375,338000.0,
2000-04-19,EVRG,NASDAQ,15.75,16.125,15.6875,15.9375,603200.0,
2000-04-20,EVRG,NASDAQ,15.8125,15.9375,15.75,15.875,271700.0,
2000-04-24,EVRG,NASDAQ,15.75,15.8125,15.375,15.5625,299300.0,
2000-04-25,EVRG,NASDAQ,15.625,15.6875,15.4375,15.625,294800.0,
2000-04-26,EVRG,NASDAQ,15.5625,16.0625,15.5625,16.0,318300.0,
2000-04-27,EVRG,NASDAQ,15.8125,15.875,15.625,15.6875,147300.0,
2000-04-28,EVRG,NASDAQ,15.75,15.75,15.4375,15.75,302200.0,
2000-05-01,EVRG,NASDAQ,15.6875,15.9375,15.625,15.875,462700.0,
