date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,EXC,NASDAQ,12.30040575,12.3449724375,11.7656055,12.0775723125,832000.0,
2000-01-04,EXC,NASDAQ,11.94387225,12.1667056875,11.8101721875,11.9884389375,805800.0,
2000-01-05,EXC,NASDAQ,11.9884389375,12.746072625,11.9884389375,12.567805875,870800.0,
2000-01-06,EXC,NASDAQ,12.4341058125,12.835206,12.2558390625,12.5900892188,735600.0,
2000-01-07,EXC,NASDAQ,12.6123725625,13.3254395625,12.5232391875,13.1694561563,2326400.0,
2000-01-10,EXC,NASDAQ,13.1248894688,13.4368562813,13.0357560938,13.3477229063,918200.0,
2000-01-11,EXC,NASDAQ,13.280872875,13.4368562813,13.2363061875,13.2585895313,909000.0,
2000-01-12,EXC,NASDAQ,13.1917395,13.4814229688,13.1248894688,13.37000625,1079400.0,
2000-01-13,EXC,NASDAQ,13.4368562813,13.8379564688,13.3254395625,13.7711064375,1035400.0,
2000-01-14,EXC,NASDAQ,13.6819730625,13.9048065,13.5928396875,13.7488230938,967800.0,
2000-01-18,EXC,NASDAQ,13.637406375,13.637406375,13.280872875,13.4368562813,835400.0,
2000-01-19,EXC,NASDAQ,13.4814229688,13.7488230938,13.4368562813,13.6819730625,1001800.0,
2000-01-20,EXC,NASDAQ,13.5928396875,13.6151230313,13.280872875,13.4814229688,846000.0,
2000-01-21,EXC,NASDAQ,13.637406375,13.9270898438,13.3922895938,13.8602398125,3069200.0,
2000-01-24,EXC,NASDAQ,13.8602398125,14.6178735,13.815673125,14.4841734375,2274400.0,
2000-01-25,EXC,NASDAQ,14.4618900938,14.4618900938,14.1499232813,14.26134,2088400.0,
2000-01-26,EXC,NASDAQ,14.2167733125,14.6624401875,14.0607899063,14.5733068125,1245400.0,
2000-01-27,EXC,NASDAQ,14.6178735,15.0412570313,14.5955901563,14.974407,9132800.0,
2000-01-28,EXC,NASDAQ,14.9075569688,15.15267375,14.6847235313,14.6847235313,3269200.0,
2000-01-31,EXC,NASDAQ,14.707006875,14.885273625,14.4618900938,14.8407069375,2862200.0,
2000-02-01,EXC,NASDAQ,14.8407069375,15.0189736875,14.707006875,14.8184235938,2594400.0,
2000-02-02,EXC,NASDAQ,14.8184235938,15.0858237188,14.8184235938,14.8629902813,1005600.0,
2000-02-03,EXC,NASDAQ,14.9521236563,15.5760572813,14.9521236563,15.4869239063,1676400.0,
2000-02-04,EXC,NASDAQ,15.4869239063,15.50920725,15.3086571563,15.3309405,5785200.0,
2000-02-07,EXC,NASDAQ,15.1972404375,15.2863738125,14.974407,14.974407,1035800.0,
2000-02-08,EXC,NASDAQ,14.9966903438,15.15267375,14.9966903438,15.1081070625,1054000.0,
2000-02-09,EXC,NASDAQ,15.1081070625,15.3086571563,15.0858237188,15.15267375,3934200.0,
2000-02-10,EXC,NASDAQ,15.063540375,15.15267375,14.9521236563,14.9521236563,2602000.0,
2000-02-11,EXC,NASDAQ,14.9075569688,14.974407,14.6847235313,14.707006875,1359800.0,
2000-02-14,EXC,NASDAQ,14.707006875,14.79614025,14.5733068125,14.6847235313,3107600.0,
2000-02-15,EXC,NASDAQ,14.6178735,14.7292902188,14.528740125,14.5733068125,1555600.0,
2000-02-16,EXC,NASDAQ,14.43960675,14.5955901563,14.3059066875,14.350473375,1987600.0,
2000-02-17,EXC,NASDAQ,14.350473375,14.6401568438,14.3059066875,14.350473375,1282800.0,
2000-02-18,EXC,NASDAQ,14.2836233438,14.3727567188,14.0607899063,14.1053565938,906200.0,
2000-02-22,EXC,NASDAQ,14.1276399375,14.3950400625,14.1276399375,14.1944899688,1158400.0,
2000-02-23,EXC,NASDAQ,14.1053565938,14.4841734375,14.1053565938,14.3950400625,2005000.0,
2000-02-24,EXC,NASDAQ,14.3950400625,14.3950400625,13.4368562813,13.548273,1950400.0,
2000-02-25,EXC,NASDAQ,13.7488230938,13.7488230938,13.548273,13.7488230938,1332400.0,
2000-02-28,EXC,NASDAQ,13.7488230938,14.1944899688,13.5928396875,14.0162232188,795800.0,
2000-02-29,EXC,NASDAQ,13.9270898438,13.9270898438,13.3031562188,13.3031562188,1337000.0,
2000-03-01,EXC,NASDAQ,13.72653975,13.7488230938,13.37000625,13.459139625,1081600.0,
2000-03-02,EXC,NASDAQ,13.459139625,13.9048065,13.4145729375,13.9048065,1054800.0,
2000-03-03,EXC,NASDAQ,14.1276399375,14.1944899688,13.9270898438,14.08307325,1448800.0,
2000-03-06,EXC,NASDAQ,14.08307325,14.172206625,13.7711064375,13.815673125,1947800.0,
2000-03-07,EXC,NASDAQ,13.815673125,13.9716565313,13.4368562813,13.459139625,2414000.0,
2000-03-08,EXC,NASDAQ,13.548273,13.815673125,13.548273,13.6151230313,1235200.0,
2000-03-09,EXC,NASDAQ,13.5259896563,13.7042564063,13.4814229688,13.6596897188,1464200.0,
2000-03-10,EXC,NASDAQ,13.5705563438,13.7042564063,13.5037063125,13.637406375,694800.0,
2000-03-13,EXC,NASDAQ,13.5705563438,13.637406375,13.4814229688,13.5928396875,575200.0,
2000-03-14,EXC,NASDAQ,13.4145729375,13.5259896563,13.1917395,13.3031562188,1316000.0,
2000-03-15,EXC,NASDAQ,13.2363061875,13.7933897813,13.2140228438,13.7711064375,1802600.0,
2000-03-16,EXC,NASDAQ,13.7711064375,14.528740125,13.7711064375,14.2836233438,1223200.0,
2000-03-17,EXC,NASDAQ,14.3059066875,14.350473375,13.6819730625,13.72653975,1112800.0,
2000-03-20,EXC,NASDAQ,13.637406375,13.9716565313,13.6151230313,13.7042564063,753000.0,
2000-03-21,EXC,NASDAQ,13.637406375,13.9716565313,13.5928396875,13.815673125,1292400.0,
2000-03-22,EXC,NASDAQ,13.815673125,13.815673125,13.37000625,13.459139625,1113200.0,
2000-03-23,EXC,NASDAQ,13.37000625,13.459139625,13.280872875,13.3477229063,1301600.0,
2000-03-24,EXC,NASDAQ,13.37000625,13.5705563438,13.3031562188,13.548273,1061800.0,
2000-03-27,EXC,NASDAQ,13.4145729375,13.7933897813,13.3031562188,13.3031562188,1060000.0,
2000-03-28,EXC,NASDAQ,13.1917395,13.3254395625,12.8129226563,13.0803227813,1054600.0,
2000-03-29,EXC,NASDAQ,13.0357560938,13.2585895313,13.01347275,13.2585895313,1518200.0,
2000-03-30,EXC,NASDAQ,13.37000625,13.3922895938,13.1917395,13.2363061875,888600.0,
2000-03-31,EXC,NASDAQ,13.2363061875,13.5037063125,12.9689060625,13.1471728125,2168000.0,
2000-04-03,EXC,NASDAQ,13.280872875,13.3922895938,13.0357560938,13.1694561563,616400.0,
2000-04-04,EXC,NASDAQ,13.2585895313,14.0385065625,13.2585895313,14.0385065625,2114600.0,
2000-04-05,EXC,NASDAQ,14.1276399375,14.974407,14.1276399375,14.5064567813,2445000.0,
2000-04-06,EXC,NASDAQ,14.4173234063,14.6401568438,13.993939875,14.1276399375,1400200.0,
2000-04-07,EXC,NASDAQ,14.08307325,14.350473375,14.0385065625,14.1499232813,838600.0,
2000-04-10,EXC,NASDAQ,14.172206625,14.8629902813,14.1499232813,14.7515735625,1298200.0,
2000-04-11,EXC,NASDAQ,14.7738569063,15.2195237813,14.7738569063,14.8629902813,1763800.0,
2000-04-12,EXC,NASDAQ,14.9298403125,15.50920725,14.8184235938,15.15267375,1704400.0,
2000-04-13,EXC,NASDAQ,15.420073875,15.9103074375,15.2195237813,15.5314905938,1403000.0,
2000-04-14,EXC,NASDAQ,15.4646405625,16.0217241563,14.885273625,14.9075569688,1653400.0,
2000-04-17,EXC,NASDAQ,14.9075569688,15.1972404375,14.3281900313,14.974407,1343000.0,
2000-04-18,EXC,NASDAQ,14.974407,15.3755071875,14.528740125,14.5955901563,1021400.0,
2000-04-19,EXC,NASDAQ,14.5064567813,14.6178735,14.172206625,14.5064567813,629200.0,
2000-04-20,EXC,NASDAQ,14.4173234063,14.885273625,14.4173234063,14.8407069375,809800.0,
2000-04-24,EXC,NASDAQ,14.9298403125,15.2863738125,14.8407069375,14.974407,585000.0,
