date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,FFIV,NASDAQ,60.625,61.5,56.5,59.75,793000.0,
2000-01-04,FFIV,NASDAQ,58.5,65.0,58.0,58.96875,1151800.0,
2000-01-05,FFIV,NASDAQ,60.09375,60.09375,54.09375,55.40625,1616800.0,
2000-01-06,FFIV,NASDAQ,55.5,55.5625,50.9375,51.0625,978400.0,
2000-01-07,FFIV,NASDAQ,50.0,53.9375,47.25,49.3125,1324200.0,
2000-01-10,FFIV,NASDAQ,52.5,52.5,49.25,51.03125,1196200.0,
2000-01-11,FFIV,NASDAQ,51.78125,54.25,49.53125,50.25,1348400.0,
2000-01-12,FFIV,NASDAQ,51.21875,51.46875,46.75,47.375,1019600.0,
2000-01-13,FFIV,NASDAQ,48.5,49.5,44.625,46.46875,1556600.0,
2000-01-14,FFIV,NASDAQ,48.1875,52.5,45.78125,49.0,1901600.0,
2000-01-18,FFIV,NASDAQ,50.9375,57.0,49.96875,56.4375,1752600.0,
2000-01-19,FFIV,NASDAQ,57.4375,59.75,54.0,55.28125,1073000.0,
2000-01-20,FFIV,NASDAQ,57.0,60.0,55.53125,59.734375,921000.0,
2000-01-21,FFIV,NASDAQ,60.9375,67.5,58.875,64.90625,2146000.0,
2000-01-24,FFIV,NASDAQ,67.0,71.0625,64.0,65.0,2114800.0,
2000-01-25,FFIV,NASDAQ,66.5,68.0,62.4375,66.75,2125800.0,
2000-01-26,FFIV,NASDAQ,64.5,64.8125,57.0,57.25,4603000.0,
2000-01-27,FFIV,NASDAQ,58.59375,60.0,51.875,53.75,2301000.0,
2000-01-28,FFIV,NASDAQ,51.125,55.5,48.8125,49.25,1977000.0,
2000-01-31,FFIV,NASDAQ,48.96875,49.875,42.875,47.0,2896400.0,
2000-02-01,FFIV,NASDAQ,47.96875,49.3125,45.25,48.125,1714000.0,
2000-02-02,FFIV,NASDAQ,48.21875,51.875,48.0625,50.75,2297200.0,
2000-02-03,FFIV,NASDAQ,52.25,53.25,46.875,48.21875,2485400.0,
2000-02-04,FFIV,NASDAQ,49.125,49.1875,46.25,47.125,1334200.0,
2000-02-07,FFIV,NASDAQ,46.71875,48.5,45.875,48.0,972600.0,
2000-02-08,FFIV,NASDAQ,49.0,50.75,47.5625,47.75,1378000.0,
2000-02-09,FFIV,NASDAQ,49.15625,49.15625,45.4375,46.0625,2137600.0,
2000-02-10,FFIV,NASDAQ,47.15625,47.15625,44.59375,44.75,2065200.0,
2000-02-11,FFIV,NASDAQ,45.625,52.5,44.5,49.1875,4463200.0,
2000-02-14,FFIV,NASDAQ,50.40625,53.375,49.875,51.0,2032200.0,
2000-02-15,FFIV,NASDAQ,50.75,51.5,47.5,49.96875,1602000.0,
2000-02-16,FFIV,NASDAQ,49.96875,50.75,47.5,48.0625,1170000.0,
2000-02-17,FFIV,NASDAQ,48.5625,53.0,48.0625,51.75,2064800.0,
2000-02-18,FFIV,NASDAQ,50.9375,51.0,48.4375,48.5,758400.0,
2000-02-22,FFIV,NASDAQ,48.375,48.46875,45.3125,47.0,1217400.0,
2000-02-23,FFIV,NASDAQ,47.53125,48.5,46.0,46.28125,1269800.0,
2000-02-24,FFIV,NASDAQ,46.3125,47.75,45.625,46.28125,875400.0,
2000-02-25,FFIV,NASDAQ,46.5,49.5,46.5,47.59375,3134600.0,
2000-02-28,FFIV,NASDAQ,48.0,48.375,46.0,46.75,1240200.0,
2000-02-29,FFIV,NASDAQ,46.71875,47.5,44.5,45.0,2474200.0,
2000-03-01,FFIV,NASDAQ,45.78125,46.25,43.46875,45.9375,2544600.0,
2000-03-02,FFIV,NASDAQ,47.375,47.375,44.1875,45.125,1142600.0,
2000-03-03,FFIV,NASDAQ,46.0,52.125,45.0,48.34375,4466000.0,
2000-03-06,FFIV,NASDAQ,48.5,54.78125,48.4921875,53.75,2824000.0,
2000-03-07,FFIV,NASDAQ,56.0625,59.5,52.125,53.625,2764800.0,
2000-03-08,FFIV,NASDAQ,53.625,54.09375,49.0,49.5,2378200.0,
2000-03-09,FFIV,NASDAQ,49.125,57.34375,48.53125,54.5,2337800.0,
2000-03-10,FFIV,NASDAQ,57.5,59.4375,56.0,57.875,2383600.0,
2000-03-13,FFIV,NASDAQ,55.8125,58.5,53.75,54.84375,1926000.0,
2000-03-14,FFIV,NASDAQ,56.125,58.09375,50.0,50.0,2183000.0,
2000-03-15,FFIV,NASDAQ,52.375,52.375,46.0,46.375,2401800.0,
2000-03-16,FFIV,NASDAQ,47.96875,48.375,43.0,46.53125,2491400.0,
2000-03-17,FFIV,NASDAQ,47.25,49.25,46.25,47.625,859800.0,
2000-03-20,FFIV,NASDAQ,47.6875,48.75,44.375,45.03125,1499600.0,
2000-03-21,FFIV,NASDAQ,44.53125,46.5,42.5,44.375,2274400.0,
2000-03-22,FFIV,NASDAQ,45.625,47.0,44.34375,44.9375,2055800.0,
2000-03-23,FFIV,NASDAQ,44.96875,46.125,43.5,43.71875,1879600.0,
2000-03-24,FFIV,NASDAQ,43.78125,45.0,40.78125,41.65625,2640200.0,
2000-03-27,FFIV,NASDAQ,42.25,44.46875,41.75,43.34375,1343000.0,
2000-03-28,FFIV,NASDAQ,43.75,43.75,41.28125,42.0,920800.0,
2000-03-29,FFIV,NASDAQ,42.0625,42.6875,37.25,38.75,3038200.0,
2000-03-30,FFIV,NASDAQ,38.0625,40.8125,32.5,35.53125,2034600.0,
2000-03-31,FFIV,NASDAQ,36.25,36.9375,31.0625,33.875,3218200.0,
