date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,FITB,NASDAQ,48.5000000243,48.5000000243,45.7916666896,46.5833333566,1469249.999265375,
2000-01-04,FITB,NASDAQ,45.5416666894,45.6666666895,43.9166666886,44.6250000223,1571099.9992144501,
2000-01-05,FITB,NASDAQ,44.7500000224,44.9583333558,43.6666666885,43.9583333553,1120349.999439825,
2000-01-06,FITB,NASDAQ,44.000000022,45.5416666894,43.333333355,45.5000000228,1784549.999107725,
2000-01-07,FITB,NASDAQ,45.333333356,46.000000023,44.5416666889,45.2083333559,848699.99957565,
2000-01-10,FITB,NASDAQ,45.0833333559,45.333333356,43.5416666884,44.0208333553,925349.999537325,
2000-01-11,FITB,NASDAQ,43.8333333553,44.000000022,42.4166666879,42.7083333547,842399.9995788,
2000-01-12,FITB,NASDAQ,42.666666688,42.9166666881,42.1666666878,42.4583333546,1393349.999303325,
2000-01-13,FITB,NASDAQ,42.666666688,43.9166666886,42.5833333546,43.6666666885,1693949.999153025,
2000-01-14,FITB,NASDAQ,43.9583333553,44.7083333557,43.7500000219,44.2500000221,1815449.999092275,
2000-01-18,FITB,NASDAQ,44.2500000221,44.2500000221,42.9583333548,43.333333355,1414649.999292675,
2000-01-19,FITB,NASDAQ,43.5000000218,43.8333333553,40.4583333536,41.2083333539,1753799.9991231,
2000-01-20,FITB,NASDAQ,41.3750000207,41.3750000207,39.7916666866,40.00000002,1933949.999033025,
2000-01-21,FITB,NASDAQ,40.666666687,40.7500000204,39.7500000199,40.0833333534,1888499.99905575,
2000-01-24,FITB,NASDAQ,40.0416666867,40.4166666869,38.3750000192,38.4791666859,826649.999586675,
2000-01-25,FITB,NASDAQ,38.8333333527,40.9166666871,38.7083333527,40.3750000202,1274849.9993625751,
2000-01-26,FITB,NASDAQ,40.7083333537,42.2916666878,40.0833333534,42.1250000211,1372349.999313825,
2000-01-27,FITB,NASDAQ,42.1250000211,43.1250000216,42.0833333544,42.6250000213,1032149.999483925,
2000-01-28,FITB,NASDAQ,42.5833333546,42.5833333546,41.2500000206,41.9583333543,1114049.999442975,
2000-01-31,FITB,NASDAQ,41.7500000209,44.2500000221,41.5000000208,44.2500000221,1346849.999326575,
2000-02-01,FITB,NASDAQ,44.000000022,44.000000022,42.2500000211,42.9583333548,980099.99950995,
2000-02-02,FITB,NASDAQ,43.5000000218,43.5000000218,41.4583333541,41.6666666875,959999.9995200001,
2000-02-03,FITB,NASDAQ,41.6666666875,43.7500000219,41.6250000208,43.6250000218,1405799.9992971001,
2000-02-04,FITB,NASDAQ,43.5833333551,43.9166666886,41.3750000207,41.5000000208,1094399.9994528,
2000-02-07,FITB,NASDAQ,41.7500000209,41.7500000209,40.3333333535,41.2500000206,1299149.999350425,
2000-02-08,FITB,NASDAQ,41.0833333539,41.6666666875,40.8750000204,41.2916666873,1233149.999383425,
2000-02-09,FITB,NASDAQ,41.1666666873,41.3750000207,40.00000002,40.3750000202,778499.99961075,
2000-02-10,FITB,NASDAQ,40.5416666869,41.2916666873,40.1250000201,40.1666666868,808499.99959575,
2000-02-11,FITB,NASDAQ,40.4166666869,41.0416666872,39.9166666866,40.0208333533,1029749.9994851251,
2000-02-14,FITB,NASDAQ,39.9583333533,40.0833333534,38.2500000191,38.666666686,1188749.999405625,
2000-02-15,FITB,NASDAQ,38.7083333527,39.1666666863,38.0833333524,39.1666666863,1705799.9991471,
2000-02-16,FITB,NASDAQ,39.2500000196,39.5000000198,38.2916666858,39.4791666864,953549.999523225,
2000-02-17,FITB,NASDAQ,39.4583333531,39.5833333531,38.2500000191,38.2500000191,1611899.99919405,
2000-02-18,FITB,NASDAQ,38.5833333526,38.7083333527,36.9583333518,36.9583333518,2673749.998663125,
2000-02-22,FITB,NASDAQ,37.2500000186,37.2500000186,35.9166666846,36.2916666848,4188449.997905775,
2000-02-23,FITB,NASDAQ,36.3333333515,36.3333333515,35.0000000175,35.2500000176,1524149.999237925,
2000-02-24,FITB,NASDAQ,35.333333351,35.3750000177,33.7500000169,34.9583333508,1931399.9990343,
2000-02-25,FITB,NASDAQ,34.9583333508,35.4166666844,33.0000000165,33.4166666834,1631399.9991843,
2000-02-28,FITB,NASDAQ,33.5833333501,35.2083333509,33.1250000166,35.1666666842,2410649.998794675,
2000-02-29,FITB,NASDAQ,35.2083333509,35.2083333509,33.2083333499,34.7083333507,1314599.9993427,
2000-03-01,FITB,NASDAQ,34.5833333506,34.9166666841,33.2083333499,33.3750000167,1629149.999185425,
2000-03-02,FITB,NASDAQ,33.5000000168,33.5833333501,32.9583333498,32.9583333498,1900649.999049675,
2000-03-03,FITB,NASDAQ,33.4583333501,33.4583333501,32.4166666829,32.7916666831,1062299.99946885,
2000-03-06,FITB,NASDAQ,33.0000000165,33.0000000165,31.0833333489,31.1666666823,1486049.999256975,
2000-03-07,FITB,NASDAQ,31.2916666823,31.2916666823,29.9166666816,30.7500000154,929099.99953545,
2000-03-08,FITB,NASDAQ,30.7500000154,30.7916666821,29.333333348,30.000000015,1166399.9994168,
2000-03-09,FITB,NASDAQ,30.0833333484,31.5833333491,29.7916666816,31.5104166824,1081349.999459325,
2000-03-10,FITB,NASDAQ,31.7916666826,32.0833333494,30.4166666819,30.5833333486,1084949.999457525,
2000-03-13,FITB,NASDAQ,30.2916666818,31.333333349,29.9583333483,30.666666682,967049.999516475,
2000-03-14,FITB,NASDAQ,31.0833333489,32.8333333498,30.7500000154,32.2916666828,2551949.998724025,
2000-03-15,FITB,NASDAQ,32.3333333495,35.8333333513,32.0833333494,35.333333351,1991999.999004,
2000-03-16,FITB,NASDAQ,36.0833333514,40.9166666871,35.8333333513,39.2916666863,4720199.9976399,
2000-03-17,FITB,NASDAQ,39.5833333531,40.5000000203,38.7916666861,40.1666666868,3062699.99846865,
2000-03-20,FITB,NASDAQ,39.7916666866,39.8333333533,37.0833333519,37.9166666856,1357199.9993214,
2000-03-21,FITB,NASDAQ,37.2916666853,40.2916666868,36.7500000184,39.7916666866,1998899.99900055,
