date,code,exchange,open,high,low,close,volume,count_trx
2019-03-13,FOX,NASDAQ,38.6,39.3,38.0,39.2,305985.0,772.0
2019-03-14,FOX,NASDAQ,39.5,40.65,39.32,39.96,279685.0,1969.0
2019-03-14,FOX,A,40.0,40.0,40.0,40.0,100.0,1.0
2019-03-15,FOX,A,40.76,41.05,40.75,40.91,3600.0,24.0
2019-03-15,FOX,NASDAQ,40.55,41.05,40.5,41.02,164177.0,1268.0
2019-03-18,FOX,A,40.8,40.81,40.6,40.77,2500.0,17.0
2019-03-18,FOX,NASDAQ,41.73,41.73,40.47,40.86,581717.0,1892.0
2019-03-19,FOX,NASDAQ,41.4,41.4,39.05,39.55,2540234.0,14721.0
2019-03-19,FOX,A,41.03,41.03,39.09,39.3,15764.0,155.0
2019-03-20,FOX,NASDAQ,39.85,39.8514,37.46,37.6,5147908.0,22204.0
2019-03-20,FOX,A,39.7,39.7,37.6,37.65,8196.0,75.0
2019-03-21,FOX,NASDAQ,38.0,38.91,37.84,38.88,8865546.0,25860.0
2019-03-21,FOX,A,37.92,38.79,37.875,38.79,9196.0,82.0
2019-03-22,FOX,NASDAQ,38.76,38.84,36.55,37.46,4902540.0,33673.0
2019-03-22,FOX,A,38.4,38.42,36.64,37.49,27067.0,279.0
2019-03-25,FOX,A,37.74,37.74,36.45,36.61,3646.0,37.0
2019-03-25,FOX,NASDAQ,37.57,37.81,36.35,36.45,4035118.0,27745.0
2019-03-26,FOX,A,36.99,37.16,36.68,36.7,2932.0,30.0
2019-03-26,FOX,NASDAQ,36.46,37.35,36.46,36.71,3350854.0,22743.0
2019-03-27,FOX,NASDAQ,36.75,37.17,36.06,36.2,2871305.0,23419.0
2019-03-27,FOX,A,36.99,37.0,36.08,36.08,3700.0,38.0
2019-03-28,FOX,NASDAQ,36.14,36.47,35.55,35.67,2220583.0,13277.0
2019-03-28,FOX,A,36.1,36.1,35.59,35.765,2385.0,27.0
2019-03-29,FOX,A,35.96,35.96,35.45,35.88,1700.0,18.0
2019-03-29,FOX,NASDAQ,35.88,36.17,35.39,35.88,2679171.0,12096.0
2019-04-01,FOX,NASDAQ,36.17,36.34,35.94,36.15,4338366.0,12101.0
2019-04-01,FOX,A,36.13,36.28,35.96,36.1,3479.0,36.0
2019-04-02,FOX,A,36.4,36.4,35.31,35.7,4854.0,53.0
2019-04-02,FOX,NASDAQ,36.21,36.46,35.21,35.7,1491180.0,10137.0
2019-04-03,FOX,A,35.69,35.69,35.41,35.5,6587.0,65.0
2019-04-03,FOX,NASDAQ,35.78,35.89,35.3,35.5,2831551.0,20348.0
2019-04-04,FOX,NASDAQ,35.56,36.07,35.39,36.03,2223200.0,13323.0
2019-04-04,FOX,A,35.56,36.03,35.51,36.03,2089.0,23.0
2019-04-05,FOX,NASDAQ,35.99,37.09,35.94,36.98,2116209.0,13958.0
2019-04-05,FOX,A,36.38,37.0,36.3,37.0,2089.0,21.0
2019-04-08,FOX,A,36.79,36.79,36.72,36.72,211.0,5.0
