date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,GT,NASDAQ,28.0625,28.75,27.125,27.1875,1375000.0,
2000-01-04,GT,NASDAQ,27.25,28.0,26.875,27.5,1132600.0,
2000-01-05,GT,NASDAQ,27.375,27.8125,26.5,26.5,1118600.0,
2000-01-06,GT,NASDAQ,26.625,27.375,26.5,26.6875,1007600.0,
2000-01-07,GT,NASDAQ,27.0,28.4375,26.9375,27.6875,1136300.0,
2000-01-10,GT,NASDAQ,29.0,29.0,27.625,28.0,1124600.0,
2000-01-11,GT,NASDAQ,28.0,28.125,27.5625,27.875,1138300.0,
2000-01-12,GT,NASDAQ,28.0,29.125,28.0,28.4375,1716400.0,
2000-01-13,GT,NASDAQ,28.5,28.75,28.125,28.125,948700.0,
2000-01-14,GT,NASDAQ,28.25,28.375,27.5,27.5,1280500.0,
2000-01-18,GT,NASDAQ,27.625,28.1875,27.5625,27.5625,844200.0,
2000-01-19,GT,NASDAQ,27.875,28.4375,27.25,27.25,2107600.0,
2000-01-20,GT,NASDAQ,27.0,27.0,26.125,26.125,1268600.0,
2000-01-21,GT,NASDAQ,26.125,26.1875,24.5,25.25,2743400.0,
2000-01-24,GT,NASDAQ,25.6875,25.75,25.0625,25.0625,658000.0,
2000-01-25,GT,NASDAQ,25.3125,25.375,24.125,24.125,902300.0,
2000-01-26,GT,NASDAQ,24.25,24.875,24.25,24.375,722000.0,
2000-01-27,GT,NASDAQ,24.5,24.875,24.375,24.625,421400.0,
2000-01-28,GT,NASDAQ,24.625,24.6875,23.0625,23.4375,1328900.0,
2000-01-31,GT,NASDAQ,23.25,23.75,22.75,23.75,1108900.0,
2000-02-01,GT,NASDAQ,23.6875,24.5,23.375,24.125,887400.0,
2000-02-02,GT,NASDAQ,23.9375,24.0,22.625,23.125,695600.0,
2000-02-03,GT,NASDAQ,22.75,23.25,22.4375,22.8125,1339800.0,
2000-02-04,GT,NASDAQ,22.8125,23.0,22.25,22.3125,614300.0,
2000-02-07,GT,NASDAQ,22.625,23.4375,22.1875,23.0,993500.0,
2000-02-08,GT,NASDAQ,23.25,23.4375,22.0625,22.0625,1299900.0,
2000-02-09,GT,NASDAQ,23.5,23.9375,22.75,22.75,2157600.0,
2000-02-10,GT,NASDAQ,23.125,23.625,22.5625,23.0,1726700.0,
2000-02-11,GT,NASDAQ,23.0,23.125,21.875,21.875,1384400.0,
2000-02-14,GT,NASDAQ,21.625,23.125,21.625,22.0,1537700.0,
2000-02-15,GT,NASDAQ,22.0,25.125,22.0,23.875,2093200.0,
2000-02-16,GT,NASDAQ,25.25,25.25,23.625,23.9375,1582200.0,
2000-02-17,GT,NASDAQ,24.375,24.375,23.375,23.375,602700.0,
2000-02-18,GT,NASDAQ,23.4375,24.3125,22.875,23.625,1414400.0,
2000-02-22,GT,NASDAQ,23.6875,25.4375,23.5625,24.375,1231500.0,
2000-02-23,GT,NASDAQ,24.5,24.875,24.125,24.125,932200.0,
2000-02-24,GT,NASDAQ,24.125,24.8125,23.4375,23.4375,1311300.0,
2000-02-25,GT,NASDAQ,23.6875,24.375,22.875,22.875,963500.0,
