date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HAS,NASDAQ,18.8125,18.9375,18.375,18.4375,919500.0,
2000-01-04,HAS,NASDAQ,18.375,18.5625,17.1875,17.25,1595100.0,
2000-01-05,HAS,NASDAQ,17.1875,17.1875,16.375,16.4375,1963700.0,
2000-01-06,HAS,NASDAQ,16.4375,16.4375,15.8125,16.0,3379300.0,
2000-01-07,HAS,NASDAQ,16.0,16.75,15.875,16.5625,2481600.0,
2000-01-10,HAS,NASDAQ,16.5625,17.4375,16.5625,17.3125,1366800.0,
2000-01-11,HAS,NASDAQ,17.25,17.4375,16.875,16.875,1607900.0,
2000-01-12,HAS,NASDAQ,17.0,17.375,16.9375,17.125,751200.0,
2000-01-13,HAS,NASDAQ,17.0625,17.375,17.0,17.0,717900.0,
2000-01-14,HAS,NASDAQ,17.0625,17.125,16.5,16.5,834200.0,
2000-01-18,HAS,NASDAQ,16.3125,16.75,16.3125,16.375,585800.0,
2000-01-19,HAS,NASDAQ,16.375,16.5,15.875,16.0,1707900.0,
2000-01-20,HAS,NASDAQ,16.0625,16.0625,15.375,15.5,1500700.0,
2000-01-21,HAS,NASDAQ,15.625,16.125,15.4375,15.5,1731700.0,
2000-01-24,HAS,NASDAQ,15.5625,16.0625,15.5,15.8125,1244900.0,
2000-01-25,HAS,NASDAQ,15.75,15.875,15.0625,15.375,1172500.0,
2000-01-26,HAS,NASDAQ,15.1875,15.6875,15.0625,15.6875,1271900.0,
2000-01-27,HAS,NASDAQ,15.3125,15.875,15.3125,15.5,556900.0,
2000-01-28,HAS,NASDAQ,15.8125,15.8125,15.1875,15.5,610600.0,
2000-01-31,HAS,NASDAQ,15.5,15.8125,15.0,15.0,1270600.0,
2000-02-01,HAS,NASDAQ,15.125,15.375,14.9375,15.25,1045200.0,
2000-02-02,HAS,NASDAQ,15.375,16.5,15.3125,15.6875,1542900.0,
2000-02-03,HAS,NASDAQ,15.6875,16.75,15.6875,16.4375,1403900.0,
2000-02-04,HAS,NASDAQ,16.625,16.75,15.6875,15.875,1407500.0,
2000-02-07,HAS,NASDAQ,16.0625,16.375,15.8125,16.0625,1079000.0,
2000-02-08,HAS,NASDAQ,16.5,16.75,15.5,16.25,2469800.0,
2000-02-09,HAS,NASDAQ,16.25,16.3125,15.25,15.75,974800.0,
2000-02-10,HAS,NASDAQ,15.5,15.5625,14.875,15.0,1901400.0,
2000-02-11,HAS,NASDAQ,15.0625,15.3125,14.375,15.0625,1987100.0,
2000-02-14,HAS,NASDAQ,15.25,16.125,15.25,15.8125,2054700.0,
2000-02-15,HAS,NASDAQ,15.9375,16.3125,15.8125,15.875,1586600.0,
2000-02-16,HAS,NASDAQ,15.875,16.125,15.625,15.8125,1465700.0,
2000-02-17,HAS,NASDAQ,15.8125,15.9375,15.4375,15.5,967900.0,
2000-02-18,HAS,NASDAQ,15.4375,16.1875,15.25,15.375,1651700.0,
2000-02-22,HAS,NASDAQ,15.4375,15.8125,15.1875,15.5,1094600.0,
2000-02-23,HAS,NASDAQ,15.4375,15.4375,14.9375,15.0625,854900.0,
2000-02-24,HAS,NASDAQ,15.0625,15.125,14.4375,14.5,1243300.0,
2000-02-25,HAS,NASDAQ,14.5625,16.0625,14.5,16.0,2724600.0,
2000-02-28,HAS,NASDAQ,15.9375,16.0625,15.3125,15.75,1804600.0,
2000-02-29,HAS,NASDAQ,15.75,16.0625,15.625,15.75,1321300.0,
2000-03-01,HAS,NASDAQ,15.75,15.9375,15.375,15.375,1642200.0,
2000-03-02,HAS,NASDAQ,15.375,15.5625,15.1875,15.25,1344800.0,
2000-03-03,HAS,NASDAQ,15.25,15.625,15.1875,15.625,922500.0,
2000-03-06,HAS,NASDAQ,15.375,15.375,15.1875,15.3125,906200.0,
2000-03-07,HAS,NASDAQ,15.25,15.25,14.375,14.5,1541300.0,
2000-03-08,HAS,NASDAQ,14.375,14.4375,13.75,14.125,1557300.0,
2000-03-09,HAS,NASDAQ,14.25,14.6875,13.9375,14.625,714700.0,
2000-03-10,HAS,NASDAQ,14.0625,14.6875,14.0,14.375,926500.0,
2000-03-13,HAS,NASDAQ,14.375,14.75,14.1875,14.5,708300.0,
2000-03-14,HAS,NASDAQ,14.5,14.75,14.375,14.5625,893000.0,
2000-03-15,HAS,NASDAQ,14.5625,15.125,14.5625,15.0,1084300.0,
2000-03-16,HAS,NASDAQ,15.0,15.6875,15.0,15.5,1501400.0,
2000-03-17,HAS,NASDAQ,15.5,15.8125,15.4375,15.6875,908000.0,
2000-03-20,HAS,NASDAQ,15.9375,16.125,15.75,15.9375,610600.0,
2000-03-21,HAS,NASDAQ,15.9375,16.3125,15.875,16.125,960800.0,
2000-03-22,HAS,NASDAQ,16.125,16.375,16.0625,16.125,1134600.0,
2000-03-23,HAS,NASDAQ,16.125,16.4375,16.0625,16.375,1236200.0,
2000-03-24,HAS,NASDAQ,16.3125,16.875,16.3125,16.5625,1141700.0,
2000-03-27,HAS,NASDAQ,16.5625,16.9375,16.4375,16.875,2121700.0,
2000-03-28,HAS,NASDAQ,16.8125,17.5,16.5,17.0,1561000.0,
2000-03-29,HAS,NASDAQ,17.0,17.25,15.625,16.0,1802100.0,
2000-03-30,HAS,NASDAQ,16.125,16.75,16.0,16.6875,1133400.0,
2000-03-31,HAS,NASDAQ,16.5,17.25,16.375,16.6875,1103800.0,
2000-04-03,HAS,NASDAQ,16.625,16.8125,16.375,16.625,446400.0,
2000-04-04,HAS,NASDAQ,16.6875,17.0,15.375,16.625,683200.0,
2000-04-05,HAS,NASDAQ,16.6875,17.1875,16.25,16.875,541200.0,
2000-04-06,HAS,NASDAQ,17.25,17.375,16.875,17.375,1474100.0,
2000-04-07,HAS,NASDAQ,17.375,17.875,16.8125,16.9375,981900.0,
2000-04-10,HAS,NASDAQ,17.0,17.5625,16.6875,17.5,955800.0,
2000-04-11,HAS,NASDAQ,17.3125,17.75,17.0625,17.5,642100.0,
2000-04-12,HAS,NASDAQ,17.625,17.75,16.5,16.625,706900.0,
2000-04-13,HAS,NASDAQ,17.0,17.125,16.75,16.9375,465100.0,
2000-04-14,HAS,NASDAQ,16.5,16.9375,15.25,15.5,1206600.0,
2000-04-17,HAS,NASDAQ,15.0,15.8125,15.0,15.8125,840200.0,
2000-04-18,HAS,NASDAQ,15.8125,16.0,15.6875,16.0,713400.0,
2000-04-19,HAS,NASDAQ,16.0,16.4375,16.0,16.125,570400.0,
2000-04-20,HAS,NASDAQ,15.875,16.125,15.5,15.625,590000.0,
2000-04-24,HAS,NASDAQ,15.8125,15.9375,15.625,15.75,492100.0,
2000-04-25,HAS,NASDAQ,16.125,16.25,15.6875,16.0625,858700.0,
2000-04-26,HAS,NASDAQ,16.0625,16.4375,15.8125,16.25,476000.0,
2000-04-27,HAS,NASDAQ,16.375,16.4375,15.875,16.3125,490400.0,
2000-04-28,HAS,NASDAQ,16.25,16.375,15.625,15.9375,337600.0,
2000-05-01,HAS,NASDAQ,15.875,16.1875,15.5,16.0,479100.0,
2000-05-02,HAS,NASDAQ,15.6875,15.9375,15.5,15.6875,458800.0,
2000-05-03,HAS,NASDAQ,15.75,16.0,15.375,15.5625,532900.0,
2000-05-04,HAS,NASDAQ,15.3125,15.6875,15.3125,15.375,989200.0,
2000-05-05,HAS,NASDAQ,15.5,15.75,15.375,15.625,356700.0,
2000-05-08,HAS,NASDAQ,15.375,15.6875,15.375,15.6875,276800.0,
2000-05-09,HAS,NASDAQ,15.6875,16.0,15.5625,16.0,810700.0,
2000-05-10,HAS,NASDAQ,15.75,15.9375,15.625,15.9375,471500.0,
2000-05-11,HAS,NASDAQ,16.0,16.375,15.9375,16.375,587600.0,
2000-05-12,HAS,NASDAQ,16.3125,17.0,16.25,16.8125,1034000.0,
2000-05-15,HAS,NASDAQ,16.375,17.375,16.375,17.375,721400.0,
2000-05-16,HAS,NASDAQ,17.25,17.625,16.9375,17.625,604500.0,
2000-05-17,HAS,NASDAQ,17.5625,17.625,17.0625,17.4375,316100.0,
2000-05-18,HAS,NASDAQ,17.4375,18.5625,17.4375,18.125,810700.0,
2000-05-19,HAS,NASDAQ,17.75,18.0,17.0625,17.125,465400.0,
2000-05-22,HAS,NASDAQ,17.5,17.5,16.6875,16.9375,353100.0,
2000-05-23,HAS,NASDAQ,16.9375,17.375,16.875,17.25,419600.0,
2000-05-24,HAS,NASDAQ,17.5,17.5,16.8125,17.0625,424700.0,
2000-05-25,HAS,NASDAQ,17.125,17.5625,16.875,17.0625,462900.0,
2000-05-26,HAS,NASDAQ,17.0,17.0625,16.3125,16.4375,714100.0,
2000-05-30,HAS,NASDAQ,16.5,16.8125,15.9375,16.3125,712100.0,
2000-05-31,HAS,NASDAQ,16.375,16.625,16.3125,16.375,491700.0,
2000-06-01,HAS,NASDAQ,16.125,16.4375,16.0625,16.4375,431300.0,
2000-06-02,HAS,NASDAQ,16.5,17.6875,16.5,17.125,858400.0,
2000-06-05,HAS,NASDAQ,17.375,17.375,16.625,16.6875,883400.0,
2000-06-06,HAS,NASDAQ,16.5625,16.6875,16.4375,16.4375,485000.0,
2000-06-07,HAS,NASDAQ,16.5,16.6875,16.4375,16.5625,548000.0,
2000-06-08,HAS,NASDAQ,16.375,16.5,16.0625,16.125,686900.0,
2000-06-09,HAS,NASDAQ,16.125,16.75,16.125,16.4375,811700.0,
2000-06-12,HAS,NASDAQ,16.5,16.75,16.4375,16.5625,748100.0,
2000-06-13,HAS,NASDAQ,16.625,17.4375,16.625,17.0,749500.0,
2000-06-14,HAS,NASDAQ,16.875,17.5,16.875,17.375,524600.0,
2000-06-15,HAS,NASDAQ,17.625,17.6875,17.375,17.5,753300.0,
2000-06-16,HAS,NASDAQ,17.6875,17.75,17.125,17.3125,660100.0,
2000-06-19,HAS,NASDAQ,17.4375,17.75,16.8125,16.875,521900.0,
2000-06-20,HAS,NASDAQ,17.125,17.125,16.1875,16.8125,584100.0,
2000-06-21,HAS,NASDAQ,16.75,17.3125,16.6875,16.875,658400.0,
2000-06-22,HAS,NASDAQ,16.8125,16.9375,16.375,16.625,465100.0,
2000-06-23,HAS,NASDAQ,16.375,17.0625,16.3125,16.875,537500.0,
2000-06-26,HAS,NASDAQ,16.75,17.125,16.75,16.875,369100.0,
2000-06-27,HAS,NASDAQ,16.75,17.0625,16.75,17.0,536900.0,
2000-06-28,HAS,NASDAQ,17.0625,17.25,17.0,17.203125,430600.0,
2000-06-29,HAS,NASDAQ,17.0625,17.1875,16.625,17.0625,404000.0,
2000-06-30,HAS,NASDAQ,17.0,17.125,15.0625,15.0625,933200.0,
2000-07-03,HAS,NASDAQ,16.0,17.0,16.0,16.8125,582100.0,
2000-07-05,HAS,NASDAQ,16.9375,17.8125,16.8125,17.0625,972500.0,
2000-07-06,HAS,NASDAQ,16.8125,17.0625,16.8125,16.9375,643300.0,
2000-07-07,HAS,NASDAQ,17.0,17.0,16.6875,16.75,287900.0,
2000-07-10,HAS,NASDAQ,16.75,16.875,16.625,16.6875,416700.0,
2000-07-11,HAS,NASDAQ,16.75,16.75,16.1875,16.3125,531800.0,
2000-07-12,HAS,NASDAQ,16.3125,16.4375,15.75,15.8125,581300.0,
2000-07-13,HAS,NASDAQ,15.8125,16.5,15.6875,16.4375,821000.0,
2000-07-14,HAS,NASDAQ,16.4375,16.6875,16.4375,16.625,760900.0,
2000-07-17,HAS,NASDAQ,16.6875,16.875,16.5,16.5625,367400.0,
2000-07-18,HAS,NASDAQ,16.5,16.625,16.3125,16.3125,238900.0,
2000-07-19,HAS,NASDAQ,16.3125,16.3125,15.9375,15.9375,223100.0,
2000-07-20,HAS,NASDAQ,13.25,13.5,12.0625,12.0625,6313900.0,
2000-07-21,HAS,NASDAQ,11.8125,11.875,10.375,11.0,6054900.0,
2000-07-24,HAS,NASDAQ,11.5,11.8125,11.1875,11.6875,1741100.0,
2000-07-25,HAS,NASDAQ,11.875,11.9375,11.5,11.5625,918400.0,
2000-07-26,HAS,NASDAQ,11.5625,12.4375,11.5625,11.6875,1455500.0,
2000-07-27,HAS,NASDAQ,11.75,12.0,11.6875,12.0,518400.0,
2000-07-28,HAS,NASDAQ,11.875,12.0,11.0625,11.25,668400.0,
2000-07-31,HAS,NASDAQ,11.125,11.5,11.125,11.375,585900.0,
2000-08-01,HAS,NASDAQ,11.25,11.375,11.0,11.125,1134100.0,
2000-08-02,HAS,NASDAQ,11.25,11.8125,11.1875,11.1875,491100.0,
2000-08-03,HAS,NASDAQ,11.1875,11.25,10.5625,10.75,1029700.0,
2000-08-04,HAS,NASDAQ,10.75,11.0,10.1875,10.3125,2131800.0,
2000-08-07,HAS,NASDAQ,10.4375,10.875,10.375,10.8125,1413300.0,
2000-08-08,HAS,NASDAQ,10.5625,10.8125,10.5,10.625,809700.0,
2000-08-09,HAS,NASDAQ,10.5,10.6875,10.5,10.625,929700.0,
2000-08-10,HAS,NASDAQ,10.625,11.0625,10.625,11.0,1212800.0,
2000-08-11,HAS,NASDAQ,10.9375,11.0,10.75,10.875,614300.0,
2000-08-14,HAS,NASDAQ,10.9375,11.125,10.875,11.125,2205200.0,
2000-08-15,HAS,NASDAQ,11.125,11.125,10.625,10.625,921900.0,
2000-08-16,HAS,NASDAQ,10.75,11.0625,10.5625,10.8125,3032800.0,
2000-08-17,HAS,NASDAQ,10.75,11.0,10.5,10.875,897600.0,
2000-08-18,HAS,NASDAQ,10.8125,11.3125,10.8125,11.0,764800.0,
2000-08-21,HAS,NASDAQ,11.0,11.1875,10.75,10.9375,490500.0,
2000-08-22,HAS,NASDAQ,10.875,11.25,10.875,11.125,583100.0,
2000-08-23,HAS,NASDAQ,11.125,11.3125,11.0625,11.0625,673300.0,
2000-08-24,HAS,NASDAQ,11.125,11.5,11.0,11.3125,1067500.0,
2000-08-25,HAS,NASDAQ,11.5,11.875,11.4375,11.8125,980300.0,
2000-08-28,HAS,NASDAQ,11.875,12.5625,11.8125,12.3125,1469200.0,
2000-08-29,HAS,NASDAQ,12.3125,12.4375,11.875,12.25,790800.0,
2000-08-30,HAS,NASDAQ,12.0625,12.1875,11.9375,12.0,582700.0,
2000-08-31,HAS,NASDAQ,12.0625,12.375,11.6875,12.33203125,891200.0,
2000-09-01,HAS,NASDAQ,12.4375,12.75,12.0625,12.5,675200.0,
2000-09-05,HAS,NASDAQ,12.375,12.8125,12.25,12.3125,1362800.0,
2000-09-06,HAS,NASDAQ,12.375,12.4375,11.625,11.875,777000.0,
2000-09-07,HAS,NASDAQ,11.9375,12.25,11.75,12.25,541600.0,
2000-09-08,HAS,NASDAQ,12.375,12.5,11.8125,11.875,479900.0,
2000-09-11,HAS,NASDAQ,11.875,11.875,11.3125,11.4375,975100.0,
2000-09-12,HAS,NASDAQ,11.0625,11.375,11.0,11.125,818200.0,
2000-09-13,HAS,NASDAQ,11.1875,11.25,10.9375,11.0,568600.0,
2000-09-14,HAS,NASDAQ,10.875,11.4375,10.6875,11.4375,1550000.0,
2000-09-15,HAS,NASDAQ,11.25,11.375,11.125,11.25,2129500.0,
2000-09-18,HAS,NASDAQ,11.375,11.5,10.75,11.0,883100.0,
2000-09-19,HAS,NASDAQ,11.0625,11.375,11.0,11.1875,353000.0,
2000-09-20,HAS,NASDAQ,12.0,12.25,10.9375,11.0,2189200.0,
2000-09-21,HAS,NASDAQ,11.125,11.5,10.9375,11.0,1005100.0,
2000-09-22,HAS,NASDAQ,10.9375,11.25,10.875,10.9375,541300.0,
2000-09-25,HAS,NASDAQ,10.9375,10.9375,10.625,10.6875,516600.0,
2000-09-26,HAS,NASDAQ,10.6875,10.8125,10.625,10.75,464000.0,
2000-09-27,HAS,NASDAQ,10.75,11.625,10.5625,11.4375,1227200.0,
2000-09-28,HAS,NASDAQ,11.5,11.5625,11.125,11.375,819800.0,
2000-09-29,HAS,NASDAQ,11.4375,11.625,11.0625,11.4375,1040500.0,
2000-10-02,HAS,NASDAQ,11.3125,11.375,11.0,11.375,558300.0,
2000-10-03,HAS,NASDAQ,11.375,11.4375,11.0625,11.25,523700.0,
2000-10-04,HAS,NASDAQ,11.1875,11.4375,11.0625,11.1875,616900.0,
2000-10-05,HAS,NASDAQ,11.125,11.25,11.0625,11.1875,403500.0,
2000-10-06,HAS,NASDAQ,11.1875,11.6875,11.0625,11.6875,1239100.0,
2000-10-09,HAS,NASDAQ,11.625,12.125,11.5625,11.875,721200.0,
2000-10-10,HAS,NASDAQ,12.125,12.3125,11.75,11.75,824300.0,
2000-10-11,HAS,NASDAQ,11.75,11.875,11.5,11.625,1093800.0,
2000-10-12,HAS,NASDAQ,9.75,10.0625,9.0,10.0625,4227800.0,
2000-10-13,HAS,NASDAQ,10.0,10.6875,9.9375,10.125,836700.0,
2000-10-16,HAS,NASDAQ,10.1875,10.6875,10.0,10.3125,3424100.0,
2000-10-17,HAS,NASDAQ,10.4375,10.5625,9.9375,10.0,840600.0,
2000-10-18,HAS,NASDAQ,9.875,10.1875,9.625,10.125,863400.0,
2000-10-19,HAS,NASDAQ,10.0,10.375,9.9375,10.3125,1263800.0,
2000-10-20,HAS,NASDAQ,10.0625,10.25,9.8125,10.0,2980300.0,
2000-10-23,HAS,NASDAQ,9.8125,10.0625,9.8125,9.9375,739000.0,
2000-10-24,HAS,NASDAQ,10.0,10.125,9.8125,9.875,2258400.0,
2000-10-25,HAS,NASDAQ,9.875,10.3125,9.875,10.25,631000.0,
2000-10-26,HAS,NASDAQ,10.125,10.5625,10.125,10.3125,666400.0,
2000-10-27,HAS,NASDAQ,10.375,10.5625,10.1875,10.25,328600.0,
2000-10-30,HAS,NASDAQ,10.25,10.5625,10.125,10.4375,730400.0,
2000-10-31,HAS,NASDAQ,10.4375,10.8125,10.3125,10.75,1583200.0,
2000-11-01,HAS,NASDAQ,10.6875,10.75,10.5625,10.6875,1002700.0,
2000-11-02,HAS,NASDAQ,10.5625,11.1875,10.5,11.0625,956200.0,
2000-11-03,HAS,NASDAQ,11.0625,11.875,11.0625,11.5625,1164800.0,
2000-11-06,HAS,NASDAQ,11.4375,11.5,11.3125,11.375,311900.0,
2000-11-07,HAS,NASDAQ,11.3125,11.5625,11.25,11.5625,166500.0,
2000-11-08,HAS,NASDAQ,11.5,12.9375,11.5,12.4375,1993900.0,
2000-11-09,HAS,NASDAQ,12.3125,12.375,11.875,12.0,401100.0,
2000-11-10,HAS,NASDAQ,12.0,12.0625,11.375,11.5,689500.0,
2000-11-13,HAS,NASDAQ,11.375,12.125,11.375,11.9375,1079500.0,
2000-11-14,HAS,NASDAQ,12.0,12.25,11.875,12.0625,550900.0,
2000-11-15,HAS,NASDAQ,12.0625,12.125,11.875,11.875,887300.0,
2000-11-16,HAS,NASDAQ,11.875,11.9375,11.5625,11.6875,1584700.0,
2000-11-17,HAS,NASDAQ,11.6875,11.875,11.5625,11.875,793600.0,
2000-11-20,HAS,NASDAQ,11.8125,11.875,11.5,11.625,821800.0,
2000-11-21,HAS,NASDAQ,11.625,11.625,11.25,11.375,381100.0,
2000-11-22,HAS,NASDAQ,11.3125,11.375,11.25,11.25,267300.0,
2000-11-24,HAS,NASDAQ,11.25,11.625,11.1875,11.5,217400.0,
2000-11-27,HAS,NASDAQ,11.5,11.8125,11.4375,11.5,619000.0,
2000-11-28,HAS,NASDAQ,11.5625,12.0,11.5,11.9375,851800.0,
2000-11-29,HAS,NASDAQ,12.0,12.0625,11.5,11.5625,898600.0,
2000-11-30,HAS,NASDAQ,11.5625,11.75,11.5,11.5625,541500.0,
2000-12-01,HAS,NASDAQ,11.5,11.8125,11.4375,11.6875,541600.0,
2000-12-04,HAS,NASDAQ,11.5625,12.0625,11.5625,11.875,935500.0,
2000-12-05,HAS,NASDAQ,11.75,12.125,11.75,11.75,551500.0,
2000-12-06,HAS,NASDAQ,11.6875,11.8125,11.5,11.5625,676600.0,
2000-12-07,HAS,NASDAQ,8.5,9.3125,8.375,9.125,6576900.0,
2000-12-08,HAS,NASDAQ,9.375,9.9375,9.25,9.75,1871300.0,
2000-12-11,HAS,NASDAQ,9.75,9.75,9.375,9.4375,1286100.0,
2000-12-12,HAS,NASDAQ,9.4375,9.6875,9.4375,9.6875,1156100.0,
2000-12-13,HAS,NASDAQ,9.75,9.75,9.3125,9.3125,1082400.0,
2000-12-14,HAS,NASDAQ,9.3125,9.625,9.3125,9.375,686600.0,
2000-12-15,HAS,NASDAQ,9.375,9.5625,9.25,9.4375,848600.0,
2000-12-18,HAS,NASDAQ,9.5,9.625,9.4375,9.4375,1153600.0,
2000-12-19,HAS,NASDAQ,9.375,9.5625,9.25,9.5,808900.0,
2000-12-20,HAS,NASDAQ,9.375,9.4375,9.25,9.375,584700.0,
2000-12-21,HAS,NASDAQ,9.375,9.75,9.3125,9.6875,1173700.0,
2000-12-22,HAS,NASDAQ,9.6875,9.875,9.625,9.8125,635600.0,
2000-12-26,HAS,NASDAQ,9.6875,9.6875,9.5,9.6875,1398700.0,
2000-12-27,HAS,NASDAQ,9.5625,10.125,9.5,10.0625,779200.0,
2000-12-28,HAS,NASDAQ,10.0,10.9375,10.0,10.625,868700.0,
2000-12-29,HAS,NASDAQ,10.625,10.75,10.5,10.625,1023700.0,
2001-01-02,HAS,NASDAQ,10.75,11.0,10.3125,10.3125,1159300.0,
2001-01-03,HAS,NASDAQ,10.4375,10.9375,10.4375,10.875,647700.0,
2001-01-04,HAS,NASDAQ,11.0,11.625,11.0,11.5625,911100.0,
2001-01-05,HAS,NASDAQ,11.6875,11.8125,11.25,11.4375,668300.0,
2001-01-08,HAS,NASDAQ,11.4375,11.625,11.1875,11.4375,695700.0,
2001-01-09,HAS,NASDAQ,11.875,12.875,11.4375,12.25,754700.0,
2001-01-10,HAS,NASDAQ,11.875,12.4375,11.875,12.3125,468100.0,
2001-01-11,HAS,NASDAQ,12.375,12.6875,12.0,12.25,554000.0,
2001-01-12,HAS,NASDAQ,12.25,12.75,12.0625,12.625,926100.0,
2001-01-16,HAS,NASDAQ,12.3125,12.625,12.0625,12.5625,517500.0,
2001-01-17,HAS,NASDAQ,12.4375,12.625,12.3125,12.625,601700.0,
2001-01-18,HAS,NASDAQ,12.625,12.875,12.5,12.8125,683200.0,
2001-01-19,HAS,NASDAQ,12.875,12.875,12.125,12.4375,424700.0,
2001-01-22,HAS,NASDAQ,12.3125,12.4375,12.125,12.375,372400.0,
2001-01-23,HAS,NASDAQ,12.375,12.6875,12.25,12.625,552600.0,
2001-01-24,HAS,NASDAQ,12.375,12.6875,12.25,12.25,685900.0,
2001-01-25,HAS,NASDAQ,12.3125,12.3125,11.75,12.0,1303700.0,
2001-01-26,HAS,NASDAQ,12.0,12.0,11.375,11.5,953000.0,
2001-01-29,HAS,NASDAQ,11.5,11.92,11.37,11.86,1137700.0,
2001-01-30,HAS,NASDAQ,11.9,11.99,11.67,11.95,615000.0,
2001-01-31,HAS,NASDAQ,11.8,11.95,11.7,11.88,407400.0,
2001-02-01,HAS,NASDAQ,11.88,11.89,11.6,11.83,539500.0,
2001-02-02,HAS,NASDAQ,11.95,12.25,11.95,12.0,1689600.0,
2001-02-05,HAS,NASDAQ,12.1,12.4,11.76,12.25,1048400.0,
2001-02-06,HAS,NASDAQ,12.35,14.63,12.14,13.5,2030400.0,
2001-02-07,HAS,NASDAQ,13.37,13.38,12.91,12.91,525600.0,
2001-02-08,HAS,NASDAQ,12.92,13.36,12.56,13.08,635300.0,
2001-02-09,HAS,NASDAQ,13.12,13.38,12.39,12.87,792100.0,
2001-02-12,HAS,NASDAQ,12.75,12.93,12.2,12.55,1107000.0,
2001-02-13,HAS,NASDAQ,12.3,12.89,12.3,12.4,846600.0,
2001-02-14,HAS,NASDAQ,12.4,12.98,12.4,12.82,590100.0,
2001-02-15,HAS,NASDAQ,13.0,13.11,12.79,13.0,753800.0,
2001-02-16,HAS,NASDAQ,12.9,12.91,12.51,12.6,428200.0,
2001-02-20,HAS,NASDAQ,12.6,13.0,12.35,12.35,374800.0,
2001-02-21,HAS,NASDAQ,12.45,12.6,12.27,12.5,512700.0,
2001-02-22,HAS,NASDAQ,12.4,12.6,12.18,12.53,2328600.0,
2001-02-23,HAS,NASDAQ,12.5,12.68,12.25,12.68,706200.0,
2001-02-26,HAS,NASDAQ,12.78,13.47,12.75,13.0,865300.0,
2001-02-27,HAS,NASDAQ,13.35,13.45,12.6,13.25,639600.0,
2001-02-28,HAS,NASDAQ,13.25,13.7,12.18,12.28,1461600.0,
2001-03-01,HAS,NASDAQ,12.45,12.9,12.16,12.9,498000.0,
2001-03-02,HAS,NASDAQ,13.2,13.23,12.26,12.65,425600.0,
2001-03-05,HAS,NASDAQ,12.55,13.1,12.53,13.1,369600.0,
2001-03-06,HAS,NASDAQ,13.11,13.3,12.96,13.06,523200.0,
2001-03-07,HAS,NASDAQ,12.81,13.65,12.81,13.51,719500.0,
2001-03-08,HAS,NASDAQ,13.5,13.83,13.45,13.67,423600.0,
2001-03-09,HAS,NASDAQ,13.65,14.05,13.56,14.05,585700.0,
2001-03-12,HAS,NASDAQ,14.0,14.03,13.5,13.58,901200.0,
2001-03-13,HAS,NASDAQ,13.68,13.7,13.42,13.7,592200.0,
2001-03-14,HAS,NASDAQ,13.5,13.58,13.3,13.35,1084500.0,
2001-03-15,HAS,NASDAQ,13.33,13.85,13.26,13.49,357900.0,
2001-03-16,HAS,NASDAQ,12.95,13.34,12.86,13.02,668700.0,
2001-03-19,HAS,NASDAQ,13.12,13.49,13.02,13.2,180300.0,
2001-03-20,HAS,NASDAQ,13.4,13.61,13.14,13.15,304400.0,
