date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,HSIC,NASDAQ,2.7314468594,2.7314468594,2.4252308438,2.4742254063,1693600.0,
2000-01-04,HSIC,NASDAQ,2.4619767656,2.4619767656,2.351739,2.351739,728000.0,
2000-01-05,HSIC,NASDAQ,2.4619767656,2.5232199688,2.4129822031,2.4987226875,2352000.0,
2000-01-06,HSIC,NASDAQ,2.4987226875,2.54771725,2.449728125,2.4864740469,848800.0,
2000-01-07,HSIC,NASDAQ,2.4742254063,2.5967118125,2.449728125,2.5722145312,3202800.0,
2000-01-10,HSIC,NASDAQ,2.5967118125,2.7926900625,2.5722145312,2.7314468594,1812400.0,
2000-01-11,HSIC,NASDAQ,2.7436955,2.7436955,2.6212090938,2.6702036563,1167200.0,
2000-01-12,HSIC,NASDAQ,2.645706375,2.7436955,2.6212090938,2.7436955,3048800.0,
2000-01-13,HSIC,NASDAQ,2.7559441406,3.1723979219,2.7436955,3.1234033594,3815600.0,
2000-01-14,HSIC,NASDAQ,3.1479006406,3.1846465625,2.9641710313,3.0131655937,948400.0,
2000-01-18,HSIC,NASDAQ,3.0131655937,3.135652,3.0131655937,3.0499115156,1315600.0,
2000-01-19,HSIC,NASDAQ,3.0621601563,3.0621601563,2.7681927813,2.8171873437,788400.0,
2000-01-20,HSIC,NASDAQ,2.8661819063,2.93967375,2.6212090938,2.9151764688,860000.0,
2000-01-21,HSIC,NASDAQ,2.8784305469,2.93967375,2.8171873437,2.8539332656,616800.0,
2000-01-24,HSIC,NASDAQ,2.9151764688,2.9641710313,2.7681927813,2.93967375,661600.0,
2000-01-25,HSIC,NASDAQ,2.8723062266,2.9519223906,2.645706375,2.7559441406,831600.0,
2000-01-26,HSIC,NASDAQ,2.6947009375,2.7804414219,2.645706375,2.645706375,257200.0,
2000-01-27,HSIC,NASDAQ,2.645706375,2.6702036563,2.5232199688,2.645706375,798400.0,
2000-01-28,HSIC,NASDAQ,2.645706375,2.7804414219,2.5722145312,2.5722145312,1149200.0,
2000-01-31,HSIC,NASDAQ,2.5722145312,2.6702036563,2.5722145312,2.5844631719,415200.0,
2000-02-01,HSIC,NASDAQ,2.6334577344,2.6702036563,2.5967118125,2.6212090938,689200.0,
2000-02-02,HSIC,NASDAQ,2.6089604531,2.6824522969,2.6089604531,2.6212090938,263200.0,
2000-02-03,HSIC,NASDAQ,2.6273334141,2.6334577344,2.5232199688,2.5967118125,936800.0,
2000-02-04,HSIC,NASDAQ,2.5844631719,2.6212090938,2.5722145312,2.6089604531,621600.0,
2000-02-07,HSIC,NASDAQ,2.5967118125,2.6212090938,2.54771725,2.6089604531,537600.0,
2000-02-08,HSIC,NASDAQ,2.6089604531,2.6334577344,2.5844631719,2.6089604531,682400.0,
2000-02-09,HSIC,NASDAQ,2.5967118125,2.6579550156,2.54771725,2.54771725,830400.0,
2000-02-10,HSIC,NASDAQ,2.6334577344,2.645706375,2.54771725,2.645706375,552800.0,
2000-02-11,HSIC,NASDAQ,2.6212090938,2.6334577344,2.449728125,2.449728125,2625200.0,
2000-02-14,HSIC,NASDAQ,2.5722145312,2.7436955,2.5232199688,2.6947009375,1046400.0,
2000-02-15,HSIC,NASDAQ,2.6947009375,2.7436955,2.645706375,2.6702036563,1305600.0,
2000-02-16,HSIC,NASDAQ,2.6947009375,2.7191982188,2.4742254063,2.5599658906,1254400.0,
2000-02-17,HSIC,NASDAQ,2.5415929297,2.6702036563,2.4987226875,2.6212090938,1638400.0,
2000-02-18,HSIC,NASDAQ,2.6273334141,2.6334577344,2.5232199688,2.54771725,772800.0,
2000-02-22,HSIC,NASDAQ,2.7681927813,2.841684625,2.5722145312,2.645706375,2935600.0,
2000-02-23,HSIC,NASDAQ,2.7559441406,2.8906791875,2.645706375,2.8661819063,2736000.0,
2000-02-24,HSIC,NASDAQ,2.8906791875,2.9641710313,2.841684625,2.9274251094,1774800.0,
2000-02-25,HSIC,NASDAQ,2.9151764688,2.9641710313,2.8906791875,2.9274251094,828800.0,
2000-02-28,HSIC,NASDAQ,2.9764196719,3.33163025,2.9151764688,3.2581384063,2068400.0,
2000-02-29,HSIC,NASDAQ,3.3806248125,3.6745921875,3.3561275313,3.6745921875,2949600.0,
2000-03-01,HSIC,NASDAQ,3.5521057813,3.6868408281,3.135652,3.5643544219,2662000.0,
2000-03-02,HSIC,NASDAQ,3.4418680156,3.4541166563,3.0009169531,3.0744087969,2183600.0,
2000-03-03,HSIC,NASDAQ,3.0866574375,3.135652,2.9886683125,3.037662875,939200.0,
2000-03-06,HSIC,NASDAQ,3.037662875,3.1111547188,2.9886683125,3.0621601563,701200.0,
2000-03-07,HSIC,NASDAQ,3.037662875,3.2550762461,3.0131655937,3.0499115156,1195200.0,
2000-03-08,HSIC,NASDAQ,3.037662875,3.0866574375,2.9519223906,3.0621601563,1481600.0,
2000-03-09,HSIC,NASDAQ,3.037662875,3.233641125,2.9641710313,3.233641125,1165600.0,
2000-03-10,HSIC,NASDAQ,3.2091438437,3.33163025,3.1479006406,3.1846465625,726400.0,
2000-03-13,HSIC,NASDAQ,3.2458897656,3.2581384063,2.9274251094,3.0499115156,696800.0,
2000-03-14,HSIC,NASDAQ,3.1050303984,3.1111547188,2.9886683125,3.0866574375,638400.0,
2000-03-15,HSIC,NASDAQ,3.0866574375,3.1111547188,2.9519223906,3.0254142344,465600.0,
2000-03-16,HSIC,NASDAQ,2.9886683125,3.1111547188,2.9641710313,3.0499115156,483600.0,
2000-03-17,HSIC,NASDAQ,3.0131655937,3.1846465625,3.0131655937,3.1601492813,1770800.0,
2000-03-20,HSIC,NASDAQ,3.135652,3.1968952031,2.93967375,2.93967375,623200.0,
2000-03-21,HSIC,NASDAQ,3.0131655937,3.135652,2.93967375,3.0744087969,349600.0,
2000-03-22,HSIC,NASDAQ,3.1111547188,3.1601492813,3.037662875,3.1387141602,642400.0,
2000-03-23,HSIC,NASDAQ,3.1601492813,3.5766030625,3.0866574375,3.4541166563,2320400.0,
2000-03-24,HSIC,NASDAQ,3.4663652969,3.5766030625,3.1846465625,3.3561275313,1024800.0,
2000-03-27,HSIC,NASDAQ,3.4541166563,3.5276085,3.429619375,3.5031112188,530400.0,
2000-03-28,HSIC,NASDAQ,3.5276085,3.5398571406,3.2826356875,3.3193816094,409200.0,
2000-03-29,HSIC,NASDAQ,3.3683761719,3.5031112188,3.2091438437,3.2091438437,338400.0,
2000-03-30,HSIC,NASDAQ,3.233641125,3.3438788906,2.841684625,3.0866574375,1364000.0,
2000-03-31,HSIC,NASDAQ,3.1479006406,3.2826356875,3.0744087969,3.1723979219,804400.0,
2000-04-03,HSIC,NASDAQ,3.1387141602,3.2091438437,3.037662875,3.037662875,294400.0,
2000-04-04,HSIC,NASDAQ,3.0621601563,3.2091438437,2.841684625,3.135652,1243600.0,
2000-04-05,HSIC,NASDAQ,3.0866574375,3.233641125,3.037662875,3.1234033594,312400.0,
