date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,JBHT,NASDAQ,3.5625,3.609375,3.265625,3.359375,246000.0,
2000-01-04,JBHT,NASDAQ,3.265625,3.3125,3.1875,3.1875,279600.0,
2000-01-05,JBHT,NASDAQ,3.25,3.30859375,3.15625,3.21875,145600.0,
2000-01-06,JBHT,NASDAQ,3.25,3.34375,3.25,3.3125,223600.0,
2000-01-07,JBHT,NASDAQ,3.34375,3.484375,3.265625,3.3125,165600.0,
2000-01-10,JBHT,NASDAQ,3.34375,3.40625,3.1875,3.21875,272400.0,
2000-01-11,JBHT,NASDAQ,3.28125,3.3125,3.21875,3.265625,134400.0,
2000-01-12,JBHT,NASDAQ,3.1875,3.265625,3.171875,3.234375,229200.0,
2000-01-13,JBHT,NASDAQ,3.21875,3.28125,3.21875,3.25,300800.0,
2000-01-14,JBHT,NASDAQ,3.21875,3.265625,3.171875,3.25,172000.0,
2000-01-18,JBHT,NASDAQ,3.21875,3.28125,3.171875,3.21875,259600.0,
2000-01-19,JBHT,NASDAQ,3.15625,3.1875,3.109375,3.109375,179600.0,
2000-01-20,JBHT,NASDAQ,3.109375,3.234375,3.109375,3.21875,267600.0,
2000-01-21,JBHT,NASDAQ,3.21875,3.21875,3.078125,3.078125,192800.0,
2000-01-24,JBHT,NASDAQ,3.1171875,3.140625,3.0,3.03125,211600.0,
2000-01-25,JBHT,NASDAQ,3.09375,3.15625,3.0,3.0,222400.0,
2000-01-26,JBHT,NASDAQ,3.03125,3.25,3.03125,3.21875,244800.0,
2000-01-27,JBHT,NASDAQ,3.21875,3.296875,3.0625,3.1015625,382000.0,
2000-01-28,JBHT,NASDAQ,3.109375,3.171875,3.03125,3.171875,214000.0,
2000-01-31,JBHT,NASDAQ,3.0,3.1875,2.9375,3.15625,976800.0,
2000-02-01,JBHT,NASDAQ,3.1328125,3.140625,3.0625,3.109375,166800.0,
2000-02-02,JBHT,NASDAQ,3.109375,3.21875,3.09375,3.171875,256000.0,
2000-02-03,JBHT,NASDAQ,3.15625,3.1875,3.125,3.140625,254400.0,
2000-02-04,JBHT,NASDAQ,3.109375,3.1875,3.109375,3.125,103200.0,
2000-02-07,JBHT,NASDAQ,3.1328125,3.140625,3.0625,3.078125,298400.0,
2000-02-08,JBHT,NASDAQ,3.03125,3.15625,3.03125,3.078125,278400.0,
2000-02-09,JBHT,NASDAQ,3.03125,3.125,3.03125,3.0625,713600.0,
2000-02-10,JBHT,NASDAQ,3.0625,3.09375,3.0,3.015625,149600.0,
2000-02-11,JBHT,NASDAQ,3.0,3.078125,2.96875,3.046875,118000.0,
2000-02-14,JBHT,NASDAQ,3.0,3.09375,2.953125,3.078125,224000.0,
2000-02-15,JBHT,NASDAQ,3.0625,3.078125,2.8125,2.9140625,529600.0,
2000-02-16,JBHT,NASDAQ,2.921875,2.9375,2.84375,2.8671875,512800.0,
2000-02-17,JBHT,NASDAQ,2.9375,2.9375,2.671875,2.71875,570400.0,
2000-02-18,JBHT,NASDAQ,2.78125,2.8125,2.6875,2.71875,498400.0,
2000-02-22,JBHT,NASDAQ,2.734375,2.75,2.6875,2.734375,342400.0,
2000-02-23,JBHT,NASDAQ,2.8671875,2.8671875,2.75,2.796875,530800.0,
2000-02-24,JBHT,NASDAQ,2.765625,2.8125,2.703125,2.765625,970800.0,
2000-02-25,JBHT,NASDAQ,2.765625,2.828125,2.71875,2.8203125,756400.0,
2000-02-28,JBHT,NASDAQ,2.75,2.765625,2.625,2.71875,293600.0,
2000-02-29,JBHT,NASDAQ,2.734375,2.875,2.625,2.875,257600.0,
2000-03-01,JBHT,NASDAQ,2.796875,3.0,2.78125,2.9375,256800.0,
2000-03-02,JBHT,NASDAQ,2.90625,2.9375,2.8125,2.828125,382000.0,
2000-03-03,JBHT,NASDAQ,2.8125,2.9375,2.8125,2.875,164800.0,
2000-03-06,JBHT,NASDAQ,2.828125,2.9375,2.8125,2.859375,326800.0,
2000-03-07,JBHT,NASDAQ,2.84375,2.859375,2.75,2.828125,429600.0,
2000-03-08,JBHT,NASDAQ,2.765625,2.96875,2.75,2.875,369600.0,
2000-03-09,JBHT,NASDAQ,2.9375,3.0625,2.875,3.0625,528000.0,
2000-03-10,JBHT,NASDAQ,3.078125,3.21875,3.015625,3.21875,280400.0,
2000-03-13,JBHT,NASDAQ,3.234375,3.5,3.15625,3.3984375,596400.0,
2000-03-14,JBHT,NASDAQ,3.84375,4.0,3.5625,3.59375,1668000.0,
2000-03-15,JBHT,NASDAQ,3.734375,3.875,3.625,3.75,1592400.0,
2000-03-16,JBHT,NASDAQ,3.78125,3.90625,3.65625,3.875,1379600.0,
2000-03-17,JBHT,NASDAQ,3.765625,3.9375,3.6875,3.8125,867600.0,
2000-03-20,JBHT,NASDAQ,3.8125,3.90625,3.75,3.828125,382000.0,
2000-03-21,JBHT,NASDAQ,3.78125,3.90625,3.75,3.875,342400.0,
2000-03-22,JBHT,NASDAQ,3.8359375,3.90625,3.8125,3.875,462000.0,
2000-03-23,JBHT,NASDAQ,3.828125,4.0,3.8125,3.96875,337200.0,
2000-03-24,JBHT,NASDAQ,3.9375,4.0,3.8125,3.8125,463200.0,
2000-03-27,JBHT,NASDAQ,3.828125,3.9375,3.78125,3.8125,307600.0,
2000-03-28,JBHT,NASDAQ,3.84375,3.890625,3.578125,3.578125,1338000.0,
2000-03-29,JBHT,NASDAQ,3.75,3.90625,3.734375,3.859375,538800.0,
2000-03-30,JBHT,NASDAQ,3.78125,3.875,3.6875,3.84375,639600.0,
2000-03-31,JBHT,NASDAQ,3.859375,3.875,3.25,3.421875,1591600.0,
2000-04-03,JBHT,NASDAQ,3.40625,3.640625,3.34375,3.625,360400.0,
2000-04-04,JBHT,NASDAQ,3.6875,3.6875,3.40625,3.46875,279600.0,
2000-04-05,JBHT,NASDAQ,3.53125,3.75,3.46875,3.65625,130800.0,
2000-04-06,JBHT,NASDAQ,3.671875,3.75,3.59375,3.59375,138800.0,
2000-04-07,JBHT,NASDAQ,3.625,3.640625,3.46875,3.546875,224800.0,
2000-04-10,JBHT,NASDAQ,3.5390625,3.5390625,3.28125,3.375,579200.0,
2000-04-11,JBHT,NASDAQ,3.375,3.53125,3.34375,3.53125,420400.0,
2000-04-12,JBHT,NASDAQ,3.5625,3.5625,3.40625,3.515625,190000.0,
2000-04-13,JBHT,NASDAQ,3.5625,3.59375,3.40625,3.5625,305600.0,
2000-04-14,JBHT,NASDAQ,3.625,3.71875,3.46875,3.546875,520800.0,
2000-04-17,JBHT,NASDAQ,3.53125,3.859375,3.53125,3.8125,820400.0,
2000-04-18,JBHT,NASDAQ,3.796875,3.96875,3.796875,3.96875,747200.0,
2000-04-19,JBHT,NASDAQ,3.875,4.203125,3.859375,4.03125,582800.0,
2000-04-20,JBHT,NASDAQ,3.96875,4.2578125,3.96875,4.15625,754000.0,
