date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,LNT,NASDAQ,13.74982125,13.74982125,13.3123269375,13.4060757188,229400.0,
2000-01-04,LNT,NASDAQ,13.2810773437,13.4685749063,13.2185781562,13.4060757188,239600.0,
2000-01-05,LNT,NASDAQ,13.374826125,14.1873155625,13.374826125,14.0623171875,284200.0,
2000-01-06,LNT,NASDAQ,13.999818,14.24981475,13.8435700313,14.0623171875,142800.0,
2000-01-07,LNT,NASDAQ,14.0623171875,14.3123139375,13.999818,14.24981475,130400.0,
2000-01-10,LNT,NASDAQ,14.2185651563,14.3435635313,14.124816375,14.2810643438,205800.0,
2000-01-11,LNT,NASDAQ,14.2185651563,14.3435635313,14.1873155625,14.24981475,195200.0,
2000-01-12,LNT,NASDAQ,14.124816375,14.4373123125,14.0935667812,14.4060627187,150200.0,
2000-01-13,LNT,NASDAQ,14.4060627187,14.624809875,14.4060627187,14.5310610937,177000.0,
2000-01-14,LNT,NASDAQ,14.624809875,14.624809875,14.2185651563,14.3435635313,226400.0,
2000-01-18,LNT,NASDAQ,14.24981475,14.374813125,14.0310675937,14.24981475,219800.0,
2000-01-19,LNT,NASDAQ,14.2185651563,14.4685619062,14.124816375,14.374813125,247800.0,
2000-01-20,LNT,NASDAQ,14.3123139375,14.9373058125,14.124816375,14.9373058125,405200.0,
2000-01-21,LNT,NASDAQ,15.0310545938,17.374774125,14.999805,16.7185326562,1513200.0,
2000-01-24,LNT,NASDAQ,16.7185326562,18.874754625,16.7185326562,17.3122749375,1821200.0,
2000-01-25,LNT,NASDAQ,17.3122749375,17.624770875,15.3123009375,15.624796875,584400.0,
2000-01-26,LNT,NASDAQ,15.624796875,15.624796875,15.0935537813,15.3123009375,1566800.0,
2000-01-27,LNT,NASDAQ,15.0935537813,15.0935537813,14.8435570312,14.9373058125,882600.0,
2000-01-28,LNT,NASDAQ,14.9373058125,14.9373058125,14.6873090625,14.8435570312,319000.0,
2000-01-31,LNT,NASDAQ,14.74980825,14.9060562187,14.6873090625,14.9060562187,315600.0,
2000-02-01,LNT,NASDAQ,14.9060562187,14.9060562187,14.74980825,14.9060562187,631000.0,
2000-02-02,LNT,NASDAQ,14.9060562187,14.9060562187,14.4373123125,14.4373123125,356200.0,
2000-02-03,LNT,NASDAQ,14.5623106875,14.74980825,14.5623106875,14.74980825,638200.0,
2000-02-04,LNT,NASDAQ,14.74980825,14.74980825,14.374813125,14.5310610937,237400.0,
2000-02-07,LNT,NASDAQ,14.4998115,14.5623106875,14.374813125,14.5310610937,159600.0,
2000-02-08,LNT,NASDAQ,14.5935602813,14.624809875,14.4685619062,14.5623106875,723000.0,
2000-02-09,LNT,NASDAQ,14.5310610937,14.6873090625,14.5310610937,14.6560594688,213000.0,
2000-02-10,LNT,NASDAQ,14.5935602813,14.999805,14.5935602813,14.874806625,492600.0,
2000-02-11,LNT,NASDAQ,14.8435570312,15.24980175,14.74980825,15.0935537813,303000.0,
2000-02-14,LNT,NASDAQ,15.1560529688,15.4372993125,15.0310545938,15.2185521562,222800.0,
2000-02-15,LNT,NASDAQ,15.2810513437,15.7185456562,15.1873025625,15.6872960625,343600.0,
