date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MAR,NASDAQ,14.7142555286,14.7433926683,14.1897870148,14.2189241544,2134699.094501026,
2000-01-04,MAR,NASDAQ,14.1315127354,14.3354727131,14.0149641768,14.1315127354,914899.924475956,
2000-01-05,MAR,NASDAQ,14.1315127354,14.5394326907,14.1315127354,14.3646098527,851817.3219485531,
2000-01-06,MAR,NASDAQ,14.3937469924,14.5685698303,14.3063355734,14.5685698303,772559.6931320725,
2000-01-07,MAR,NASDAQ,14.5685698303,15.0639012046,14.5685698303,14.9764897856,713116.4715197119,
2000-01-10,MAR,NASDAQ,15.3844097408,16.2002496513,15.3552726012,15.7631925564,2356903.5181472306,
2000-01-11,MAR,NASDAQ,15.6466439978,15.9088782547,15.2095869029,15.2095869029,1359510.9595969785,
2000-01-12,MAR,NASDAQ,15.2095869029,15.4718211598,14.9182155063,15.3552726012,831396.3512585923,
2000-01-13,MAR,NASDAQ,15.3552726012,15.6175068581,15.3261354615,15.3844097408,833216.0417161137,
2000-01-14,MAR,NASDAQ,15.3844097408,15.5883697185,15.2387240425,15.2678611822,699569.8870026094,
2000-01-18,MAR,NASDAQ,15.1513126236,15.3552726012,14.9764897856,15.0639012046,818051.9545701033,
2000-01-19,MAR,NASDAQ,14.9473526459,15.3552726012,14.9473526459,15.1513126236,814008.197997834,
2000-01-20,MAR,NASDAQ,14.9764897856,15.1804497632,14.9182155063,15.0056269252,778018.764504636,
2000-01-21,MAR,NASDAQ,15.0056269252,15.0930383442,14.8890783666,14.9473526459,992944.4263207557,
2000-01-24,MAR,NASDAQ,14.9473526459,14.9473526459,14.0441013164,14.0732384561,1344953.4359368086,
2000-01-25,MAR,NASDAQ,14.0441013164,14.8890783666,14.0441013164,14.422884132,1123355.5757764445,
2000-01-26,MAR,NASDAQ,14.4520212717,14.510295551,14.1023755958,14.510295551,926222.4428783103,
2000-01-27,MAR,NASDAQ,14.4520212717,14.8599412269,14.4520212717,14.5685698303,937747.1491092782,
2000-01-28,MAR,NASDAQ,14.4811584114,14.9764897856,14.3354727131,14.3646098527,1483856.474194263,
2000-01-31,MAR,NASDAQ,14.4520212717,14.5394326907,14.1897870148,14.4811584114,868194.5360662441,
2000-02-01,MAR,NASDAQ,14.4520212717,15.2095869029,14.4520212717,14.8890783666,852828.2610916204,
2000-02-02,MAR,NASDAQ,14.772529808,15.0347640649,14.6268441097,14.6559812493,648820.7420206283,
2000-02-03,MAR,NASDAQ,14.6559812493,15.1513126236,14.6268441097,15.0347640649,1339696.5523928583,
2000-02-04,MAR,NASDAQ,14.9764897856,15.8214668357,14.9182155063,15.7923296961,1260438.9235763776,
2000-02-07,MAR,NASDAQ,15.5883697185,15.7923296961,15.1513126236,15.5009582995,1210296.3420802369,
2000-02-08,MAR,NASDAQ,15.5009582995,15.8214668357,15.3261354615,15.6175068581,1473544.8949349762,
2000-02-09,MAR,NASDAQ,15.4426840202,15.7049182771,15.2095869029,15.2969983219,1275805.1985510015,
2000-02-10,MAR,NASDAQ,15.2969983219,15.2969983219,14.8890783666,14.9473526459,1327969.658333277,
2000-02-11,MAR,NASDAQ,14.9473526459,15.5009582995,14.8308040873,15.2387240425,748499.3415270693,
2000-02-14,MAR,NASDAQ,15.2678611822,15.5592325788,14.8308040873,15.0347640649,935320.8951659165,
2000-02-15,MAR,NASDAQ,15.2095869029,15.5883697185,14.9764897856,15.2969983219,577650.6263486864,
2000-02-16,MAR,NASDAQ,15.3844097408,15.5883697185,14.685118389,15.2387240425,825937.2798860287,
2000-02-17,MAR,NASDAQ,15.1221754839,15.2095869029,14.3354727131,14.7433926683,1044300.1347885773,
2000-02-18,MAR,NASDAQ,14.6268441097,14.8890783666,14.2480612941,14.3354727131,531956.1770820421,
2000-02-22,MAR,NASDAQ,14.3354727131,14.3354727131,13.8110041992,14.1315127354,622334.1364722635,
2000-02-23,MAR,NASDAQ,14.1315127354,14.1315127354,13.8110041992,13.8401413388,875877.673553556,
2000-02-24,MAR,NASDAQ,13.8692784785,13.8692784785,12.4998329144,12.7620671714,1418549.805552112,
2000-02-25,MAR,NASDAQ,13.053438568,13.6070442215,12.9951642887,12.9951642887,1380942.8694300062,
2000-02-28,MAR,NASDAQ,12.7037928921,13.140849987,12.6746557524,13.053438568,1805335.121689682,
2000-02-29,MAR,NASDAQ,13.053438568,13.1117128473,12.6746557524,12.8494785904,1710306.8422413506,
2000-03-01,MAR,NASDAQ,12.791204311,12.9077528697,12.7329300317,12.8203414507,1004266.9447231102,
2000-03-02,MAR,NASDAQ,12.7620671714,12.8494785904,12.6746557524,12.7620671714,732526.5030666052,
2000-03-03,MAR,NASDAQ,12.6163814731,12.7620671714,12.4998329144,12.6746557524,1106169.6103442993,
2000-03-06,MAR,NASDAQ,12.6455186127,12.8203414507,12.3832843558,12.4415586351,1577065.0631850732,
2000-03-07,MAR,NASDAQ,12.4415586351,12.7329300317,12.4124214954,12.4124214954,2219617.9825186837,
2000-03-08,MAR,NASDAQ,12.1793243782,12.791204311,12.1793243782,12.5289700541,1456358.929502831,
2000-03-09,MAR,NASDAQ,12.4706957748,12.5872443334,12.3541472161,12.5872443334,721608.3603214778,
2000-03-10,MAR,NASDAQ,12.5581071938,12.8203414507,12.4998329144,12.5581071938,809964.4414255645,
2000-03-13,MAR,NASDAQ,12.4706957748,12.7620671714,12.4415586351,12.6746557524,822904.4624568267,
2000-03-14,MAR,NASDAQ,12.5581071938,12.966027149,12.4998329144,12.791204311,959785.6224281465,
2000-03-15,MAR,NASDAQ,12.5872443334,13.2573985456,12.4706957748,13.0243014283,1677754.6018345817,
2000-03-16,MAR,NASDAQ,13.140849987,14.8016669476,13.053438568,14.7433926683,1528539.9843178403,
2000-03-17,MAR,NASDAQ,14.8016669476,15.0056269252,14.6268441097,14.772529808,1369013.7875418116,
2000-03-20,MAR,NASDAQ,14.5685698303,14.7433926683,14.1606498751,14.2771984337,1074021.7455947576,
2000-03-21,MAR,NASDAQ,14.2189241544,14.8016669476,14.2189241544,14.6559812493,682990.4850563047,
2000-03-22,MAR,NASDAQ,14.59770697,14.9473526459,14.1897870148,14.3063355734,1157727.5066407344,
2000-03-23,MAR,NASDAQ,14.2189241544,14.59770697,14.1023755958,14.510295551,700783.0139742902,
2000-03-24,MAR,NASDAQ,14.3937469924,14.8890783666,14.2771984337,14.422884132,991326.9236918478,
2000-03-27,MAR,NASDAQ,14.4520212717,14.4520212717,14.1315127354,14.1315127354,738187.7622677824,
2000-03-28,MAR,NASDAQ,13.8692784785,14.2771984337,13.8692784785,14.1897870148,800057.2378235044,
2000-03-29,MAR,NASDAQ,14.1606498751,14.7433926683,14.0149641768,14.5685698303,1231728.2519132646,
2000-03-30,MAR,NASDAQ,14.6268441097,14.8890783666,14.422884132,14.4811584114,677733.6015123546,
2000-03-31,MAR,NASDAQ,14.4811584114,15.0930383442,14.3354727131,14.685118389,885178.3136697756,
2000-04-03,MAR,NASDAQ,14.7142555286,15.1804497632,14.6559812493,15.0347640649,751532.1589562715,
2000-04-04,MAR,NASDAQ,14.9182155063,15.5883697185,14.8890783666,15.3552726012,1177744.101673468,
2000-04-05,MAR,NASDAQ,15.3552726012,15.5009582995,15.1221754839,15.1513126236,613033.4963560438,
2000-04-06,MAR,NASDAQ,15.3261354615,15.6757811374,15.2969983219,15.5592325788,599689.0996675547,
2000-04-07,MAR,NASDAQ,15.4426840202,15.7049182771,14.8308040873,14.9764897856,638306.9749327278,
2000-04-10,MAR,NASDAQ,14.8599412269,15.2095869029,14.8016669476,15.0639012046,497786.4340463654,
2000-04-11,MAR,NASDAQ,14.9473526459,15.4135468805,14.9473526459,15.2969983219,552579.335600616,
2000-04-12,MAR,NASDAQ,15.5009582995,15.8214668357,15.3261354615,15.4718211598,571787.1793188957,
2000-04-13,MAR,NASDAQ,15.3844097408,15.5592325788,14.772529808,14.772529808,625366.9539014656,
2000-04-14,MAR,NASDAQ,14.8599412269,15.0347640649,14.1606498751,14.2771984337,702804.892260425,
