date,code,exchange,open,high,low,close,volume,count_trx
2018-12-07,MRNA,NASDAQ,22.0,22.75,18.51,18.6,12995569.0,59867.0
2018-12-10,MRNA,NASDAQ,18.9,19.4388,18.0,18.8,4233345.0,19119.0
2018-12-11,MRNA,NASDAQ,20.55,20.66,17.99,18.01,3435271.0,17503.0
2018-12-12,MRNA,NASDAQ,18.55,19.48,18.02,18.68,2590873.0,13941.0
2018-12-13,MRNA,NASDAQ,19.25,19.29,18.68,18.76,1608629.0,7746.0
2018-12-14,MRNA,NASDAQ,18.75,18.8806,18.25,18.32,746412.0,4584.0
2018-12-17,MRNA,NASDAQ,18.33,18.47,16.9,17.0,1581242.0,7522.0
2018-12-18,MRNA,NASDAQ,17.1,17.25,16.25,17.0,1621904.0,7170.0
2018-12-19,MRNA,NASDAQ,16.86,17.37,16.0,16.18,941528.0,4753.0
2018-12-20,MRNA,NASDAQ,16.0,16.14,14.75,15.5,2365203.0,11026.0
2018-12-21,MRNA,NASDAQ,15.4,15.5,13.95,14.47,2063235.0,8801.0
2018-12-24,MRNA,NASDAQ,14.32,14.32,13.75,14.03,665427.0,3675.0
2018-12-26,MRNA,NASDAQ,14.15,14.31,13.03,13.52,1817977.0,8161.0
2018-12-27,MRNA,NASDAQ,13.49,14.95,13.27,14.65,1769545.0,9038.0
2018-12-28,MRNA,NASDAQ,14.72,14.85,13.8184,14.15,929098.0,4639.0
2018-12-31,MRNA,NASDAQ,14.24,15.3,14.2129,15.27,994726.0,5182.0
2019-01-02,MRNA,NASDAQ,14.93,15.45,14.51,15.33,2318094.0,10100.0
2019-01-03,MRNA,NASDAQ,15.49,16.08,15.2,15.5,1588921.0,7900.0
2019-01-04,MRNA,NASDAQ,16.0,17.5,15.8944,16.96,1652033.0,8248.0
2019-01-07,MRNA,NASDAQ,17.54,17.94,16.18,16.27,1585442.0,9415.0
2019-01-08,MRNA,NASDAQ,17.35,17.468,16.05,16.95,1892977.0,9083.0
2019-01-09,MRNA,NASDAQ,17.2,17.25,16.15,16.33,1187350.0,6617.0
2019-01-10,MRNA,NASDAQ,16.36,16.51,16.0,16.48,487284.0,2279.0
2019-01-11,MRNA,NASDAQ,16.6,17.06,16.53,17.0,580570.0,2845.0
