date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,MSTR,NASDAQ,115.5,115.5,97.90625,104.25,535800.0,
2000-01-04,MSTR,NASDAQ,104.875,114.125,97.875,98.0,876800.0,
2000-01-05,MSTR,NASDAQ,99.5,105.875,89.78125,104.25,613800.0,
2000-01-06,MSTR,NASDAQ,107.5,108.0625,99.5,100.125,456600.0,
2000-01-07,MSTR,NASDAQ,102.46875,108.5,98.625,105.1875,563000.0,
2000-01-10,MSTR,NASDAQ,113.125,131.0,111.0,125.625,836600.0,
2000-01-11,MSTR,NASDAQ,125.6875,128.4375,116.0,119.25,353400.0,
2000-01-12,MSTR,NASDAQ,123.5,125.0,112.625,115.5,347400.0,
2000-01-13,MSTR,NASDAQ,116.5,116.59375,109.0,113.5,345200.0,
2000-01-14,MSTR,NASDAQ,113.5,115.0,109.8125,113.96875,185600.0,
2000-01-18,MSTR,NASDAQ,122.125,125.0,117.5,120.6875,394800.0,
2000-01-19,MSTR,NASDAQ,122.5,138.0,120.5,132.5,745400.0,
2000-01-20,MSTR,NASDAQ,135.0,150.0,134.75,143.9140625,830600.0,
2000-01-21,MSTR,NASDAQ,140.65625,148.0,136.25,144.5625,518400.0,
2000-01-24,MSTR,NASDAQ,149.0,157.0,138.96875,141.5,879200.0,
2000-01-25,MSTR,NASDAQ,144.90625,144.9375,133.0,144.5,489000.0,
2000-01-26,MSTR,NASDAQ,146.75,155.0,144.0,147.5,671600.0,
2000-01-27,MSTR,NASDAQ,151.375,154.875,142.0,149.5625,337600.0,
2000-01-28,MSTR,NASDAQ,136.125,156.0,136.125,155.0,510000.0,
2000-01-31,MSTR,NASDAQ,154.5625,155.0,131.5,138.875,555000.0,
2000-02-01,MSTR,NASDAQ,138.1875,138.1875,124.0,132.75,629300.0,
2000-02-02,MSTR,NASDAQ,129.625,147.0,128.0,145.0,384500.0,
2000-02-03,MSTR,NASDAQ,148.0,151.0,144.125,149.0,268300.0,
2000-02-04,MSTR,NASDAQ,149.90625,151.0,137.015625,141.96875,164100.0,
2000-02-07,MSTR,NASDAQ,142.234375,146.0,135.0625,141.125,389500.0,
2000-02-08,MSTR,NASDAQ,142.625,160.0,142.5,158.4375,701700.0,
2000-02-09,MSTR,NASDAQ,161.5,161.875,151.0,157.3125,364600.0,
2000-02-10,MSTR,NASDAQ,155.25,166.125,155.0625,164.6875,433000.0,
2000-02-11,MSTR,NASDAQ,163.875,168.4375,158.25,167.875,482200.0,
2000-02-14,MSTR,NASDAQ,170.375,172.0,162.0625,169.875,444600.0,
2000-02-15,MSTR,NASDAQ,168.0,174.9375,162.0625,171.75,273200.0,
2000-02-16,MSTR,NASDAQ,171.875,178.5,168.0,174.75,269200.0,
2000-02-17,MSTR,NASDAQ,178.0,178.5,167.625,172.5,273400.0,
2000-02-18,MSTR,NASDAQ,173.0,173.5,159.625,160.5,555100.0,
2000-02-22,MSTR,NASDAQ,155.625,156.125,140.0,150.5625,634700.0,
2000-02-23,MSTR,NASDAQ,152.25,156.9375,148.25,154.625,368100.0,
2000-02-24,MSTR,NASDAQ,155.0,157.875,147.5,157.5,266500.0,
2000-02-25,MSTR,NASDAQ,157.9375,158.0,145.0,150.0,584200.0,
2000-02-28,MSTR,NASDAQ,147.3125,151.5,145.625,150.0,322200.0,
2000-02-29,MSTR,NASDAQ,150.1875,150.5,137.625,139.0625,652300.0,
2000-03-01,MSTR,NASDAQ,134.5,194.0,134.0,176.9375,1122500.0,
2000-03-02,MSTR,NASDAQ,175.5,181.75,165.0,180.0625,577100.0,
2000-03-03,MSTR,NASDAQ,184.875,188.3125,170.0,188.0,452300.0,
2000-03-06,MSTR,NASDAQ,187.9375,225.0,187.9375,225.0,477300.0,
2000-03-07,MSTR,NASDAQ,212.0,268.0,212.0,246.0,866300.0,
2000-03-08,MSTR,NASDAQ,249.5,261.0,223.0,243.875,603000.0,
2000-03-09,MSTR,NASDAQ,245.0625,299.0625,233.0,283.1875,487300.0,
2000-03-10,MSTR,NASDAQ,282.0625,333.0,280.0,313.0,841900.0,
2000-03-13,MSTR,NASDAQ,290.0,317.0,285.0,294.359375,577200.0,
2000-03-14,MSTR,NASDAQ,294.0625,319.125,283.0,292.0,607200.0,
2000-03-15,MSTR,NASDAQ,294.625,300.0,262.25,268.625,631000.0,
2000-03-16,MSTR,NASDAQ,267.625,267.625,215.0,248.625,1272500.0,
2000-03-17,MSTR,NASDAQ,234.0,243.5,214.25,226.75,954200.0,
2000-03-20,MSTR,NASDAQ,109.25,119.0,85.75,86.75,17325600.0,
2000-03-21,MSTR,NASDAQ,84.0,85.0,63.0,72.3125,7871600.0,
2000-03-22,MSTR,NASDAQ,78.125,92.5,78.0,88.734375,7220800.0,
2000-03-23,MSTR,NASDAQ,97.9375,132.875,91.75,117.734375,14599900.0,
2000-03-24,MSTR,NASDAQ,130.5,142.0,121.0,129.0,7134400.0,
2000-03-27,MSTR,NASDAQ,130.0,130.375,112.0,113.0,3455400.0,
2000-03-28,MSTR,NASDAQ,103.5,109.75,95.0,98.5,4660800.0,
2000-03-29,MSTR,NASDAQ,100.8125,103.875,95.5,96.25,2569100.0,
2000-03-30,MSTR,NASDAQ,91.0,101.0625,90.75,96.0,1542200.0,
2000-03-31,MSTR,NASDAQ,101.0,101.5,86.5,87.0625,1352600.0,
2000-04-03,MSTR,NASDAQ,85.125,88.625,77.0,77.125,1047400.0,
2000-04-04,MSTR,NASDAQ,77.5,79.0625,58.0625,71.25,2172900.0,
2000-04-05,MSTR,NASDAQ,66.125,75.0,63.0,65.375,2020600.0,
2000-04-06,MSTR,NASDAQ,67.75,68.0,59.875,61.0,2267700.0,
2000-04-07,MSTR,NASDAQ,62.875,66.5,62.0,64.375,1670400.0,
2000-04-10,MSTR,NASDAQ,67.4375,67.75,57.5,57.625,1591100.0,
2000-04-11,MSTR,NASDAQ,55.25,56.25,48.5,49.875,1690100.0,
2000-04-12,MSTR,NASDAQ,51.0,53.0,41.0,42.5,1401800.0,
2000-04-13,MSTR,NASDAQ,44.375,52.0,36.125,39.0625,4318300.0,
2000-04-14,MSTR,NASDAQ,36.5,44.0,33.0,33.5625,2882500.0,
2000-04-17,MSTR,NASDAQ,30.0625,33.6875,26.125,30.625,2225000.0,
2000-04-18,MSTR,NASDAQ,31.5,38.375,30.0,35.4375,2380000.0,
2000-04-19,MSTR,NASDAQ,39.0,39.125,34.0,35.375,1561200.0,
2000-04-20,MSTR,NASDAQ,37.75,37.75,32.125,33.6875,805000.0,
2000-04-24,MSTR,NASDAQ,31.5625,32.125,28.25,29.5,1091500.0,
2000-04-25,MSTR,NASDAQ,33.0625,34.0,30.25,31.375,1423100.0,
2000-04-26,MSTR,NASDAQ,32.75,34.375,29.0,29.6875,1642100.0,
