date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NKTR,NASDAQ,21.4375,21.5,20.375,20.84375,107600.0,
2000-01-04,NKTR,NASDAQ,20.5,22.90625,20.4375,22.0,542000.0,
2000-01-05,NKTR,NASDAQ,22.015625,22.03125,21.0,22.015625,180600.0,
2000-01-06,NKTR,NASDAQ,22.0625,23.0,21.6875,22.84375,203000.0,
2000-01-07,NKTR,NASDAQ,23.0,24.625,21.9375,23.0,458200.0,
2000-01-10,NKTR,NASDAQ,23.40625,25.71875,23.28125,25.0,532400.0,
2000-01-11,NKTR,NASDAQ,26.1875,27.125,25.0,25.1875,503400.0,
2000-01-12,NKTR,NASDAQ,25.6875,26.125,25.1875,26.125,236400.0,
2000-01-13,NKTR,NASDAQ,26.90625,28.25,26.875,27.6875,769000.0,
2000-01-14,NKTR,NASDAQ,28.4375,30.125,28.375,30.125,1491800.0,
2000-01-18,NKTR,NASDAQ,30.375,37.375,29.75,33.5625,1613200.0,
2000-01-19,NKTR,NASDAQ,36.75,37.5625,33.125,35.6875,1631000.0,
2000-01-20,NKTR,NASDAQ,36.5625,36.75,33.9375,36.125,937000.0,
2000-01-21,NKTR,NASDAQ,36.09375,36.1875,34.25,36.125,556600.0,
2000-01-24,NKTR,NASDAQ,35.25,40.5,35.125,37.4375,825800.0,
2000-01-25,NKTR,NASDAQ,37.53125,37.875,36.25,36.46875,765000.0,
2000-01-26,NKTR,NASDAQ,36.40625,36.5,32.25,33.0,494800.0,
2000-01-27,NKTR,NASDAQ,31.4375,31.75,30.1875,30.75,649600.0,
2000-01-28,NKTR,NASDAQ,30.5,32.625,29.75,31.0625,361000.0,
2000-01-31,NKTR,NASDAQ,30.75,30.8125,27.5,29.21875,1179200.0,
2000-02-01,NKTR,NASDAQ,29.21875,29.25,27.625,29.0,1095200.0,
2000-02-02,NKTR,NASDAQ,29.3125,33.5,28.9375,33.09375,4130200.0,
2000-02-03,NKTR,NASDAQ,32.625,34.09375,32.1875,32.875,1388400.0,
2000-02-04,NKTR,NASDAQ,32.5,35.8125,32.5,35.59375,5026600.0,
2000-02-07,NKTR,NASDAQ,35.40625,37.5,34.4375,37.0,1824000.0,
2000-02-08,NKTR,NASDAQ,38.0,41.25,37.625,40.75,2881800.0,
2000-02-09,NKTR,NASDAQ,41.5,44.0625,41.34375,42.5625,1749600.0,
2000-02-10,NKTR,NASDAQ,42.25,42.8125,39.875,42.4375,1256200.0,
2000-02-11,NKTR,NASDAQ,42.25,42.25,40.5,40.71875,816200.0,
2000-02-14,NKTR,NASDAQ,40.578125,40.625,39.5,40.625,781800.0,
2000-02-15,NKTR,NASDAQ,40.34375,40.6875,39.9375,40.6875,580200.0,
2000-02-16,NKTR,NASDAQ,40.8125,44.6875,40.125,44.6875,949400.0,
2000-02-17,NKTR,NASDAQ,46.03125,52.0,46.0,51.84375,2505200.0,
2000-02-18,NKTR,NASDAQ,52.4375,54.84375,49.75,50.0625,1557000.0,
2000-02-22,NKTR,NASDAQ,51.0625,52.3125,42.1875,47.28125,1256600.0,
2000-02-23,NKTR,NASDAQ,47.0,47.8125,42.9375,47.21875,933000.0,
2000-02-24,NKTR,NASDAQ,46.5625,47.75,44.9375,46.90625,992000.0,
2000-02-25,NKTR,NASDAQ,46.75,49.3125,46.5625,49.0625,1092000.0,
2000-02-28,NKTR,NASDAQ,49.796875,54.5625,49.4375,49.5,1464600.0,
2000-02-29,NKTR,NASDAQ,51.0,52.625,49.8125,50.625,565000.0,
2000-03-01,NKTR,NASDAQ,52.75,53.75,50.0625,51.125,439400.0,
2000-03-02,NKTR,NASDAQ,51.78125,54.25,51.5,52.625,846200.0,
2000-03-03,NKTR,NASDAQ,53.8125,54.4375,53.125,54.09375,492600.0,
2000-03-06,NKTR,NASDAQ,53.0,59.125,53.0,59.125,1412600.0,
2000-03-07,NKTR,NASDAQ,61.0,70.75,60.6875,63.3125,1216000.0,
2000-03-08,NKTR,NASDAQ,61.5,64.0,59.75,61.625,868200.0,
2000-03-09,NKTR,NASDAQ,62.0,62.6875,58.25,60.875,1578400.0,
2000-03-10,NKTR,NASDAQ,60.125,64.375,59.9375,60.5,706000.0,
2000-03-13,NKTR,NASDAQ,56.5,59.0,55.5,57.03125,604400.0,
2000-03-14,NKTR,NASDAQ,57.0625,57.0625,42.0,49.875,1608400.0,
2000-03-15,NKTR,NASDAQ,50.5,51.1875,39.125,44.625,1178400.0,
2000-03-16,NKTR,NASDAQ,48.0,48.3125,32.3125,40.1875,4065400.0,
2000-03-17,NKTR,NASDAQ,40.375,40.5,36.296875,38.125,943200.0,
2000-03-20,NKTR,NASDAQ,38.0,43.0,36.5,37.125,1405200.0,
2000-03-21,NKTR,NASDAQ,36.375,39.375,35.25,38.53125,1165000.0,
2000-03-22,NKTR,NASDAQ,39.375,49.0,39.3125,48.75,1572800.0,
2000-03-23,NKTR,NASDAQ,48.375,50.0,46.5,48.4375,841200.0,
2000-03-24,NKTR,NASDAQ,48.875,48.875,46.125,46.375,651800.0,
2000-03-27,NKTR,NASDAQ,46.3125,46.5,43.375,44.6875,365000.0,
2000-03-28,NKTR,NASDAQ,45.4375,45.4375,42.9375,43.0,264400.0,
2000-03-29,NKTR,NASDAQ,44.4375,45.5,37.03125,37.5625,1127000.0,
2000-03-30,NKTR,NASDAQ,35.5,37.625,34.0,35.5,1586000.0,
2000-03-31,NKTR,NASDAQ,37.84375,39.25,35.46875,37.25,1745000.0,
2000-04-03,NKTR,NASDAQ,38.0,38.84375,37.0,37.34375,925600.0,
2000-04-04,NKTR,NASDAQ,37.84375,37.84375,33.84375,37.5625,952800.0,
2000-04-05,NKTR,NASDAQ,36.0,41.75,35.25,41.5625,1206200.0,
2000-04-06,NKTR,NASDAQ,42.375,44.4375,40.0,41.1875,630000.0,
2000-04-07,NKTR,NASDAQ,42.5,43.25,39.84375,40.875,555600.0,
2000-04-10,NKTR,NASDAQ,39.703125,43.0,38.0,39.6875,358000.0,
2000-04-11,NKTR,NASDAQ,38.5,38.75,35.3125,35.75,359400.0,
2000-04-12,NKTR,NASDAQ,36.0,36.125,32.75,32.875,762600.0,
2000-04-13,NKTR,NASDAQ,33.0,33.375,31.25,32.40625,462200.0,
2000-04-14,NKTR,NASDAQ,30.125,30.375,21.0625,23.5,1626200.0,
2000-04-17,NKTR,NASDAQ,21.59375,28.9375,21.5,23.15625,1277000.0,
2000-04-18,NKTR,NASDAQ,24.3125,27.6875,23.84375,27.5,1284200.0,
2000-04-19,NKTR,NASDAQ,28.75,30.25,27.25,29.0,1059200.0,
2000-04-20,NKTR,NASDAQ,29.0,29.0,25.0,26.0625,323200.0,
2000-04-24,NKTR,NASDAQ,24.65625,25.25,23.0625,24.9375,307400.0,
2000-04-25,NKTR,NASDAQ,25.5625,26.9375,24.1875,26.6875,354200.0,
2000-04-26,NKTR,NASDAQ,27.0,28.3125,26.5,26.625,478200.0,
2000-04-27,NKTR,NASDAQ,25.0,27.625,24.5,27.40625,162200.0,
2000-04-28,NKTR,NASDAQ,27.875,31.3125,27.375,30.9375,997000.0,
2000-05-01,NKTR,NASDAQ,31.25,35.25,31.15625,35.0,776600.0,
2000-05-02,NKTR,NASDAQ,35.0625,36.625,33.25,33.9375,979400.0,
2000-05-03,NKTR,NASDAQ,32.640625,35.5,31.4375,35.3125,184800.0,
2000-05-04,NKTR,NASDAQ,35.078125,38.25,34.9375,36.703125,355400.0,
2000-05-05,NKTR,NASDAQ,35.8125,38.1875,35.75,37.46875,616000.0,
2000-05-08,NKTR,NASDAQ,36.3125,36.65625,34.375,35.125,230800.0,
2000-05-09,NKTR,NASDAQ,35.875,37.0,32.8125,33.71875,198400.0,
2000-05-10,NKTR,NASDAQ,33.96875,34.0,30.375,31.1875,318600.0,
2000-05-11,NKTR,NASDAQ,31.375,32.0625,30.125,31.0,382800.0,
2000-05-12,NKTR,NASDAQ,30.5,33.125,30.125,32.25,355400.0,
2000-05-15,NKTR,NASDAQ,33.125,35.0,33.03125,33.9375,206800.0,
2000-05-16,NKTR,NASDAQ,37.25,37.375,35.8125,36.125,257000.0,
2000-05-17,NKTR,NASDAQ,36.78125,37.0,35.96875,36.75,693000.0,
2000-05-18,NKTR,NASDAQ,36.75,37.1875,35.4375,35.75,245600.0,
2000-05-19,NKTR,NASDAQ,35.25,36.0,34.375,35.5,218400.0,
2000-05-22,NKTR,NASDAQ,36.25,36.28125,31.5,35.5,300200.0,
2000-05-23,NKTR,NASDAQ,34.5625,37.375,34.5,35.3125,477400.0,
2000-05-24,NKTR,NASDAQ,34.25,34.53125,32.03125,33.78125,271000.0,
2000-05-25,NKTR,NASDAQ,34.09375,34.96875,33.0625,34.0,256000.0,
2000-05-26,NKTR,NASDAQ,33.75,34.875,33.0,34.8125,218600.0,
2000-05-30,NKTR,NASDAQ,35.875,41.3125,35.875,41.3125,820200.0,
2000-05-31,NKTR,NASDAQ,38.625,40.4375,36.375,36.375,682600.0,
