date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NTAP,NASDAQ,44.9375,45.0625,40.0,42.5,5426000.0,
2000-01-04,NTAP,NASDAQ,41.1875,42.4375,37.0,37.125,4511400.0,
2000-01-05,NTAP,NASDAQ,40.375,42.25,35.0,39.1875,6633800.0,
2000-01-06,NTAP,NASDAQ,38.5,38.90625,35.0,35.03125,5594000.0,
2000-01-07,NTAP,NASDAQ,34.5,42.5,33.875,42.5,8510400.0,
2000-01-10,NTAP,NASDAQ,44.28125,45.90625,43.25,44.3125,6348400.0,
2000-01-11,NTAP,NASDAQ,45.5,46.8125,40.875,41.25,4730800.0,
2000-01-12,NTAP,NASDAQ,41.0,44.375,39.3125,43.5625,4357000.0,
2000-01-13,NTAP,NASDAQ,44.0,45.0,41.625,42.859375,5144000.0,
2000-01-14,NTAP,NASDAQ,44.0,47.625,43.5,46.84375,6007600.0,
2000-01-18,NTAP,NASDAQ,48.9375,60.0,48.5,59.0625,7576600.0,
2000-01-19,NTAP,NASDAQ,56.875,58.5,53.0,54.25,5907600.0,
2000-01-20,NTAP,NASDAQ,57.3125,57.625,55.625,57.5,4236600.0,
2000-01-21,NTAP,NASDAQ,57.875,60.75,55.0,58.5625,4913400.0,
2000-01-24,NTAP,NASDAQ,59.9375,59.96875,50.3125,51.0,6404800.0,
2000-01-25,NTAP,NASDAQ,51.875,55.5,49.5,53.59375,5941600.0,
2000-01-26,NTAP,NASDAQ,54.125,57.5625,53.3125,54.1875,5902600.0,
2000-01-27,NTAP,NASDAQ,55.3125,55.75,49.5625,51.4375,6209600.0,
2000-01-28,NTAP,NASDAQ,50.65625,53.5,49.0,49.59375,3665000.0,
2000-01-31,NTAP,NASDAQ,50.4375,52.5,45.3125,50.1875,5795600.0,
2000-02-01,NTAP,NASDAQ,52.0625,54.3125,50.15625,53.90625,3727000.0,
2000-02-02,NTAP,NASDAQ,54.5625,57.625,53.0,56.5625,4979600.0,
2000-02-03,NTAP,NASDAQ,57.5,57.5,53.0,57.3125,4748000.0,
2000-02-04,NTAP,NASDAQ,58.0625,66.9375,57.75,63.96875,7945400.0,
2000-02-07,NTAP,NASDAQ,65.6875,65.90625,60.5,62.6875,5134800.0,
2000-02-08,NTAP,NASDAQ,64.03125,66.25,61.5625,66.0,5974400.0,
2000-02-09,NTAP,NASDAQ,66.8125,67.125,63.0,64.34375,3716200.0,
2000-02-10,NTAP,NASDAQ,65.03125,69.9375,62.9375,69.625,3887400.0,
2000-02-11,NTAP,NASDAQ,72.53125,79.5625,71.25,77.46875,5744000.0,
2000-02-14,NTAP,NASDAQ,79.9375,80.125,71.5625,74.15625,7121800.0,
2000-02-15,NTAP,NASDAQ,74.875,76.5,70.75,75.78125,4902400.0,
2000-02-16,NTAP,NASDAQ,80.75,88.15625,78.53125,87.71875,10380200.0,
2000-02-17,NTAP,NASDAQ,89.25,89.96875,83.03125,87.1875,7400400.0,
2000-02-18,NTAP,NASDAQ,86.0,87.125,83.5,83.625,3796000.0,
2000-02-22,NTAP,NASDAQ,84.96875,85.7109375,81.5625,84.3125,3910000.0,
2000-02-23,NTAP,NASDAQ,83.1875,93.90625,82.40625,89.40625,5906200.0,
2000-02-24,NTAP,NASDAQ,90.8125,100.9375,88.125,100.0,5963200.0,
2000-02-25,NTAP,NASDAQ,101.25,103.96875,95.25,96.46875,4330800.0,
2000-02-28,NTAP,NASDAQ,96.5,98.15625,90.75,92.0,5982200.0,
2000-02-29,NTAP,NASDAQ,92.4375,96.0625,90.90625,94.375,4518400.0,
2000-03-01,NTAP,NASDAQ,94.625,98.7734375,93.375,95.03125,4177600.0,
2000-03-02,NTAP,NASDAQ,96.25,98.40625,94.0,94.625,3044600.0,
2000-03-03,NTAP,NASDAQ,97.125,100.75,93.5,99.96875,4160000.0,
2000-03-06,NTAP,NASDAQ,102.75,111.0,101.0,106.03125,4818200.0,
2000-03-07,NTAP,NASDAQ,111.40625,115.0,106.0,106.3125,5799600.0,
2000-03-08,NTAP,NASDAQ,109.96875,111.5,105.9375,109.15625,4147000.0,
2000-03-09,NTAP,NASDAQ,110.0,120.5,109.0625,120.1875,5275800.0,
2000-03-10,NTAP,NASDAQ,123.5,124.0,114.4375,118.4375,4555600.0,
2000-03-13,NTAP,NASDAQ,112.9375,117.875,110.4375,114.0625,3539000.0,
2000-03-14,NTAP,NASDAQ,116.0,116.0,96.5,98.53125,8538000.0,
2000-03-15,NTAP,NASDAQ,98.0,101.625,81.75,86.53125,16458400.0,
2000-03-16,NTAP,NASDAQ,90.625,97.25,81.0,91.28125,12812200.0,
2000-03-17,NTAP,NASDAQ,93.09375,101.0,93.0625,100.375,8472200.0,
2000-03-20,NTAP,NASDAQ,103.75,104.0,87.8125,91.53125,8276800.0,
2000-03-21,NTAP,NASDAQ,91.53125,96.0,82.5,92.4453125,7693400.0,
2000-03-22,NTAP,NASDAQ,95.5625,103.25,92.25,103.0625,6245400.0,
2000-03-23,NTAP,NASDAQ,102.875,108.25,96.375,105.375,4752500.0,
2000-03-24,NTAP,NASDAQ,109.0,110.25,95.0,100.0,5610100.0,
2000-03-27,NTAP,NASDAQ,103.9375,104.4375,96.25,97.25,4163000.0,
2000-03-28,NTAP,NASDAQ,96.9375,101.0,94.5,95.5625,2830300.0,
2000-03-29,NTAP,NASDAQ,95.0,97.75,87.625,91.8125,5373700.0,
2000-03-30,NTAP,NASDAQ,84.0625,92.0,70.625,79.125,9567400.0,
2000-03-31,NTAP,NASDAQ,84.078125,86.0,66.0,82.75,10611300.0,
2000-04-03,NTAP,NASDAQ,78.125,83.0,66.625,67.875,6700200.0,
2000-04-04,NTAP,NASDAQ,70.1875,74.0,45.125,67.0,13378400.0,
2000-04-05,NTAP,NASDAQ,60.5,76.0,60.0,69.5625,7914100.0,
2000-04-06,NTAP,NASDAQ,74.5,77.5,71.0625,73.0,5876000.0,
2000-04-07,NTAP,NASDAQ,77.125,80.25,75.0,79.9375,4391200.0,
2000-04-10,NTAP,NASDAQ,81.0,81.9375,65.0,67.625,7628500.0,
2000-04-11,NTAP,NASDAQ,63.375,68.25,60.25,63.625,7675500.0,
2000-04-12,NTAP,NASDAQ,61.625,65.5,56.5,56.6875,6222700.0,
2000-04-13,NTAP,NASDAQ,59.25,64.0,53.875,56.9375,7679200.0,
2000-04-14,NTAP,NASDAQ,51.625,58.625,46.125,50.375,8494200.0,
2000-04-17,NTAP,NASDAQ,41.25,54.0,41.125,51.9375,10424600.0,
2000-04-18,NTAP,NASDAQ,54.375,60.5,53.3125,60.25,6306400.0,
2000-04-19,NTAP,NASDAQ,65.125,65.5,60.0,60.5625,6144100.0,
2000-04-20,NTAP,NASDAQ,61.234375,63.875,55.0,56.875,3545700.0,
2000-04-24,NTAP,NASDAQ,51.5,55.5,43.546875,50.625,6044100.0,
2000-04-25,NTAP,NASDAQ,57.0625,69.0,56.0,68.75,8668300.0,
2000-04-26,NTAP,NASDAQ,67.75,68.5,61.0,61.125,5432000.0,
2000-04-27,NTAP,NASDAQ,56.0,68.5,54.5,67.5625,6571700.0,
2000-04-28,NTAP,NASDAQ,70.25,74.6875,68.984375,73.9375,5359300.0,
2000-05-01,NTAP,NASDAQ,76.5,77.0,70.03125,71.0,5951800.0,
2000-05-02,NTAP,NASDAQ,68.25,72.0,64.875,65.25,4918300.0,
2000-05-03,NTAP,NASDAQ,62.25,68.0,61.5,66.75,5227200.0,
2000-05-04,NTAP,NASDAQ,67.875,71.5,64.625,67.875,2905900.0,
2000-05-05,NTAP,NASDAQ,65.0,71.6875,64.375,69.875,3104100.0,
2000-05-08,NTAP,NASDAQ,65.6875,68.1875,62.75,63.1875,3195300.0,
2000-05-09,NTAP,NASDAQ,65.125,67.0,61.5,63.4375,4420400.0,
2000-05-10,NTAP,NASDAQ,64.0,66.3125,57.75,58.0,6000500.0,
2000-05-11,NTAP,NASDAQ,61.484375,62.625,55.5,57.9375,5518600.0,
2000-05-12,NTAP,NASDAQ,60.0,62.5,57.25,58.1875,5602800.0,
2000-05-15,NTAP,NASDAQ,58.890625,66.5,58.75,66.125,4590300.0,
2000-05-16,NTAP,NASDAQ,69.75,73.75,66.5,72.75,7304200.0,
2000-05-17,NTAP,NASDAQ,69.0,72.625,68.375,68.75,6022600.0,
2000-05-18,NTAP,NASDAQ,70.125,71.5,66.71875,69.0,5126300.0,
2000-05-19,NTAP,NASDAQ,65.875,71.0,65.0,65.125,6746200.0,
2000-05-22,NTAP,NASDAQ,63.875,65.5,56.0,65.0625,6610400.0,
2000-05-23,NTAP,NASDAQ,64.0,67.0,58.0,58.0,3833600.0,
2000-05-24,NTAP,NASDAQ,58.0625,66.0,48.75,65.0625,10267500.0,
2000-05-25,NTAP,NASDAQ,62.5625,69.5,58.0,61.375,7562600.0,
2000-05-26,NTAP,NASDAQ,61.25,63.0,56.0625,58.3125,4520300.0,
2000-05-30,NTAP,NASDAQ,60.3125,67.25,59.5,66.8125,5705800.0,
2000-05-31,NTAP,NASDAQ,65.25,70.3125,63.125,64.5625,4728200.0,
2000-06-01,NTAP,NASDAQ,67.375,70.0,66.5625,69.6875,5295800.0,
2000-06-02,NTAP,NASDAQ,73.0,76.75,71.0,74.4375,7426400.0,
2000-06-05,NTAP,NASDAQ,71.375,78.4375,71.375,76.609375,4582400.0,
2000-06-06,NTAP,NASDAQ,77.75,79.375,73.75,73.875,3398600.0,
2000-06-07,NTAP,NASDAQ,73.8125,78.375,72.1875,78.125,3399000.0,
2000-06-08,NTAP,NASDAQ,79.75,85.6875,79.5,85.3125,8387500.0,
2000-06-09,NTAP,NASDAQ,85.875,90.6875,84.25,85.125,6142600.0,
2000-06-12,NTAP,NASDAQ,86.5625,86.5625,78.0,78.1875,4124100.0,
2000-06-13,NTAP,NASDAQ,77.75,86.25,76.8125,86.0625,5239400.0,
2000-06-14,NTAP,NASDAQ,88.125,88.875,75.4375,75.625,9787400.0,
2000-06-15,NTAP,NASDAQ,78.375,82.0,75.6875,79.1875,7380200.0,
2000-06-16,NTAP,NASDAQ,82.625,82.6875,79.125,79.9375,5665000.0,
2000-06-19,NTAP,NASDAQ,80.5,86.0,78.375,85.9375,5197300.0,
2000-06-20,NTAP,NASDAQ,87.875,88.5,84.9375,86.6875,4287600.0,
2000-06-21,NTAP,NASDAQ,84.75,89.0,84.5,87.5625,3790700.0,
2000-06-22,NTAP,NASDAQ,87.75,88.4375,82.0,84.0,3164400.0,
2000-06-23,NTAP,NASDAQ,83.5,84.5,76.0,76.9375,4597700.0,
2000-06-26,NTAP,NASDAQ,81.0,83.0,77.875,82.0625,4333400.0,
2000-06-27,NTAP,NASDAQ,84.6875,86.25,82.5,82.8125,6265700.0,
2000-06-28,NTAP,NASDAQ,83.5,83.875,81.0,82.5625,2613000.0,
2000-06-29,NTAP,NASDAQ,80.9375,81.5625,77.0,77.8125,4391100.0,
2000-06-30,NTAP,NASDAQ,78.75,81.1875,77.5,80.5,4318200.0,
2000-07-03,NTAP,NASDAQ,80.0625,83.1875,80.0,82.8125,1530000.0,
2000-07-05,NTAP,NASDAQ,82.25,82.875,77.5,78.0625,2562100.0,
2000-07-06,NTAP,NASDAQ,78.0,78.25,72.5,78.0625,4276000.0,
2000-07-07,NTAP,NASDAQ,79.5,84.5,77.625,81.5625,3763000.0,
2000-07-10,NTAP,NASDAQ,81.375,82.9375,79.5,81.25,2599300.0,
2000-07-11,NTAP,NASDAQ,80.5,84.875,80.25,83.5,4064000.0,
2000-07-12,NTAP,NASDAQ,84.5,90.125,84.5,90.0,7757800.0,
2000-07-13,NTAP,NASDAQ,92.1875,97.875,92.0,94.5625,8867600.0,
2000-07-14,NTAP,NASDAQ,97.125,97.5,94.0,96.125,3432900.0,
2000-07-17,NTAP,NASDAQ,98.125,103.5,96.4375,102.0,5274400.0,
2000-07-18,NTAP,NASDAQ,100.25,101.6875,98.5,99.9375,4209100.0,
2000-07-19,NTAP,NASDAQ,99.0625,104.75,98.5,100.4375,5331800.0,
2000-07-20,NTAP,NASDAQ,101.4375,113.0625,101.4375,112.5625,7206800.0,
2000-07-21,NTAP,NASDAQ,107.375,112.0,105.75,109.375,5029300.0,
2000-07-24,NTAP,NASDAQ,111.25,111.75,101.125,102.8125,4121200.0,
2000-07-25,NTAP,NASDAQ,103.75,108.5,100.625,106.1875,3998600.0,
2000-07-26,NTAP,NASDAQ,106.5625,109.3125,100.0625,101.9375,4997700.0,
2000-07-27,NTAP,NASDAQ,101.3125,101.375,91.125,95.25,6218300.0,
2000-07-28,NTAP,NASDAQ,95.75,97.375,84.9375,85.0,7067700.0,
2000-07-31,NTAP,NASDAQ,86.0625,89.6875,76.5,86.1875,12629200.0,
2000-08-01,NTAP,NASDAQ,85.0625,86.5,82.0,82.625,4677300.0,
2000-08-02,NTAP,NASDAQ,81.0625,83.0,75.25,76.9375,8863000.0,
2000-08-03,NTAP,NASDAQ,72.125,80.125,69.6875,78.4375,9685200.0,
2000-08-04,NTAP,NASDAQ,83.5,86.5,81.75,84.5625,7078000.0,
2000-08-07,NTAP,NASDAQ,85.75,90.25,84.0625,89.75,4982300.0,
2000-08-08,NTAP,NASDAQ,91.625,94.5,87.75,91.6875,6864400.0,
2000-08-09,NTAP,NASDAQ,94.875,94.875,90.0,90.5625,3744400.0,
2000-08-10,NTAP,NASDAQ,89.0,91.5,84.75,85.6875,3657700.0,
2000-08-11,NTAP,NASDAQ,84.25,89.234375,82.0625,88.6875,4490400.0,
2000-08-14,NTAP,NASDAQ,93.125,93.1875,88.125,90.75,7129100.0,
