date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NTRS,NASDAQ,52.5625,52.75,49.5,50.46875,710100.0,
2000-01-04,NTRS,NASDAQ,49.625,49.625,46.75,47.1875,1276900.0,
2000-01-05,NTRS,NASDAQ,47.5,49.1875,46.8125,48.25,929200.0,
2000-01-06,NTRS,NASDAQ,48.1875,49.625,47.8125,49.25,515900.0,
2000-01-07,NTRS,NASDAQ,49.140625,49.875,48.5,49.875,612500.0,
2000-01-10,NTRS,NASDAQ,49.9375,50.0,48.1875,48.625,528000.0,
2000-01-11,NTRS,NASDAQ,48.375,48.4375,46.875,47.75,873100.0,
2000-01-12,NTRS,NASDAQ,47.75,50.1875,47.625,49.9375,787200.0,
2000-01-13,NTRS,NASDAQ,52.0,55.125,51.125,54.8125,2193600.0,
2000-01-14,NTRS,NASDAQ,55.5,55.5,53.875,54.875,995100.0,
2000-01-18,NTRS,NASDAQ,54.4375,55.625,52.75,55.5625,1015400.0,
2000-01-19,NTRS,NASDAQ,55.6875,59.9375,55.625,57.1875,2081500.0,
2000-01-20,NTRS,NASDAQ,57.1875,57.25,53.75,53.9375,467800.0,
2000-01-21,NTRS,NASDAQ,55.0,56.625,53.5625,55.0625,903600.0,
2000-01-24,NTRS,NASDAQ,55.0,55.375,53.125,53.4375,481800.0,
2000-01-25,NTRS,NASDAQ,53.9375,55.3125,53.125,54.75,537700.0,
2000-01-26,NTRS,NASDAQ,54.875,57.25,54.75,57.0,979800.0,
2000-01-27,NTRS,NASDAQ,57.0625,57.8125,54.875,55.625,1014600.0,
2000-01-28,NTRS,NASDAQ,55.375,55.375,53.1875,54.0,788500.0,
2000-01-31,NTRS,NASDAQ,53.875,60.5625,53.375,60.375,2134500.0,
2000-02-01,NTRS,NASDAQ,59.75,62.0,58.125,60.625,2151200.0,
2000-02-02,NTRS,NASDAQ,61.25,62.375,58.125,58.90625,1931300.0,
2000-02-03,NTRS,NASDAQ,59.8125,60.0,57.0625,57.0625,1848800.0,
2000-02-04,NTRS,NASDAQ,57.59375,59.125,57.25,58.1875,953700.0,
2000-02-07,NTRS,NASDAQ,58.0,59.3125,57.1875,59.25,447200.0,
2000-02-08,NTRS,NASDAQ,59.4375,60.625,58.875,59.40625,770300.0,
2000-02-09,NTRS,NASDAQ,59.375,59.75,57.125,57.25,590100.0,
2000-02-10,NTRS,NASDAQ,57.25,58.125,57.0625,57.3125,1246300.0,
2000-02-11,NTRS,NASDAQ,57.125,58.875,55.6875,55.84375,1047200.0,
2000-02-14,NTRS,NASDAQ,56.25,56.75,54.0625,55.125,660800.0,
2000-02-15,NTRS,NASDAQ,55.0625,59.5,54.875,58.625,956400.0,
2000-02-16,NTRS,NASDAQ,58.375,58.875,56.375,57.5,902100.0,
2000-02-17,NTRS,NASDAQ,58.0,59.125,56.375,58.875,1179900.0,
2000-02-18,NTRS,NASDAQ,58.75,59.25,57.75,58.5625,2051200.0,
2000-02-22,NTRS,NASDAQ,58.375,58.5,55.4375,56.875,956700.0,
2000-02-23,NTRS,NASDAQ,56.625,57.875,55.5625,57.5625,1294600.0,
2000-02-24,NTRS,NASDAQ,57.375,57.375,55.375,56.4375,924600.0,
2000-02-25,NTRS,NASDAQ,56.5,56.5625,55.5,55.6875,1051800.0,
2000-02-28,NTRS,NASDAQ,55.75,57.75,55.625,57.75,449200.0,
2000-02-29,NTRS,NASDAQ,57.6875,57.75,54.625,56.5,1126100.0,
2000-03-01,NTRS,NASDAQ,56.75,56.75,55.625,56.375,884300.0,
2000-03-02,NTRS,NASDAQ,56.375,57.1875,55.8125,56.4375,584000.0,
2000-03-03,NTRS,NASDAQ,57.0,58.0,56.25,57.0,639600.0,
2000-03-06,NTRS,NASDAQ,57.0,58.5,56.4375,56.5,896300.0,
2000-03-07,NTRS,NASDAQ,56.75,57.125,56.125,56.1875,840700.0,
2000-03-08,NTRS,NASDAQ,56.125,56.125,53.0625,53.875,2636800.0,
2000-03-09,NTRS,NASDAQ,53.75,54.0,52.4375,52.9375,1656700.0,
2000-03-10,NTRS,NASDAQ,53.1875,53.1875,52.1875,52.3125,962700.0,
2000-03-13,NTRS,NASDAQ,51.75,55.8125,51.0,54.5625,712700.0,
2000-03-14,NTRS,NASDAQ,54.875,57.5,53.875,54.1875,862000.0,
2000-03-15,NTRS,NASDAQ,55.0,57.3125,53.875,56.6875,1640500.0,
2000-03-16,NTRS,NASDAQ,57.8125,67.75,57.3125,66.625,5989700.0,
2000-03-17,NTRS,NASDAQ,64.0,65.0,61.625,63.3125,3449900.0,
2000-03-20,NTRS,NASDAQ,63.125,63.1875,59.4375,60.0625,1656000.0,
2000-03-21,NTRS,NASDAQ,60.1875,67.8125,59.5,67.34375,1861100.0,
