date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NVDA,NASDAQ,0.0984375492,0.0992187996,0.0919271293,0.0975260904,300911849.54407525,
2000-01-04,NVDA,NASDAQ,0.0958333813,0.096093798,0.0901042117,0.0949219225,300479849.7600751,
2000-01-05,NVDA,NASDAQ,0.0921875461,0.0937500469,0.0904948369,0.0917969209,188351905.8240471,
2000-01-06,NVDA,NASDAQ,0.0917969209,0.0917969209,0.0822917078,0.0858073346,120479939.76003012,
2000-01-07,NVDA,NASDAQ,0.0854167094,0.0881510857,0.0841146254,0.087239627,71183964.4080178,
2000-01-10,NVDA,NASDAQ,0.0875000438,0.0937500469,0.085937543,0.0901042117,239855880.07205996,
2000-01-11,NVDA,NASDAQ,0.0895833781,0.0906250453,0.0864583766,0.0864583766,148127925.93603703,
2000-01-12,NVDA,NASDAQ,0.0864583766,0.086588585,0.0830729582,0.0842448338,123551938.22403088,
2000-01-13,NVDA,NASDAQ,0.0841146254,0.0885417109,0.0830729582,0.0877604605,132191933.90403305,
2000-01-14,NVDA,NASDAQ,0.0890625445,0.0951823393,0.0888021277,0.0915365041,604559697.7201512,
2000-01-18,NVDA,NASDAQ,0.0927083797,0.0958333813,0.0885417109,0.0954427561,261647869.17606542,
2000-01-19,NVDA,NASDAQ,0.0958333813,0.0958333813,0.0937500469,0.0945312973,164687917.65604118,
2000-01-20,NVDA,NASDAQ,0.0953125477,0.1005208836,0.0934896301,0.0942708805,179567910.2160449,
2000-01-21,NVDA,NASDAQ,0.0940104637,0.0944010889,0.0908854621,0.0932292133,544271727.8641361,
2000-01-24,NVDA,NASDAQ,0.0962240064,0.0962240064,0.0885417109,0.0890625445,256943871.52806422,
2000-01-25,NVDA,NASDAQ,0.0894531697,0.0903646285,0.0854167094,0.0882812941,237119881.44005927,
2000-01-26,NVDA,NASDAQ,0.0882812941,0.0906250453,0.0830729582,0.084635459,232463883.76805812,
2000-01-27,NVDA,NASDAQ,0.085286501,0.085286501,0.0770833719,0.0802083734,458207770.8961145,
2000-01-28,NVDA,NASDAQ,0.0791667063,0.0796875398,0.0747396207,0.0778646223,194447902.7760486,
2000-01-31,NVDA,NASDAQ,0.0782552475,0.0799479566,0.0729167031,0.0772135803,182399908.8000456,
2000-02-01,NVDA,NASDAQ,0.0773437887,0.0796875398,0.0744792039,0.0790364979,92975953.51202324,
2000-02-02,NVDA,NASDAQ,0.079427123,0.0828125414,0.0790364979,0.0812500406,149039925.48003727,
2000-02-03,NVDA,NASDAQ,0.0838542086,0.0855469178,0.082031291,0.0825521246,108239945.88002706,
2000-02-04,NVDA,NASDAQ,0.0851562926,0.0851562926,0.0828125414,0.0845052506,123695938.15203092,
2000-02-07,NVDA,NASDAQ,0.0848958758,0.0848958758,0.0791667063,0.0792969146,217487891.25605437,
2000-02-08,NVDA,NASDAQ,0.0812500406,0.085937543,0.0791667063,0.0830729582,468815765.5921172,
2000-02-09,NVDA,NASDAQ,0.0861979598,0.0876302521,0.0850260842,0.0851562926,589055705.4721472,
2000-02-10,NVDA,NASDAQ,0.0903646285,0.1041667188,0.0903646285,0.102604218,970319514.8402426,
2000-02-11,NVDA,NASDAQ,0.1076823455,0.1078125539,0.0966146316,0.1041667188,423791788.10410595,
2000-02-14,NVDA,NASDAQ,0.1044271355,0.1208333938,0.1033854684,0.1208333938,650111674.9441625,
2000-02-15,NVDA,NASDAQ,0.1210938105,0.1212240189,0.1111979723,0.1161458914,450479774.76011264,
2000-02-16,NVDA,NASDAQ,0.1174479754,0.1255208961,0.1161458914,0.1214844357,1019567490.2162548,
2000-02-17,NVDA,NASDAQ,0.1213542273,0.1265625633,0.1195313098,0.1257813129,535775732.1121339,
2000-02-18,NVDA,NASDAQ,0.1239583953,0.1421875711,0.1230469365,0.1403646535,960863519.5682402,
