date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,NWL,NASDAQ,29.0,29.3125,27.625,27.75,1010500.0,
2000-01-04,NWL,NASDAQ,27.5,29.1875,27.5,28.4375,1194700.0,
2000-01-05,NWL,NASDAQ,28.25,28.8125,27.375,28.0,902200.0,
2000-01-06,NWL,NASDAQ,27.8125,28.8125,27.625,28.5625,2052500.0,
2000-01-07,NWL,NASDAQ,28.9375,29.5,28.75,29.5,1780600.0,
2000-01-10,NWL,NASDAQ,29.5,29.6875,28.375,28.9375,1312600.0,
2000-01-11,NWL,NASDAQ,28.9375,29.875,28.5625,28.625,834100.0,
2000-01-12,NWL,NASDAQ,28.875,29.0,27.625,28.25,878800.0,
2000-01-13,NWL,NASDAQ,28.4375,28.625,28.1875,28.3125,1297200.0,
2000-01-14,NWL,NASDAQ,29.5,29.875,28.5,28.75,2802000.0,
2000-01-18,NWL,NASDAQ,28.5625,30.25,28.5625,29.875,2117900.0,
2000-01-19,NWL,NASDAQ,29.75,29.8125,28.75,29.5,1081200.0,
2000-01-20,NWL,NASDAQ,29.375,31.0,29.375,30.6875,2006700.0,
2000-01-21,NWL,NASDAQ,31.75,31.75,30.6875,31.0,1416500.0,
2000-01-24,NWL,NASDAQ,31.75,31.75,30.5,30.5,1376400.0,
2000-01-25,NWL,NASDAQ,30.5,30.875,30.5,30.5625,1130300.0,
2000-01-26,NWL,NASDAQ,30.5,30.8125,30.4375,30.625,829700.0,
2000-01-27,NWL,NASDAQ,30.8125,31.5,30.5625,31.25,554800.0,
2000-01-28,NWL,NASDAQ,30.75,30.9375,29.5625,29.8125,1032900.0,
2000-01-31,NWL,NASDAQ,29.875,30.4375,29.75,29.9375,736800.0,
2000-02-01,NWL,NASDAQ,29.75,30.125,29.5,29.6875,618400.0,
2000-02-02,NWL,NASDAQ,29.6875,30.6875,29.6875,30.5625,863800.0,
2000-02-03,NWL,NASDAQ,31.375,31.875,27.0,27.5,3486000.0,
2000-02-04,NWL,NASDAQ,23.0,23.6875,21.0,23.5,14708000.0,
2000-02-07,NWL,NASDAQ,24.5,26.25,24.375,25.9375,6683000.0,
2000-02-08,NWL,NASDAQ,25.875,28.625,25.875,28.5,3148700.0,
2000-02-09,NWL,NASDAQ,27.0,27.9375,26.0625,26.125,3034800.0,
2000-02-10,NWL,NASDAQ,26.9375,26.9375,26.3125,26.4375,2317100.0,
2000-02-11,NWL,NASDAQ,26.3125,26.75,26.25,26.5,2473600.0,
2000-02-14,NWL,NASDAQ,26.5,27.8125,26.5,27.5,2504600.0,
2000-02-15,NWL,NASDAQ,27.25,28.1875,26.875,27.6875,2349400.0,
2000-02-16,NWL,NASDAQ,27.4375,27.9375,27.25,27.625,2049100.0,
2000-02-17,NWL,NASDAQ,27.375,27.8125,26.1875,26.1875,1812900.0,
2000-02-18,NWL,NASDAQ,26.0625,26.0625,24.0625,24.6875,2355900.0,
2000-02-22,NWL,NASDAQ,24.5,25.5,24.4375,25.1875,951800.0,
2000-02-23,NWL,NASDAQ,25.125,25.75,24.375,24.375,1029700.0,
2000-02-24,NWL,NASDAQ,24.0,24.875,23.4375,23.8125,1653800.0,
2000-02-25,NWL,NASDAQ,24.375,25.0,23.3125,23.5,1751600.0,
2000-02-28,NWL,NASDAQ,23.5,25.0625,23.5,24.375,1128800.0,
2000-02-29,NWL,NASDAQ,24.375,24.75,23.125,23.25,1225900.0,
2000-03-01,NWL,NASDAQ,23.125,24.0,22.6875,23.6875,2068500.0,
2000-03-02,NWL,NASDAQ,24.375,24.375,23.0625,23.8125,1070000.0,
2000-03-03,NWL,NASDAQ,23.5,24.4375,23.375,24.1875,789900.0,
2000-03-06,NWL,NASDAQ,24.4375,24.6875,23.0,23.125,1154600.0,
2000-03-07,NWL,NASDAQ,23.0625,23.0625,22.375,22.4375,1911200.0,
2000-03-08,NWL,NASDAQ,22.4375,23.25,22.3125,23.0625,1225000.0,
2000-03-09,NWL,NASDAQ,22.75,23.0625,22.0625,22.6875,1041700.0,
2000-03-10,NWL,NASDAQ,22.1875,22.4375,21.125,21.5,1619300.0,
2000-03-13,NWL,NASDAQ,21.5,22.3125,21.3125,22.0625,1402500.0,
2000-03-14,NWL,NASDAQ,21.9375,21.9375,21.1875,21.625,1183600.0,
2000-03-15,NWL,NASDAQ,21.25,23.6875,21.25,23.0625,1722400.0,
2000-03-16,NWL,NASDAQ,23.25,25.0625,23.1875,24.5,1305700.0,
2000-03-17,NWL,NASDAQ,25.0625,25.1875,24.5625,24.75,1548600.0,
2000-03-20,NWL,NASDAQ,24.75,24.9375,24.0,24.375,738600.0,
2000-03-21,NWL,NASDAQ,24.5,25.5,24.4375,25.1875,874000.0,
2000-03-22,NWL,NASDAQ,25.1875,25.3125,24.75,24.875,872700.0,
2000-03-23,NWL,NASDAQ,25.0,25.0,24.375,24.875,706800.0,
2000-03-24,NWL,NASDAQ,24.625,25.25,24.0,24.125,666900.0,
2000-03-27,NWL,NASDAQ,24.75,24.8125,23.9375,24.18359375,573200.0,
2000-03-28,NWL,NASDAQ,24.125,24.4375,23.8125,23.8125,1029300.0,
2000-03-29,NWL,NASDAQ,23.875,24.4375,23.5625,24.375,1421800.0,
2000-03-30,NWL,NASDAQ,24.4375,24.4375,23.625,23.8125,1165700.0,
2000-03-31,NWL,NASDAQ,24.0,25.4375,23.875,24.8125,1168200.0,
2000-04-03,NWL,NASDAQ,25.25,25.9375,25.0,25.5625,1092700.0,
2000-04-04,NWL,NASDAQ,26.75,28.0,26.0,26.875,1669200.0,
2000-04-05,NWL,NASDAQ,26.875,27.25,26.625,26.6875,810400.0,
2000-04-06,NWL,NASDAQ,26.6875,27.5,26.4375,26.5,1112900.0,
2000-04-07,NWL,NASDAQ,26.5,26.6875,25.75,26.0625,870600.0,
2000-04-10,NWL,NASDAQ,26.25,26.4375,26.0,26.125,684900.0,
2000-04-11,NWL,NASDAQ,26.1875,26.4375,26.125,26.3125,867600.0,
2000-04-12,NWL,NASDAQ,27.0,27.25,26.5,27.0,1589100.0,
2000-04-13,NWL,NASDAQ,26.75,27.25,26.3125,27.25,865600.0,
2000-04-14,NWL,NASDAQ,26.625,26.625,24.75,25.25,1115300.0,
2000-04-17,NWL,NASDAQ,25.125,27.25,24.8125,27.25,1076100.0,
2000-04-18,NWL,NASDAQ,26.75,26.75,25.75,25.75,1492900.0,
2000-04-19,NWL,NASDAQ,26.375,26.375,25.5,25.75,1017400.0,
2000-04-20,NWL,NASDAQ,26.0,26.5625,26.0,26.25,1006000.0,
2000-04-24,NWL,NASDAQ,26.125,26.75,26.125,26.4375,777100.0,
2000-04-25,NWL,NASDAQ,26.4375,26.8125,26.3125,26.625,987100.0,
2000-04-26,NWL,NASDAQ,26.6875,26.75,26.25,26.4375,795600.0,
2000-04-27,NWL,NASDAQ,26.4375,26.4375,25.6875,26.0625,831600.0,
2000-04-28,NWL,NASDAQ,25.75,25.9375,25.0,25.1875,1271400.0,
2000-05-01,NWL,NASDAQ,25.0,25.3125,24.8125,25.0,975900.0,
2000-05-02,NWL,NASDAQ,25.1875,25.1875,24.25,24.6875,1036000.0,
2000-05-03,NWL,NASDAQ,25.0,26.625,24.875,26.125,2130800.0,
2000-05-04,NWL,NASDAQ,25.75,26.0625,25.0,25.125,1060300.0,
2000-05-05,NWL,NASDAQ,25.625,26.875,25.5,26.0,898300.0,
