date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PBCT,NASDAQ,4.497361,4.550271,4.391541,4.417996,891133.663299,
2000-01-04,PBCT,NASDAQ,4.404769,4.431224,4.365086,4.404769,1229443.155835,
2000-01-05,PBCT,NASDAQ,4.404769,4.444451,4.351858,4.431224,361934.457098,
2000-01-06,PBCT,NASDAQ,4.417996,4.431224,4.378313,4.391541,370911.943632,
2000-01-07,PBCT,NASDAQ,4.417996,4.417996,4.325403,4.365086,362406.956389,
2000-01-10,PBCT,NASDAQ,4.345245,4.351858,4.232811,4.285721,631731.552402,
2000-01-11,PBCT,NASDAQ,4.246038,4.417996,4.246038,4.391541,298147.052779,
2000-01-12,PBCT,NASDAQ,4.378313,4.431224,4.285721,4.378313,228689.656965,
2000-01-13,PBCT,NASDAQ,4.31879,4.470906,4.312176,4.431224,346341.980487,
2000-01-14,PBCT,NASDAQ,4.470906,4.603182,4.417996,4.537044,402569.396146,
2000-01-18,PBCT,NASDAQ,4.537044,4.576726,4.365086,4.431224,217349.673975,
2000-01-19,PBCT,NASDAQ,4.391541,4.470906,4.378313,4.431224,156397.265404,
2000-01-20,PBCT,NASDAQ,4.444451,4.484134,4.338631,4.338631,272159.591761,
2000-01-21,PBCT,NASDAQ,4.351858,4.417996,4.232811,4.246038,255149.617275,
2000-01-24,PBCT,NASDAQ,4.232811,4.338631,4.100535,4.100535,692211.461683,
2000-01-25,PBCT,NASDAQ,4.113763,4.12699,3.994715,4.047625,1276693.08496,
2000-01-26,PBCT,NASDAQ,4.07408,4.232811,4.054239,4.232811,490454.264318,
2000-01-27,PBCT,NASDAQ,4.232811,4.259266,4.140218,4.153445,225854.661218,
2000-01-28,PBCT,NASDAQ,4.219583,4.246038,4.02117,4.1799,589206.61619,
2000-01-31,PBCT,NASDAQ,4.219583,4.417996,4.1799,4.378313,3380259.929609,
2000-02-01,PBCT,NASDAQ,4.404769,4.404769,4.312176,4.312176,393591.909612,
2000-02-02,PBCT,NASDAQ,4.365086,4.365086,4.12699,4.193128,304289.543566,
2000-02-03,PBCT,NASDAQ,4.160059,4.232811,4.100535,4.232811,434699.347951,
2000-02-04,PBCT,NASDAQ,4.206356,4.431224,4.206356,4.325403,286807.069789,
2000-02-07,PBCT,NASDAQ,4.325403,4.338631,4.206356,4.219583,382724.425913,
2000-02-08,PBCT,NASDAQ,4.219583,4.219583,4.047625,4.100535,390284.414573,
2000-02-09,PBCT,NASDAQ,4.100535,4.140218,4.047625,4.113763,643544.034684,
2000-02-10,PBCT,NASDAQ,4.12699,4.1799,4.034398,4.047625,324607.013089,
2000-02-11,PBCT,NASDAQ,4.034398,4.07408,3.955032,4.02117,730483.904274,
2000-02-14,PBCT,NASDAQ,3.96826,4.07408,3.941805,3.955032,254204.618693,
2000-02-15,PBCT,NASDAQ,3.961646,4.047625,3.941805,4.02117,963898.554152,
2000-02-16,PBCT,NASDAQ,4.02117,4.1799,3.994715,4.12699,463521.804717,
2000-02-17,PBCT,NASDAQ,4.100535,4.153445,4.047625,4.113763,361934.457098,
2000-02-18,PBCT,NASDAQ,4.047625,4.12699,3.994715,4.02117,213097.180354,
2000-02-22,PBCT,NASDAQ,3.994715,4.047625,3.941805,3.955032,489036.766445,
2000-02-23,PBCT,NASDAQ,3.955032,4.02117,3.928577,3.96826,472026.79196,
2000-02-24,PBCT,NASDAQ,3.96826,3.981487,3.902122,3.955032,472026.79196,
2000-02-25,PBCT,NASDAQ,3.941805,4.02117,3.849212,3.96826,541011.688482,
2000-02-28,PBCT,NASDAQ,4.02117,4.02117,3.888895,3.928577,337836.993244,
2000-02-29,PBCT,NASDAQ,3.941805,4.232811,3.86244,4.22289,1213850.679224,
2000-03-01,PBCT,NASDAQ,4.193128,4.206356,3.86244,3.86244,788601.317098,
2000-03-02,PBCT,NASDAQ,3.902122,3.902122,3.80953,3.80953,503211.745182,
2000-03-03,PBCT,NASDAQ,3.835985,3.96826,3.822757,3.96826,749383.875924,
2000-03-06,PBCT,NASDAQ,3.941805,4.047625,3.888895,3.96826,360044.459933,
2000-03-07,PBCT,NASDAQ,4.007943,4.034398,3.756619,3.759926,361934.457098,
2000-03-08,PBCT,NASDAQ,3.776461,3.783074,3.703709,3.703709,746548.880176,
2000-03-09,PBCT,NASDAQ,3.730164,3.730164,3.650799,3.677254,559911.660132,
2000-03-10,PBCT,NASDAQ,3.690482,3.716937,3.650799,3.677254,870816.193775,
2000-03-13,PBCT,NASDAQ,3.624344,3.664027,3.465614,3.597889,1099033.35145,
2000-03-14,PBCT,NASDAQ,3.664027,3.888895,3.624344,3.789688,827818.758272,
2000-03-15,PBCT,NASDAQ,3.756619,4.153445,3.730164,4.100535,398789.401816,
2000-03-16,PBCT,NASDAQ,4.1799,4.470906,4.153445,4.470906,758833.861749,
2000-03-17,PBCT,NASDAQ,4.464292,4.470906,4.338631,4.378313,631259.053111,
2000-03-20,PBCT,NASDAQ,4.338631,4.391541,4.153445,4.153445,169627.245559,
2000-03-21,PBCT,NASDAQ,4.219583,4.378313,4.1799,4.365086,241919.63712,
2000-03-22,PBCT,NASDAQ,4.312176,4.470906,4.312176,4.457679,1042805.935791,
2000-03-23,PBCT,NASDAQ,4.457679,4.470906,4.404769,4.457679,571724.142414,
2000-03-24,PBCT,NASDAQ,4.431224,4.497361,4.153445,4.219583,534869.197696,
2000-03-27,PBCT,NASDAQ,4.206356,4.351858,4.206356,4.232811,478169.282746,
2000-03-28,PBCT,NASDAQ,4.252652,4.272493,4.193128,4.193128,238612.142082,
2000-03-29,PBCT,NASDAQ,4.246038,4.272493,4.193128,4.232811,1047530.928703,
2000-03-30,PBCT,NASDAQ,4.232811,4.312176,4.206356,4.298948,557076.664385,
2000-03-31,PBCT,NASDAQ,4.298948,4.497361,4.285721,4.431224,1049420.925868,
2000-04-03,PBCT,NASDAQ,4.42461,4.510589,4.391541,4.510589,1489317.766023,
2000-04-04,PBCT,NASDAQ,4.497361,4.735457,4.431224,4.484134,1245980.631029,
2000-04-05,PBCT,NASDAQ,4.484134,4.497361,4.444451,4.484134,2801920.797118,
2000-04-06,PBCT,NASDAQ,4.470906,4.537044,4.444451,4.470906,1844164.733752,
2000-04-07,PBCT,NASDAQ,4.470906,4.484134,4.365086,4.417996,568416.647375,
2000-04-10,PBCT,NASDAQ,4.365086,4.417996,4.259266,4.259266,194197.208704,
2000-04-11,PBCT,NASDAQ,4.232811,4.246038,4.166673,4.219583,355791.966312,
2000-04-12,PBCT,NASDAQ,4.166673,4.470906,4.153445,4.431224,276884.584673,
2000-04-13,PBCT,NASDAQ,4.497361,4.497361,4.1799,4.246038,309014.536478,
2000-04-14,PBCT,NASDAQ,4.246038,4.285721,4.07408,4.153445,661026.50846,
2000-04-17,PBCT,NASDAQ,4.1799,4.417996,4.100535,4.365086,572196.641705,
2000-04-18,PBCT,NASDAQ,4.378313,4.378313,4.113763,4.153445,561329.158006,
2000-04-19,PBCT,NASDAQ,4.146832,4.391541,4.12699,4.206356,486674.269988,
2000-04-20,PBCT,NASDAQ,4.272493,4.378313,4.1799,4.232811,420051.869922,
2000-04-24,PBCT,NASDAQ,4.239424,4.246038,4.02117,4.12699,232942.150587,
