date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PCAR,NASDAQ,4.9232570265,5.0076557184,4.7544596427,4.8951241292,4920745.079257381,
2000-01-04,PCAR,NASDAQ,4.8740244562,4.9584231481,4.6419280535,4.6700609508,2552256.8227444533,
2000-01-05,PCAR,NASDAQ,4.6559945022,4.9865560454,4.6489612779,4.8599580076,3158237.466764113,
2000-01-06,PCAR,NASDAQ,4.8458915589,4.9232570265,4.7122602968,4.7966589887,5295875.954126694,
2000-01-07,PCAR,NASDAQ,4.7896257643,4.9795228211,4.6700609508,4.9795228211,4016330.3586716494,
2000-01-10,PCAR,NASDAQ,5.000622494,5.1834863264,4.9513899238,5.1834863264,2676034.823966514,
2000-01-11,PCAR,NASDAQ,5.1272205319,5.1272205319,4.7052270724,4.7966589887,2969153.280848203,
2000-01-12,PCAR,NASDAQ,4.8669912319,4.8810576805,4.6700609508,4.7403931941,3131659.3683421975,
2000-01-13,PCAR,NASDAQ,4.7263267454,4.9513899238,4.7122602968,4.9091905778,2010063.61493739,
2000-01-14,PCAR,NASDAQ,4.9795228211,5.0709547373,4.8177586616,4.9232570265,2089038.5359625088,
2000-01-18,PCAR,NASDAQ,4.8951241292,5.0357886157,4.8388583346,4.9935892697,2206741.5432595597,
2000-01-19,PCAR,NASDAQ,5.0709547373,5.0709547373,4.8177586616,4.9584231481,3023068.8519326593,
2000-01-20,PCAR,NASDAQ,5.0041391062,5.0076557184,4.7263267454,4.8388583346,1883248.1167528243,
2000-01-21,PCAR,NASDAQ,5.0357886157,5.0357886157,4.7263267454,4.8388583346,2895493.9795074677,
2000-01-24,PCAR,NASDAQ,4.8529247832,4.8669912319,4.5997287076,4.6489612779,3926724.198277765,
2000-01-25,PCAR,NASDAQ,4.6348948292,4.7263267454,4.5293964644,4.6981938481,4102899.022103029,
2000-01-26,PCAR,NASDAQ,4.7685260914,4.78259254,4.5786290346,4.6137951562,1772379.4776214084,
2000-01-27,PCAR,NASDAQ,4.6032453198,4.78259254,4.5715958103,4.7122602968,2916756.4582450003,
2000-01-28,PCAR,NASDAQ,4.5575293617,4.6278616049,4.4731306698,4.5153300157,3236453.013548604,
2000-01-31,PCAR,NASDAQ,4.5715958103,4.7122602968,4.5504961373,4.6630277265,3531849.5931521724,
2000-02-01,PCAR,NASDAQ,4.8107254373,4.8529247832,4.6981938481,4.7685260914,3476415.2735864646,
2000-02-02,PCAR,NASDAQ,4.78259254,4.78259254,4.6137951562,4.6841273995,2563647.436353845,
2000-02-03,PCAR,NASDAQ,4.7333599697,4.8177586616,4.6630277265,4.78259254,3098246.9017546475,
2000-02-04,PCAR,NASDAQ,4.8247918859,4.8529247832,4.7122602968,4.7263267454,2862840.8871605434,
2000-02-07,PCAR,NASDAQ,4.7122602968,4.7966589887,4.7122602968,4.761492867,5082491.792510748,
2000-02-08,PCAR,NASDAQ,4.8107254373,4.8529247832,4.78259254,4.8458915589,3279737.345264294,
2000-02-09,PCAR,NASDAQ,4.8388583346,4.8529247832,4.7755593157,4.7896257643,3799908.7000931995,
2000-02-10,PCAR,NASDAQ,4.8107254373,4.8388583346,4.7474264184,4.8247918859,3367065.3829363007,
2000-02-11,PCAR,NASDAQ,4.8247918859,4.8458915589,4.7685260914,4.7702843974,2550738.074263201,
2000-02-14,PCAR,NASDAQ,4.761492867,4.8951241292,4.6700609508,4.8810576805,2645659.8543414683,
2000-02-15,PCAR,NASDAQ,4.8810576805,4.9513899238,4.7333599697,4.8880909049,2483153.766847475,
2000-02-16,PCAR,NASDAQ,4.9232570265,5.0639215129,4.8810576805,5.04282184,3935836.6891652783,
2000-02-17,PCAR,NASDAQ,5.04282184,5.0850211859,4.9091905778,5.0568882886,2885622.1143793287,
2000-02-18,PCAR,NASDAQ,5.021722167,5.0568882886,4.9513899238,5.0357886157,5579122.545880244,
2000-02-22,PCAR,NASDAQ,5.021722167,5.2116192237,4.9795228211,5.0920544102,5604941.270061532,
2000-02-23,PCAR,NASDAQ,5.0779879616,5.1905195508,4.9443566994,5.0146889427,4460564.289437941,
2000-02-24,PCAR,NASDAQ,5.000622494,5.0076557184,4.7544596427,4.9373234751,5776559.84844304,
2000-02-25,PCAR,NASDAQ,4.9373234751,4.9935892697,4.7896257643,4.8247918859,5136407.3635952035,
2000-02-28,PCAR,NASDAQ,4.78259254,4.8107254373,4.6559945022,4.7755593157,4554726.695275581,
2000-02-29,PCAR,NASDAQ,4.7720427035,4.8529247832,4.6981938481,4.8458915589,5258666.616336013,
2000-03-01,PCAR,NASDAQ,4.7966589887,4.9091905778,4.7685260914,4.8458915589,2749694.12530725,
2000-03-02,PCAR,NASDAQ,4.7896257643,4.8669912319,4.6841273995,4.8247918859,3818133.681868227,
2000-03-03,PCAR,NASDAQ,4.8880909049,5.4296491778,4.8529247832,5.4015162805,6090181.409821635,
