date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,PETM,NASDAQ,5.875,6.0,5.375,5.84375,1339500.0,
2000-01-04,PETM,NASDAQ,5.75,5.75,5.4375,5.53125,1132500.0,
2000-01-05,PETM,NASDAQ,5.5,5.625,5.03125,5.5,1057600.0,
2000-01-06,PETM,NASDAQ,5.375,5.46875,5.1875,5.375,665000.0,
2000-01-07,PETM,NASDAQ,5.3125,5.4375,5.25,5.375,1157600.0,
2000-01-10,PETM,NASDAQ,5.5,5.5,5.25,5.375,1279300.0,
2000-01-11,PETM,NASDAQ,5.3125,5.375,5.25,5.28125,764700.0,
2000-01-12,PETM,NASDAQ,5.34375,5.34375,5.1875,5.1875,663900.0,
2000-01-13,PETM,NASDAQ,5.28125,5.5,5.21875,5.3125,998200.0,
2000-01-14,PETM,NASDAQ,5.25,5.5,5.25,5.28125,950900.0,
2000-01-18,PETM,NASDAQ,5.28125,5.375,5.1875,5.25,438200.0,
2000-01-19,PETM,NASDAQ,5.265625,5.3125,5.0,5.0,836500.0,
2000-01-20,PETM,NASDAQ,5.125,5.125,4.8125,4.84375,925000.0,
2000-01-21,PETM,NASDAQ,4.78125,4.96875,4.75,4.9375,622200.0,
2000-01-24,PETM,NASDAQ,5.0,5.0,4.75,4.9375,768800.0,
2000-01-25,PETM,NASDAQ,4.90625,4.9375,4.625,4.8125,573900.0,
2000-01-26,PETM,NASDAQ,4.875,4.9375,4.5,4.59375,620000.0,
2000-01-27,PETM,NASDAQ,4.5625,4.875,4.5625,4.5625,714700.0,
2000-01-28,PETM,NASDAQ,4.625,4.75,4.5,4.53125,422400.0,
2000-01-31,PETM,NASDAQ,4.53125,4.5625,3.9375,4.25,1152100.0,
2000-02-01,PETM,NASDAQ,4.25,4.28125,3.9375,4.1875,1225800.0,
2000-02-02,PETM,NASDAQ,4.125,4.5,4.03125,4.25,837300.0,
2000-02-03,PETM,NASDAQ,4.25,4.5625,4.15625,4.375,541700.0,
2000-02-04,PETM,NASDAQ,4.8125,5.03125,4.5625,4.5625,1658900.0,
2000-02-07,PETM,NASDAQ,5.25,5.25,4.75,4.75,1459000.0,
2000-02-08,PETM,NASDAQ,5.0625,5.15625,4.875,4.875,473300.0,
2000-02-09,PETM,NASDAQ,4.8125,4.875,4.5,4.53125,631300.0,
2000-02-10,PETM,NASDAQ,4.53125,4.5625,4.28125,4.5,604500.0,
2000-02-11,PETM,NASDAQ,4.4375,4.5625,4.0625,4.1875,904200.0,
2000-02-14,PETM,NASDAQ,4.3125,4.375,4.0,4.0625,1020800.0,
2000-02-15,PETM,NASDAQ,4.125,4.125,3.9375,4.0,1533800.0,
2000-02-16,PETM,NASDAQ,3.96875,4.03125,3.75,3.78125,1003100.0,
2000-02-17,PETM,NASDAQ,3.8125,4.0,3.71875,3.75,1357200.0,
2000-02-18,PETM,NASDAQ,3.78125,3.875,3.6875,3.71875,2187200.0,
2000-02-22,PETM,NASDAQ,3.78125,3.875,3.5,3.625,1592200.0,
2000-02-23,PETM,NASDAQ,3.5625,3.5625,3.34375,3.4375,2148500.0,
2000-02-24,PETM,NASDAQ,3.4375,3.46875,3.09375,3.125,1633200.0,
2000-02-25,PETM,NASDAQ,3.28125,3.375,3.125,3.1875,3265900.0,
2000-02-28,PETM,NASDAQ,3.34375,3.5,3.25,3.375,1321900.0,
2000-02-29,PETM,NASDAQ,3.5,3.53125,3.1875,3.3125,1622800.0,
