date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,POOL,NASDAQ,5.259256104,5.2654289398,5.1111080447,5.1975277459,332100.199243664,
2000-01-04,POOL,NASDAQ,5.1357993879,5.1975277459,5.0864167015,5.0987623731,155418.8432436049,
2000-01-05,POOL,NASDAQ,5.0864167015,5.1357993879,5.0864167015,5.0987623731,162000.0971920312,
2000-01-06,POOL,NASDAQ,5.0987623731,5.1234537163,4.7407378965,4.8641946126,214650.1287794414,
2000-01-07,POOL,NASDAQ,4.8888859558,4.9382686422,4.8333304336,4.8395032694,325012.6949915126,
2000-01-10,POOL,NASDAQ,4.8148119262,4.9629599854,4.8148119262,4.8765402842,87581.3025444419,
2000-01-11,POOL,NASDAQ,4.8148119262,4.8888859558,4.8148119262,4.8148119262,658125.3948426269,
2000-01-12,POOL,NASDAQ,4.8271575978,4.8395032694,4.6666638669,4.6666638669,116943.8201604976,
2000-01-13,POOL,NASDAQ,4.7777749113,4.7777749113,4.4197504348,4.5185158076,258187.6548997998,
2000-01-14,POOL,NASDAQ,4.4691331212,4.790120583,4.4691331212,4.790120583,65812.5394842627,
2000-01-18,POOL,NASDAQ,4.7530835681,4.790120583,4.6419725237,4.7654292397,47081.2782464341,
2000-01-19,POOL,NASDAQ,4.7407378965,4.7407378965,4.6543181953,4.6666638669,145800.0874728281,
2000-01-20,POOL,NASDAQ,4.6913552101,4.6913552101,4.6419725237,4.6419725237,291600.1749456562,
2000-01-21,POOL,NASDAQ,4.5617256583,4.6419725237,4.5432071508,4.6419725237,409050.2454098788,
2000-01-24,POOL,NASDAQ,4.6419725237,5.0740710299,4.5678984941,4.9259229706,97200.0583152187,
2000-01-25,POOL,NASDAQ,4.913577299,4.975305657,4.8888859558,4.9012316274,102768.8116561948,
2000-01-26,POOL,NASDAQ,5.0246883435,5.1357993879,5.0123426719,5.1111080447,294637.6767680068,
2000-01-27,POOL,NASDAQ,5.1357993879,5.4567868497,5.1357993879,5.2098734175,189843.8638969116,
2000-01-28,POOL,NASDAQ,5.1604907311,5.2098734175,5.1111080447,5.1357993879,106312.5637822705,
2000-01-31,POOL,NASDAQ,5.1111080447,5.1357993879,5.0864167015,5.1234537163,799875.4798856542,
2000-02-01,POOL,NASDAQ,5.0987623731,5.1357993879,5.0123426719,5.0864167015,978075.5867968886,
2000-02-02,POOL,NASDAQ,5.0987623731,5.1604907311,5.0617253583,5.1357993879,494100.2964356952,
2000-02-03,POOL,NASDAQ,5.1604907311,5.1604907311,5.0617253583,5.0740710299,67331.290395438,
2000-02-04,POOL,NASDAQ,5.1111080447,5.2839474472,5.1111080447,5.2839474472,59737.5358395615,
2000-02-07,POOL,NASDAQ,5.2345647608,5.3333301336,5.2222190891,5.2345647608,105806.3134785454,
2000-02-08,POOL,NASDAQ,5.3333301336,5.5802435657,5.3024659546,5.4320955064,308812.6852723095,
2000-02-09,POOL,NASDAQ,5.4814781929,5.5185152077,5.2839474472,5.3086387904,359943.9659485444,
2000-02-10,POOL,NASDAQ,5.38271282,5.38271282,5.2839474472,5.2962931188,199462.6196676885,
2000-02-11,POOL,NASDAQ,5.2839474472,5.2962931188,5.2716017756,5.2716017756,191362.6148080869,
2000-02-14,POOL,NASDAQ,5.259256104,5.2716017756,5.2345647608,5.2345647608,36956.2721719321,
2000-02-15,POOL,NASDAQ,5.3333301336,5.4320955064,5.1111080447,5.1604907311,362981.467770895,
2000-02-16,POOL,NASDAQ,5.1481450595,5.1481450595,4.8148119262,4.8395032694,127068.8262349995,
2000-02-17,POOL,NASDAQ,4.8641946126,4.9629599854,4.8641946126,4.8888859558,305775.183449959,
2000-02-18,POOL,NASDAQ,4.9506143138,4.9506143138,4.8271575978,4.851848941,301218.930716433,
2000-02-22,POOL,NASDAQ,4.851848941,4.8765402842,4.7407378965,4.8271575978,106818.8140859956,
2000-02-23,POOL,NASDAQ,4.8148119262,4.8641946126,4.8148119262,4.8641946126,2110557.5162299317,
2000-02-24,POOL,NASDAQ,4.8765402842,5.0370340151,4.8641946126,5.0370340151,208575.1251347402,
2000-02-25,POOL,NASDAQ,5.0864167015,5.0864167015,5.0246883435,5.0370340151,429806.5078626079,
2000-02-28,POOL,NASDAQ,5.0123426719,5.0123426719,4.8796267021,4.9567871496,170100.1020516328,
2000-02-29,POOL,NASDAQ,4.9629599854,4.9629599854,4.8641946126,4.9012316274,338175.2028883652,
2000-03-01,POOL,NASDAQ,4.9382686422,4.9382686422,4.8888859558,4.9259229706,63281.2879656372,
2000-03-02,POOL,NASDAQ,5.1357993879,5.1851820743,4.9629599854,5.1357993879,610031.6159887426,
2000-03-03,POOL,NASDAQ,5.1851820743,5.3333301336,5.1851820743,5.320984462,418162.7508769307,
2000-03-06,POOL,NASDAQ,5.320984462,5.3703671484,5.3086387904,5.3333301336,407025.2441949784,
2000-03-07,POOL,NASDAQ,5.38271282,5.851848341,5.38271282,5.6790089386,231862.6391060947,
2000-03-08,POOL,NASDAQ,5.790119983,5.8024656546,5.5061695361,5.6543175953,593325.3559658143,
2000-03-09,POOL,NASDAQ,5.7037002818,5.8271569978,5.6296262521,5.7777743114,302231.4313238833,
2000-03-10,POOL,NASDAQ,5.8024656546,5.9259223707,5.7530829682,5.7777743114,211106.3766533657,
2000-03-13,POOL,NASDAQ,5.728391625,5.9135766991,5.728391625,5.8148113262,117956.3207679478,
2000-03-14,POOL,NASDAQ,5.8271569978,5.9753050571,5.728391625,5.7530829682,216168.8796906167,
2000-03-15,POOL,NASDAQ,5.728391625,5.851848341,5.6296262521,5.7253052071,344756.4568367915,
2000-03-16,POOL,NASDAQ,5.6543175953,5.8765396842,5.6543175953,5.7530829682,430312.7581663329,
2000-03-17,POOL,NASDAQ,5.7530829682,5.8024656546,5.728391625,5.7469101324,93656.306189143,
2000-03-20,POOL,NASDAQ,5.7407372966,5.7530829682,5.728391625,5.7530829682,42018.7752091831,
2000-03-21,POOL,NASDAQ,5.7530829682,5.8024656546,5.728391625,5.8024656546,92137.5552779678,
2000-03-22,POOL,NASDAQ,5.8271569978,5.9753050571,5.8271569978,5.9320952065,65812.5394842627,
2000-03-23,POOL,NASDAQ,5.9382680423,6.0246877435,5.9012310275,6.0246877435,35437.5212607568,
2000-03-24,POOL,NASDAQ,5.9753050571,5.9753050571,5.8395026694,5.9135766991,327037.696206413,
2000-03-27,POOL,NASDAQ,5.8425890873,5.9259223707,5.8425890873,5.8765396842,176681.356000059,
2000-03-28,POOL,NASDAQ,6.0370334151,6.0370334151,5.8765396842,5.8765396842,333112.6998511142,
2000-03-29,POOL,NASDAQ,5.8888853558,5.9074038633,5.8765396842,5.9012310275,64800.0388768125,
2000-03-30,POOL,NASDAQ,5.8796261021,5.9259223707,5.8395026694,5.8641940126,110868.8165157964,
2000-03-31,POOL,NASDAQ,5.9876507287,6.166662967,5.9506137139,6.0493790867,193387.6160229873,
