date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,REGN,NASDAQ,13.1875,13.5,12.0,12.3125,153800.0,
2000-01-04,REGN,NASDAQ,12.15625,12.625,11.875,12.0,94100.0,
2000-01-05,REGN,NASDAQ,12.0625,12.125,11.25,11.5,82000.0,
2000-01-06,REGN,NASDAQ,11.5625,11.75,11.375,11.625,42100.0,
2000-01-07,REGN,NASDAQ,11.5625,13.0,11.375,13.0,113900.0,
2000-01-10,REGN,NASDAQ,13.0,15.125,12.125,14.5,286800.0,
2000-01-11,REGN,NASDAQ,14.1875,14.375,13.875,14.09375,198900.0,
2000-01-12,REGN,NASDAQ,14.03125,14.5,13.5,14.125,198000.0,
2000-01-13,REGN,NASDAQ,14.25,14.375,14.0,14.1875,102200.0,
2000-01-14,REGN,NASDAQ,14.1875,14.9375,14.125,14.5,236200.0,
2000-01-18,REGN,NASDAQ,14.5625,17.875,14.5,17.0,351300.0,
2000-01-19,REGN,NASDAQ,18.0,18.25,16.25,16.25,314800.0,
2000-01-20,REGN,NASDAQ,16.3125,16.625,15.0,15.25,189800.0,
2000-01-21,REGN,NASDAQ,15.03125,15.0625,14.1875,14.625,393200.0,
2000-01-24,REGN,NASDAQ,14.8125,16.25,14.5625,14.59375,292200.0,
2000-01-25,REGN,NASDAQ,14.78125,15.0625,14.1875,14.5625,98100.0,
2000-01-26,REGN,NASDAQ,14.5625,14.875,14.0625,14.0625,97500.0,
2000-01-27,REGN,NASDAQ,14.5,14.5,12.875,13.375,184100.0,
2000-01-28,REGN,NASDAQ,13.5,13.5,12.5,12.5625,211000.0,
2000-01-31,REGN,NASDAQ,12.5,12.5625,10.953125,12.3125,312000.0,
2000-02-01,REGN,NASDAQ,12.03125,12.8125,12.03125,12.625,168200.0,
2000-02-02,REGN,NASDAQ,12.28125,13.625,12.25,13.5,129800.0,
2000-02-03,REGN,NASDAQ,13.5,13.5,12.875,12.875,157100.0,
2000-02-04,REGN,NASDAQ,13.0625,13.1875,12.75,13.125,247700.0,
2000-02-07,REGN,NASDAQ,12.875,13.25,12.8125,13.0625,147700.0,
2000-02-08,REGN,NASDAQ,13.125,15.0,12.6875,14.625,349900.0,
2000-02-09,REGN,NASDAQ,15.125,15.25,13.375,13.625,272000.0,
2000-02-10,REGN,NASDAQ,13.875,14.6875,13.5,14.5625,226900.0,
2000-02-11,REGN,NASDAQ,14.625,16.375,14.5,15.75,303800.0,
2000-02-14,REGN,NASDAQ,16.25,16.5,15.75,16.0,110600.0,
2000-02-15,REGN,NASDAQ,15.90625,16.03125,14.25,15.0,245800.0,
2000-02-16,REGN,NASDAQ,15.03125,15.4375,15.0,15.25,152200.0,
2000-02-17,REGN,NASDAQ,15.5625,18.25,15.5,18.125,595100.0,
2000-02-18,REGN,NASDAQ,18.75,24.0,18.75,21.75,762400.0,
2000-02-22,REGN,NASDAQ,22.5625,23.875,18.5,20.875,421300.0,
2000-02-23,REGN,NASDAQ,22.75,38.75,22.75,36.625,4523500.0,
2000-02-24,REGN,NASDAQ,35.4375,37.125,32.625,36.75,2312400.0,
2000-02-25,REGN,NASDAQ,36.125,48.0,34.125,45.875,2159500.0,
2000-02-28,REGN,NASDAQ,45.84375,45.875,40.0,45.125,825100.0,
2000-02-29,REGN,NASDAQ,45.46875,57.375,45.25,56.5,904800.0,
2000-03-01,REGN,NASDAQ,55.875,55.875,47.25,53.4375,647100.0,
2000-03-02,REGN,NASDAQ,53.59375,54.0,46.3125,50.40625,466700.0,
2000-03-03,REGN,NASDAQ,51.875,56.0,48.875,50.296875,762000.0,
2000-03-06,REGN,NASDAQ,49.8125,54.0,46.75,50.625,514400.0,
2000-03-07,REGN,NASDAQ,50.3125,51.0,46.5,46.9375,353300.0,
2000-03-08,REGN,NASDAQ,47.25,48.0,35.125,41.75,749700.0,
2000-03-09,REGN,NASDAQ,41.5,43.25,35.8125,41.0625,553300.0,
2000-03-10,REGN,NASDAQ,43.9375,49.0,39.625,40.0,562700.0,
2000-03-13,REGN,NASDAQ,36.90625,39.0,36.0625,36.84375,252900.0,
2000-03-14,REGN,NASDAQ,37.75,38.75,28.0,29.5625,622300.0,
