date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SBAC,NASDAQ,18.5625,19.1875,17.625,18.0,233800.0,
2000-01-04,SBAC,NASDAQ,17.9375,18.125,16.5,17.75,195500.0,
2000-01-05,SBAC,NASDAQ,16.625,17.0,16.5,17.0,166700.0,
2000-01-06,SBAC,NASDAQ,16.875,17.0,16.6875,16.9375,410900.0,
2000-01-07,SBAC,NASDAQ,16.8125,18.5625,16.75,18.375,508600.0,
2000-01-10,SBAC,NASDAQ,21.875,22.625,21.0,22.0,1448400.0,
2000-01-11,SBAC,NASDAQ,22.71875,27.125,22.25,25.875,713500.0,
2000-01-12,SBAC,NASDAQ,27.5,27.8125,22.5,22.75,433600.0,
2000-01-13,SBAC,NASDAQ,24.125,26.5,23.0,25.4375,150300.0,
2000-01-14,SBAC,NASDAQ,25.46875,26.5,24.0,25.0625,124900.0,
2000-01-18,SBAC,NASDAQ,23.25,27.9375,23.125,27.9375,270800.0,
2000-01-19,SBAC,NASDAQ,27.9375,27.9375,26.125,26.875,114300.0,
2000-01-20,SBAC,NASDAQ,26.375,27.0,26.25,26.875,276100.0,
2000-01-21,SBAC,NASDAQ,27.25,27.5,26.5,26.875,539600.0,
2000-01-24,SBAC,NASDAQ,26.875,29.9375,26.5,28.375,165500.0,
2000-01-25,SBAC,NASDAQ,28.4375,31.375,28.4375,30.5,226400.0,
2000-01-26,SBAC,NASDAQ,31.5625,34.0,30.5625,31.5,244600.0,
2000-01-27,SBAC,NASDAQ,32.0,32.25,27.875,28.9375,289100.0,
2000-01-28,SBAC,NASDAQ,26.875,30.375,26.75,30.25,3695000.0,
2000-01-31,SBAC,NASDAQ,29.75,30.75,28.75,30.3125,972000.0,
2000-02-01,SBAC,NASDAQ,31.96875,33.75,31.0,33.125,675100.0,
2000-02-02,SBAC,NASDAQ,33.9375,34.0,32.625,34.0,974600.0,
2000-02-03,SBAC,NASDAQ,34.0625,35.0,34.0,35.0,889800.0,
2000-02-04,SBAC,NASDAQ,35.0,35.0,33.75,34.5,465100.0,
2000-02-07,SBAC,NASDAQ,34.75,36.5,34.75,35.375,770400.0,
2000-02-08,SBAC,NASDAQ,35.5,35.5,33.375,34.625,176200.0,
2000-02-09,SBAC,NASDAQ,34.3125,34.625,31.25,33.75,660500.0,
2000-02-10,SBAC,NASDAQ,33.875,35.75,33.625,34.75,333700.0,
2000-02-11,SBAC,NASDAQ,35.25,35.375,34.75,34.875,650300.0,
2000-02-14,SBAC,NASDAQ,35.25,35.703125,34.125,34.875,253000.0,
2000-02-15,SBAC,NASDAQ,35.0,35.0625,33.6875,35.0625,183000.0,
2000-02-16,SBAC,NASDAQ,35.125,35.125,32.4375,34.125,99000.0,
2000-02-17,SBAC,NASDAQ,33.0,33.9375,31.5,31.625,425900.0,
2000-02-18,SBAC,NASDAQ,31.78125,31.8125,27.75,27.75,387000.0,
2000-02-22,SBAC,NASDAQ,30.0,31.0,29.375,30.125,832800.0,
2000-02-23,SBAC,NASDAQ,30.3125,31.5,30.0,30.875,691500.0,
2000-02-24,SBAC,NASDAQ,33.0,33.375,32.25,33.25,437000.0,
2000-02-25,SBAC,NASDAQ,34.125,36.375,34.0625,36.0,698400.0,
2000-02-28,SBAC,NASDAQ,36.5,36.5,35.25,36.0,621000.0,
2000-02-29,SBAC,NASDAQ,36.8125,41.375,36.5,40.5,422200.0,
2000-03-01,SBAC,NASDAQ,41.0,45.875,41.0,43.375,321400.0,
2000-03-02,SBAC,NASDAQ,43.25,43.875,42.75,42.875,402100.0,
2000-03-03,SBAC,NASDAQ,43.5,45.0,42.875,44.125,195400.0,
2000-03-06,SBAC,NASDAQ,44.25,44.25,42.375,43.25,222400.0,
2000-03-07,SBAC,NASDAQ,43.8125,45.0,43.0,44.75,235100.0,
2000-03-08,SBAC,NASDAQ,45.125,52.0,44.5,48.125,418000.0,
2000-03-09,SBAC,NASDAQ,49.375,50.0,47.25,47.375,349400.0,
2000-03-10,SBAC,NASDAQ,48.0,52.0,47.25,49.625,477600.0,
2000-03-13,SBAC,NASDAQ,49.5,54.75,49.0,53.75,289600.0,
2000-03-14,SBAC,NASDAQ,54.625,54.75,51.875,52.5,487300.0,
2000-03-15,SBAC,NASDAQ,52.5625,52.9375,47.75,48.9375,378000.0,
2000-03-16,SBAC,NASDAQ,49.375,50.0,42.625,45.375,351800.0,
2000-03-17,SBAC,NASDAQ,45.25,50.625,45.125,50.0625,770400.0,
2000-03-20,SBAC,NASDAQ,50.1875,51.25,49.25,49.25,468700.0,
2000-03-21,SBAC,NASDAQ,49.25,49.3125,47.0,47.1875,241400.0,
2000-03-22,SBAC,NASDAQ,47.25,49.0,47.125,48.0625,441800.0,
2000-03-23,SBAC,NASDAQ,49.0,49.625,48.25,48.625,306500.0,
2000-03-24,SBAC,NASDAQ,48.5,48.984375,45.125,46.25,222100.0,
2000-03-27,SBAC,NASDAQ,45.5,49.1875,45.5,49.0625,685700.0,
2000-03-28,SBAC,NASDAQ,49.6875,50.5,48.25,48.9375,259800.0,
2000-03-29,SBAC,NASDAQ,49.0,49.25,45.25,45.5,224700.0,
2000-03-30,SBAC,NASDAQ,45.125,45.3125,36.25,40.0,451200.0,
2000-03-31,SBAC,NASDAQ,40.25,44.5,40.25,44.0,310400.0,
2000-04-03,SBAC,NASDAQ,44.125,45.0,41.5,41.5,244100.0,
2000-04-04,SBAC,NASDAQ,41.6875,42.375,31.5,38.625,680300.0,
2000-04-05,SBAC,NASDAQ,37.0,41.375,36.5,39.75,427100.0,
2000-04-06,SBAC,NASDAQ,40.9375,43.0,40.75,42.6875,227500.0,
2000-04-07,SBAC,NASDAQ,43.0,45.125,42.75,45.125,158400.0,
2000-04-10,SBAC,NASDAQ,48.5,49.0,43.0,43.125,310800.0,
2000-04-11,SBAC,NASDAQ,42.875,43.5,38.5,38.625,313800.0,
2000-04-12,SBAC,NASDAQ,39.0625,40.5,38.625,39.875,1033600.0,
2000-04-13,SBAC,NASDAQ,40.625,42.25,38.375,38.5,367200.0,
2000-04-14,SBAC,NASDAQ,34.0,36.5,34.0,35.875,335300.0,
2000-04-17,SBAC,NASDAQ,34.0,34.25,33.0,34.25,383400.0,
2000-04-18,SBAC,NASDAQ,33.0,41.125,33.0,40.125,536000.0,
2000-04-19,SBAC,NASDAQ,40.25,41.25,36.8125,36.8125,99700.0,
2000-04-20,SBAC,NASDAQ,37.5,38.0,36.125,37.25,129800.0,
2000-04-24,SBAC,NASDAQ,36.25,39.9375,34.25,39.9375,108600.0,
2000-04-25,SBAC,NASDAQ,40.0,40.0,37.125,37.25,96900.0,
2000-04-26,SBAC,NASDAQ,38.125,39.6875,38.125,39.125,509300.0,
2000-04-27,SBAC,NASDAQ,38.5,42.75,38.0625,42.75,427800.0,
2000-04-28,SBAC,NASDAQ,42.75,43.25,40.625,40.625,50500.0,
2000-05-01,SBAC,NASDAQ,40.75,42.625,40.625,41.125,51700.0,
2000-05-02,SBAC,NASDAQ,40.75,42.625,40.625,41.375,79800.0,
2000-05-03,SBAC,NASDAQ,40.75,42.0,38.875,42.0,81400.0,
2000-05-04,SBAC,NASDAQ,42.125,43.625,41.375,43.25,76100.0,
2000-05-05,SBAC,NASDAQ,42.75,45.0,41.25,44.75,87200.0,
2000-05-08,SBAC,NASDAQ,43.0625,48.375,43.0,48.0,373200.0,
2000-05-09,SBAC,NASDAQ,48.75,48.75,44.0,46.375,207500.0,
2000-05-10,SBAC,NASDAQ,46.0,46.0,41.625,41.9375,142000.0,
2000-05-11,SBAC,NASDAQ,41.25,44.625,38.875,43.625,3096000.0,
2000-05-12,SBAC,NASDAQ,44.25,44.875,41.0625,41.4375,145400.0,
2000-05-15,SBAC,NASDAQ,40.5,41.5,40.375,40.75,102000.0,
2000-05-16,SBAC,NASDAQ,41.5,42.125,41.0,42.0625,148200.0,
2000-05-17,SBAC,NASDAQ,42.0,44.0,41.0,42.875,66900.0,
2000-05-18,SBAC,NASDAQ,43.0625,44.0,41.3125,41.75,146600.0,
2000-05-19,SBAC,NASDAQ,40.0,40.5,39.875,40.0,107300.0,
2000-05-22,SBAC,NASDAQ,39.875,40.0,39.0,39.25,266100.0,
2000-05-23,SBAC,NASDAQ,39.0625,40.625,38.875,39.0,138600.0,
2000-05-24,SBAC,NASDAQ,38.875,39.5,37.5,39.5,190500.0,
2000-05-25,SBAC,NASDAQ,38.0,38.03125,36.125,37.625,670700.0,
2000-05-26,SBAC,NASDAQ,37.5,37.6875,36.375,37.0625,420100.0,
2000-05-30,SBAC,NASDAQ,37.5,38.5,37.25,38.5,251500.0,
2000-05-31,SBAC,NASDAQ,38.25,38.5625,37.0,37.25,341600.0,
2000-06-01,SBAC,NASDAQ,36.75,37.5,36.5,37.1875,221800.0,
2000-06-02,SBAC,NASDAQ,37.1875,38.5,37.1875,38.125,386900.0,
2000-06-05,SBAC,NASDAQ,38.3125,38.625,37.875,38.125,231300.0,
2000-06-06,SBAC,NASDAQ,38.75,40.375,38.125,39.625,605200.0,
2000-06-07,SBAC,NASDAQ,39.75,42.75,39.4375,42.125,589700.0,
2000-06-08,SBAC,NASDAQ,41.3125,42.125,41.0,41.5,444800.0,
2000-06-09,SBAC,NASDAQ,41.9375,43.5,41.5,43.375,279700.0,
2000-06-12,SBAC,NASDAQ,43.875,44.375,43.25,44.0,212900.0,
2000-06-13,SBAC,NASDAQ,41.9375,44.625,41.6875,44.25,216300.0,
2000-06-14,SBAC,NASDAQ,44.5,45.0625,43.0,44.625,145200.0,
2000-06-15,SBAC,NASDAQ,44.875,46.25,44.625,46.0625,193300.0,
2000-06-16,SBAC,NASDAQ,45.96875,47.625,45.625,46.25,155200.0,
2000-06-19,SBAC,NASDAQ,46.0,48.0,46.0,46.875,124800.0,
2000-06-20,SBAC,NASDAQ,47.0,47.625,46.0,47.3125,209100.0,
2000-06-21,SBAC,NASDAQ,47.03125,47.25,46.5,47.09375,122400.0,
2000-06-22,SBAC,NASDAQ,47.0,49.0,46.25,48.125,646300.0,
2000-06-23,SBAC,NASDAQ,48.0,48.4375,47.5,47.875,286000.0,
2000-06-26,SBAC,NASDAQ,47.875,50.375,47.4375,50.375,401400.0,
2000-06-27,SBAC,NASDAQ,50.0,52.625,49.6875,52.125,522300.0,
2000-06-28,SBAC,NASDAQ,51.5,54.0,51.375,53.625,610500.0,
2000-06-29,SBAC,NASDAQ,53.5625,57.0,53.5625,56.625,734200.0,
2000-06-30,SBAC,NASDAQ,56.1875,57.0,49.9375,51.9375,1144100.0,
2000-07-03,SBAC,NASDAQ,50.65625,50.8125,46.0,50.25,108000.0,
2000-07-05,SBAC,NASDAQ,49.75,51.5,49.625,51.0,171700.0,
2000-07-06,SBAC,NASDAQ,51.125,51.25,49.375,50.875,252700.0,
2000-07-07,SBAC,NASDAQ,51.15625,52.125,50.9375,52.0,213800.0,
2000-07-10,SBAC,NASDAQ,52.09375,52.09375,50.625,50.625,166600.0,
2000-07-11,SBAC,NASDAQ,48.5625,49.9375,48.0,48.0625,139100.0,
2000-07-12,SBAC,NASDAQ,49.5,52.5,49.5,51.75,244100.0,
2000-07-13,SBAC,NASDAQ,52.09375,52.125,51.0,51.25,112800.0,
2000-07-14,SBAC,NASDAQ,50.625,51.875,50.5,51.5,156100.0,
2000-07-17,SBAC,NASDAQ,51.5,52.3125,50.75,51.5,99200.0,
2000-07-18,SBAC,NASDAQ,51.625,53.8125,51.125,52.25,192500.0,
2000-07-19,SBAC,NASDAQ,52.96875,53.5,52.0,53.0,155800.0,
2000-07-20,SBAC,NASDAQ,53.0,55.875,53.0,55.625,242200.0,
2000-07-21,SBAC,NASDAQ,55.0625,55.0625,51.25,51.25,384000.0,
2000-07-24,SBAC,NASDAQ,51.6875,52.0,50.1875,50.65625,234500.0,
2000-07-25,SBAC,NASDAQ,50.1875,50.25,46.1875,47.0,369100.0,
2000-07-26,SBAC,NASDAQ,46.625,47.375,46.0,47.0,518300.0,
2000-07-27,SBAC,NASDAQ,46.96875,46.96875,45.5,45.75,762200.0,
2000-07-28,SBAC,NASDAQ,43.125,43.625,41.875,43.625,2691800.0,
2000-07-31,SBAC,NASDAQ,43.5625,45.75,43.0,45.125,1035000.0,
2000-08-01,SBAC,NASDAQ,44.9375,45.5,43.0,43.375,257900.0,
2000-08-02,SBAC,NASDAQ,43.125,46.0,43.125,44.375,392300.0,
2000-08-03,SBAC,NASDAQ,43.75,45.875,43.0,45.5,176500.0,
2000-08-04,SBAC,NASDAQ,45.5,46.375,43.375,43.9375,227200.0,
2000-08-07,SBAC,NASDAQ,44.375,44.5,43.75,44.5,124600.0,
2000-08-08,SBAC,NASDAQ,44.25,45.75,43.5625,45.375,231900.0,
2000-08-09,SBAC,NASDAQ,45.125,45.625,45.0,45.25,275500.0,
2000-08-10,SBAC,NASDAQ,45.3125,45.625,43.875,44.0,190900.0,
2000-08-11,SBAC,NASDAQ,44.4375,45.25,44.0,45.0,526900.0,
2000-08-14,SBAC,NASDAQ,44.0625,46.25,44.0,45.6875,254800.0,
2000-08-15,SBAC,NASDAQ,45.5,45.9375,44.875,44.875,152100.0,
2000-08-16,SBAC,NASDAQ,44.75,44.875,44.375,44.75,168000.0,
2000-08-17,SBAC,NASDAQ,44.5,45.75,44.0,45.4375,287700.0,
2000-08-18,SBAC,NASDAQ,45.40625,46.25,44.75,45.125,336400.0,
2000-08-21,SBAC,NASDAQ,45.0625,45.625,44.9375,45.4375,166900.0,
2000-08-22,SBAC,NASDAQ,45.625,45.625,44.25,44.3125,164400.0,
2000-08-23,SBAC,NASDAQ,44.3125,45.75,44.125,45.0,219700.0,
2000-08-24,SBAC,NASDAQ,44.5,46.0,44.5,45.375,206400.0,
2000-08-25,SBAC,NASDAQ,45.0,45.5625,45.0,45.25,139100.0,
2000-08-28,SBAC,NASDAQ,45.5,45.984375,44.625,44.625,594600.0,
2000-08-29,SBAC,NASDAQ,44.625,44.875,43.5,44.125,802000.0,
2000-08-30,SBAC,NASDAQ,44.375,44.75,44.0,44.5,382400.0,
2000-08-31,SBAC,NASDAQ,44.5,44.875,43.875,44.625,237600.0,
2000-09-01,SBAC,NASDAQ,44.875,45.125,44.5,44.875,184600.0,
2000-09-05,SBAC,NASDAQ,44.5,44.625,40.0625,41.0625,223100.0,
2000-09-06,SBAC,NASDAQ,42.625,43.25,42.375,42.5625,207800.0,
2000-09-07,SBAC,NASDAQ,42.53125,42.8125,42.4375,42.8125,321900.0,
2000-09-08,SBAC,NASDAQ,42.6875,43.0,42.0,42.0,183500.0,
2000-09-11,SBAC,NASDAQ,42.15625,42.625,42.0,42.125,279300.0,
2000-09-12,SBAC,NASDAQ,42.0625,42.4375,41.625,41.75,219600.0,
2000-09-13,SBAC,NASDAQ,41.75,41.8125,40.75,41.0,133500.0,
2000-09-14,SBAC,NASDAQ,41.75,41.75,40.9375,41.125,452200.0,
2000-09-15,SBAC,NASDAQ,40.65625,41.1875,40.5625,40.625,289600.0,
2000-09-18,SBAC,NASDAQ,41.0,41.0,39.625,40.25,243000.0,
2000-09-19,SBAC,NASDAQ,40.0,40.75,40.0,40.5,447100.0,
2000-09-20,SBAC,NASDAQ,40.5,40.6875,38.9375,39.0,267300.0,
2000-09-21,SBAC,NASDAQ,39.1875,40.5,38.5625,38.5625,548900.0,
2000-09-22,SBAC,NASDAQ,37.25,38.125,37.0,37.625,656300.0,
2000-09-25,SBAC,NASDAQ,37.5625,37.9375,37.375,37.5625,643700.0,
2000-09-26,SBAC,NASDAQ,37.5,38.0,37.5,37.671875,316600.0,
2000-09-27,SBAC,NASDAQ,38.0,38.875,37.625,37.625,276600.0,
2000-09-28,SBAC,NASDAQ,38.5,40.0,37.875,39.8125,561400.0,
2000-09-29,SBAC,NASDAQ,39.5,42.0,39.4375,41.9375,369800.0,
2000-10-02,SBAC,NASDAQ,42.0,42.125,37.5,37.625,411300.0,
2000-10-03,SBAC,NASDAQ,37.875,39.125,37.75,38.1875,373700.0,
2000-10-04,SBAC,NASDAQ,37.765625,38.5,36.8125,36.8125,387500.0,
2000-10-05,SBAC,NASDAQ,36.828125,37.25,35.515625,35.515625,713700.0,
2000-10-06,SBAC,NASDAQ,35.5,36.25,31.375,32.375,909600.0,
