date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,SNDK,NASDAQ,24.5,25.0,22.0625,23.84375,2630400.0,
2000-01-04,SNDK,NASDAQ,23.125,23.578125,22.34375,22.40625,2650000.0,
2000-01-05,SNDK,NASDAQ,22.0,22.203125,18.734375,21.390625,7574800.0,
2000-01-06,SNDK,NASDAQ,21.0,21.46875,19.625,19.65625,2318400.0,
2000-01-07,SNDK,NASDAQ,20.25,21.0,19.75,20.515625,4404000.0,
2000-01-10,SNDK,NASDAQ,21.0,22.4375,20.6875,21.5625,2880400.0,
2000-01-11,SNDK,NASDAQ,21.75,21.96875,20.578125,21.21875,2114000.0,
2000-01-12,SNDK,NASDAQ,21.375,21.75,20.1875,20.53125,1445600.0,
2000-01-13,SNDK,NASDAQ,21.375,21.8125,21.0,21.40625,1128000.0,
2000-01-14,SNDK,NASDAQ,22.0,22.25,21.6875,22.09375,1244800.0,
2000-01-18,SNDK,NASDAQ,22.28125,24.515625,22.21875,23.875,2830800.0,
2000-01-19,SNDK,NASDAQ,24.5625,24.71875,23.296875,24.375,2540400.0,
2000-01-20,SNDK,NASDAQ,24.9375,26.75,23.859375,26.5,3019600.0,
2000-01-21,SNDK,NASDAQ,27.5,27.6875,25.625,26.375,2202000.0,
2000-01-24,SNDK,NASDAQ,26.71485,27.125,25.0,25.234375,2772400.0,
2000-01-25,SNDK,NASDAQ,25.21875,25.71485,23.46875,25.640625,2136400.0,
2000-01-26,SNDK,NASDAQ,25.5,26.0,24.101575,24.1875,1840800.0,
2000-01-27,SNDK,NASDAQ,28.0625,36.1875,27.5,35.09375,16527600.0,
2000-01-28,SNDK,NASDAQ,33.125,34.6875,28.75,29.484375,5630800.0,
2000-01-31,SNDK,NASDAQ,30.4375,34.125,28.3125,33.46875,6542000.0,
2000-02-01,SNDK,NASDAQ,33.453125,34.4375,30.75,33.77345,4101200.0,
2000-02-02,SNDK,NASDAQ,33.671875,34.21875,31.9375,33.730475,2342000.0,
2000-02-03,SNDK,NASDAQ,34.28125,34.515625,31.75,33.765625,6068000.0,
2000-02-04,SNDK,NASDAQ,34.1875,37.375,34.15625,35.5,6729600.0,
2000-02-07,SNDK,NASDAQ,36.3125,37.25,35.8125,36.28125,2737600.0,
2000-02-08,SNDK,NASDAQ,37.1875,39.0,35.0,35.769525,3597600.0,
2000-02-09,SNDK,NASDAQ,36.75,37.75,35.5,35.53515,5714800.0,
2000-02-10,SNDK,NASDAQ,36.5,37.34375,36.3125,37.03125,2882400.0,
2000-02-11,SNDK,NASDAQ,37.375,38.28125,36.40625,37.265625,2249600.0,
2000-02-14,SNDK,NASDAQ,38.0,38.8125,37.25,38.109375,3638400.0,
2000-02-15,SNDK,NASDAQ,38.21875,38.578125,35.90625,37.75,1468400.0,
2000-02-16,SNDK,NASDAQ,38.0,38.75,36.3125,37.375,1945600.0,
