date,code,exchange,open,high,low,close,volume,count_trx
2008-06-12,SNI,NASDAQ,40.99,42.78,40.99,42.5,447765.0,
2008-06-13,SNI,NASDAQ,42.5,43.34,42.5,42.61,51220.0,
2008-06-16,SNI,NASDAQ,43.0,43.01,42.26,42.26,56400.0,
2008-06-17,SNI,NASDAQ,43.0,43.49,42.74,43.0,214100.0,
2008-06-18,SNI,NASDAQ,43.0,43.19,41.8,42.7,276800.0,
2008-06-19,SNI,NASDAQ,42.49,42.49,41.35,41.43,58200.0,
2008-06-20,SNI,NASDAQ,41.39,41.48,40.93,41.17,369000.0,
2008-06-23,SNI,NASDAQ,41.27,41.49,41.1,41.49,50700.0,
2008-06-24,SNI,NASDAQ,41.1,41.12,40.66,40.66,107600.0,
2008-06-25,SNI,NASDAQ,40.75,41.24,40.57,40.71,206875.0,
2008-06-26,SNI,NASDAQ,40.52,40.52,39.8,39.8,49500.0,
2008-06-27,SNI,NASDAQ,39.85,39.98,38.74,38.74,40200.0,
2008-06-30,SNI,NASDAQ,38.9,39.02,38.0,38.35,1598855.0,
2008-07-01,SNI,NASDAQ,38.3,41.23,38.09,39.75,1190638.0,
2008-07-02,SNI,NASDAQ,39.85,42.77,39.01,41.75,1046914.0,
2008-07-03,SNI,NASDAQ,42.1,42.15,41.01,41.34,735228.0,
2008-07-07,SNI,NASDAQ,41.13,42.19,40.15,40.2,1439476.0,
2008-07-08,SNI,NASDAQ,39.39,41.23,39.39,40.8,710079.0,
2008-07-09,SNI,NASDAQ,39.9,41.07,39.9,40.0,562347.0,
2008-07-10,SNI,NASDAQ,39.99,41.0,39.9,40.6,1092875.0,
2008-07-11,SNI,NASDAQ,39.9,40.71,39.36,40.18,745157.0,
2008-07-14,SNI,NASDAQ,40.13,41.54,40.03,41.01,851706.0,
2008-07-15,SNI,NASDAQ,40.6,40.95,40.0,40.4,795063.0,
2008-07-16,SNI,NASDAQ,41.61,41.83,39.59,40.21,745275.0,
2008-07-17,SNI,NASDAQ,40.25,41.93,40.13,41.72,1036770.0,
2008-07-18,SNI,NASDAQ,41.92,41.92,39.97,40.14,857033.0,
2008-07-21,SNI,NASDAQ,39.63,40.12,38.1,38.31,825354.0,
2008-07-22,SNI,NASDAQ,39.0,39.68,38.77,39.09,694109.0,
2008-07-23,SNI,NASDAQ,39.9,40.5,38.5,39.94,577535.0,
2008-07-24,SNI,NASDAQ,40.2,41.07,38.99,40.75,1100208.0,
2008-07-25,SNI,NASDAQ,40.4,41.3,40.4,40.64,792179.0,
2008-07-28,SNI,NASDAQ,42.34,42.34,39.54,40.04,687157.0,
2008-07-29,SNI,NASDAQ,40.27,41.04,40.04,40.7,258034.0,
2008-07-30,SNI,NASDAQ,41.1,41.8,40.04,40.72,711926.0,
2008-07-31,SNI,NASDAQ,39.99,41.48,39.99,40.54,586085.0,
2008-08-01,SNI,NASDAQ,40.27,40.45,39.99,40.1,422981.0,
2008-08-04,SNI,NASDAQ,39.97,41.11,39.75,40.82,528771.0,
2008-08-05,SNI,NASDAQ,41.3,42.9,40.9,42.65,600289.0,
2008-08-06,SNI,NASDAQ,43.15,43.15,41.94,42.43,260772.0,
2008-08-07,SNI,NASDAQ,42.95,42.95,40.84,40.89,490369.0,
2008-08-08,SNI,NASDAQ,40.67,41.28,39.75,41.28,601927.0,
2008-08-11,SNI,NASDAQ,41.26,42.36,41.18,41.57,328377.0,
2008-08-12,SNI,NASDAQ,41.5,42.36,41.5,42.16,322465.0,
2008-08-13,SNI,NASDAQ,42.45,42.54,42.02,42.3,576757.0,
2008-08-14,SNI,NASDAQ,41.45,43.29,41.45,42.9,427283.0,
2008-08-15,SNI,NASDAQ,42.89,43.19,42.52,42.75,342697.0,
2008-08-18,SNI,NASDAQ,42.95,42.99,40.96,41.72,521639.0,
2008-08-19,SNI,NASDAQ,41.75,42.25,40.84,41.47,489594.0,
2008-08-20,SNI,NASDAQ,40.87,42.4,40.8,41.79,320289.0,
2008-08-21,SNI,NASDAQ,41.05,42.36,40.83,41.86,389642.0,
2008-08-22,SNI,NASDAQ,42.1,42.99,41.16,42.02,524655.0,
2008-08-25,SNI,NASDAQ,41.16,41.49,40.88,41.01,349727.0,
2008-08-26,SNI,NASDAQ,41.07,41.87,40.71,41.76,315680.0,
2008-08-27,SNI,NASDAQ,41.57,41.75,41.03,41.41,214134.0,
2008-08-28,SNI,NASDAQ,41.2,42.11,41.0,41.68,386001.0,
2008-08-29,SNI,NASDAQ,41.5,41.54,40.99,41.54,311970.0,
2008-09-02,SNI,NASDAQ,43.0,43.0,41.19,41.51,417260.0,
2008-09-03,SNI,NASDAQ,41.2,41.97,40.57,41.49,363108.0,
2008-09-04,SNI,NASDAQ,40.72,41.41,40.26,40.26,547531.0,
2008-09-05,SNI,NASDAQ,40.26,40.99,39.44,40.24,561484.0,
2008-09-08,SNI,NASDAQ,39.57,40.77,39.57,40.38,550347.0,
2008-09-09,SNI,NASDAQ,44.24,44.24,39.48,39.48,990181.0,
2008-09-10,SNI,NASDAQ,39.54,40.36,38.0,39.7,1102930.0,
2008-09-11,SNI,NASDAQ,40.8,41.5,39.49,40.99,1212664.0,
2008-09-12,SNI,NASDAQ,39.9,41.33,39.65,40.85,664972.0,
2008-09-15,SNI,NASDAQ,40.2,40.45,39.31,39.78,820899.0,
2008-09-16,SNI,NASDAQ,38.7,41.69,38.31,41.41,738091.0,
2008-09-17,SNI,NASDAQ,40.45,41.04,39.16,39.16,693954.0,
2008-09-18,SNI,NASDAQ,39.5,43.03,38.19,42.02,1557929.0,
2008-09-19,SNI,NASDAQ,44.98,44.98,40.9,41.6,839089.0,
2008-09-22,SNI,NASDAQ,42.0,42.71,39.28,39.92,589103.0,
2008-09-23,SNI,NASDAQ,40.05,40.85,39.43,39.9,677471.0,
2008-09-24,SNI,NASDAQ,39.98,40.11,38.84,39.5,830215.0,
2008-09-25,SNI,NASDAQ,39.5,41.4,38.28,40.29,1068479.0,
2008-09-26,SNI,NASDAQ,40.29,40.29,38.82,39.11,766099.0,
2008-09-29,SNI,NASDAQ,39.18,39.22,34.88,36.27,1063193.0,
2008-09-30,SNI,NASDAQ,35.41,37.05,35.05,36.31,726196.0,
2008-10-01,SNI,NASDAQ,36.57,37.1,35.6,36.77,668228.0,
2008-10-02,SNI,NASDAQ,35.03,37.04,35.03,36.11,558026.0,
2008-10-03,SNI,NASDAQ,35.6,37.09,35.19,35.83,959076.0,
2008-10-06,SNI,NASDAQ,35.6,35.89,32.52,34.54,1086962.0,
2008-10-07,SNI,NASDAQ,34.35,35.58,32.86,33.25,679789.0,
2008-10-08,SNI,NASDAQ,32.63,37.14,31.81,32.22,1006251.0,
2008-10-09,SNI,NASDAQ,33.07,34.31,28.4,28.7,1129144.0,
2008-10-10,SNI,NASDAQ,27.75,30.01,24.4,27.06,1857085.0,
2008-10-13,SNI,NASDAQ,26.21,30.45,25.81,30.07,828580.0,
2008-10-14,SNI,NASDAQ,30.035,32.71,29.46,30.37,1114482.0,
2008-10-15,SNI,NASDAQ,29.61,31.26,28.35,28.59,853004.0,
2008-10-16,SNI,NASDAQ,28.71,28.84,26.88,28.36,861873.0,
2008-10-17,SNI,NASDAQ,26.96,28.87,26.96,28.65,990023.0,
2008-10-20,SNI,NASDAQ,28.34,29.77,28.34,29.54,585740.0,
2008-10-21,SNI,NASDAQ,29.12,30.2199,28.76,29.28,635635.0,
2008-10-22,SNI,NASDAQ,27.58,28.05,25.5,26.66,1290872.0,
2008-10-23,SNI,NASDAQ,26.76,27.06,23.56,24.45,1034480.0,
2008-10-24,SNI,NASDAQ,23.0,23.78,22.06,23.4,1458616.0,
2008-10-27,SNI,NASDAQ,22.91,22.99,21.25,21.41,1226601.0,
2008-10-28,SNI,NASDAQ,22.52,26.24,20.9,26.16,1328584.0,
2008-10-29,SNI,NASDAQ,25.9,28.88,25.15,27.5,1711559.0,
2008-10-30,SNI,NASDAQ,27.5,28.33,26.23,26.75,828178.0,
2008-10-31,SNI,NASDAQ,26.76,29.0,26.73,28.4,1141344.0,
2008-11-03,SNI,NASDAQ,28.4,28.86,28.05,28.51,730764.0,
2008-11-04,SNI,NASDAQ,29.17,29.17,28.02,28.62,784985.0,
2008-11-05,SNI,NASDAQ,27.95,28.5,26.87,27.01,488729.0,
2008-11-06,SNI,NASDAQ,26.76,27.27,24.42,24.75,786029.0,
2008-11-07,SNI,NASDAQ,24.98,25.37,24.12,25.06,678401.0,
2008-11-10,SNI,NASDAQ,25.55,25.65,23.92,24.79,735583.0,
2008-11-11,SNI,NASDAQ,24.44,24.8,23.79,24.4,551718.0,
2008-11-12,SNI,NASDAQ,23.88,25.0,23.4,23.4,1042820.0,
2008-11-13,SNI,NASDAQ,23.16,25.47,22.29,25.47,794284.0,
2008-11-14,SNI,NASDAQ,25.0,27.0,25.0,26.0,767454.0,
2008-11-17,SNI,NASDAQ,25.56,25.78,23.53,23.84,705505.0,
2008-11-18,SNI,NASDAQ,23.73,25.47,22.96,23.88,680490.0,
2008-11-19,SNI,NASDAQ,24.1,25.45,24.1,24.4,1120245.0,
2008-11-20,SNI,NASDAQ,24.13,24.57,21.9,22.4,1160518.0,
2008-11-21,SNI,NASDAQ,22.18,24.69,22.18,24.67,1146819.0,
2008-11-24,SNI,NASDAQ,25.0,25.79,24.29,25.46,975834.0,
2008-11-25,SNI,NASDAQ,26.06,26.77,24.51,25.74,855774.0,
2008-11-26,SNI,NASDAQ,24.92,26.5,24.91,25.97,472658.0,
2008-11-28,SNI,NASDAQ,26.32,27.79,26.25,27.79,448747.0,
2008-12-01,SNI,NASDAQ,27.05,27.05,24.5,24.76,733126.0,
2008-12-02,SNI,NASDAQ,24.76,25.6,24.22,24.8,569971.0,
2008-12-03,SNI,NASDAQ,24.1,24.77,22.98,24.23,928256.0,
2008-12-04,SNI,NASDAQ,24.14,24.99,23.31,24.03,655674.0,
2008-12-05,SNI,NASDAQ,23.74,23.89,22.47,23.88,654025.0,
2008-12-08,SNI,NASDAQ,24.64,25.38,23.63,24.96,1194140.0,
2008-12-09,SNI,NASDAQ,23.9,24.92,23.5,24.16,865773.0,
2008-12-10,SNI,NASDAQ,24.53,25.08,23.55,23.76,700782.0,
2008-12-11,SNI,NASDAQ,23.48,23.48,22.0,22.25,1034693.0,
2008-12-12,SNI,NASDAQ,22.07,22.98,20.870001,21.44,1382950.0,
2008-12-15,SNI,NASDAQ,21.5,21.99,20.35,20.72,894073.0,
2008-12-16,SNI,NASDAQ,21.5,21.92,20.75,21.13,1627152.0,
2008-12-17,SNI,NASDAQ,21.06,21.38,20.51,20.64,750451.0,
2008-12-18,SNI,NASDAQ,20.83,21.16,20.28,20.55,2066284.0,
2008-12-19,SNI,NASDAQ,21.15,21.55,20.69,21.07,1129492.0,
2008-12-22,SNI,NASDAQ,21.49,21.69,20.12,20.6,685969.0,
2008-12-23,SNI,NASDAQ,20.3,20.87,20.0,20.75,1150974.0,
2008-12-24,SNI,NASDAQ,21.22,21.22,20.38,20.9,255383.0,
2008-12-26,SNI,NASDAQ,21.09,21.4,20.4701,21.31,370654.0,
2008-12-29,SNI,NASDAQ,21.18,21.24,20.28,20.92,493394.0,
2008-12-30,SNI,NASDAQ,20.8,22.09,20.8,22.06,518923.0,
2008-12-31,SNI,NASDAQ,21.94,22.61,21.71,22.0,831886.0,
2009-01-02,SNI,NASDAQ,22.0,24.06,21.69,23.75,555945.0,
2009-01-05,SNI,NASDAQ,23.5,24.03,22.93,24.03,823645.0,
2009-01-06,SNI,NASDAQ,24.63,24.7,23.48,24.37,1117809.0,
2009-01-07,SNI,NASDAQ,23.89,24.3,23.24,23.67,908203.0,
2009-01-08,SNI,NASDAQ,23.51,24.5,20.82,23.43,2928349.0,
