date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,STI,INDEX,2502.28,2608.48,2502.28,2608.48,,
2000-01-04,STI,INDEX,2580.5,2580.5,2520.8,2549.01,,
2000-01-05,STI,INDEX,2481.73,2481.73,2373.67,2425.9,,
2000-01-06,STI,INDEX,2404.79,2427.97,2318.17,2409.0,,
2000-01-07,STI,INDEX,2358.33,2449.96,2349.48,2449.96,,
2000-01-10,STI,INDEX,2436.77,2467.92,2432.29,2457.59,,
2000-01-11,STI,INDEX,2448.06,2460.88,2384.01,2449.74,,
2000-01-12,STI,INDEX,2402.28,2452.61,2381.97,2452.61,,
2000-01-13,STI,INDEX,2426.85,2430.47,2381.86,2412.51,,
2000-01-14,STI,INDEX,2398.35,2418.57,2363.86,2418.57,,
2000-01-17,STI,INDEX,2398.89,2401.84,2331.26,2367.16,,
2000-01-18,STI,INDEX,2332.56,2348.75,2303.53,2343.04,,
2000-01-19,STI,INDEX,2306.24,2306.24,2253.57,2286.65,,
2000-01-20,STI,INDEX,2265.25,2347.34,2265.25,2347.34,,
2000-01-21,STI,INDEX,2309.74,2310.83,2259.56,2285.61,,
2000-01-24,STI,INDEX,2263.03,2291.34,2247.41,2256.84,,
2000-01-25,STI,INDEX,2261.36,2261.36,2234.05,2255.12,,
2000-01-26,STI,INDEX,2252.76,2266.75,2246.74,2266.75,,
2000-01-27,STI,INDEX,2262.66,2305.72,2262.66,2303.69,,
2000-01-28,STI,INDEX,2318.66,2325.3,2275.89,2275.89,,
2000-01-31,STI,INDEX,2281.83,2281.83,2223.41,2231.82,,
2000-02-01,STI,INDEX,2241.78,2256.88,2223.2,2240.63,,
2000-02-02,STI,INDEX,2240.44,2280.36,2240.44,2277.48,,
2000-02-03,STI,INDEX,2274.13,2274.13,2239.29,2260.2,,
2000-02-04,STI,INDEX,2249.47,2270.98,2243.77,2270.98,,
2000-02-08,STI,INDEX,2264.39,2283.57,2245.48,2261.31,,
2000-02-09,STI,INDEX,2254.96,2285.68,2216.37,2249.69,,
2000-02-10,STI,INDEX,2223.63,2236.72,2189.29,2236.72,,
2000-02-11,STI,INDEX,2235.97,2259.5,2212.28,2239.15,,
2000-02-14,STI,INDEX,2219.32,2254.06,2210.98,2237.87,,
2000-02-15,STI,INDEX,2249.02,2253.94,2183.11,2209.94,,
2000-02-16,STI,INDEX,2203.66,2218.66,2178.75,2218.66,,
2000-02-17,STI,INDEX,2213.34,2241.87,2213.34,2241.87,,
2000-02-18,STI,INDEX,2236.54,2236.54,2177.14,2179.75,,
2000-02-21,STI,INDEX,2160.52,2162.33,2107.7,2120.39,,
2000-02-22,STI,INDEX,2126.08,2143.91,2055.34,2114.11,,
2000-02-23,STI,INDEX,2117.48,2142.69,2080.17,2142.69,,
2000-02-24,STI,INDEX,2141.99,2157.04,2118.42,2127.71,,
2000-02-25,STI,INDEX,2127.11,2148.41,2118.56,2143.04,,
2000-02-28,STI,INDEX,2132.58,2144.72,2118.65,2130.99,,
2000-02-29,STI,INDEX,2123.18,2163.75,2117.36,2163.75,,
2000-03-01,STI,INDEX,2129.17,2163.07,2093.33,2163.07,,
2000-03-02,STI,INDEX,2120.68,2147.78,2098.36,2147.78,,
2000-03-03,STI,INDEX,2112.47,2138.95,2104.96,2138.95,,
2000-03-06,STI,INDEX,2136.12,2164.45,2119.73,2164.45,,
2000-03-07,STI,INDEX,2118.77,2158.41,2073.3,2158.41,,
2000-03-08,STI,INDEX,2072.05,2151.39,2044.65,2151.39,,
2000-03-09,STI,INDEX,2079.78,2150.68,2079.78,2150.68,,
2000-03-10,STI,INDEX,2100.65,2179.9,2096.24,2179.9,,
2000-03-13,STI,INDEX,2090.38,2126.82,2028.13,2126.82,,
2000-03-14,STI,INDEX,2042.51,2134.63,2040.72,2134.63,,
2000-03-15,STI,INDEX,2049.85,2103.15,2015.2,2103.15,,
2000-03-17,STI,INDEX,2061.65,2162.86,2057.25,2162.86,,
2000-03-20,STI,INDEX,2092.18,2157.2,2073.11,2157.2,,
2000-03-21,STI,INDEX,2080.85,2182.56,2079.17,2182.56,,
2000-03-22,STI,INDEX,2132.27,2194.54,2117.76,2194.54,,
2000-03-23,STI,INDEX,2137.22,2190.31,2120.16,2190.31,,
2000-03-24,STI,INDEX,2141.59,2199.6,2137.02,2199.6,,
2000-03-27,STI,INDEX,2157.85,2262.52,2157.85,2262.52,,
2000-03-28,STI,INDEX,2220.32,2243.78,2199.86,2243.78,,
2000-03-29,STI,INDEX,2205.58,2225.02,2173.12,2225.02,,
2000-03-30,STI,INDEX,2182.92,2182.92,2112.24,2152.53,,
2000-03-31,STI,INDEX,2108.24,2150.24,2098.27,2150.24,,
2000-04-03,STI,INDEX,2135.76,2135.76,2060.82,2086.22,,
2000-04-04,STI,INDEX,2074.24,2083.0,2048.68,2066.09,,
2000-04-05,STI,INDEX,2055.24,2062.93,2039.53,2058.89,,
2000-04-06,STI,INDEX,2054.31,2111.51,2050.5,2104.28,,
2000-04-07,STI,INDEX,2114.9,2153.19,2114.9,2146.88,,
2000-04-10,STI,INDEX,2153.03,2168.3,2126.76,2126.76,,
2000-04-11,STI,INDEX,2126.57,2131.38,2095.97,2128.94,,
2000-04-12,STI,INDEX,2132.59,2151.53,2115.75,2126.38,,
2000-04-13,STI,INDEX,2118.88,2163.9,2098.18,2156.03,,
2000-04-14,STI,INDEX,2157.85,2194.13,2136.99,2159.61,,
2000-04-17,STI,INDEX,2090.86,2090.86,1981.29,1982.66,,
2000-04-18,STI,INDEX,2057.69,2069.39,2005.19,2005.19,,
2000-04-19,STI,INDEX,2030.17,2085.03,2030.17,2067.5,,
2000-04-20,STI,INDEX,2054.15,2090.51,2047.27,2090.51,,
2000-04-24,STI,INDEX,2084.83,2097.52,2049.78,2066.74,,
2000-04-25,STI,INDEX,2049.64,2080.43,2047.51,2080.43,,
2000-04-26,STI,INDEX,2079.16,2128.6,2079.16,2128.6,,
2000-04-27,STI,INDEX,2108.54,2173.73,2099.62,2173.73,,
2000-04-28,STI,INDEX,2160.62,2176.63,2147.32,2176.63,,
2000-05-02,STI,INDEX,2172.01,2186.88,2161.3,2165.03,,
2000-05-03,STI,INDEX,2162.23,2175.12,2140.41,2140.41,,
2000-05-04,STI,INDEX,2138.9,2138.9,2108.53,2108.53,,
2000-05-05,STI,INDEX,2123.49,2127.8,2096.4,2096.4,,
2000-05-08,STI,INDEX,2124.16,2134.91,2052.31,2052.31,,
2000-05-09,STI,INDEX,2072.42,2093.14,2063.93,2063.93,,
2000-05-10,STI,INDEX,2085.23,2085.23,2024.96,2024.96,,
2000-05-11,STI,INDEX,2028.38,2028.38,1972.97,1972.97,,
2000-05-12,STI,INDEX,2012.79,2038.4,1992.84,1992.84,,
2000-05-15,STI,INDEX,2027.26,2029.88,1989.42,1989.42,,
2000-05-16,STI,INDEX,2015.28,2054.65,2015.28,2032.26,,
2000-05-17,STI,INDEX,2046.09,2046.09,2005.64,2006.56,,
2000-05-19,STI,INDEX,2010.61,2015.17,1960.35,2004.65,,
2000-05-22,STI,INDEX,1985.38,1985.38,1922.08,1933.98,,
2000-05-23,STI,INDEX,1926.77,1928.46,1882.7,1909.47,,
2000-05-24,STI,INDEX,1884.56,1884.56,1826.9,1880.96,,
2000-05-25,STI,INDEX,1887.17,1899.83,1850.24,1856.03,,
2000-05-26,STI,INDEX,1834.32,1842.28,1804.87,1842.28,,
