date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TER,NASDAQ,65.0625,65.4375,60.125,61.8125,1200600.0,
2000-01-04,TER,NASDAQ,60.25,61.25,59.5,59.9375,1488200.0,
2000-01-05,TER,NASDAQ,59.875,60.375,56.25,58.625,1582600.0,
2000-01-06,TER,NASDAQ,58.0,58.4375,55.25,55.75,881300.0,
2000-01-07,TER,NASDAQ,55.75,57.125,54.9375,56.9375,740900.0,
2000-01-10,TER,NASDAQ,58.25,63.375,58.25,61.9375,964600.0,
2000-01-11,TER,NASDAQ,61.8125,63.25,59.4375,60.125,1729500.0,
2000-01-12,TER,NASDAQ,58.8125,62.375,57.75,61.0625,1237000.0,
2000-01-13,TER,NASDAQ,61.125,61.6875,59.5,60.625,1329600.0,
2000-01-14,TER,NASDAQ,64.5,72.25,64.5,68.25,2839800.0,
2000-01-18,TER,NASDAQ,68.3125,72.3125,67.8125,69.8125,1235200.0,
2000-01-19,TER,NASDAQ,75.875,78.1875,74.5625,77.25,3011700.0,
2000-01-20,TER,NASDAQ,77.0,78.0625,74.0,74.3125,2119400.0,
2000-01-21,TER,NASDAQ,75.25,75.25,71.1875,72.375,1900500.0,
2000-01-24,TER,NASDAQ,72.375,74.4375,70.6875,71.3125,1320700.0,
2000-01-25,TER,NASDAQ,71.0,72.375,67.3125,72.25,1689300.0,
2000-01-26,TER,NASDAQ,71.8125,71.875,67.0,69.25,1199900.0,
2000-01-27,TER,NASDAQ,70.0625,71.0,67.875,68.625,1406300.0,
2000-01-28,TER,NASDAQ,68.5,68.5625,62.875,62.875,1273000.0,
2000-01-31,TER,NASDAQ,64.25,65.4375,62.5,64.75,1326500.0,
2000-02-01,TER,NASDAQ,64.75,70.625,63.625,70.1875,1995300.0,
2000-02-02,TER,NASDAQ,70.1875,72.75,69.9375,71.8125,1796800.0,
2000-02-03,TER,NASDAQ,71.5625,75.625,71.125,75.0625,1308600.0,
2000-02-04,TER,NASDAQ,75.0,75.4375,72.625,72.625,1120500.0,
2000-02-07,TER,NASDAQ,73.0,77.4375,72.5625,77.0,1090300.0,
2000-02-08,TER,NASDAQ,76.6875,77.5625,73.75,77.5,1187800.0,
2000-02-09,TER,NASDAQ,77.75,79.5625,74.6875,75.0,1747400.0,
2000-02-10,TER,NASDAQ,76.0,79.25,75.8125,78.9375,1194700.0,
2000-02-11,TER,NASDAQ,80.0,80.0,75.0625,75.375,1078700.0,
2000-02-14,TER,NASDAQ,76.1875,77.9375,75.0,77.3125,960100.0,
2000-02-15,TER,NASDAQ,77.1875,78.5,75.875,78.4375,1069200.0,
2000-02-16,TER,NASDAQ,79.5,80.9375,79.0625,79.25,1024900.0,
2000-02-17,TER,NASDAQ,79.25,81.3125,77.25,80.625,1041200.0,
2000-02-18,TER,NASDAQ,80.5,80.5625,76.625,77.5,776000.0,
2000-02-22,TER,NASDAQ,77.5625,84.5,77.0,83.25,1636900.0,
2000-02-23,TER,NASDAQ,84.75,85.125,79.625,80.9375,2282100.0,
2000-02-24,TER,NASDAQ,81.875,86.0,81.75,86.0,1503900.0,
2000-02-25,TER,NASDAQ,85.0,89.5,84.125,84.125,1716500.0,
2000-02-28,TER,NASDAQ,84.75,85.25,79.375,84.9375,1672400.0,
2000-02-29,TER,NASDAQ,85.5,88.9375,84.875,87.0,1332100.0,
2000-03-01,TER,NASDAQ,87.0,89.6875,87.0,89.5,1326700.0,
2000-03-02,TER,NASDAQ,89.6875,90.875,83.25,83.9375,1833000.0,
2000-03-03,TER,NASDAQ,83.9375,89.1875,83.9375,88.4375,1145500.0,
2000-03-06,TER,NASDAQ,88.4375,90.25,87.0,87.1875,1142800.0,
2000-03-07,TER,NASDAQ,87.1875,89.875,85.875,87.0,1244000.0,
2000-03-08,TER,NASDAQ,87.0,87.0,80.75,82.125,1732300.0,
2000-03-09,TER,NASDAQ,82.125,84.5,80.625,82.75,2140600.0,
2000-03-10,TER,NASDAQ,83.5,90.625,83.375,90.0,2590700.0,
2000-03-13,TER,NASDAQ,87.625,89.0,85.8125,89.0,1370500.0,
2000-03-14,TER,NASDAQ,90.5,93.4375,81.5625,81.5625,1709100.0,
2000-03-15,TER,NASDAQ,81.5625,81.5625,74.75,74.75,1924400.0,
2000-03-16,TER,NASDAQ,78.0,78.6875,71.5,76.0,3035900.0,
2000-03-17,TER,NASDAQ,76.75,86.0,76.5625,83.0,2117800.0,
2000-03-20,TER,NASDAQ,80.1875,86.75,80.1875,84.75,1885400.0,
2000-03-21,TER,NASDAQ,87.625,87.625,81.0,83.0,1943700.0,
2000-03-22,TER,NASDAQ,83.25,90.0,83.25,90.0,1714000.0,
2000-03-23,TER,NASDAQ,89.9375,89.9375,87.4375,88.1875,966200.0,
2000-03-24,TER,NASDAQ,89.9375,94.75,88.25,91.6875,1319800.0,
2000-03-27,TER,NASDAQ,91.4375,94.9375,88.5,89.125,1185400.0,
2000-03-28,TER,NASDAQ,91.0,91.0,86.375,86.4375,932300.0,
2000-03-29,TER,NASDAQ,87.125,87.3125,80.25,83.75,1742100.0,
2000-03-30,TER,NASDAQ,83.8125,85.1875,77.125,79.75,1346900.0,
2000-03-31,TER,NASDAQ,81.25,82.8125,76.0625,82.25,1595400.0,
2000-04-03,TER,NASDAQ,82.0,82.0,72.375,74.125,2449600.0,
2000-04-04,TER,NASDAQ,76.0,82.375,70.0,80.9375,2765600.0,
2000-04-05,TER,NASDAQ,79.0,89.125,77.25,88.0,2411500.0,
2000-04-06,TER,NASDAQ,90.0,96.75,90.0,95.9375,3196500.0,
2000-04-07,TER,NASDAQ,98.0,98.9375,94.5,98.25,2112300.0,
2000-04-10,TER,NASDAQ,98.8125,99.5,92.5625,94.125,2067100.0,
2000-04-11,TER,NASDAQ,92.3125,93.4375,89.5625,92.1875,2828800.0,
2000-04-12,TER,NASDAQ,92.4375,94.375,84.3125,84.4375,1794600.0,
2000-04-13,TER,NASDAQ,84.625,93.0,82.25,83.25,2430300.0,
2000-04-14,TER,NASDAQ,83.5,85.375,73.125,75.75,2643500.0,
2000-04-17,TER,NASDAQ,73.5,87.375,73.5,87.25,2039100.0,
2000-04-18,TER,NASDAQ,87.25,93.75,83.75,93.0,1680300.0,
2000-04-19,TER,NASDAQ,98.5,101.75,92.0625,92.125,4164200.0,
2000-04-20,TER,NASDAQ,93.125,99.4375,90.6875,96.3125,2401400.0,
2000-04-24,TER,NASDAQ,94.625,94.75,87.0,92.5,2045300.0,
2000-04-25,TER,NASDAQ,95.0,106.9375,95.0,103.375,2534900.0,
2000-04-26,TER,NASDAQ,103.4375,107.0,101.0625,102.1875,2157400.0,
2000-04-27,TER,NASDAQ,100.625,110.625,100.25,107.9375,2066900.0,
2000-04-28,TER,NASDAQ,109.3125,112.0,108.125,110.0,1422100.0,
2000-05-01,TER,NASDAQ,110.0625,115.375,109.0,109.3125,1997800.0,
2000-05-02,TER,NASDAQ,108.5,114.6875,107.875,108.0,1943100.0,
2000-05-03,TER,NASDAQ,107.5625,107.5625,97.5,100.1875,2132700.0,
2000-05-04,TER,NASDAQ,101.75,105.9375,100.375,104.9375,1875300.0,
2000-05-05,TER,NASDAQ,106.0,109.75,104.5,108.0625,1889400.0,
2000-05-08,TER,NASDAQ,108.375,109.625,101.1875,101.4375,1335200.0,
2000-05-09,TER,NASDAQ,101.4375,103.75,93.5,93.75,1932500.0,
2000-05-10,TER,NASDAQ,90.25,90.25,82.5,84.0,3370500.0,
2000-05-11,TER,NASDAQ,84.0625,85.0,80.25,83.0,2943100.0,
2000-05-12,TER,NASDAQ,84.4375,91.875,84.125,88.0,1928100.0,
2000-05-15,TER,NASDAQ,87.6875,89.4375,82.4375,87.125,1679600.0,
2000-05-16,TER,NASDAQ,89.625,91.375,86.5625,89.25,1971500.0,
2000-05-17,TER,NASDAQ,89.0,92.25,87.5625,91.5,1963100.0,
2000-05-18,TER,NASDAQ,91.5,92.4375,89.625,90.75,1858800.0,
2000-05-19,TER,NASDAQ,90.5625,90.5625,83.125,83.875,1985700.0,
2000-05-22,TER,NASDAQ,83.9375,84.9375,76.625,84.5,2356800.0,
2000-05-23,TER,NASDAQ,81.125,81.3125,74.375,75.375,5104200.0,
2000-05-24,TER,NASDAQ,74.0,74.3125,65.0,69.8125,5579000.0,
2000-05-25,TER,NASDAQ,71.5,78.0,71.5,74.0,4399200.0,
2000-05-26,TER,NASDAQ,74.4375,76.5,71.0,72.75,1343400.0,
2000-05-30,TER,NASDAQ,75.6875,84.8125,75.6875,84.5625,2096000.0,
2000-05-31,TER,NASDAQ,85.125,88.1875,84.8125,86.0,3100200.0,
2000-06-01,TER,NASDAQ,86.625,92.0,86.625,90.5625,1871600.0,
2000-06-02,TER,NASDAQ,98.75,101.0,96.5,99.3125,2359700.0,
2000-06-05,TER,NASDAQ,99.1875,102.5,94.625,96.3125,1852300.0,
2000-06-06,TER,NASDAQ,96.3125,98.6875,91.25,92.0,1635800.0,
2000-06-07,TER,NASDAQ,92.25,95.0,90.625,94.9375,1310300.0,
2000-06-08,TER,NASDAQ,96.625,97.875,91.5625,93.625,1224700.0,
2000-06-09,TER,NASDAQ,94.3125,95.5,90.6875,91.75,1111600.0,
2000-06-12,TER,NASDAQ,93.125,93.125,87.0625,87.5,1230500.0,
2000-06-13,TER,NASDAQ,87.75,88.5625,83.75,87.0,1817700.0,
2000-06-14,TER,NASDAQ,88.0,88.8125,84.8125,84.875,2425800.0,
2000-06-15,TER,NASDAQ,85.5,87.5,84.125,87.0,1596800.0,
2000-06-16,TER,NASDAQ,87.5,87.9375,80.0,80.75,2949600.0,
2000-06-19,TER,NASDAQ,81.5,83.9375,78.3125,83.0,3374800.0,
2000-06-20,TER,NASDAQ,82.5625,85.4375,80.125,81.875,2109100.0,
2000-06-21,TER,NASDAQ,80.0,81.9375,78.875,79.0625,1912900.0,
2000-06-22,TER,NASDAQ,80.0,83.875,79.375,81.0,2261300.0,
2000-06-23,TER,NASDAQ,81.25,82.4375,79.625,81.0,1419900.0,
2000-06-26,TER,NASDAQ,81.125,84.3125,76.6875,78.3125,1709900.0,
2000-06-27,TER,NASDAQ,78.375,80.6875,73.1875,76.375,2671100.0,
2000-06-28,TER,NASDAQ,76.25,79.4375,75.3125,77.25,1724200.0,
2000-06-29,TER,NASDAQ,77.0,77.6875,73.75,75.0,1580900.0,
2000-06-30,TER,NASDAQ,76.5,78.75,73.5,73.5,2155100.0,
2000-07-03,TER,NASDAQ,74.25,77.8125,73.5625,77.5625,802100.0,
2000-07-05,TER,NASDAQ,74.25,75.125,71.0625,73.125,2044200.0,
2000-07-06,TER,NASDAQ,73.375,75.75,72.4375,75.6875,2017100.0,
2000-07-07,TER,NASDAQ,77.5,81.0,76.375,78.0625,1887900.0,
2000-07-10,TER,NASDAQ,78.25,80.8125,77.6875,79.25,1192800.0,
2000-07-11,TER,NASDAQ,79.3125,79.8125,74.8125,75.9375,1580400.0,
2000-07-12,TER,NASDAQ,76.375,78.0,72.3125,72.5,3726700.0,
2000-07-13,TER,NASDAQ,73.625,74.4375,68.5,72.0,4826700.0,
2000-07-14,TER,NASDAQ,72.5625,75.5,72.375,75.4375,2939900.0,
2000-07-17,TER,NASDAQ,75.5,78.75,74.5625,78.25,2257700.0,
