date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,TROW,NASDAQ,17.8039494859,17.8940200567,16.6330320661,16.8732202548,748800.0,
2000-01-04,TROW,NASDAQ,16.6630555897,16.8732202548,16.3327968302,16.3628203538,1076200.0,
2000-01-05,TROW,NASDAQ,16.2127027359,16.783149684,15.9424910236,16.3327968302,1050400.0,
2000-01-06,TROW,NASDAQ,16.3027733067,16.8131732076,16.0325615944,16.8131732076,478200.0,
2000-01-07,TROW,NASDAQ,16.9182555401,17.0533613963,16.5729850189,16.6930791133,466200.0,
2000-01-10,TROW,NASDAQ,16.9632908255,17.1734554906,16.7531261604,16.8732202548,407600.0,
2000-01-11,TROW,NASDAQ,16.8131732076,17.0833849199,16.6030085425,16.8131732076,402400.0,
2000-01-12,TROW,NASDAQ,17.0833849199,17.5337377736,16.9032437784,17.5337377736,717200.0,
2000-01-13,TROW,NASDAQ,17.5937848208,19.0649374765,17.578773059,18.4944905284,1763400.0,
2000-01-14,TROW,NASDAQ,18.6145846227,18.7947257642,18.4344434812,18.7647022406,1019200.0,
2000-01-18,TROW,NASDAQ,18.6446081463,18.6746316699,17.8639965331,18.0441376746,673600.0,
2000-01-19,TROW,NASDAQ,18.1041847218,18.8547728114,18.0741611982,18.3143493868,371800.0,
2000-01-20,TROW,NASDAQ,18.5245140519,18.5545375755,18.1342082453,18.3143493868,379800.0,
2000-01-21,TROW,NASDAQ,18.6746316699,19.3051256652,18.4344434812,19.1850315708,1067200.0,
2000-01-24,TROW,NASDAQ,19.2751021416,20.115760802,18.8547728114,18.9748669057,1131000.0,
2000-01-25,TROW,NASDAQ,18.9448433821,20.4159960378,18.4944905284,20.3559489906,1019800.0,
2000-01-26,TROW,NASDAQ,20.3559489906,20.476043085,19.0349139529,20.1758078491,984000.0,
2000-01-27,TROW,NASDAQ,20.115760802,20.5961371793,18.8247492878,18.8547728114,1275600.0,
2000-01-28,TROW,NASDAQ,18.9148198585,18.9148198585,17.4736907265,17.5337377736,1215800.0,
2000-01-31,TROW,NASDAQ,17.4136436793,18.6746316699,17.2335025378,18.6746316699,856400.0,
2000-02-01,TROW,NASDAQ,18.5545375755,18.884796335,17.9540671038,18.7947257642,807200.0,
2000-02-02,TROW,NASDAQ,18.7947257642,19.0949610001,18.2543023397,19.0349139529,1163000.0,
2000-02-03,TROW,NASDAQ,19.2150550944,19.2751021416,18.014114151,18.4644670048,1115800.0,
2000-02-04,TROW,NASDAQ,18.6145846227,18.6145846227,17.6838553916,17.8339730095,577600.0,
2000-02-07,TROW,NASDAQ,18.6446081463,18.6446081463,17.5637612972,17.6238083444,576400.0,
2000-02-08,TROW,NASDAQ,17.8639965331,17.8940200567,17.5337377736,17.6238083444,549600.0,
2000-02-09,TROW,NASDAQ,17.6238083444,18.014114151,17.1134084435,17.2635260614,597400.0,
2000-02-10,TROW,NASDAQ,17.293549585,17.7138789151,17.0533613963,17.143431967,464200.0,
2000-02-11,TROW,NASDAQ,17.1134084435,17.293549585,16.8131732076,16.858208493,425800.0,
2000-02-14,TROW,NASDAQ,16.9783025873,17.0233378727,15.9424910236,16.1826792123,1000000.0,
2000-02-15,TROW,NASDAQ,16.0926086416,17.293549585,15.9124675,16.9632908255,758600.0,
2000-02-16,TROW,NASDAQ,16.9332673019,17.293549585,16.5129379718,16.9933143491,1428800.0,
2000-02-17,TROW,NASDAQ,16.9933143491,17.0833849199,15.8223969293,16.0025380708,753600.0,
2000-02-18,TROW,NASDAQ,15.9124675,16.0926086416,15.552185217,15.5822087406,669800.0,
2000-02-22,TROW,NASDAQ,15.9725145472,16.0025380708,15.4921381699,15.6722793114,464000.0,
2000-02-23,TROW,NASDAQ,15.5822087406,16.0325615944,15.4921381699,15.5221616934,689800.0,
2000-02-24,TROW,NASDAQ,15.6122322642,16.9933143491,15.4621146463,16.9933143491,1495400.0,
2000-02-25,TROW,NASDAQ,17.0233378727,17.0533613963,16.2727497831,16.422867401,664200.0,
2000-02-28,TROW,NASDAQ,16.4829144482,16.6330320661,15.9424910236,16.4528909246,873000.0,
