date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,URBN,NASDAQ,3.625,3.6796875,3.40625,3.4375,2156000.0,
2000-01-04,URBN,NASDAQ,3.390625,3.4375,3.25,3.25,400800.0,
2000-01-05,URBN,NASDAQ,3.21875,3.234375,2.796875,2.921875,596800.0,
2000-01-06,URBN,NASDAQ,2.5,2.546875,1.75,1.796875,20309600.0,
2000-01-07,URBN,NASDAQ,1.8359375,1.84375,1.609375,1.640625,8713600.0,
2000-01-10,URBN,NASDAQ,1.640625,1.75,1.609375,1.6796875,4564800.0,
2000-01-11,URBN,NASDAQ,1.6875,1.6875,1.6015625,1.609375,2564800.0,
2000-01-12,URBN,NASDAQ,1.640625,1.7109375,1.6171875,1.65625,1555200.0,
2000-01-13,URBN,NASDAQ,1.6875,1.703125,1.6640625,1.703125,1095200.0,
2000-01-14,URBN,NASDAQ,1.734375,1.84375,1.703125,1.806640625,1364800.0,
2000-01-18,URBN,NASDAQ,1.7578125,1.796875,1.6953125,1.734375,1276800.0,
2000-01-19,URBN,NASDAQ,1.71875,1.765625,1.71875,1.765625,2314400.0,
2000-01-20,URBN,NASDAQ,1.765625,1.78125,1.75,1.765625,3140800.0,
2000-01-21,URBN,NASDAQ,1.78125,1.78125,1.7578125,1.7734375,276000.0,
2000-01-24,URBN,NASDAQ,1.7734375,1.8125,1.703125,1.7109375,3117600.0,
2000-01-25,URBN,NASDAQ,1.71875,1.75,1.703125,1.703125,195200.0,
2000-01-26,URBN,NASDAQ,1.71875,1.734375,1.703125,1.703125,176800.0,
2000-01-27,URBN,NASDAQ,1.7109375,1.7265625,1.703125,1.7109375,537600.0,
2000-01-28,URBN,NASDAQ,1.734375,1.734375,1.65625,1.6796875,415200.0,
2000-01-31,URBN,NASDAQ,1.6875,1.6875,1.65625,1.6875,328000.0,
2000-02-01,URBN,NASDAQ,1.671875,1.75,1.65625,1.7421875,2658400.0,
2000-02-02,URBN,NASDAQ,1.734375,1.7421875,1.703125,1.7109375,1408800.0,
2000-02-03,URBN,NASDAQ,1.7578125,1.8046875,1.734375,1.75,896000.0,
2000-02-04,URBN,NASDAQ,1.7734375,1.796875,1.734375,1.734375,340800.0,
2000-02-07,URBN,NASDAQ,1.7578125,1.8046875,1.75,1.8046875,905600.0,
2000-02-08,URBN,NASDAQ,1.8125,1.859375,1.7734375,1.84375,480800.0,
2000-02-09,URBN,NASDAQ,1.84765625,1.8515625,1.8125,1.8125,1663200.0,
2000-02-10,URBN,NASDAQ,1.828125,1.828125,1.796875,1.796875,716000.0,
2000-02-11,URBN,NASDAQ,1.796875,1.796875,1.734375,1.75,157600.0,
2000-02-14,URBN,NASDAQ,1.734375,1.734375,1.6796875,1.6875,1250400.0,
2000-02-15,URBN,NASDAQ,1.71875,1.71875,1.65625,1.6796875,546400.0,
2000-02-16,URBN,NASDAQ,1.65625,1.6640625,1.578125,1.578125,319200.0,
2000-02-17,URBN,NASDAQ,1.5703125,1.625,1.484375,1.5078125,632800.0,
2000-02-18,URBN,NASDAQ,1.5078125,1.5078125,1.4609375,1.484375,1160000.0,
2000-02-22,URBN,NASDAQ,1.484375,1.484375,1.4609375,1.484375,347200.0,
2000-02-23,URBN,NASDAQ,1.44140625,1.5,1.44140625,1.46875,160000.0,
2000-02-24,URBN,NASDAQ,1.47265625,1.4765625,1.453125,1.46875,181600.0,
2000-02-25,URBN,NASDAQ,1.453125,1.46875,1.453125,1.46875,171200.0,
2000-02-28,URBN,NASDAQ,1.4609375,1.484375,1.453125,1.484375,840800.0,
2000-02-29,URBN,NASDAQ,1.48046875,1.484375,1.3984375,1.4453125,1489600.0,
2000-03-01,URBN,NASDAQ,1.43359375,1.6171875,1.43359375,1.59375,263200.0,
2000-03-02,URBN,NASDAQ,1.59375,1.671875,1.515625,1.59375,272000.0,
2000-03-03,URBN,NASDAQ,1.59375,1.609375,1.546875,1.5703125,217600.0,
2000-03-06,URBN,NASDAQ,1.55859375,1.5625,1.4921875,1.53125,468000.0,
2000-03-07,URBN,NASDAQ,1.546875,1.546875,1.484375,1.5,218400.0,
2000-03-08,URBN,NASDAQ,1.4921875,1.515625,1.4921875,1.515625,295200.0,
2000-03-09,URBN,NASDAQ,1.5078125,1.546875,1.5,1.546875,140000.0,
2000-03-10,URBN,NASDAQ,1.5390625,1.546875,1.5078125,1.53125,84800.0,
2000-03-13,URBN,NASDAQ,1.515625,1.5703125,1.515625,1.5390625,87200.0,
2000-03-14,URBN,NASDAQ,1.546875,1.546875,1.5234375,1.546875,133600.0,
2000-03-15,URBN,NASDAQ,1.609375,1.6171875,1.5234375,1.5390625,816800.0,
2000-03-16,URBN,NASDAQ,1.546875,1.640625,1.515625,1.625,1238400.0,
2000-03-17,URBN,NASDAQ,1.6015625,1.671875,1.5703125,1.6015625,759200.0,
2000-03-20,URBN,NASDAQ,1.59375,1.59375,1.5546875,1.5546875,147200.0,
2000-03-21,URBN,NASDAQ,1.6015625,1.609375,1.5546875,1.609375,105600.0,
2000-03-22,URBN,NASDAQ,1.6171875,1.625,1.59375,1.59375,237600.0,
2000-03-23,URBN,NASDAQ,1.59375,1.75,1.59375,1.75,2268000.0,
2000-03-24,URBN,NASDAQ,1.796875,1.8203125,1.71875,1.78125,312800.0,
2000-03-27,URBN,NASDAQ,1.8515625,1.859375,1.75,1.796875,560800.0,
2000-03-28,URBN,NASDAQ,1.78125,1.796875,1.765625,1.796875,213600.0,
2000-03-29,URBN,NASDAQ,1.78125,1.8828125,1.7734375,1.8671875,369600.0,
2000-03-30,URBN,NASDAQ,1.8671875,1.875,1.8125,1.84375,605600.0,
2000-03-31,URBN,NASDAQ,1.84375,1.890625,1.84375,1.84375,890400.0,
2000-04-03,URBN,NASDAQ,1.8359375,1.859375,1.796875,1.796875,133600.0,
2000-04-04,URBN,NASDAQ,1.796875,1.8046875,1.703125,1.732421875,280000.0,
2000-04-05,URBN,NASDAQ,1.734375,1.75,1.6640625,1.6640625,133600.0,
2000-04-06,URBN,NASDAQ,1.6640625,1.703125,1.6640625,1.6875,48800.0,
2000-04-07,URBN,NASDAQ,1.703125,1.703125,1.6875,1.703125,252800.0,
2000-04-10,URBN,NASDAQ,1.70703125,1.765625,1.70703125,1.7578125,96000.0,
2000-04-11,URBN,NASDAQ,1.75,1.78125,1.6875,1.78125,77600.0,
2000-04-12,URBN,NASDAQ,1.796875,1.796875,1.671875,1.734375,152000.0,
2000-04-13,URBN,NASDAQ,1.734375,1.734375,1.65625,1.671875,85600.0,
2000-04-14,URBN,NASDAQ,1.671875,1.671875,1.625,1.625,173600.0,
2000-04-17,URBN,NASDAQ,1.578125,1.609375,1.515625,1.578125,793600.0,
2000-04-18,URBN,NASDAQ,1.578125,1.59375,1.546875,1.5859375,262400.0,
2000-04-19,URBN,NASDAQ,1.625,1.625,1.515625,1.5234375,91200.0,
2000-04-20,URBN,NASDAQ,1.609375,1.609375,1.5234375,1.5625,22400.0,
2000-04-24,URBN,NASDAQ,1.59375,1.640625,1.546875,1.5625,280000.0,
2000-04-25,URBN,NASDAQ,1.578125,1.65625,1.5703125,1.578125,1185600.0,
2000-04-26,URBN,NASDAQ,1.5390625,1.5390625,1.3828125,1.40625,736000.0,
2000-04-27,URBN,NASDAQ,1.421875,1.421875,1.3828125,1.4140625,476000.0,
2000-04-28,URBN,NASDAQ,1.390625,1.4140625,1.28125,1.34375,1216800.0,
2000-05-01,URBN,NASDAQ,1.34375,1.34375,1.28125,1.3046875,2004800.0,
2000-05-02,URBN,NASDAQ,1.3359375,1.3984375,1.3203125,1.375,557600.0,
2000-05-03,URBN,NASDAQ,1.40625,1.40625,1.3359375,1.3359375,840000.0,
2000-05-04,URBN,NASDAQ,1.35546875,1.390625,1.3125,1.390625,165600.0,
2000-05-05,URBN,NASDAQ,1.3515625,1.40625,1.3515625,1.390625,341600.0,
2000-05-08,URBN,NASDAQ,1.390625,1.390625,1.34375,1.375,205600.0,
2000-05-09,URBN,NASDAQ,1.390625,1.390625,1.34375,1.34375,92000.0,
2000-05-10,URBN,NASDAQ,1.34765625,1.3515625,1.3125,1.3125,1372800.0,
2000-05-11,URBN,NASDAQ,1.328125,1.3359375,1.2734375,1.3359375,96800.0,
2000-05-12,URBN,NASDAQ,1.296875,1.3359375,1.296875,1.3359375,204000.0,
2000-05-15,URBN,NASDAQ,1.30078125,1.3671875,1.296875,1.296875,316000.0,
2000-05-16,URBN,NASDAQ,1.35546875,1.359375,1.328125,1.328125,243200.0,
2000-05-17,URBN,NASDAQ,1.3125,1.3125,1.234375,1.265625,614400.0,
2000-05-18,URBN,NASDAQ,1.263671875,1.28125,1.25,1.265625,1164000.0,
2000-05-19,URBN,NASDAQ,1.2578125,1.265625,1.2421875,1.2578125,930400.0,
2000-05-22,URBN,NASDAQ,1.234375,1.25,1.2109375,1.234375,640800.0,
2000-05-23,URBN,NASDAQ,1.2265625,1.25,1.2109375,1.234375,480000.0,
2000-05-24,URBN,NASDAQ,1.2265625,1.234375,1.21875,1.234375,600800.0,
2000-05-25,URBN,NASDAQ,1.234375,1.263671875,1.1875,1.1875,184800.0,
2000-05-26,URBN,NASDAQ,1.203125,1.234375,1.1953125,1.21875,395200.0,
2000-05-30,URBN,NASDAQ,1.203125,1.21875,1.1875,1.1875,115200.0,
2000-05-31,URBN,NASDAQ,1.171875,1.1953125,1.125,1.125,232800.0,
2000-06-01,URBN,NASDAQ,1.18359375,1.203125,1.125,1.189453125,841600.0,
2000-06-02,URBN,NASDAQ,1.1953125,1.2265625,1.1953125,1.2265625,470400.0,
2000-06-05,URBN,NASDAQ,1.2265625,1.3125,1.21875,1.3125,406400.0,
2000-06-06,URBN,NASDAQ,1.28125,1.4375,1.28125,1.4296875,457600.0,
2000-06-07,URBN,NASDAQ,1.421875,1.560546875,1.421875,1.4765625,993600.0,
2000-06-08,URBN,NASDAQ,1.49609375,1.49609375,1.375,1.3828125,429600.0,
2000-06-09,URBN,NASDAQ,1.3984375,1.40625,1.34375,1.3515625,1368000.0,
2000-06-12,URBN,NASDAQ,1.359375,1.359375,1.234375,1.2421875,408000.0,
2000-06-13,URBN,NASDAQ,1.234375,1.234375,1.203125,1.20703125,23200.0,
2000-06-14,URBN,NASDAQ,1.203125,1.25,1.203125,1.234375,392800.0,
2000-06-15,URBN,NASDAQ,1.234375,1.2578125,1.234375,1.25,984800.0,
2000-06-16,URBN,NASDAQ,1.2578125,1.265625,1.21875,1.25,568000.0,
2000-06-19,URBN,NASDAQ,1.203125,1.265625,1.203125,1.2578125,936000.0,
2000-06-20,URBN,NASDAQ,1.2421875,1.265625,1.2421875,1.2578125,402400.0,
2000-06-21,URBN,NASDAQ,1.265625,1.265625,1.2109375,1.2109375,106400.0,
2000-06-22,URBN,NASDAQ,1.203125,1.203125,1.078125,1.10546875,1915200.0,
