date,code,exchange,open,high,low,close,volume,count_trx
2017-01-20,VREX,NASDAQ,28.0,28.4999,27.99,28.15,622470.0,330.0
2017-01-23,VREX,NASDAQ,28.24,28.24,26.05,27.0,115989.0,781.0
2017-01-24,VREX,NASDAQ,27.0,27.35,27.0,27.3,136073.0,994.0
2017-01-25,VREX,NASDAQ,27.04,28.0,27.04,27.75,117711.0,775.0
2017-01-26,VREX,NASDAQ,28.37,28.85,26.56,26.69,592292.0,1615.0
2017-01-27,VREX,NASDAQ,26.88,27.01,25.31,25.41,427996.0,2391.0
2017-01-30,VREX,NASDAQ,25.0,27.8,25.0,27.27,13325794.0,23932.0
2017-01-31,VREX,NASDAQ,26.75,29.23,26.59,28.75,4693361.0,25720.0
2017-02-01,VREX,NASDAQ,29.33,31.75,29.0,30.4,4190434.0,29671.0
2017-02-02,VREX,NASDAQ,29.85,31.16,29.55,30.25,1742237.0,11468.0
2017-02-03,VREX,NASDAQ,29.76,30.93,28.4,30.6,3052127.0,21377.0
2017-02-06,VREX,NASDAQ,29.64,30.86,29.33,30.58,2374860.0,16396.0
2017-02-07,VREX,NASDAQ,30.15,30.7,29.76,29.99,2951119.0,21503.0
2017-02-08,VREX,NASDAQ,29.85,30.34,29.54,29.84,1771278.0,12411.0
2017-02-09,VREX,NASDAQ,29.7,30.555,29.58,30.26,1490984.0,9431.0
2017-02-10,VREX,NASDAQ,30.1,30.32,29.23,30.15,1238523.0,8254.0
2017-02-13,VREX,NASDAQ,30.11,30.35,29.4,29.63,547019.0,4153.0
2017-02-14,VREX,NASDAQ,29.6,29.98,29.22,29.96,793242.0,6565.0
2017-02-15,VREX,NASDAQ,29.83,30.25,29.53,29.93,825970.0,6115.0
2017-02-16,VREX,NASDAQ,29.96,31.66,29.96,31.08,748034.0,5891.0
2017-02-17,VREX,NASDAQ,31.19,33.27,31.11,32.68,953910.0,6933.0
2017-02-21,VREX,NASDAQ,32.52,33.79,32.4,33.21,653534.0,5803.0
2017-02-22,VREX,NASDAQ,33.44,33.79,32.26,33.31,1085853.0,8058.0
2017-02-23,VREX,NASDAQ,33.22,34.43,32.91,34.04,777394.0,5487.0
2017-02-24,VREX,NASDAQ,33.88,34.815,33.21,34.71,547681.0,4428.0
2017-02-27,VREX,NASDAQ,34.59,35.34,34.24,35.14,491624.0,3722.0
2017-02-28,VREX,NASDAQ,35.29,35.964,34.26,34.82,663585.0,4331.0
2017-03-01,VREX,NASDAQ,34.71,35.56,34.34,34.6,797686.0,5513.0
2017-03-02,VREX,NASDAQ,34.52,34.63,33.57,33.69,367101.0,3018.0
