date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,VRTX,NASDAQ,17.75,18.78125,16.8125,18.78125,1010000.0,
2000-01-04,VRTX,NASDAQ,18.25,18.3125,17.25,17.28125,265400.0,
2000-01-05,VRTX,NASDAQ,17.125,17.125,16.5,17.0,202000.0,
2000-01-06,VRTX,NASDAQ,16.625,16.9375,16.5625,16.75,270800.0,
2000-01-07,VRTX,NASDAQ,16.5,18.5,16.5,18.21875,813200.0,
2000-01-10,VRTX,NASDAQ,18.453125,19.125,18.1875,18.78125,1306400.0,
2000-01-11,VRTX,NASDAQ,18.6875,20.0625,18.4375,19.78125,1208800.0,
2000-01-12,VRTX,NASDAQ,19.875,19.9375,19.0,19.5625,842400.0,
2000-01-13,VRTX,NASDAQ,19.3125,19.8125,19.3125,19.5625,925600.0,
2000-01-14,VRTX,NASDAQ,19.515625,23.0,19.46875,22.0,550800.0,
2000-01-18,VRTX,NASDAQ,21.71875,22.0,20.71875,21.21875,268000.0,
2000-01-19,VRTX,NASDAQ,21.296875,21.3125,19.8125,21.09375,638000.0,
2000-01-20,VRTX,NASDAQ,21.0625,23.0625,21.0625,22.140625,550000.0,
2000-01-21,VRTX,NASDAQ,22.03125,25.25,22.0,24.59375,1096000.0,
2000-01-24,VRTX,NASDAQ,24.0,24.625,23.9375,24.09375,549200.0,
2000-01-25,VRTX,NASDAQ,24.6875,24.875,21.5,22.125,620800.0,
2000-01-26,VRTX,NASDAQ,22.125,23.5625,22.0,22.125,777200.0,
2000-01-27,VRTX,NASDAQ,21.890625,23.25,20.625,21.03125,560600.0,
2000-01-28,VRTX,NASDAQ,21.125,21.125,20.3125,20.859375,312600.0,
2000-01-31,VRTX,NASDAQ,20.640625,20.9375,19.9375,20.5,492400.0,
2000-02-01,VRTX,NASDAQ,20.40625,20.4375,18.875,19.796875,769800.0,
2000-02-02,VRTX,NASDAQ,19.78125,21.125,19.75,21.0,551400.0,
2000-02-03,VRTX,NASDAQ,22.375,22.75,21.28125,22.21875,523800.0,
2000-02-04,VRTX,NASDAQ,22.0,24.0,21.1875,23.75,615400.0,
2000-02-07,VRTX,NASDAQ,23.8125,26.875,23.3125,24.75,792000.0,
2000-02-08,VRTX,NASDAQ,25.0625,25.8125,23.875,25.78125,594200.0,
2000-02-09,VRTX,NASDAQ,25.5,26.0,24.0,24.125,286000.0,
2000-02-10,VRTX,NASDAQ,24.125,25.0,23.5625,24.125,560800.0,
2000-02-11,VRTX,NASDAQ,24.0625,25.5625,24.0,25.46875,634800.0,
2000-02-14,VRTX,NASDAQ,25.46875,25.8125,24.9375,25.8125,264400.0,
2000-02-15,VRTX,NASDAQ,25.625,27.1875,25.625,26.40625,434600.0,
2000-02-16,VRTX,NASDAQ,26.25,27.1875,26.25,27.0,441600.0,
2000-02-17,VRTX,NASDAQ,27.75,33.4921875,27.5625,33.0,1690600.0,
2000-02-18,VRTX,NASDAQ,33.25,33.25,29.75,30.75,1381800.0,
2000-02-22,VRTX,NASDAQ,30.8125,30.8125,27.5,28.53125,980200.0,
2000-02-23,VRTX,NASDAQ,28.53125,30.46875,27.875,30.171875,852000.0,
2000-02-24,VRTX,NASDAQ,30.25,31.1875,29.75,30.1875,1287800.0,
2000-02-25,VRTX,NASDAQ,30.3125,30.875,30.09375,30.5,1485400.0,
2000-02-28,VRTX,NASDAQ,31.375,32.8125,30.0,31.0,793800.0,
2000-02-29,VRTX,NASDAQ,32.75,38.25,32.75,36.3125,1450200.0,
2000-03-01,VRTX,NASDAQ,37.8125,41.5625,36.5625,41.28125,1777200.0,
2000-03-02,VRTX,NASDAQ,41.25,41.65625,33.9375,37.859375,1120800.0,
2000-03-03,VRTX,NASDAQ,38.0,40.0625,37.9375,40.0,1546200.0,
2000-03-06,VRTX,NASDAQ,42.5625,45.1875,41.625,44.0,2242000.0,
2000-03-07,VRTX,NASDAQ,44.5625,44.625,38.625,42.09375,2466600.0,
2000-03-08,VRTX,NASDAQ,42.5,42.53125,35.5,36.03125,2803600.0,
2000-03-09,VRTX,NASDAQ,33.875,34.625,31.375,32.5,1517600.0,
2000-03-10,VRTX,NASDAQ,33.9375,34.25,31.75,33.03125,1448200.0,
2000-03-13,VRTX,NASDAQ,31.75,32.4375,30.0,30.78125,775200.0,
2000-03-14,VRTX,NASDAQ,31.0,31.0,24.0625,26.3125,3482000.0,
2000-03-15,VRTX,NASDAQ,26.375,27.375,24.0,24.125,2111000.0,
2000-03-16,VRTX,NASDAQ,25.0,28.5,24.5,28.375,1465400.0,
2000-03-17,VRTX,NASDAQ,27.90625,30.125,27.125,30.109375,910400.0,
2000-03-20,VRTX,NASDAQ,30.3125,32.53125,28.4375,28.4375,1389800.0,
2000-03-21,VRTX,NASDAQ,28.46875,28.53125,25.25,26.71875,764400.0,
2000-03-22,VRTX,NASDAQ,27.625,31.5,27.5,29.9375,1089200.0,
2000-03-23,VRTX,NASDAQ,30.5625,31.0,28.84375,30.0,774000.0,
2000-03-24,VRTX,NASDAQ,30.09375,31.0,26.0,28.875,861600.0,
2000-03-27,VRTX,NASDAQ,28.875,29.375,27.125,28.65625,635200.0,
2000-03-28,VRTX,NASDAQ,28.5,29.0,26.0,27.71875,780600.0,
2000-03-29,VRTX,NASDAQ,27.65625,28.15625,25.4375,26.09375,1133200.0,
2000-03-30,VRTX,NASDAQ,26.25,26.34375,23.15625,24.0,892600.0,
2000-03-31,VRTX,NASDAQ,24.25,24.78125,21.34375,23.40625,1579000.0,
2000-04-03,VRTX,NASDAQ,23.96875,24.0,22.4375,22.8125,824400.0,
2000-04-04,VRTX,NASDAQ,23.03125,23.25,19.75,21.4375,945800.0,
2000-04-05,VRTX,NASDAQ,20.75,24.8125,20.75,24.375,1637200.0,
2000-04-06,VRTX,NASDAQ,25.1875,27.796875,25.1875,27.78125,1048800.0,
2000-04-07,VRTX,NASDAQ,27.75,27.8125,26.078125,27.15625,611400.0,
2000-04-10,VRTX,NASDAQ,27.5,27.5,23.6875,23.84375,350000.0,
2000-04-11,VRTX,NASDAQ,23.5,23.5,21.25,22.6875,497000.0,
2000-04-12,VRTX,NASDAQ,22.84375,24.0,21.875,21.875,423800.0,
2000-04-13,VRTX,NASDAQ,22.03125,23.375,21.625,21.625,170400.0,
2000-04-14,VRTX,NASDAQ,21.625,22.125,19.0,19.6875,410200.0,
2000-04-17,VRTX,NASDAQ,18.890625,21.75,18.875,21.75,817800.0,
2000-04-18,VRTX,NASDAQ,21.09375,25.375,21.0625,25.25,566200.0,
2000-04-19,VRTX,NASDAQ,25.375,26.3125,24.8125,25.40625,712800.0,
2000-04-20,VRTX,NASDAQ,27.0,27.59375,23.0,23.40625,852000.0,
2000-04-24,VRTX,NASDAQ,23.0625,24.25,21.25,22.75,438200.0,
2000-04-25,VRTX,NASDAQ,22.703125,25.5,22.53125,25.0,703600.0,
2000-04-26,VRTX,NASDAQ,25.375,25.5,23.0,23.125,291600.0,
2000-04-27,VRTX,NASDAQ,22.6875,24.0625,22.5,24.0625,167000.0,
2000-04-28,VRTX,NASDAQ,24.375,26.9375,24.125,26.125,596000.0,
2000-05-01,VRTX,NASDAQ,26.3125,29.1875,26.0,27.6875,800400.0,
2000-05-02,VRTX,NASDAQ,27.375,29.125,27.0625,28.625,1089000.0,
2000-05-03,VRTX,NASDAQ,28.125,28.25,25.375,26.875,615000.0,
2000-05-04,VRTX,NASDAQ,26.25,28.6875,26.25,28.25,514200.0,
2000-05-05,VRTX,NASDAQ,27.875,30.6875,27.5625,30.3125,619600.0,
2000-05-08,VRTX,NASDAQ,29.75,33.25,29.75,32.53125,908000.0,
2000-05-09,VRTX,NASDAQ,35.6875,36.6875,30.59375,31.71875,4565800.0,
2000-05-10,VRTX,NASDAQ,31.9375,33.3125,28.4375,32.1328125,1361400.0,
2000-05-11,VRTX,NASDAQ,33.5,34.625,33.0,34.625,1221800.0,
2000-05-12,VRTX,NASDAQ,33.6875,33.875,30.0,30.75,1161600.0,
2000-05-15,VRTX,NASDAQ,30.5,33.59375,30.5,33.5,633800.0,
2000-05-16,VRTX,NASDAQ,33.625,34.625,32.125,33.25,537600.0,
2000-05-17,VRTX,NASDAQ,32.71875,33.875,31.59375,32.5625,654200.0,
2000-05-18,VRTX,NASDAQ,32.5,35.25,32.25,35.0625,1347200.0,
2000-05-19,VRTX,NASDAQ,34.5625,34.71875,31.1875,32.53125,489600.0,
2000-05-22,VRTX,NASDAQ,32.0625,32.3125,30.625,31.625,340800.0,
2000-05-23,VRTX,NASDAQ,32.0,34.5,31.5,31.8125,861400.0,
2000-05-24,VRTX,NASDAQ,31.5,31.75,29.5,30.4375,1069000.0,
2000-05-25,VRTX,NASDAQ,30.875,31.875,30.0625,31.25,751400.0,
2000-05-26,VRTX,NASDAQ,31.4375,32.5,31.3125,32.125,480000.0,
2000-05-30,VRTX,NASDAQ,32.0,35.96875,32.0,35.0,1168600.0,
2000-05-31,VRTX,NASDAQ,34.46875,37.5,34.25,36.9375,1254800.0,
2000-06-01,VRTX,NASDAQ,37.25,39.8125,37.0625,39.0,1306200.0,
2000-06-02,VRTX,NASDAQ,40.0,41.5,39.78125,41.5,3292800.0,
2000-06-05,VRTX,NASDAQ,41.59375,43.09375,39.0,40.25,829600.0,
2000-06-06,VRTX,NASDAQ,41.03125,41.03125,38.4375,38.9375,962800.0,
2000-06-07,VRTX,NASDAQ,40.75,41.8125,40.625,41.0625,1793000.0,
2000-06-08,VRTX,NASDAQ,41.75,42.5,40.25,40.25,933600.0,
2000-06-09,VRTX,NASDAQ,41.0625,44.59375,39.6875,41.6875,1638400.0,
2000-06-12,VRTX,NASDAQ,42.75,43.6875,39.75,40.03125,1079400.0,
2000-06-13,VRTX,NASDAQ,40.3125,41.46875,39.5,41.46875,529400.0,
2000-06-14,VRTX,NASDAQ,41.6875,42.96875,40.25,40.9375,1081600.0,
2000-06-15,VRTX,NASDAQ,41.875,42.34375,39.625,42.1875,1418800.0,
2000-06-16,VRTX,NASDAQ,41.65625,45.0,41.25,45.0,1184400.0,
2000-06-19,VRTX,NASDAQ,45.5,55.0,45.4375,54.96875,4114600.0,
2000-06-20,VRTX,NASDAQ,56.2109375,57.1875,48.0625,49.46875,3252600.0,
2000-06-21,VRTX,NASDAQ,48.4375,52.5,48.125,51.25,1942400.0,
2000-06-22,VRTX,NASDAQ,51.625,54.5,49.34375,50.125,2570600.0,
2000-06-23,VRTX,NASDAQ,51.0078125,51.25,46.5,48.4375,1351600.0,
2000-06-26,VRTX,NASDAQ,48.8125,55.0,48.625,54.65625,1851800.0,
2000-06-27,VRTX,NASDAQ,54.71875,58.0,51.5,54.25,2944800.0,
2000-06-28,VRTX,NASDAQ,54.6875,55.40625,54.0,55.1875,1086400.0,
2000-06-29,VRTX,NASDAQ,53.703125,56.25,52.625,54.6875,1001200.0,
2000-06-30,VRTX,NASDAQ,53.453125,53.53125,48.125,52.6875,2393800.0,
2000-07-03,VRTX,NASDAQ,52.53125,54.0,52.5,54.0,310800.0,
2000-07-05,VRTX,NASDAQ,53.75,60.375,52.0625,59.6875,2176600.0,
2000-07-06,VRTX,NASDAQ,59.53125,61.25,56.25,59.03125,1815600.0,
2000-07-07,VRTX,NASDAQ,61.6875,62.375,58.5,61.71875,2826000.0,
2000-07-10,VRTX,NASDAQ,61.8125,61.875,59.625,60.0625,1254200.0,
2000-07-11,VRTX,NASDAQ,59.375,65.3125,59.375,62.78125,2448400.0,
