date,code,exchange,open,high,low,close,volume,count_trx
2014-04-17,WB,NASDAQ,13.8924697716,20.9027449299,13.8839310686,17.2823348603,32797414.0,151623.0
2014-04-21,WB,NASDAQ,18.4521371705,20.6380451371,18.0678955358,19.3059220829,13456609.0,62178.0
2014-04-22,WB,NASDAQ,20.4928871862,20.697816058,19.3316235789,19.7670974316,10479365.0,40007.0
2014-04-23,WB,NASDAQ,19.8951779766,19.9378714915,17.2481800483,18.2813631106,7606876.0,24816.0
2014-04-24,WB,NASDAQ,18.8705336172,18.8961497262,17.1798704244,17.4531089202,4991488.0,20318.0
2014-04-25,WB,NASDAQ,17.2481800483,17.3591831873,16.291845313,16.4028484519,4238386.0,17001.0
2014-04-28,WB,NASDAQ,16.7187804627,16.8212448986,14.6267982291,14.9512689429,7807779.0,32222.0
2014-04-29,WB,NASDAQ,14.9427302399,15.9929907082,14.8848378336,15.6258264794,3040453.0,11089.0
2014-04-30,WB,NASDAQ,14.9427302399,16.9066319286,14.754878774,16.7017030567,4117279.0,15323.0
2014-05-01,WB,NASDAQ,16.6590095417,17.640874999,16.4199258579,17.2652574543,2865326.0,8962.0
2014-05-02,WB,NASDAQ,17.5555733561,17.5555733561,16.9749415525,17.1030220974,1152591.0,4460.0
2014-05-05,WB,NASDAQ,16.7102417597,17.2481800483,16.326000125,16.8639384136,1101637.0,4744.0
2014-05-06,WB,NASDAQ,17.1200995034,17.1627930184,15.6087490735,15.8563714603,1733341.0,6756.0
2014-05-07,WB,NASDAQ,16.0527616292,16.1296099561,14.9512689429,14.9854237549,2271101.0,9122.0
2014-05-08,WB,NASDAQ,15.3269718746,15.6258264794,15.1135042998,15.3440492806,1457656.0,6024.0
2014-05-09,WB,NASDAQ,15.5062846375,15.5148233405,14.840265804,15.2501235477,993316.0,3723.0
2014-05-12,WB,NASDAQ,15.5575168555,16.7785513837,15.5575168555,16.6675482447,2134414.0,8091.0
2014-05-13,WB,NASDAQ,16.9664028495,17.2908735633,16.6846256507,17.1286382064,2361657.0,7962.0
2014-05-14,WB,NASDAQ,17.2054865334,17.2481800483,16.6504708387,16.6931643537,1018895.0,3658.0
2014-05-15,WB,NASDAQ,16.6504708387,16.9749415525,15.9673745992,16.8383223046,845334.0,3107.0
2014-05-16,WB,NASDAQ,16.8553997106,17.2311026424,16.4626193729,16.8639384136,949684.0,3744.0
2014-05-19,WB,NASDAQ,16.9066319286,17.0603285825,16.5736225118,16.6931643537,648982.0,3269.0
2014-05-20,WB,NASDAQ,16.1637647681,16.5137662038,15.7966005393,16.28330661,947547.0,3396.0
2014-05-21,WB,NASDAQ,16.232074392,17.2908735633,16.223535689,17.2908735633,1555513.0,5996.0
2014-05-22,WB,NASDAQ,16.0015294112,16.0527616292,15.2159687357,15.4123589046,3838013.0,13733.0
2014-05-23,WB,NASDAQ,15.4977459345,15.7880618363,15.3782040926,15.4294363106,1038030.0,3426.0
2014-05-27,WB,NASDAQ,15.7624457273,15.7624457273,15.2586622507,15.3269718746,1028391.0,3810.0
2014-05-28,WB,NASDAQ,15.6172877764,16.0954551441,15.2929024497,15.6847435301,1644860.0,5889.0
2014-05-29,WB,NASDAQ,15.8734488663,16.6419321358,15.7539070244,16.351616234,1936561.0,6693.0
2014-05-30,WB,NASDAQ,16.4967741849,16.5480064028,15.7112135094,15.8136779453,970752.0,3464.0
2014-06-02,WB,NASDAQ,15.8478327573,15.8905262723,15.4295216976,15.6685199944,439725.0,1681.0
2014-06-03,WB,NASDAQ,15.6258264794,15.7795231333,15.4208976076,15.6429038854,380509.0,1466.0
2014-06-04,WB,NASDAQ,15.4806685285,16.351616234,15.4469406517,16.0356842232,898763.0,3620.0
2014-06-05,WB,NASDAQ,16.300384016,16.4199258579,15.9503825803,16.1893808771,817408.0,2898.0
2014-06-06,WB,NASDAQ,16.334538828,16.5223902938,15.8051392423,15.8307553513,547694.0,1940.0
2014-06-09,WB,NASDAQ,15.8990649753,16.1808421741,15.7966005393,15.9246810842,587701.0,2295.0
2014-06-10,WB,NASDAQ,16.223535689,17.0432511765,16.0527616292,16.1466873621,2639449.0,9230.0
2014-06-11,WB,NASDAQ,16.206458283,16.8212448986,16.1381486591,16.4028484519,1063399.0,3571.0
2014-06-12,WB,NASDAQ,16.5309289968,17.5897281681,16.0527616292,16.1723034711,2987610.0,10142.0
2014-06-13,WB,NASDAQ,16.6419321358,16.8212448986,16.0783777381,16.4028484519,1269705.0,4137.0
