date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,WBA,NASDAQ,28.5,28.6875,27.75,28.5625,1582900.0,
2000-01-04,WBA,NASDAQ,27.8125,28.3125,27.1875,27.5,1241200.0,
2000-01-05,WBA,NASDAQ,27.75,27.9375,27.375,27.8125,1757200.0,
2000-01-06,WBA,NASDAQ,27.6875,27.875,26.875,27.0625,2156800.0,
2000-01-07,WBA,NASDAQ,27.0625,27.75,26.4375,27.6875,2963000.0,
2000-01-10,WBA,NASDAQ,27.5625,28.875,27.25,28.8125,2583300.0,
2000-01-11,WBA,NASDAQ,28.875,30.0,28.625,29.625,2727600.0,
2000-01-12,WBA,NASDAQ,30.0,30.375,29.6875,30.25,1551400.0,
2000-01-13,WBA,NASDAQ,30.0,30.625,29.625,30.1875,1560000.0,
2000-01-14,WBA,NASDAQ,29.625,29.875,29.25,29.4375,1693100.0,
2000-01-18,WBA,NASDAQ,29.0,29.5,28.6875,29.25,1225000.0,
2000-01-19,WBA,NASDAQ,29.5,30.375,29.3125,30.25,1565300.0,
2000-01-20,WBA,NASDAQ,30.25,30.8125,29.8125,30.25,2148300.0,
2000-01-21,WBA,NASDAQ,30.9375,30.9375,29.8125,29.9375,1679300.0,
2000-01-24,WBA,NASDAQ,30.125,30.25,28.875,29.0,1313500.0,
2000-01-25,WBA,NASDAQ,29.1875,29.3125,28.1875,28.4375,1323800.0,
2000-01-26,WBA,NASDAQ,27.5,29.3125,27.4375,29.3125,1162400.0,
2000-01-27,WBA,NASDAQ,29.5,29.625,28.1875,29.125,1147900.0,
2000-01-28,WBA,NASDAQ,28.25,29.25,28.0625,28.8125,1356300.0,
2000-01-31,WBA,NASDAQ,28.75,28.75,27.625,27.625,1980300.0,
2000-02-01,WBA,NASDAQ,27.6875,29.0,27.0625,28.8125,1355600.0,
2000-02-02,WBA,NASDAQ,28.4375,29.375,28.25,28.9375,1055700.0,
2000-02-03,WBA,NASDAQ,28.25,29.125,28.25,28.875,1312200.0,
2000-02-04,WBA,NASDAQ,29.125,29.5,29.0,29.1875,963200.0,
2000-02-07,WBA,NASDAQ,28.625,29.0,28.5,28.9375,1019000.0,
2000-02-08,WBA,NASDAQ,29.25,30.125,28.8125,30.125,1635900.0,
2000-02-09,WBA,NASDAQ,30.0,30.25,29.6875,29.9375,1023500.0,
2000-02-10,WBA,NASDAQ,29.9375,30.625,29.9375,30.625,1390700.0,
2000-02-11,WBA,NASDAQ,30.375,30.4375,29.5625,29.625,1011400.0,
2000-02-14,WBA,NASDAQ,29.5,29.8125,28.9375,29.8125,698400.0,
2000-02-15,WBA,NASDAQ,29.625,29.75,28.25,28.5,1283100.0,
2000-02-16,WBA,NASDAQ,28.1875,28.3125,27.125,27.625,995000.0,
2000-02-17,WBA,NASDAQ,27.25,27.625,26.375,27.375,1264300.0,
2000-02-18,WBA,NASDAQ,27.0,27.0,25.9375,26.1875,1549400.0,
2000-02-22,WBA,NASDAQ,25.5,26.5,25.0,26.375,1496100.0,
2000-02-23,WBA,NASDAQ,25.625,26.875,25.25,26.75,1769500.0,
2000-02-24,WBA,NASDAQ,26.75,26.9375,25.8125,26.0625,2553200.0,
2000-02-25,WBA,NASDAQ,26.0625,26.3125,25.5,26.1875,3390100.0,
2000-02-28,WBA,NASDAQ,26.1875,26.625,25.1875,26.625,1596300.0,
2000-02-29,WBA,NASDAQ,26.5625,26.5625,25.8125,25.8125,2254400.0,
2000-03-01,WBA,NASDAQ,25.875,25.875,25.1875,25.5625,2207800.0,
