date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,XEL,NASDAQ,19.625,19.625,18.9375,19.0625,2594200.0,
2000-01-04,XEL,NASDAQ,19.0625,19.5,19.0,19.4375,339600.0,
2000-01-05,XEL,NASDAQ,19.4375,20.1875,19.4375,20.1875,365200.0,
2000-01-06,XEL,NASDAQ,20.125,20.125,19.8125,20.0,258500.0,
2000-01-07,XEL,NASDAQ,20.0,20.0,19.875,20.0,372800.0,
2000-01-10,XEL,NASDAQ,20.0625,20.0625,19.875,20.0,365700.0,
2000-01-11,XEL,NASDAQ,19.9375,20.0625,19.9375,20.0,428800.0,
2000-01-12,XEL,NASDAQ,20.0,20.5625,20.0,20.4375,297100.0,
2000-01-13,XEL,NASDAQ,20.375,20.5,20.25,20.375,253600.0,
2000-01-14,XEL,NASDAQ,20.375,20.4375,20.125,20.4375,560600.0,
2000-01-18,XEL,NASDAQ,20.3125,20.3125,19.6875,19.75,729400.0,
2000-01-19,XEL,NASDAQ,19.75,19.875,19.75,19.8125,491600.0,
2000-01-20,XEL,NASDAQ,19.8125,19.8125,19.5625,19.625,433600.0,
2000-01-21,XEL,NASDAQ,19.625,19.9375,19.625,19.75,926200.0,
2000-01-24,XEL,NASDAQ,19.75,19.8125,19.6875,19.6875,524700.0,
2000-01-25,XEL,NASDAQ,19.6875,19.6875,19.3125,19.5,262300.0,
2000-01-26,XEL,NASDAQ,19.625,19.625,19.0,19.125,983400.0,
2000-01-27,XEL,NASDAQ,19.25,19.5,19.1875,19.25,354700.0,
2000-01-28,XEL,NASDAQ,19.3125,19.4375,19.25,19.25,222500.0,
2000-01-31,XEL,NASDAQ,19.25,19.375,19.125,19.25,350600.0,
2000-02-01,XEL,NASDAQ,19.375,19.375,19.125,19.25,327000.0,
2000-02-02,XEL,NASDAQ,19.375,19.4375,19.0625,19.0625,230800.0,
2000-02-03,XEL,NASDAQ,19.1875,19.6875,19.1875,19.5625,384300.0,
2000-02-04,XEL,NASDAQ,19.625,19.625,19.125,19.3125,219200.0,
2000-02-07,XEL,NASDAQ,19.3125,19.3125,19.0,19.0625,266600.0,
2000-02-08,XEL,NASDAQ,19.0625,19.1875,19.0,19.0625,276400.0,
2000-02-09,XEL,NASDAQ,19.125,19.25,19.0625,19.125,341600.0,
2000-02-10,XEL,NASDAQ,19.1875,19.3125,18.5625,18.8125,388700.0,
2000-02-11,XEL,NASDAQ,18.9375,18.9375,18.5,18.875,447500.0,
2000-02-14,XEL,NASDAQ,18.8125,18.9375,18.625,18.75,271900.0,
2000-02-15,XEL,NASDAQ,18.5,18.6875,18.375,18.4375,490600.0,
2000-02-16,XEL,NASDAQ,18.5625,18.75,18.5,18.5,206800.0,
2000-02-17,XEL,NASDAQ,18.6875,18.6875,18.3125,18.5625,149700.0,
2000-02-18,XEL,NASDAQ,18.4375,18.5,18.125,18.1875,354000.0,
2000-02-22,XEL,NASDAQ,18.3125,18.5,18.25,18.3125,375400.0,
2000-02-23,XEL,NASDAQ,18.25,18.25,18.0,18.0625,190100.0,
2000-02-24,XEL,NASDAQ,18.0625,18.125,17.6875,17.8125,259300.0,
2000-02-25,XEL,NASDAQ,17.875,17.875,17.375,17.5625,342000.0,
2000-02-28,XEL,NASDAQ,17.8125,18.125,17.5625,18.0,343500.0,
2000-02-29,XEL,NASDAQ,17.8125,17.9375,17.5,17.5625,369300.0,
2000-03-01,XEL,NASDAQ,17.625,17.6875,17.0625,17.1875,364600.0,
2000-03-02,XEL,NASDAQ,17.0625,17.25,17.0,17.0625,487400.0,
2000-03-03,XEL,NASDAQ,17.125,17.5,17.125,17.5,303300.0,
2000-03-06,XEL,NASDAQ,17.375,17.375,16.25,16.4375,437500.0,
2000-03-07,XEL,NASDAQ,16.6875,16.75,16.375,16.4375,1464600.0,
2000-03-08,XEL,NASDAQ,16.5625,16.8125,16.3125,16.375,1211900.0,
2000-03-09,XEL,NASDAQ,16.5,16.5625,16.125,16.1875,783600.0,
2000-03-10,XEL,NASDAQ,16.3125,16.6875,16.25,16.625,491800.0,
2000-03-13,XEL,NASDAQ,16.6875,16.9375,16.5625,16.9375,482400.0,
2000-03-14,XEL,NASDAQ,17.1875,17.5,17.125,17.5,618200.0,
2000-03-15,XEL,NASDAQ,17.5,18.625,17.5,18.5,663900.0,
2000-03-16,XEL,NASDAQ,18.875,19.9375,18.75,19.9375,698400.0,
2000-03-17,XEL,NASDAQ,19.9375,20.1875,19.625,19.875,1136900.0,
2000-03-20,XEL,NASDAQ,19.875,19.9375,19.375,19.4375,1339600.0,
2000-03-21,XEL,NASDAQ,19.4375,19.4375,18.8125,19.0,529200.0,
2000-03-22,XEL,NASDAQ,18.875,18.9375,18.25,18.5625,249200.0,
2000-03-23,XEL,NASDAQ,18.5625,18.8125,18.5625,18.8125,410500.0,
2000-03-24,XEL,NASDAQ,18.6875,18.9375,18.5625,18.875,530700.0,
2000-03-27,XEL,NASDAQ,18.875,19.125,18.8125,18.9375,758200.0,
2000-03-28,XEL,NASDAQ,18.8125,19.0625,18.8125,18.875,191600.0,
2000-03-29,XEL,NASDAQ,18.875,19.1875,18.8125,19.125,692100.0,
2000-03-30,XEL,NASDAQ,19.25,20.0,19.25,19.875,1580600.0,
2000-03-31,XEL,NASDAQ,19.8125,19.9375,19.625,19.875,501600.0,
2000-04-03,XEL,NASDAQ,19.875,19.9375,19.5,19.75,158700.0,
2000-04-04,XEL,NASDAQ,19.75,20.4375,19.75,20.3125,747300.0,
2000-04-05,XEL,NASDAQ,20.375,21.125,20.375,20.5625,398500.0,
2000-04-06,XEL,NASDAQ,20.5,20.8125,20.125,20.25,334200.0,
2000-04-07,XEL,NASDAQ,20.1875,20.25,19.875,20.0625,465300.0,
2000-04-10,XEL,NASDAQ,20.0,20.875,19.9375,20.8125,2297400.0,
2000-04-11,XEL,NASDAQ,20.3125,20.875,20.3125,20.6875,265800.0,
2000-04-12,XEL,NASDAQ,20.75,21.1875,20.3125,20.3125,472300.0,
2000-04-13,XEL,NASDAQ,20.3125,21.0625,20.25,21.0625,395100.0,
2000-04-14,XEL,NASDAQ,21.0,21.0625,20.5,20.625,448100.0,
2000-04-17,XEL,NASDAQ,20.625,20.6875,19.875,20.3125,720300.0,
2000-04-18,XEL,NASDAQ,20.25,20.6875,20.0625,20.25,441500.0,
2000-04-19,XEL,NASDAQ,20.5,20.5,19.8125,19.9375,481100.0,
2000-04-20,XEL,NASDAQ,20.1875,20.5,20.0,20.4375,478800.0,
2000-04-24,XEL,NASDAQ,20.875,21.25,20.75,21.25,545300.0,
2000-04-25,XEL,NASDAQ,21.25,21.9375,21.25,21.875,453200.0,
2000-04-26,XEL,NASDAQ,21.8125,22.3125,21.75,22.25,480600.0,
2000-04-27,XEL,NASDAQ,22.125,22.3125,21.875,22.0625,808200.0,
2000-04-28,XEL,NASDAQ,22.0625,22.1875,21.5625,21.8125,557200.0,
2000-05-01,XEL,NASDAQ,21.4375,22.1875,21.4375,22.125,456000.0,
2000-05-02,XEL,NASDAQ,22.375,22.4375,21.9375,22.0625,623900.0,
2000-05-03,XEL,NASDAQ,22.0625,22.375,21.75,22.25,544800.0,
2000-05-04,XEL,NASDAQ,22.4375,22.5,21.875,22.4375,644500.0,
2000-05-05,XEL,NASDAQ,22.1875,22.25,21.75,21.9375,465600.0,
2000-05-08,XEL,NASDAQ,21.875,22.9375,21.75,21.9375,725700.0,
2000-05-09,XEL,NASDAQ,22.0625,22.0625,21.8125,22.0,175000.0,
2000-05-10,XEL,NASDAQ,22.0,22.375,21.9375,22.3125,396800.0,
2000-05-11,XEL,NASDAQ,22.3125,22.6875,22.25,22.625,190400.0,
2000-05-12,XEL,NASDAQ,22.625,22.625,22.3125,22.4375,284400.0,
2000-05-15,XEL,NASDAQ,22.4375,23.0,22.4375,22.6875,185200.0,
2000-05-16,XEL,NASDAQ,22.6875,22.75,22.0,22.4375,316200.0,
2000-05-17,XEL,NASDAQ,22.4375,22.4375,21.9375,22.0625,292500.0,
2000-05-18,XEL,NASDAQ,22.0625,23.0625,22.0,22.5,224500.0,
2000-05-19,XEL,NASDAQ,22.125,22.5,22.125,22.3125,188500.0,
2000-05-22,XEL,NASDAQ,22.375,23.1875,22.1875,23.0625,275700.0,
2000-05-23,XEL,NASDAQ,23.0,23.1875,22.625,23.125,439800.0,
2000-05-24,XEL,NASDAQ,23.125,23.8125,23.0625,23.6875,486400.0,
2000-05-25,XEL,NASDAQ,23.625,23.625,22.0625,22.25,1213200.0,
2000-05-26,XEL,NASDAQ,22.375,22.6875,22.375,22.5625,301000.0,
2000-05-30,XEL,NASDAQ,22.5625,22.5625,21.9375,22.25,275600.0,
2000-05-31,XEL,NASDAQ,22.125,22.4375,22.0,22.125,489600.0,
2000-06-01,XEL,NASDAQ,22.0625,22.0625,21.75,21.8125,531400.0,
2000-06-02,XEL,NASDAQ,22.0625,22.1875,21.3125,21.4375,289800.0,
2000-06-05,XEL,NASDAQ,21.5,21.5,21.0,21.0,262000.0,
2000-06-06,XEL,NASDAQ,21.0625,21.4375,20.9375,21.125,245000.0,
2000-06-07,XEL,NASDAQ,21.25,21.375,21.125,21.1875,141900.0,
2000-06-08,XEL,NASDAQ,21.125,21.1875,20.8125,21.0625,291200.0,
2000-06-09,XEL,NASDAQ,21.0625,21.5,20.9375,21.4375,233300.0,
2000-06-12,XEL,NASDAQ,21.4375,21.625,21.375,21.5625,199800.0,
2000-06-13,XEL,NASDAQ,21.4375,21.75,21.4375,21.6875,196900.0,
2000-06-14,XEL,NASDAQ,21.6875,21.6875,21.25,21.3125,289100.0,
2000-06-15,XEL,NASDAQ,21.375,21.75,21.3125,21.75,223200.0,
2000-06-16,XEL,NASDAQ,21.75,21.75,21.5,21.5,238100.0,
2000-06-19,XEL,NASDAQ,21.5625,21.6875,21.25,21.625,187700.0,
2000-06-20,XEL,NASDAQ,21.5,21.5625,20.875,21.25,276500.0,
2000-06-21,XEL,NASDAQ,21.3125,21.3125,20.9375,21.0,400800.0,
2000-06-22,XEL,NASDAQ,21.0625,21.0625,20.5,20.6875,350800.0,
2000-06-23,XEL,NASDAQ,20.6875,21.125,20.6875,21.0,223500.0,
2000-06-26,XEL,NASDAQ,21.25,21.3125,20.9375,21.25,135600.0,
2000-06-27,XEL,NASDAQ,21.125,21.375,20.25,20.3125,295400.0,
2000-06-28,XEL,NASDAQ,20.5,21.125,20.0,20.9375,321200.0,
2000-06-29,XEL,NASDAQ,20.9375,21.25,20.5,20.5,207200.0,
2000-06-30,XEL,NASDAQ,20.5625,21.125,20.0625,20.1875,484500.0,
2000-07-03,XEL,NASDAQ,20.3125,20.75,20.1875,20.5,228000.0,
2000-07-05,XEL,NASDAQ,20.5,21.0,20.125,20.3125,422600.0,
2000-07-06,XEL,NASDAQ,20.5,20.875,20.4375,20.8125,417100.0,
2000-07-07,XEL,NASDAQ,20.875,21.125,20.875,21.0,235400.0,
2000-07-10,XEL,NASDAQ,21.125,21.5,21.0625,21.25,2714800.0,
2000-07-11,XEL,NASDAQ,21.125,21.25,20.8125,21.25,450800.0,
2000-07-12,XEL,NASDAQ,21.25,21.25,20.875,21.0,212200.0,
2000-07-13,XEL,NASDAQ,21.0,21.0625,20.8125,21.0,249500.0,
2000-07-14,XEL,NASDAQ,20.9375,21.3125,20.75,20.8125,491000.0,
2000-07-17,XEL,NASDAQ,20.8125,21.0625,20.8125,20.8125,301900.0,
2000-07-18,XEL,NASDAQ,21.0625,21.0625,20.5625,20.5625,583000.0,
2000-07-19,XEL,NASDAQ,20.875,21.8125,20.8125,21.6875,923000.0,
2000-07-20,XEL,NASDAQ,22.25,22.3125,21.9375,22.0625,629800.0,
2000-07-21,XEL,NASDAQ,22.3125,22.3125,21.875,21.875,375000.0,
2000-07-24,XEL,NASDAQ,21.875,22.0,21.5,21.6875,200200.0,
2000-07-25,XEL,NASDAQ,21.9375,22.375,21.75,22.0625,251300.0,
2000-07-26,XEL,NASDAQ,22.0,22.25,21.9375,21.9375,347200.0,
2000-07-27,XEL,NASDAQ,22.0625,22.4375,22.0625,22.3125,348400.0,
2000-07-28,XEL,NASDAQ,22.25,22.5,22.0625,22.0625,322300.0,
2000-07-31,XEL,NASDAQ,22.25,22.4375,22.0,22.0625,247800.0,
2000-08-01,XEL,NASDAQ,22.25,22.8125,22.125,22.8125,282300.0,
2000-08-02,XEL,NASDAQ,22.8125,23.6875,22.625,23.5,1697600.0,
2000-08-03,XEL,NASDAQ,23.5625,24.625,23.5625,24.0,1862800.0,
2000-08-04,XEL,NASDAQ,24.0625,24.25,23.625,24.25,541900.0,
2000-08-07,XEL,NASDAQ,24.125,24.875,24.125,24.75,1081500.0,
2000-08-08,XEL,NASDAQ,26.0,26.0,25.0,25.5,854400.0,
2000-08-09,XEL,NASDAQ,25.375,25.4375,25.0625,25.4375,774200.0,
2000-08-10,XEL,NASDAQ,25.25,25.8125,25.1875,25.8125,327000.0,
2000-08-11,XEL,NASDAQ,25.8125,26.625,25.6875,26.25,825300.0,
2000-08-14,XEL,NASDAQ,25.875,26.375,25.875,26.3125,743900.0,
2000-08-15,XEL,NASDAQ,26.125,26.6875,26.0625,26.625,796900.0,
2000-08-16,XEL,NASDAQ,26.625,26.6875,26.375,26.625,681600.0,
2000-08-17,XEL,NASDAQ,26.625,26.625,26.125,26.1875,643500.0,
2000-08-18,XEL,NASDAQ,26.0625,26.3125,25.9375,26.25,800600.0,
2000-08-21,XEL,NASDAQ,26.0625,26.4375,26.0,26.3125,621000.0,
2000-08-22,XEL,NASDAQ,26.25,26.625,26.1875,26.5,519400.0,
2000-08-23,XEL,NASDAQ,26.25,26.375,25.8125,26.0,1103000.0,
2000-08-24,XEL,NASDAQ,26.0,26.0,25.125,25.375,788200.0,
2000-08-25,XEL,NASDAQ,25.375,25.375,24.75,25.0625,1063900.0,
2000-08-28,XEL,NASDAQ,25.0,25.0625,24.5,24.5625,917600.0,
2000-08-29,XEL,NASDAQ,24.5625,24.625,24.0625,24.4375,824100.0,
2000-08-30,XEL,NASDAQ,24.4375,25.0,24.3125,24.75,614400.0,
2000-08-31,XEL,NASDAQ,24.75,25.25,24.75,25.0625,1256300.0,
2000-09-01,XEL,NASDAQ,24.9375,25.1875,24.8125,24.875,973400.0,
2000-09-05,XEL,NASDAQ,25.0,25.0625,24.8125,24.9375,578800.0,
2000-09-06,XEL,NASDAQ,25.0,25.75,25.0,25.75,1906600.0,
2000-09-07,XEL,NASDAQ,25.6875,25.75,25.5,25.75,579900.0,
2000-09-08,XEL,NASDAQ,25.625,26.0625,25.625,26.0,1345500.0,
2000-09-11,XEL,NASDAQ,26.0,26.6875,25.9375,26.625,2214100.0,
2000-09-12,XEL,NASDAQ,26.625,27.0,26.4375,26.8125,1744100.0,
2000-09-13,XEL,NASDAQ,26.75,26.875,26.3125,26.5625,859000.0,
2000-09-14,XEL,NASDAQ,26.5625,26.5625,25.9375,26.5625,432100.0,
2000-09-15,XEL,NASDAQ,26.625,26.9375,26.4375,26.625,1607300.0,
2000-09-18,XEL,NASDAQ,26.5,26.5,26.0,26.1875,756700.0,
2000-09-19,XEL,NASDAQ,26.6875,26.6875,25.6875,26.125,1535900.0,
2000-09-20,XEL,NASDAQ,26.0,26.125,25.5,25.9375,682100.0,
2000-09-21,XEL,NASDAQ,25.9375,26.125,25.5625,25.875,653700.0,
2000-09-22,XEL,NASDAQ,26.0625,26.25,25.8125,26.125,2219700.0,
2000-09-25,XEL,NASDAQ,25.875,26.125,25.625,26.0625,396300.0,
2000-09-26,XEL,NASDAQ,26.0,26.4375,26.0,26.375,676500.0,
2000-09-27,XEL,NASDAQ,26.3125,26.875,26.3125,26.875,1560800.0,
2000-09-28,XEL,NASDAQ,26.8125,27.4375,26.8125,27.25,932300.0,
2000-09-29,XEL,NASDAQ,27.25,27.5625,27.1875,27.5,944000.0,
2000-10-02,XEL,NASDAQ,27.5,28.0,27.3125,27.9375,805100.0,
2000-10-03,XEL,NASDAQ,27.6875,28.125,27.5625,27.5625,569600.0,
2000-10-04,XEL,NASDAQ,27.375,27.6875,26.1875,26.75,862300.0,
2000-10-05,XEL,NASDAQ,26.75,27.3125,25.875,25.9375,1145600.0,
2000-10-06,XEL,NASDAQ,26.0,27.4375,26.0,27.0,1799500.0,
2000-10-09,XEL,NASDAQ,26.875,27.8125,26.6875,27.375,1011500.0,
2000-10-10,XEL,NASDAQ,27.1875,27.9375,27.1875,27.5,688500.0,
2000-10-11,XEL,NASDAQ,27.6875,28.0,27.125,27.625,629100.0,
2000-10-12,XEL,NASDAQ,27.4375,27.75,26.6875,27.3125,471000.0,
2000-10-13,XEL,NASDAQ,27.125,27.5,27.125,27.5,325500.0,
2000-10-16,XEL,NASDAQ,27.3125,27.9375,27.3125,27.8125,299800.0,
2000-10-17,XEL,NASDAQ,27.8125,28.0,27.4375,27.6875,425500.0,
2000-10-18,XEL,NASDAQ,27.625,28.0,26.75,27.25,735200.0,
2000-10-19,XEL,NASDAQ,27.0625,27.0625,26.4375,26.75,297700.0,
2000-10-20,XEL,NASDAQ,26.75,26.875,26.4375,26.5625,498300.0,
2000-10-23,XEL,NASDAQ,26.5625,26.625,26.0625,26.125,601900.0,
2000-10-24,XEL,NASDAQ,26.3125,26.5,25.625,25.9375,861900.0,
2000-10-25,XEL,NASDAQ,25.9375,26.125,25.0625,25.125,912000.0,
2000-10-26,XEL,NASDAQ,24.875,25.3125,24.625,25.0625,1312200.0,
2000-10-27,XEL,NASDAQ,24.9375,25.4375,24.625,25.25,920900.0,
2000-10-30,XEL,NASDAQ,25.125,25.625,25.125,25.4375,769800.0,
2000-10-31,XEL,NASDAQ,25.375,25.75,25.0,25.5625,620500.0,
2000-11-01,XEL,NASDAQ,25.6875,26.375,25.6875,26.3125,522700.0,
2000-11-02,XEL,NASDAQ,26.3125,26.4375,25.75,25.8125,494700.0,
2000-11-03,XEL,NASDAQ,25.75,26.125,25.5,25.75,305100.0,
2000-11-06,XEL,NASDAQ,25.5,26.4375,25.5,25.875,833100.0,
2000-11-07,XEL,NASDAQ,25.875,25.9375,25.5,25.6875,450200.0,
2000-11-08,XEL,NASDAQ,25.5625,25.8125,25.5,25.75,203100.0,
2000-11-09,XEL,NASDAQ,25.875,26.125,25.75,26.0,476400.0,
2000-11-10,XEL,NASDAQ,26.125,26.1875,25.875,25.9375,508600.0,
2000-11-13,XEL,NASDAQ,25.6875,26.25,25.6875,25.9375,334600.0,
2000-11-14,XEL,NASDAQ,25.6875,25.8125,25.5625,25.75,441500.0,
2000-11-15,XEL,NASDAQ,25.625,26.5,25.5625,26.375,894800.0,
2000-11-16,XEL,NASDAQ,26.375,26.75,26.25,26.5625,872000.0,
2000-11-17,XEL,NASDAQ,26.875,26.875,26.4375,26.6875,563700.0,
2000-11-20,XEL,NASDAQ,26.875,27.0,26.4375,26.5,442800.0,
2000-11-21,XEL,NASDAQ,26.5,26.6875,26.0,26.6875,294800.0,
2000-11-22,XEL,NASDAQ,26.5625,26.875,26.375,26.6875,716600.0,
2000-11-24,XEL,NASDAQ,26.5,26.75,26.375,26.5625,107500.0,
2000-11-27,XEL,NASDAQ,26.25,26.5,25.75,26.125,821200.0,
2000-11-28,XEL,NASDAQ,26.125,26.4375,26.0625,26.4375,556000.0,
2000-11-29,XEL,NASDAQ,26.25,27.0625,26.25,26.9375,522100.0,
2000-11-30,XEL,NASDAQ,27.1875,27.75,26.9375,27.25,735300.0,
2000-12-01,XEL,NASDAQ,27.0,27.375,26.8125,26.9375,389500.0,
2000-12-04,XEL,NASDAQ,26.875,27.625,26.875,27.5,611500.0,
2000-12-05,XEL,NASDAQ,27.4375,27.5625,26.9375,27.5625,915700.0,
2000-12-06,XEL,NASDAQ,27.8125,27.8125,26.875,27.1875,567100.0,
2000-12-07,XEL,NASDAQ,27.125,27.625,27.125,27.625,637500.0,
2000-12-08,XEL,NASDAQ,27.625,27.75,27.375,27.6875,428900.0,
2000-12-11,XEL,NASDAQ,27.5625,28.0,27.4375,27.625,678300.0,
2000-12-12,XEL,NASDAQ,27.75,28.125,27.6875,28.0,554200.0,
2000-12-13,XEL,NASDAQ,28.0,28.0625,27.8125,28.0,333100.0,
2000-12-14,XEL,NASDAQ,27.625,28.0,27.375,27.4375,292000.0,
2000-12-15,XEL,NASDAQ,27.25,27.5625,27.0625,27.1875,837700.0,
2000-12-18,XEL,NASDAQ,27.25,27.8125,27.1875,27.6875,238700.0,
2000-12-19,XEL,NASDAQ,27.8125,27.9375,27.6875,27.875,262200.0,
2000-12-20,XEL,NASDAQ,27.875,28.75,27.625,28.75,664600.0,
2000-12-21,XEL,NASDAQ,28.75,28.9375,28.5,28.875,494200.0,
2000-12-22,XEL,NASDAQ,28.5,28.8125,28.4375,28.6875,465700.0,
2000-12-26,XEL,NASDAQ,28.875,29.75,28.875,29.75,469700.0,
2000-12-27,XEL,NASDAQ,29.875,30.0,29.5625,29.75,405200.0,
2000-12-28,XEL,NASDAQ,29.4375,29.5,28.9375,29.125,296900.0,
2000-12-29,XEL,NASDAQ,29.25,29.3125,28.8125,29.0625,377600.0,
2001-01-02,XEL,NASDAQ,28.5625,28.9375,27.9375,28.3125,732200.0,
2001-01-03,XEL,NASDAQ,28.5,29.0625,27.0625,27.3125,759800.0,
2001-01-04,XEL,NASDAQ,27.1875,27.1875,25.125,25.375,793500.0,
2001-01-05,XEL,NASDAQ,25.375,25.75,25.125,25.4375,672800.0,
2001-01-08,XEL,NASDAQ,25.375,25.8125,25.375,25.75,391200.0,
2001-01-09,XEL,NASDAQ,26.0,26.0625,25.5625,25.9375,355300.0,
2001-01-10,XEL,NASDAQ,25.875,26.0,25.375,25.75,358400.0,
2001-01-11,XEL,NASDAQ,26.0,26.0,24.375,24.5625,1056400.0,
2001-01-12,XEL,NASDAQ,24.5625,25.125,24.25,24.9375,889400.0,
2001-01-16,XEL,NASDAQ,25.0,25.0625,24.25,25.0,859700.0,
2001-01-17,XEL,NASDAQ,25.1875,25.375,24.9375,25.125,632300.0,
2001-01-18,XEL,NASDAQ,25.125,25.5625,25.125,25.4375,363200.0,
2001-01-19,XEL,NASDAQ,25.375,25.8125,24.875,25.6875,486900.0,
2001-01-22,XEL,NASDAQ,25.6875,26.1875,25.5625,25.8125,484000.0,
2001-01-23,XEL,NASDAQ,26.0,26.5,25.5625,25.875,689000.0,
2001-01-24,XEL,NASDAQ,25.625,26.125,25.625,26.0625,682400.0,
2001-01-25,XEL,NASDAQ,26.3125,26.5625,26.0,26.375,382200.0,
2001-01-26,XEL,NASDAQ,26.25,26.5625,25.6875,26.4375,436400.0,
2001-01-29,XEL,NASDAQ,26.25,26.5,26.0,26.28,298100.0,
2001-01-30,XEL,NASDAQ,26.4,26.4,25.75,26.0,357100.0,
2001-01-31,XEL,NASDAQ,26.0,26.0,25.31,25.47,595200.0,
2001-02-01,XEL,NASDAQ,25.48,25.49,25.2,25.38,467900.0,
2001-02-02,XEL,NASDAQ,25.6,25.75,25.34,25.55,892100.0,
2001-02-05,XEL,NASDAQ,25.69,26.1,25.59,26.01,310500.0,
2001-02-06,XEL,NASDAQ,26.01,26.28,25.66,25.81,576300.0,
2001-02-07,XEL,NASDAQ,25.95,26.65,25.9,26.55,557500.0,
2001-02-08,XEL,NASDAQ,26.55,27.0,26.55,27.0,311800.0,
2001-02-09,XEL,NASDAQ,27.0,27.3,26.75,27.25,377100.0,
2001-02-12,XEL,NASDAQ,27.3,27.75,26.9,27.4,439700.0,
2001-02-13,XEL,NASDAQ,27.95,27.95,27.05,27.55,364600.0,
2001-02-14,XEL,NASDAQ,27.6,27.6,27.1,27.45,429300.0,
