date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ZION,NASDAQ,59.03125,59.125,53.4375,55.5,1199600.0,
2000-01-04,ZION,NASDAQ,54.625,55.0,52.5,52.8125,816100.0,
2000-01-05,ZION,NASDAQ,52.75,53.25,51.0625,52.75,1124700.0,
2000-01-06,ZION,NASDAQ,52.75,54.9375,52.375,53.5,1112100.0,
2000-01-07,ZION,NASDAQ,53.75,54.25,53.3125,53.625,782000.0,
2000-01-10,ZION,NASDAQ,53.6875,53.75,51.5,52.65625,408800.0,
2000-01-11,ZION,NASDAQ,52.6875,53.0,49.875,49.875,987800.0,
2000-01-12,ZION,NASDAQ,50.5,50.75,49.0,50.3125,794300.0,
2000-01-13,ZION,NASDAQ,51.0625,55.5,51.0,54.6875,458700.0,
2000-01-14,ZION,NASDAQ,56.0,56.75,54.9375,55.625,596500.0,
2000-01-18,ZION,NASDAQ,55.625,56.125,52.75,52.8125,476800.0,
2000-01-19,ZION,NASDAQ,52.75,54.625,52.625,53.375,310400.0,
2000-01-20,ZION,NASDAQ,54.125,54.125,51.9375,52.4375,368200.0,
2000-01-21,ZION,NASDAQ,53.1875,53.3125,50.28125,52.875,448900.0,
2000-01-24,ZION,NASDAQ,53.5,54.25,51.375,52.0,573000.0,
2000-01-25,ZION,NASDAQ,51.8125,53.875,51.375,53.6875,497200.0,
2000-01-26,ZION,NASDAQ,54.0,54.21875,52.5625,53.5625,541500.0,
2000-01-27,ZION,NASDAQ,53.75,58.625,53.625,57.75,967300.0,
2000-01-28,ZION,NASDAQ,57.25,57.25,54.875,56.125,801400.0,
2000-01-31,ZION,NASDAQ,56.1875,59.3125,56.125,59.125,440500.0,
2000-02-01,ZION,NASDAQ,58.875,60.0,58.5625,59.75,730800.0,
2000-02-02,ZION,NASDAQ,59.5,59.5625,58.5625,58.625,655400.0,
2000-02-03,ZION,NASDAQ,58.5625,59.5,57.125,57.9375,297300.0,
2000-02-04,ZION,NASDAQ,57.875,58.125,55.0,55.3125,240400.0,
2000-02-07,ZION,NASDAQ,55.375,55.75,53.875,55.25,384300.0,
2000-02-08,ZION,NASDAQ,55.0625,58.4375,55.0,58.0625,366000.0,
2000-02-09,ZION,NASDAQ,58.5625,58.6875,54.0,55.125,935800.0,
2000-02-10,ZION,NASDAQ,55.4375,56.5,54.75,54.9375,362500.0,
2000-02-11,ZION,NASDAQ,55.4375,56.0,54.5,54.6875,448800.0,
2000-02-14,ZION,NASDAQ,54.6875,55.234375,54.0625,54.125,199400.0,
2000-02-15,ZION,NASDAQ,54.375,55.5,53.5625,54.8125,412600.0,
2000-02-16,ZION,NASDAQ,54.75,54.8125,54.25,54.5625,233900.0,
2000-02-17,ZION,NASDAQ,54.75,55.75,54.0625,55.03125,439500.0,
2000-02-18,ZION,NASDAQ,55.0,55.125,49.625,49.875,1174700.0,
2000-02-22,ZION,NASDAQ,50.0625,51.1875,48.875,51.125,706100.0,
2000-02-23,ZION,NASDAQ,51.0625,51.25,49.3125,50.625,433000.0,
2000-02-24,ZION,NASDAQ,50.78125,51.5625,50.4375,50.875,821900.0,
2000-02-25,ZION,NASDAQ,50.875,50.875,49.875,50.0,338300.0,
2000-02-28,ZION,NASDAQ,49.96875,52.65625,49.6875,51.5,1029200.0,
2000-02-29,ZION,NASDAQ,51.75,53.25,51.0,53.0625,415700.0,
2000-03-01,ZION,NASDAQ,53.0,53.1875,50.5,50.6875,786900.0,
2000-03-02,ZION,NASDAQ,50.6875,52.25,50.6875,51.4375,423300.0,
2000-03-03,ZION,NASDAQ,51.25,51.40625,32.0,38.8125,14244100.0,
2000-03-06,ZION,NASDAQ,39.25,42.375,37.125,41.5625,3842200.0,
2000-03-07,ZION,NASDAQ,41.875,41.875,39.125,39.8125,1162600.0,
2000-03-08,ZION,NASDAQ,40.5625,40.5625,36.5,37.4375,1449300.0,
2000-03-09,ZION,NASDAQ,37.1875,37.625,36.375,36.875,862200.0,
2000-03-10,ZION,NASDAQ,36.9375,39.75,36.0625,37.25,822100.0,
2000-03-13,ZION,NASDAQ,37.875,38.9375,37.625,37.96875,1970600.0,
2000-03-14,ZION,NASDAQ,38.34375,38.625,36.0,36.4375,536200.0,
2000-03-15,ZION,NASDAQ,36.75,39.5,36.6875,38.75,832300.0,
2000-03-16,ZION,NASDAQ,39.625,41.875,39.5625,41.375,1168300.0,
2000-03-17,ZION,NASDAQ,40.5,42.9375,40.375,40.9375,1010300.0,
2000-03-20,ZION,NASDAQ,41.0,41.25,39.3125,39.3125,542200.0,
2000-03-21,ZION,NASDAQ,39.25,42.625,38.625,42.25,511800.0,
2000-03-22,ZION,NASDAQ,42.0,44.34375,42.0,42.0625,529200.0,
2000-03-23,ZION,NASDAQ,41.75,44.0,41.5,44.0,673600.0,
2000-03-24,ZION,NASDAQ,43.75,44.0,42.0,42.5625,579300.0,
2000-03-27,ZION,NASDAQ,42.59375,42.6875,38.8125,39.4375,900300.0,
2000-03-28,ZION,NASDAQ,39.375,41.3125,38.875,39.75,796100.0,
2000-03-29,ZION,NASDAQ,39.6875,40.875,38.875,39.515625,876000.0,
2000-03-30,ZION,NASDAQ,39.5625,41.0625,38.3125,38.3125,1151400.0,
2000-03-31,ZION,NASDAQ,38.875,43.0,38.625,41.625,1414100.0,
2000-04-03,ZION,NASDAQ,44.109375,44.25,38.5625,40.0,3809900.0,
2000-04-04,ZION,NASDAQ,41.5,43.75,40.75,41.625,2188000.0,
2000-04-05,ZION,NASDAQ,41.0625,41.6875,40.953125,41.125,668100.0,
2000-04-06,ZION,NASDAQ,41.5625,42.8125,41.375,42.5,1571600.0,
2000-04-07,ZION,NASDAQ,42.5,42.625,40.25,40.625,848400.0,
2000-04-10,ZION,NASDAQ,40.625,42.875,40.5625,42.375,1062400.0,
2000-04-11,ZION,NASDAQ,42.0625,46.0,42.0,45.125,993300.0,
2000-04-12,ZION,NASDAQ,45.125,49.25,45.0,45.625,1448900.0,
2000-04-13,ZION,NASDAQ,46.5,48.25,45.75,47.5,2637700.0,
2000-04-14,ZION,NASDAQ,47.375,47.4375,45.125,45.1875,1453900.0,
2000-04-17,ZION,NASDAQ,45.0,45.0625,43.5625,44.9375,1156300.0,
2000-04-18,ZION,NASDAQ,45.0,45.125,42.25,43.6875,485300.0,
2000-04-19,ZION,NASDAQ,43.8125,43.8125,39.875,40.875,588900.0,
2000-04-20,ZION,NASDAQ,41.125,43.25,40.75,43.0,1204700.0,
2000-04-24,ZION,NASDAQ,42.6875,44.875,41.4375,43.5,373600.0,
2000-04-25,ZION,NASDAQ,43.6875,46.5,43.5,44.625,235200.0,
2000-04-26,ZION,NASDAQ,45.0,45.0,42.375,42.9375,309900.0,
2000-04-27,ZION,NASDAQ,42.375,42.5,40.875,41.4375,308400.0,
2000-04-28,ZION,NASDAQ,41.875,42.25,40.75,41.5,224700.0,
2000-05-01,ZION,NASDAQ,41.4375,42.4375,41.125,41.75,325500.0,
2000-05-02,ZION,NASDAQ,41.875,43.0,41.125,42.9375,605100.0,
2000-05-03,ZION,NASDAQ,42.875,43.0,40.5,40.6875,336100.0,
2000-05-04,ZION,NASDAQ,40.875,41.875,39.4375,40.625,533600.0,
2000-05-05,ZION,NASDAQ,40.4375,41.0,40.0,40.75,331300.0,
2000-05-08,ZION,NASDAQ,40.4375,42.25,40.0,42.0,664400.0,
2000-05-09,ZION,NASDAQ,42.1875,43.375,41.3125,42.0,553000.0,
2000-05-10,ZION,NASDAQ,41.5,41.75,39.0625,39.9375,312300.0,
2000-05-11,ZION,NASDAQ,40.1875,42.0,40.125,41.25,654400.0,
2000-05-12,ZION,NASDAQ,41.0625,42.375,40.5625,41.875,347700.0,
2000-05-15,ZION,NASDAQ,42.125,42.625,41.75,42.375,415200.0,
2000-05-16,ZION,NASDAQ,43.0,43.0625,41.6875,41.9375,252800.0,
2000-05-17,ZION,NASDAQ,41.6875,41.8125,40.5,41.3125,255600.0,
2000-05-18,ZION,NASDAQ,40.875,42.25,40.8125,41.375,230300.0,
2000-05-19,ZION,NASDAQ,40.875,42.0,40.75,41.40625,433000.0,
2000-05-22,ZION,NASDAQ,41.6875,42.5625,40.6875,42.375,197400.0,
2000-05-23,ZION,NASDAQ,41.9375,43.75,41.75,43.0,504000.0,
2000-05-24,ZION,NASDAQ,42.96875,44.4375,42.8125,44.0,498100.0,
2000-05-25,ZION,NASDAQ,43.9375,44.375,42.75,43.875,430500.0,
2000-05-26,ZION,NASDAQ,43.8125,45.75,43.75,44.9375,536600.0,
2000-05-30,ZION,NASDAQ,45.375,47.0,45.0,46.796875,590700.0,
2000-05-31,ZION,NASDAQ,46.1875,47.5625,45.5,46.625,646500.0,
2000-06-01,ZION,NASDAQ,46.5625,48.5625,46.25,47.4375,389300.0,
2000-06-02,ZION,NASDAQ,48.21875,49.5625,47.875,48.3125,330000.0,
2000-06-05,ZION,NASDAQ,48.625,48.625,46.25,47.75,266700.0,
2000-06-06,ZION,NASDAQ,47.65625,47.65625,45.75,46.375,413700.0,
2000-06-07,ZION,NASDAQ,46.0,47.125,45.625,46.875,287500.0,
2000-06-08,ZION,NASDAQ,46.8125,46.8125,44.9375,45.125,98300.0,
2000-06-09,ZION,NASDAQ,45.125,46.125,45.125,45.25,122100.0,
2000-06-12,ZION,NASDAQ,45.25,46.3125,44.9375,46.1875,173800.0,
2000-06-13,ZION,NASDAQ,45.71875,46.296875,45.5,46.0,181200.0,
2000-06-14,ZION,NASDAQ,46.375,46.4375,45.3125,45.4375,139200.0,
2000-06-15,ZION,NASDAQ,45.6875,46.1875,44.25,46.0625,648400.0,
2000-06-16,ZION,NASDAQ,46.53125,46.59375,44.1875,45.0,1581400.0,
2000-06-19,ZION,NASDAQ,45.0,48.5625,44.875,47.125,459600.0,
2000-06-20,ZION,NASDAQ,47.4375,48.6875,46.5625,48.625,540600.0,
2000-06-21,ZION,NASDAQ,48.1875,48.25,46.9375,47.5625,365300.0,
2000-06-22,ZION,NASDAQ,47.40625,48.0,47.125,47.4375,375700.0,
2000-06-23,ZION,NASDAQ,47.625,47.875,47.3125,47.6875,147300.0,
2000-06-26,ZION,NASDAQ,47.5,47.75,47.25,47.625,893500.0,
2000-06-27,ZION,NASDAQ,47.71875,47.75,47.375,47.5,359100.0,
2000-06-28,ZION,NASDAQ,47.625,47.625,47.1875,47.375,280200.0,
2000-06-29,ZION,NASDAQ,47.46875,47.5,46.25,46.3125,374800.0,
2000-06-30,ZION,NASDAQ,46.59375,46.625,45.625,45.890625,653100.0,
2000-07-03,ZION,NASDAQ,46.0,47.5,45.875,47.5,200700.0,
2000-07-05,ZION,NASDAQ,47.5,47.875,46.5625,47.0625,671300.0,
2000-07-06,ZION,NASDAQ,47.09375,47.125,44.125,46.75,673700.0,
2000-07-07,ZION,NASDAQ,46.53125,48.0,46.5,47.375,765600.0,
2000-07-10,ZION,NASDAQ,47.4375,47.8125,46.8125,47.375,132300.0,
2000-07-11,ZION,NASDAQ,47.0,48.375,47.0,47.3125,218100.0,
2000-07-12,ZION,NASDAQ,47.34375,48.25,46.6875,46.6875,262000.0,
2000-07-13,ZION,NASDAQ,47.0625,47.625,46.3125,47.625,328700.0,
2000-07-14,ZION,NASDAQ,47.3125,47.875,47.0,47.75,205900.0,
2000-07-17,ZION,NASDAQ,47.875,47.875,45.6875,45.875,481700.0,
2000-07-18,ZION,NASDAQ,45.875,46.0,45.1875,46.0,387500.0,
2000-07-19,ZION,NASDAQ,46.03125,46.0625,45.3125,45.4375,181200.0,
2000-07-20,ZION,NASDAQ,45.4375,47.125,45.4375,46.5625,392100.0,
2000-07-21,ZION,NASDAQ,46.1875,46.5,45.3125,46.1875,132300.0,
2000-07-24,ZION,NASDAQ,46.1875,46.25,45.25,45.6875,67700.0,
2000-07-25,ZION,NASDAQ,45.5,45.875,45.1875,45.5,81800.0,
2000-07-26,ZION,NASDAQ,45.53125,45.5625,43.625,44.0,136900.0,
2000-07-27,ZION,NASDAQ,44.125,45.375,43.9375,44.5,135200.0,
2000-07-28,ZION,NASDAQ,44.4375,44.625,43.75,43.875,145300.0,
2000-07-31,ZION,NASDAQ,44.125,44.375,43.5,43.75,232200.0,
2000-08-01,ZION,NASDAQ,43.90625,43.9375,43.203125,43.5625,342600.0,
2000-08-02,ZION,NASDAQ,43.6875,45.875,43.6875,44.9375,335100.0,
2000-08-03,ZION,NASDAQ,44.75,46.375,44.5,45.75,471400.0,
2000-08-04,ZION,NASDAQ,46.0,47.5,45.875,46.4375,454800.0,
2000-08-07,ZION,NASDAQ,46.46875,46.5,45.0,45.5,343300.0,
2000-08-08,ZION,NASDAQ,45.625,45.625,44.6875,45.25,236900.0,
2000-08-09,ZION,NASDAQ,45.15625,45.15625,43.6875,44.0,406400.0,
2000-08-10,ZION,NASDAQ,44.375,45.5,44.375,44.875,635400.0,
2000-08-11,ZION,NASDAQ,44.71875,45.25,44.5,45.09375,364600.0,
2000-08-14,ZION,NASDAQ,44.875,45.0,43.9375,44.4375,368900.0,
2000-08-15,ZION,NASDAQ,44.4375,44.5,43.9375,44.0,483900.0,
2000-08-16,ZION,NASDAQ,44.125,44.25,43.0,43.25,350300.0,
2000-08-17,ZION,NASDAQ,43.25,44.125,43.1875,43.875,248600.0,
2000-08-18,ZION,NASDAQ,43.78125,43.78125,43.375,43.4375,106700.0,
2000-08-21,ZION,NASDAQ,43.40625,43.40625,42.1875,42.375,190200.0,
2000-08-22,ZION,NASDAQ,42.59375,43.0625,42.25,42.5625,680600.0,
2000-08-23,ZION,NASDAQ,42.5,42.5625,40.625,41.0625,1212200.0,
2000-08-24,ZION,NASDAQ,41.21875,42.625,41.21875,42.5625,552000.0,
2000-08-25,ZION,NASDAQ,42.5,43.125,42.3125,42.75,401600.0,
2000-08-28,ZION,NASDAQ,42.84375,42.9375,42.375,42.375,206000.0,
2000-08-29,ZION,NASDAQ,42.5625,43.375,42.0,42.25,343900.0,
2000-08-30,ZION,NASDAQ,42.0625,43.25,42.0625,43.125,338800.0,
2000-08-31,ZION,NASDAQ,43.0625,44.75,43.0,44.75,362600.0,
