date,code,exchange,open,high,low,close,volume,count_trx
2016-10-18,AA,NYSE,22.5,22.5,22.5,22.5,1000.0,10.0
2016-10-20,AA,NYSE,22.5,24.25,20.29,21.0,5073.0,38.0
2016-10-21,AA,NYSE,21.2,21.2,20.89,20.95,6963.0,9.0
2016-10-24,AA,NYSE,21.0,21.0,20.98,21.0,2700.0,27.0
2016-10-25,AA,NYSE,22.16,22.5,20.64,21.25,83222.0,245.0
2016-10-26,AA,NYSE,21.0,21.0,20.0,21.0,87711.0,298.0
2016-10-27,AA,NYSE,21.0,21.75,20.72,21.2,43920.0,297.0
2016-10-28,AA,NYSE,21.81,22.0,20.76,21.4,156441.0,1156.0
2016-10-31,AA,NYSE,21.41,22.1,20.81,21.44,322923.0,1179.0
2016-11-01,AA,NYSE,22.0,23.545,21.8,23.0,11665543.0,9031.0
2016-11-02,AA,NYSE,22.67,23.26,22.67,22.91,2260859.0,5436.0
2016-11-03,AA,NYSE,22.96,24.34,22.94,24.15,1352180.0,3508.0
2016-11-04,AA,NYSE,23.82,25.49,23.56,25.2,1282097.0,4768.0
2016-11-07,AA,NYSE,25.64,26.405,24.89,25.08,1842169.0,6247.0
2016-11-08,AA,NYSE,24.42,26.59,24.4,26.4,1541472.0,5087.0
2016-11-09,AA,NYSE,26.85,29.14,26.0,28.72,2110967.0,7739.0
2016-11-10,AA,NYSE,29.06,29.7,28.3,29.1,1661108.0,6638.0
2016-11-11,AA,NYSE,29.14,29.98,27.64,29.3,1165269.0,5338.0
2016-11-14,AA,NYSE,29.51,29.935,28.61,29.62,1161883.0,5126.0
2016-11-15,AA,NYSE,29.24,30.23,28.85,30.21,1006152.0,3330.0
2016-11-16,AA,NYSE,29.7,31.69,29.67,31.42,1176907.0,4579.0
2016-11-17,AA,NYSE,31.28,32.01,30.77,31.85,1119554.0,4046.0
2016-11-18,AA,NYSE,31.72,31.74,30.16,30.42,997911.0,4552.0
2016-11-21,AA,NYSE,30.94,30.94,29.52,30.69,861820.0,3059.0
2016-11-22,AA,NYSE,31.13,31.91,30.54,31.34,760531.0,3131.0
2016-11-23,AA,NYSE,30.98,31.93,30.01,31.51,1205871.0,3261.0
2016-11-25,AA,NYSE,31.2,32.19,31.11,31.7,678426.0,2410.0
2016-11-28,AA,NYSE,31.46,31.8,30.7,30.86,1183918.0,3778.0
2016-11-29,AA,NYSE,30.01,30.45,29.73,29.73,1089501.0,4150.0
2016-11-30,AA,NYSE,30.01,30.44,28.85,28.97,1425626.0,4392.0
2016-12-01,AA,NYSE,28.78,29.41,28.6,28.88,1358417.0,5144.0
2016-12-02,AA,NYSE,28.86,29.62,28.73,29.04,823423.0,3695.0
2016-12-05,AA,NYSE,29.0,31.27,29.0,31.22,1515757.0,6356.0
2016-12-06,AA,NYSE,30.81,31.19,30.21,31.15,1103344.0,3515.0
2016-12-07,AA,NYSE,31.3,31.88,30.77,30.9,1897881.0,4340.0
2016-12-08,AA,NYSE,31.34,31.84,30.81,31.31,763168.0,4251.0
2016-12-09,AA,NYSE,31.31,32.105,31.04,32.05,983318.0,4003.0
