date,code,exchange,open,high,low,close,volume,count_trx
2020-12-10,ABNB,NYSE,147.79,165.0,141.3,145.66,543013.0,4767.0
2020-12-11,ABNB,NYSE,146.77,151.03,135.89,139.37,251433.0,2397.0
2020-12-14,ABNB,NYSE,134.9,134.9,125.4,129.89,174863.0,1933.0
2020-12-15,ABNB,NYSE,126.11,127.5,121.71,124.8,85007.0,916.0
2020-12-16,ABNB,NYSE,125.5,141.92,125.14,138.14,231839.0,2286.0
2020-12-17,ABNB,NYSE,143.23,152.31,143.23,149.0,160816.0,1786.0
2020-12-18,ABNB,NYSE,150.98,158.9,150.98,157.61,108478.0,1159.0
2020-12-21,ABNB,NYSE,155.57,171.79,145.14,163.15,133248.0,1622.0
2020-12-22,ABNB,NYSE,169.95,174.52,161.17,162.3,115525.0,1322.0
2020-12-23,ABNB,NYSE,162.74,168.01,155.81,158.35,61235.0,721.0
2020-12-24,ABNB,NYSE,158.81,162.74,154.32,154.9,41197.0,475.0
2020-12-28,ABNB,NYSE,158.6,163.03,147.52,148.88,58968.0,726.0
2020-12-29,ABNB,NYSE,149.57,151.2,143.62,149.91,59355.0,633.0
2020-12-30,ABNB,NYSE,150.5,152.43,146.24,148.26,34865.0,445.0
2020-12-31,ABNB,NYSE,146.74,147.56,144.81,146.71,41169.0,555.0
2021-01-04,ABNB,NYSE,148.97,149.35,137.0,139.0,70462.0,914.0
2021-01-05,ABNB,NYSE,138.37,148.69,137.28,148.13,74499.0,1064.0
2021-01-06,ABNB,NYSE,145.09,148.32,141.11,142.86,51888.0,737.0
2021-01-07,ABNB,NYSE,146.01,154.39,145.83,151.71,54142.0,730.0
2021-01-08,ABNB,NYSE,153.63,155.27,147.53,149.52,54156.0,692.0
2021-01-11,ABNB,NYSE,147.1,150.3,144.17,147.64,43192.0,467.0
2021-01-12,ABNB,NYSE,147.45,163.81,143.63,160.72,95955.0,1209.0
2021-01-13,ABNB,NYSE,161.39,178.21,159.79,170.32,121368.0,1623.0
2021-01-14,ABNB,NYSE,175.5,187.04,175.29,180.53,106060.0,1422.0
2021-01-15,ABNB,NYSE,184.58,185.94,165.0,169.62,135733.0,1802.0
2021-01-19,ABNB,NYSE,172.98,177.99,167.25,173.75,57243.0,861.0
2021-01-20,ABNB,NYSE,174.16,175.62,161.03,161.99,109609.0,1469.0
2021-01-21,ABNB,NYSE,165.0,183.225,155.8,180.14,192357.0,2460.0
2021-01-22,ABNB,NYSE,178.07,185.09,175.77,182.0,103941.0,1188.0
