date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ABT,NYSE,15.775741417,16.1113954897,15.5519720352,15.6079143807,4058700.0,
2000-01-04,ABT,NYSE,15.4121161716,15.5519720352,15.1044332716,15.3002314807,4168900.0,
2000-01-05,ABT,NYSE,15.0205197535,15.3561738262,15.0205197535,15.1883467898,4651000.0,
2000-01-06,ABT,NYSE,15.2163179625,15.775741417,15.1324044444,15.4400873443,6002500.0,
2000-01-07,ABT,NYSE,15.4400873443,16.2232801806,15.4400873443,16.0554531443,6406600.0,
2000-01-10,ABT,NYSE,16.1113954897,16.1113954897,15.6079143807,15.6918278989,3889300.0,
2000-01-11,ABT,NYSE,15.3841449989,15.7477702443,15.3841449989,15.5519720352,3420700.0,
2000-01-12,ABT,NYSE,15.579943208,15.6638567261,15.2163179625,15.2442891353,3075900.0,
2000-01-13,ABT,NYSE,15.2442891353,15.3282026534,15.0764620989,15.0764620989,3928600.0,
2000-01-14,ABT,NYSE,15.4400873443,15.4960296898,15.2163179625,15.4400873443,3870500.0,
2000-01-18,ABT,NYSE,15.1324044444,15.3841449989,14.8247215444,15.1044332716,4055600.0,
2000-01-19,ABT,NYSE,14.7128368535,14.964577408,14.7128368535,14.7967503717,6526000.0,
2000-01-20,ABT,NYSE,14.6289233353,14.656894508,14.2093557444,14.2652980899,5462900.0,
2000-01-21,ABT,NYSE,14.0974710535,14.1254422263,13.7618169808,13.9576151899,7415800.0,
2000-01-24,ABT,NYSE,13.7058746354,13.8177593263,13.4261629081,13.4261629081,7882300.0,
2000-01-25,ABT,NYSE,13.4261629081,13.6499322899,13.1464511809,13.2583358718,8951200.0,
2000-01-26,ABT,NYSE,13.3422493899,13.4261629081,13.1744223536,13.3422493899,5378800.0,
2000-01-27,ABT,NYSE,13.3142782172,13.9576151899,13.2583358718,13.8737016717,6143500.0,
2000-01-28,ABT,NYSE,13.9576151899,14.4051539535,13.9296440172,14.2652980899,5351000.0,
2000-01-31,ABT,NYSE,14.2652980899,14.7128368535,13.845730499,14.6009521626,4352900.0,
2000-02-01,ABT,NYSE,14.4890674717,14.6848656808,14.2932692626,14.656894508,3112800.0,
2000-02-02,ABT,NYSE,14.656894508,14.8806638898,14.656894508,14.7687791989,3941200.0,
2000-02-03,ABT,NYSE,14.7687791989,14.964577408,14.7408080262,14.9086350626,3162300.0,
2000-02-04,ABT,NYSE,15.1324044444,15.6918278989,15.1324044444,15.4400873443,4567000.0,
2000-02-07,ABT,NYSE,15.4400873443,15.4680585171,14.9366062353,15.1324044444,2099200.0,
2000-02-08,ABT,NYSE,15.3002314807,15.4121161716,14.9925485807,15.2163179625,3952700.0,
2000-02-09,ABT,NYSE,15.5240008625,16.3351648715,15.4680585171,16.1113954897,5440700.0,
2000-02-10,ABT,NYSE,16.1113954897,16.1113954897,15.5240008625,15.7197990716,5490400.0,
2000-02-11,ABT,NYSE,15.7477702443,15.7477702443,15.3002314807,15.5519720352,2743700.0,
2000-02-14,ABT,NYSE,15.5519720352,15.7477702443,15.3841449989,15.6918278989,2365500.0,
2000-02-15,ABT,NYSE,15.7477702443,15.8037125898,15.4960296898,15.7197990716,3102900.0,
2000-02-16,ABT,NYSE,15.5519720352,15.7197990716,15.4680585171,15.5240008625,1890300.0,
2000-02-17,ABT,NYSE,15.6358855534,15.775741417,15.272260308,15.4400873443,3942600.0,
2000-02-18,ABT,NYSE,15.2163179625,15.4121161716,14.4890674717,14.6009521626,3915000.0,
2000-02-22,ABT,NYSE,14.964577408,14.9925485807,14.6848656808,14.8806638898,3478600.0,
2000-02-23,ABT,NYSE,14.4890674717,14.7687791989,14.2373269172,14.461096299,3210900.0,
2000-02-24,ABT,NYSE,14.4331251262,14.5450098171,13.9016728444,14.4051539535,2957100.0,
2000-02-25,ABT,NYSE,14.2652980899,14.656894508,14.2373269172,14.3492116081,3854000.0,
2000-02-28,ABT,NYSE,14.9925485807,15.0764620989,14.6009521626,14.8247215444,3525600.0,
2000-02-29,ABT,NYSE,14.8247215444,15.0205197535,14.6009521626,14.656894508,3031200.0,
2000-03-01,ABT,NYSE,14.8247215444,15.2163179625,14.6848656808,15.1324044444,3013100.0,
2000-03-02,ABT,NYSE,15.1324044444,15.1883467898,14.7408080262,14.9925485807,2368800.0,
2000-03-03,ABT,NYSE,14.656894508,14.8247215444,14.2652980899,14.5170386444,4347900.0,
2000-03-06,ABT,NYSE,14.4051539535,14.4051539535,13.8737016717,14.0415287081,3631700.0,
2000-03-07,ABT,NYSE,13.9576151899,13.9855863626,13.2023935263,13.2583358718,5662800.0,
2000-03-08,ABT,NYSE,13.4821052536,13.8177593263,13.4541340808,13.6219611172,6067000.0,
2000-03-09,ABT,NYSE,13.538047599,14.0694998808,13.4541340808,14.0694998808,4467600.0,
2000-03-10,ABT,NYSE,14.0694998808,14.2932692626,13.6499322899,13.845730499,3064400.0,
2000-03-13,ABT,NYSE,13.4261629081,13.7338458081,13.4261629081,13.6779034626,2472100.0,
2000-03-14,ABT,NYSE,13.8177593263,14.0694998808,13.7897881535,13.9296440172,3211900.0,
2000-03-15,ABT,NYSE,13.845730499,14.7128368535,13.7058746354,14.5450098171,3215500.0,
2000-03-16,ABT,NYSE,14.9925485807,15.579943208,14.8806638898,15.4400873443,4671600.0,
2000-03-17,ABT,NYSE,15.4400873443,15.6079143807,14.9366062353,14.9925485807,3151700.0,
2000-03-20,ABT,NYSE,15.3282026534,15.3841449989,15.0205197535,15.1883467898,1981400.0,
