date,code,exchange,open,high,low,close,volume,count_trx
2001-07-19,ACN,NYSE,15.1,15.27,15.0,15.17,33703500.0,
2001-07-20,ACN,NYSE,15.05,15.05,14.8,15.01,8235700.0,
2001-07-23,ACN,NYSE,15.0,15.01,14.55,15.0,6986600.0,
2001-07-24,ACN,NYSE,14.95,14.97,14.7,14.86,3167200.0,
2001-07-25,ACN,NYSE,14.7,14.95,14.65,14.95,3961600.0,
2001-07-26,ACN,NYSE,14.95,14.98,14.5,14.5,6020700.0,
2001-07-27,ACN,NYSE,14.51,14.55,14.5,14.5,3008500.0,
2001-07-30,ACN,NYSE,14.5,14.78,14.5,14.7,3290300.0,
2001-07-31,ACN,NYSE,14.71,15.01,14.6,14.96,1263000.0,
2001-08-01,ACN,NYSE,15.0,15.5,14.9,15.5,1938400.0,
2001-08-02,ACN,NYSE,15.4,15.5,15.1,15.4,1477400.0,
2001-08-03,ACN,NYSE,15.4,15.4,14.98,15.15,768300.0,
2001-08-06,ACN,NYSE,15.15,15.21,15.02,15.1,685200.0,
2001-08-07,ACN,NYSE,15.1,15.55,15.1,15.5,667800.0,
2001-08-08,ACN,NYSE,15.4,15.6,15.0,15.0,1930600.0,
2001-08-09,ACN,NYSE,15.05,15.5,15.0,15.5,841200.0,
2001-08-10,ACN,NYSE,15.4,15.4,15.12,15.19,664000.0,
2001-08-13,ACN,NYSE,15.15,15.25,14.9,15.01,1632200.0,
2001-08-14,ACN,NYSE,15.05,15.06,14.65,14.7,938800.0,
2001-08-15,ACN,NYSE,14.75,14.9,14.7,14.79,500900.0,
2001-08-16,ACN,NYSE,14.78,14.78,14.05,14.05,1423600.0,
2001-08-17,ACN,NYSE,14.06,14.8,13.9,14.52,2230500.0,
2001-08-20,ACN,NYSE,14.6,15.35,14.49,15.35,1316100.0,
2001-08-21,ACN,NYSE,15.25,15.6,15.01,15.46,913500.0,
2001-08-22,ACN,NYSE,15.32,15.38,14.8,15.34,774400.0,
2001-08-23,ACN,NYSE,15.45,15.45,15.25,15.25,410400.0,
2001-08-24,ACN,NYSE,15.25,15.48,15.25,15.4,618200.0,
2001-08-27,ACN,NYSE,15.48,15.65,15.4,15.48,723800.0,
2001-08-28,ACN,NYSE,15.42,15.58,15.25,15.36,701800.0,
2001-08-29,ACN,NYSE,15.29,15.31,15.0,15.01,378300.0,
2001-08-30,ACN,NYSE,14.85,15.04,14.85,14.95,515400.0,
2001-08-31,ACN,NYSE,15.0,15.1,14.9,14.9,2815100.0,
2001-09-04,ACN,NYSE,15.0,15.65,15.0,15.38,995200.0,
2001-09-05,ACN,NYSE,15.38,15.38,14.9,14.91,1021000.0,
2001-09-06,ACN,NYSE,14.75,15.0,14.4,14.5,1320600.0,
2001-09-07,ACN,NYSE,14.45,14.62,14.35,14.52,1368900.0,
2001-09-10,ACN,NYSE,14.58,15.16,14.55,15.15,587000.0,
2001-09-17,ACN,NYSE,15.14,15.14,14.5,14.6,1820600.0,
2001-09-18,ACN,NYSE,14.6,15.0,14.35,14.55,747900.0,
2001-09-19,ACN,NYSE,14.6,14.69,13.72,13.95,2257700.0,
2001-09-20,ACN,NYSE,13.9,13.9,12.84,12.95,3375000.0,
2001-09-21,ACN,NYSE,12.85,13.0,12.2,12.75,1973200.0,
2001-09-24,ACN,NYSE,13.0,13.28,12.95,13.2,1934100.0,
2001-09-25,ACN,NYSE,13.2,13.2,12.7,12.8,1805600.0,
2001-09-26,ACN,NYSE,12.8,12.96,12.2,12.2,3109100.0,
2001-09-27,ACN,NYSE,12.26,12.26,11.61,11.85,2305400.0,
2001-09-28,ACN,NYSE,12.1,13.45,12.1,12.75,2658900.0,
2001-10-01,ACN,NYSE,12.65,13.0,12.65,12.7,861200.0,
2001-10-02,ACN,NYSE,12.55,12.7,12.12,12.55,1844300.0,
2001-10-03,ACN,NYSE,12.62,13.06,12.6,12.95,2240600.0,
2001-10-04,ACN,NYSE,12.97,13.8,12.97,13.49,2574100.0,
2001-10-05,ACN,NYSE,13.5,13.74,13.32,13.55,2131900.0,
2001-10-08,ACN,NYSE,13.6,13.65,13.23,13.23,372400.0,
