date,code,exchange,open,high,low,close,volume,count_trx
2016-10-17,ADNT,NYSE,50.6,53.9,48.96,49.35,605595.0,3257.0
2016-10-18,ADNT,NYSE,49.69,49.75,48.71,49.23,116058.0,1641.0
2016-10-19,ADNT,NYSE,49.39,50.49,49.06,49.34,205100.0,899.0
2016-10-20,ADNT,NYSE,49.0,49.65,48.38,48.5,55274.0,666.0
2016-10-21,ADNT,NYSE,48.5,48.5,47.5,47.75,102528.0,601.0
2016-10-24,ADNT,NYSE,47.86,47.89,46.72,46.75,45950.0,281.0
2016-10-25,ADNT,NYSE,46.69,46.69,43.75,44.35,140485.0,994.0
2016-10-26,ADNT,NYSE,43.71,46.92,43.7,45.5,106979.0,930.0
2016-10-27,ADNT,NYSE,45.5,45.76,44.94,45.25,27601.0,276.0
2016-10-28,ADNT,NYSE,47.0,47.0,45.01,45.98,310306.0,2105.0
2016-10-31,ADNT,NYSE,46.25,46.71,44.97,45.51,9680988.0,5268.0
2016-11-01,ADNT,NYSE,45.8,46.81,44.845,45.3,1253720.0,6190.0
2016-11-02,ADNT,NYSE,44.7,45.56,44.35,45.0,492844.0,2651.0
2016-11-03,ADNT,NYSE,45.0,45.17,44.39,44.75,251660.0,1459.0
2016-11-04,ADNT,NYSE,43.75,44.75,43.75,44.2,607796.0,1838.0
2016-11-07,ADNT,NYSE,43.56,45.07,43.52,44.6,901085.0,6801.0
2016-11-08,ADNT,NYSE,42.7,46.53,39.67,46.27,1045626.0,4432.0
2016-11-09,ADNT,NYSE,44.51,45.79,43.24,44.26,579520.0,3427.0
2016-11-10,ADNT,NYSE,43.5,46.22,43.12,45.9,319883.0,2020.0
2016-11-11,ADNT,NYSE,45.65,47.14,45.14,46.58,330452.0,2137.0
2016-11-14,ADNT,NYSE,46.3,47.58,44.34,45.77,230248.0,1624.0
2016-11-15,ADNT,NYSE,45.98,47.95,45.85,47.72,192914.0,1318.0
2016-11-16,ADNT,NYSE,47.81,50.05,47.55,50.0,339635.0,1869.0
2016-11-17,ADNT,NYSE,50.01,55.11,50.01,53.5,332739.0,2044.0
2016-11-18,ADNT,NYSE,53.58,54.41,52.9,53.05,242732.0,1179.0
2016-11-21,ADNT,NYSE,52.35,53.45,51.97,52.97,181207.0,1125.0
