date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AEE,NYSE,32.5625,32.625,31.625,32.3125,584000.0,
2000-01-04,AEE,NYSE,32.3125,32.5,32.1875,32.3125,432500.0,
2000-01-05,AEE,NYSE,32.3125,33.5625,32.3125,33.5625,432700.0,
2000-01-06,AEE,NYSE,33.5625,33.6875,33.25,33.4375,296300.0,
2000-01-07,AEE,NYSE,33.5,33.9375,33.4375,33.9375,282300.0,
2000-01-10,AEE,NYSE,33.9375,34.0625,33.6875,33.6875,383600.0,
2000-01-11,AEE,NYSE,33.625,33.6875,33.5,33.6875,457400.0,
2000-01-12,AEE,NYSE,33.75,33.875,33.375,33.8125,224100.0,
2000-01-13,AEE,NYSE,33.75,34.0625,33.625,33.9375,217300.0,
2000-01-14,AEE,NYSE,33.875,33.875,33.1875,33.4375,267000.0,
2000-01-18,AEE,NYSE,33.4375,33.4375,32.3125,32.3125,375100.0,
2000-01-19,AEE,NYSE,32.4375,33.1875,32.4375,33.125,382900.0,
2000-01-20,AEE,NYSE,32.9375,33.0625,32.75,33.0,187300.0,
2000-01-21,AEE,NYSE,33.0625,33.25,32.8125,33.25,387800.0,
2000-01-24,AEE,NYSE,33.25,33.9375,33.25,33.4375,318200.0,
2000-01-25,AEE,NYSE,33.375,33.5,32.4375,32.625,389700.0,
2000-01-26,AEE,NYSE,32.75,33.0,32.6875,33.0,294500.0,
2000-01-27,AEE,NYSE,32.875,33.125,32.75,32.9375,268900.0,
2000-01-28,AEE,NYSE,32.6875,32.8125,32.25,32.3125,521500.0,
2000-01-31,AEE,NYSE,32.375,32.8125,32.0,32.5625,226600.0,
2000-02-01,AEE,NYSE,32.8125,32.8125,32.3125,32.5625,163000.0,
2000-02-02,AEE,NYSE,32.8125,33.375,32.5625,32.5625,340700.0,
2000-02-03,AEE,NYSE,32.5625,33.4375,32.5625,32.9375,415600.0,
2000-02-04,AEE,NYSE,33.0,33.1875,31.75,31.9375,321300.0,
2000-02-07,AEE,NYSE,31.9375,31.9375,31.6875,31.75,194000.0,
2000-02-08,AEE,NYSE,31.75,32.4375,31.75,31.875,288000.0,
2000-02-09,AEE,NYSE,32.5,32.5,31.5,31.5625,274200.0,
2000-02-10,AEE,NYSE,31.5625,31.8125,31.0,31.125,304200.0,
2000-02-11,AEE,NYSE,31.125,31.375,31.0,31.0,391500.0,
2000-02-14,AEE,NYSE,31.25,31.5,30.875,31.25,178100.0,
2000-02-15,AEE,NYSE,31.25,31.3125,31.0,31.125,157600.0,
2000-02-16,AEE,NYSE,31.0,31.1875,30.8125,30.9375,135800.0,
2000-02-17,AEE,NYSE,30.9375,30.9375,30.5,30.5,160300.0,
2000-02-18,AEE,NYSE,30.5,30.5,29.5625,30.375,416200.0,
2000-02-22,AEE,NYSE,30.5,30.625,30.125,30.4375,187100.0,
2000-02-23,AEE,NYSE,30.375,30.4375,29.75,30.125,255400.0,
2000-02-24,AEE,NYSE,30.25,30.25,28.5,28.875,357400.0,
2000-02-25,AEE,NYSE,28.875,29.1875,28.5,28.875,216500.0,
2000-02-28,AEE,NYSE,29.125,30.125,28.875,30.0625,339300.0,
2000-02-29,AEE,NYSE,29.9375,30.0625,29.6875,30.0,531300.0,
2000-03-01,AEE,NYSE,29.8125,29.9375,29.0,29.125,267100.0,
2000-03-02,AEE,NYSE,28.8125,29.125,28.5625,28.9375,450800.0,
2000-03-03,AEE,NYSE,29.0,29.5,28.8125,29.1875,229800.0,
2000-03-06,AEE,NYSE,29.0,29.0,28.0,28.1875,2183200.0,
2000-03-07,AEE,NYSE,27.75,28.3125,27.625,27.875,192200.0,
2000-03-08,AEE,NYSE,27.9375,28.375,27.75,28.0,438500.0,
2000-03-09,AEE,NYSE,28.0,28.25,27.75,28.0625,319700.0,
2000-03-10,AEE,NYSE,28.3125,28.3125,28.0,28.125,183600.0,
2000-03-13,AEE,NYSE,28.25,28.25,27.875,28.125,215300.0,
2000-03-14,AEE,NYSE,28.125,28.125,27.5625,27.8125,257500.0,
2000-03-15,AEE,NYSE,27.8125,29.1875,27.8125,29.0625,401400.0,
2000-03-16,AEE,NYSE,29.3125,30.75,29.1875,30.625,433100.0,
2000-03-17,AEE,NYSE,30.375,30.5,30.0,30.125,753900.0,
2000-03-20,AEE,NYSE,30.125,30.4375,30.0625,30.25,424400.0,
2000-03-21,AEE,NYSE,30.25,30.5,30.25,30.4375,464300.0,
2000-03-22,AEE,NYSE,30.4375,30.4375,29.75,30.125,629900.0,
2000-03-23,AEE,NYSE,29.875,30.6875,29.875,30.1875,288000.0,
2000-03-24,AEE,NYSE,30.0625,30.5,29.875,30.5,314000.0,
2000-03-27,AEE,NYSE,30.625,31.0625,30.5625,30.9375,192300.0,
2000-03-28,AEE,NYSE,31.0,31.125,30.3125,30.3125,301100.0,
2000-03-29,AEE,NYSE,30.375,31.1875,30.375,30.6875,354100.0,
2000-03-30,AEE,NYSE,30.9375,31.1875,30.3125,30.625,415200.0,
2000-03-31,AEE,NYSE,30.9375,30.9375,30.3125,30.9375,293900.0,
2000-04-03,AEE,NYSE,30.875,31.1875,30.625,31.125,368400.0,
2000-04-04,AEE,NYSE,31.0625,32.125,31.0625,31.9375,559600.0,
2000-04-05,AEE,NYSE,31.875,33.0,31.875,32.5625,340000.0,
