date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AES,NYSE,37.375,37.375,35.625,36.25,1218200.0,
2000-01-04,AES,NYSE,35.9375,35.96875,34.625,34.8125,1403000.0,
2000-01-05,AES,NYSE,34.84375,35.375,34.25,35.1875,1393800.0,
2000-01-06,AES,NYSE,35.3125,35.8125,35.0,35.46875,1606200.0,
2000-01-07,AES,NYSE,35.34375,36.15625,35.09375,36.15625,1314000.0,
2000-01-10,AES,NYSE,36.25,37.96875,36.25,37.78125,3142000.0,
2000-01-11,AES,NYSE,37.96875,38.3125,37.28125,37.96875,2262000.0,
2000-01-12,AES,NYSE,38.0,39.46875,38.0,38.75,2502600.0,
2000-01-13,AES,NYSE,38.6875,40.34375,38.4375,39.40625,2860000.0,
2000-01-14,AES,NYSE,40.5,41.6875,40.34375,41.625,1906400.0,
2000-01-18,AES,NYSE,40.875,40.875,38.875,38.96875,1584200.0,
2000-01-19,AES,NYSE,39.0,39.6875,38.8125,39.1875,2062800.0,
2000-01-20,AES,NYSE,39.5,39.5,38.75,38.84375,1363200.0,
2000-01-21,AES,NYSE,39.25,40.0,39.0625,40.0,1459000.0,
2000-01-24,AES,NYSE,40.0,40.71875,39.71875,40.0,3212200.0,
2000-01-25,AES,NYSE,40.0,40.28125,37.9375,38.0,1857400.0,
2000-01-26,AES,NYSE,37.875,37.875,36.21875,36.21875,2562400.0,
2000-01-27,AES,NYSE,36.75,38.78125,36.71875,37.9375,1871200.0,
2000-01-28,AES,NYSE,38.0625,38.34375,37.4375,38.1875,1051200.0,
2000-01-31,AES,NYSE,39.0,40.46875,38.53125,40.0625,1776600.0,
2000-02-01,AES,NYSE,40.0625,40.75,39.1875,40.375,1860600.0,
2000-02-02,AES,NYSE,40.34375,40.6875,38.75,39.65625,1849400.0,
2000-02-03,AES,NYSE,39.90625,41.40625,39.40625,40.1875,2398800.0,
2000-02-04,AES,NYSE,40.1875,40.25,36.3125,37.625,4061000.0,
2000-02-07,AES,NYSE,38.5,40.25,38.25,40.0,2486200.0,
2000-02-08,AES,NYSE,40.625,42.9375,40.375,42.21875,2678800.0,
2000-02-09,AES,NYSE,42.21875,43.25,41.59375,42.9375,1908200.0,
2000-02-10,AES,NYSE,42.5,42.875,41.1875,41.4375,1371600.0,
2000-02-11,AES,NYSE,40.75,41.28125,40.375,41.0,982800.0,
2000-02-14,AES,NYSE,41.0,42.84375,40.6875,42.84375,1838800.0,
2000-02-15,AES,NYSE,42.75,43.8125,42.3125,43.1875,1722400.0,
2000-02-16,AES,NYSE,43.0625,44.6875,42.875,44.09375,1404200.0,
2000-02-17,AES,NYSE,44.125,44.71875,43.625,43.96875,993200.0,
2000-02-18,AES,NYSE,44.0,44.5,43.6875,43.875,1206200.0,
2000-02-22,AES,NYSE,43.875,44.0,42.34375,42.96875,1041800.0,
2000-02-23,AES,NYSE,42.75,42.75,41.0,42.09375,1503600.0,
2000-02-24,AES,NYSE,42.5,42.71875,41.65625,42.4375,1518400.0,
2000-02-25,AES,NYSE,42.4375,42.46875,41.375,42.25,936400.0,
2000-02-28,AES,NYSE,42.375,42.90625,42.25,42.90625,1121000.0,
2000-02-29,AES,NYSE,42.90625,43.21875,41.65625,41.90625,1449800.0,
2000-03-01,AES,NYSE,41.90625,42.1875,40.4375,40.96875,1588600.0,
2000-03-02,AES,NYSE,41.25,43.71875,41.1875,43.5625,1891400.0,
2000-03-03,AES,NYSE,43.875,44.25,43.0,43.46875,1740200.0,
2000-03-06,AES,NYSE,42.5,42.5,37.0,40.6875,6286000.0,
2000-03-07,AES,NYSE,41.0625,41.625,39.6875,39.8125,2243600.0,
2000-03-08,AES,NYSE,39.8125,39.875,38.6875,39.25,2636800.0,
2000-03-09,AES,NYSE,39.875,39.875,37.375,37.78125,2116200.0,
2000-03-10,AES,NYSE,36.0,39.0,34.75,36.5,3432400.0,
2000-03-13,AES,NYSE,35.875,37.0,35.15625,36.5,2177000.0,
2000-03-14,AES,NYSE,36.875,37.0,35.0625,35.9375,1670200.0,
2000-03-15,AES,NYSE,35.8125,37.375,35.53125,37.1875,1867000.0,
2000-03-16,AES,NYSE,38.375,41.0,37.9375,40.0625,2613000.0,
2000-03-17,AES,NYSE,40.0,40.03125,37.375,38.9375,3507200.0,
2000-03-20,AES,NYSE,38.9375,39.84375,37.53125,38.4375,1900000.0,
2000-03-21,AES,NYSE,38.25,38.25,37.25,37.3125,1561200.0,
2000-03-22,AES,NYSE,37.375,37.4375,35.3125,36.09375,3218000.0,
2000-03-23,AES,NYSE,36.59375,37.625,36.53125,36.90625,2460200.0,
2000-03-24,AES,NYSE,36.8125,37.875,36.25,37.84375,2190600.0,
2000-03-27,AES,NYSE,38.0,38.4375,37.03125,37.15625,1095000.0,
2000-03-28,AES,NYSE,36.0,37.21875,35.6875,36.40625,2004200.0,
2000-03-29,AES,NYSE,36.0,38.34375,36.0,37.6875,1516600.0,
2000-03-30,AES,NYSE,37.6875,42.25,37.125,39.8125,3054200.0,
2000-03-31,AES,NYSE,39.8125,40.40625,38.71875,39.375,2276600.0,
2000-04-03,AES,NYSE,39.40625,39.8125,37.65625,38.9375,1585200.0,
2000-04-04,AES,NYSE,38.9375,40.1875,35.5625,37.15625,2584600.0,
2000-04-05,AES,NYSE,37.75,38.875,37.34375,37.78125,1006200.0,
2000-04-06,AES,NYSE,37.8125,38.5,37.5,37.8125,977400.0,
2000-04-07,AES,NYSE,38.125,38.8125,37.53125,38.5,888800.0,
2000-04-10,AES,NYSE,38.5,40.46875,38.5,39.71875,1523600.0,
2000-04-11,AES,NYSE,39.65625,39.65625,38.1875,39.0,1122200.0,
2000-04-12,AES,NYSE,39.0,39.0,38.03125,38.28125,1370200.0,
2000-04-13,AES,NYSE,38.375,38.625,37.78125,38.21875,1103400.0,
2000-04-14,AES,NYSE,37.875,38.65625,36.25,36.9375,1946800.0,
2000-04-17,AES,NYSE,37.25,37.5,35.59375,37.15625,1840400.0,
2000-04-18,AES,NYSE,37.1875,39.25,36.8125,38.5,1970600.0,
2000-04-19,AES,NYSE,39.125,39.71875,38.875,39.71875,1068800.0,
2000-04-20,AES,NYSE,40.5,43.5,40.0625,43.0625,3021000.0,
2000-04-24,AES,NYSE,43.0,43.5625,41.53125,41.90625,1478800.0,
2000-04-25,AES,NYSE,41.90625,42.1875,41.09375,41.59375,1221000.0,
2000-04-26,AES,NYSE,41.59375,43.09375,41.53125,42.75,1975000.0,
2000-04-27,AES,NYSE,42.375,42.375,41.1875,42.21875,833800.0,
2000-04-28,AES,NYSE,42.21875,45.6875,41.90625,44.96875,2872200.0,
2000-05-01,AES,NYSE,45.4375,46.25,43.15625,43.9375,1913800.0,
2000-05-02,AES,NYSE,43.9375,44.46875,42.3125,42.5,1445000.0,
