date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,AIV,NYSE,2.8912527661,2.895798761,2.7503269237,2.7639649084,195855.0381357191,
2000-01-04,AIV,NYSE,2.7639649084,2.7639649084,2.7139589644,2.7275969491,364110.3082749202,
2000-01-05,AIV,NYSE,2.7275969491,2.7594189135,2.7185049593,2.7548729186,145083.2724095041,
2000-01-06,AIV,NYSE,2.7503269237,2.8185168474,2.7503269237,2.8094248576,77781.1643538237,
2000-01-07,AIV,NYSE,2.8094248576,2.8639767966,2.8094248576,2.841246822,122649.2363909439,
2000-01-10,AIV,NYSE,2.8367008271,2.8912527661,2.8321548322,2.8867067711,171797.4863526579,
2000-01-11,AIV,NYSE,2.8912527661,2.8912527661,2.8003328678,2.8730687864,409125.9726542677,
2000-01-12,AIV,NYSE,2.8821607762,2.8821607762,2.8639767966,2.8730687864,74829.3175092763,
2000-01-13,AIV,NYSE,2.8639767966,2.8730687864,2.8230628423,2.8276088373,84422.8197540553,
2000-01-14,AIV,NYSE,2.8321548322,2.8503388118,2.7275969491,2.732142944,1518134.8321507208,
2000-01-18,AIV,NYSE,2.732142944,2.7776028932,2.7185049593,2.7776028932,119844.9818886239,
2000-01-19,AIV,NYSE,2.7685109034,2.8230628423,2.7685109034,2.8003328678,88555.4053364216,
2000-01-20,AIV,NYSE,2.786694883,2.7957868728,2.7503269237,2.7548729186,91802.4368654237,
2000-01-21,AIV,NYSE,2.7548729186,2.7776028932,2.732142944,2.7776028932,204562.9863271339,
2000-01-24,AIV,NYSE,2.7685109034,2.7730568983,2.7412349339,2.7457809288,99034.4616345648,
2000-01-25,AIV,NYSE,2.7503269237,2.7639649084,2.7048669745,2.7094129695,408388.0109431309,
2000-01-26,AIV,NYSE,2.7094129695,2.7094129695,2.6639530203,2.6866829949,243822.5493596141,
2000-01-27,AIV,NYSE,2.6912289898,2.7548729186,2.6912289898,2.7457809288,234376.6394570625,
2000-01-28,AIV,NYSE,2.7503269237,2.7730568983,2.7185049593,2.7457809288,378869.5424976571,
2000-01-31,AIV,NYSE,2.7457809288,2.7548729186,2.7366889389,2.7548729186,208990.756593955,
2000-02-01,AIV,NYSE,2.7548729186,2.7821488881,2.7230509542,2.7594189135,218584.258838734,
2000-02-02,AIV,NYSE,2.7094129695,2.7730568983,2.7094129695,2.7548729186,92245.2138921058,
2000-02-03,AIV,NYSE,2.7548729186,2.7594189135,2.7412349339,2.7548729186,161908.7994234242,
2000-02-04,AIV,NYSE,2.7548729186,2.7594189135,2.6548610305,2.6684990152,2622273.1443536705,
2000-02-07,AIV,NYSE,2.6684990152,2.682137,2.6594070254,2.6730450101,181686.1732818917,
2000-02-08,AIV,NYSE,2.6730450101,2.7003209796,2.6639530203,2.7003209796,219322.2205498708,
2000-02-09,AIV,NYSE,2.7185049593,2.7230509542,2.7003209796,2.7185049593,87227.0742563753,
2000-02-10,AIV,NYSE,2.7094129695,2.7185049593,2.6912289898,2.7048669745,109365.9255904807,
2000-02-11,AIV,NYSE,2.6912289898,2.6912289898,2.6503150356,2.6730450101,227144.6146879214,
2000-02-14,AIV,NYSE,2.7094129695,2.7275969491,2.6730450101,2.6912289898,209138.3489361824,
2000-02-15,AIV,NYSE,2.682137,2.7094129695,2.6639530203,2.6912289898,291347.2835568271,
2000-02-16,AIV,NYSE,2.6912289898,2.7685109034,2.6912289898,2.7639649084,385216.013213434,
2000-02-17,AIV,NYSE,2.7548729186,2.7685109034,2.7457809288,2.7685109034,183162.0967041654,
2000-02-18,AIV,NYSE,2.7639649084,2.7685109034,2.7185049593,2.7275969491,133718.6620579966,
2000-02-22,AIV,NYSE,2.7230509542,2.7412349339,2.7003209796,2.7048669745,80437.8265139163,
2000-02-23,AIV,NYSE,2.7139589644,2.7275969491,2.6957749847,2.7048669745,61250.8220243583,
2000-02-24,AIV,NYSE,2.6866829949,2.7003209796,2.6866829949,2.6912289898,70844.3242691373,
2000-02-25,AIV,NYSE,2.7048669745,2.7048669745,2.6912289898,2.7048669745,62136.3760777225,
2000-02-28,AIV,NYSE,2.6957749847,2.7003209796,2.6457690406,2.6639530203,195264.6687668097,
2000-02-29,AIV,NYSE,2.682137,2.7003209796,2.6594070254,2.6912289898,167222.1237436094,
2000-03-01,AIV,NYSE,2.682137,2.6866829949,2.6730450101,2.682137,100953.1620835206,
2000-03-02,AIV,NYSE,2.6912289898,2.7003209796,2.6775910051,2.6775910051,76010.0562470952,
2000-03-03,AIV,NYSE,2.682137,2.732142944,2.682137,2.7048669745,334444.2474872189,
2000-03-06,AIV,NYSE,2.7094129695,2.732142944,2.7003209796,2.732142944,86341.5202030111,
2000-03-07,AIV,NYSE,2.7412349339,2.7503269237,2.7048669745,2.7275969491,117631.0967552134,
2000-03-08,AIV,NYSE,2.7139589644,2.7275969491,2.7003209796,2.7230509542,78961.9030916426,
2000-03-09,AIV,NYSE,2.7003209796,2.7048669745,2.6912289898,2.6957749847,138736.8016937272,
2000-03-10,AIV,NYSE,2.6957749847,2.7003209796,2.6503150356,2.7003209796,114531.6575684386,
2000-03-13,AIV,NYSE,2.7185049593,2.7185049593,2.682137,2.6866829949,45163.256721575,
2000-03-14,AIV,NYSE,2.682137,2.7275969491,2.6775910051,2.6912289898,98886.8692923375,
2000-03-15,AIV,NYSE,2.6912289898,2.8457928169,2.682137,2.8457928169,470671.9793630808,
2000-03-16,AIV,NYSE,2.8457928169,2.8867067711,2.8457928169,2.8685227915,142869.3872760935,
2000-03-17,AIV,NYSE,2.8867067711,2.9048907508,2.8685227915,2.895798761,81913.74993619,
2000-03-20,AIV,NYSE,2.9048907508,2.9048907508,2.8367008271,2.8639767966,300498.008774924,
2000-03-21,AIV,NYSE,2.8639767966,2.8639767966,2.8276088373,2.8548848067,180062.6575173906,
2000-03-22,AIV,NYSE,2.8503388118,2.8503388118,2.7548729186,2.8003328678,226701.8376612393,
2000-03-23,AIV,NYSE,2.8185168474,2.8185168474,2.7730568983,2.7776028932,480560.6662923146,
2000-03-24,AIV,NYSE,2.7912408779,2.7912408779,2.7548729186,2.7639649084,172387.8557215674,
2000-03-27,AIV,NYSE,2.7821488881,2.7912408779,2.7639649084,2.7776028932,177996.3647262074,
2000-03-28,AIV,NYSE,2.786694883,2.7912408779,2.7776028932,2.7912408779,157333.4368143757,
2000-03-29,AIV,NYSE,2.7685109034,2.8048788627,2.7685109034,2.8003328678,167517.3084280642,
2000-03-30,AIV,NYSE,2.7957868728,2.8276088373,2.7639649084,2.7639649084,380050.2812354761,
2000-03-31,AIV,NYSE,2.7548729186,2.7776028932,2.7457809288,2.7776028932,155562.3287076473,
2000-04-03,AIV,NYSE,2.7730568983,2.7730568983,2.7457809288,2.7594189135,361158.4614303727,
2000-04-04,AIV,NYSE,2.7639649084,2.7821488881,2.7503269237,2.7594189135,196002.6304779465,
2000-04-05,AIV,NYSE,2.7639649084,2.7912408779,2.7548729186,2.786694883,252973.274577711,
2000-04-06,AIV,NYSE,2.8003328678,2.8185168474,2.8003328678,2.8139708525,192017.6372378075,
2000-04-07,AIV,NYSE,2.8457928169,2.8548848067,2.8276088373,2.8548848067,147001.9728584599,
2000-04-10,AIV,NYSE,2.8367008271,2.895798761,2.8367008271,2.8867067711,118369.0584663502,
2000-04-11,AIV,NYSE,2.8912527661,2.9003447559,2.8594308017,2.9003447559,625348.7540173639,
2000-04-12,AIV,NYSE,2.895798761,2.9094367457,2.8821607762,2.9094367457,442777.0266821079,
2000-04-13,AIV,NYSE,2.9094367457,2.9503507,2.9094367457,2.9367127152,345513.6731542716,
2000-04-14,AIV,NYSE,2.9185287356,2.9276207254,2.895798761,2.9048907508,192017.6372378075,
2000-04-17,AIV,NYSE,2.895798761,2.9185287356,2.8548848067,2.895798761,166484.1620324726,
2000-04-18,AIV,NYSE,2.895798761,2.9094367457,2.8867067711,2.9094367457,61103.2296821309,
2000-04-19,AIV,NYSE,2.9048907508,2.9139827406,2.9003447559,2.9094367457,454879.5987447522,
2000-04-20,AIV,NYSE,2.9048907508,2.9185287356,2.9003447559,2.9185287356,48115.1035661224,
2000-04-24,AIV,NYSE,2.9003447559,2.945804705,2.9003447559,2.9367127152,103905.008928068,
2000-04-25,AIV,NYSE,2.9412587101,2.945804705,2.895798761,2.9003447559,231867.5696391973,
2000-04-26,AIV,NYSE,2.9048907508,2.9094367457,2.8730687864,2.8730687864,183900.0584153022,
2000-04-27,AIV,NYSE,2.8821607762,2.895798761,2.8685227915,2.8821607762,257548.6371867595,
2000-04-28,AIV,NYSE,2.8912527661,2.8912527661,2.8594308017,2.8912527661,205005.763353816,
2000-05-01,AIV,NYSE,2.9139827406,2.9548966949,2.9139827406,2.9548966949,172978.2250904768,
2000-05-02,AIV,NYSE,2.9730806745,3.1230985067,2.9730806745,3.0367246034,467424.9478340788,
2000-05-03,AIV,NYSE,2.9730806745,3.0367246034,2.9685346796,2.9685346796,226259.0606345572,
2000-05-04,AIV,NYSE,2.9594426898,2.9730806745,2.9412587101,2.9639886847,117778.6890974407,
2000-05-05,AIV,NYSE,2.9548966949,2.9821726644,2.9548966949,2.9594426898,99182.0539767922,
2000-05-08,AIV,NYSE,2.9503507,2.9594426898,2.9094367457,2.945804705,90031.3287586953,
2000-05-09,AIV,NYSE,2.9321667203,2.9730806745,2.9276207254,2.9548966949,130324.0381867671,
2000-05-10,AIV,NYSE,2.9548966949,2.9594426898,2.9139827406,2.9230747305,60955.6373399035,
2000-05-11,AIV,NYSE,2.9230747305,2.9503507,2.9230747305,2.9412587101,97263.3535278364,
2000-05-12,AIV,NYSE,2.9367127152,2.945804705,2.9276207254,2.945804705,80142.6418294615,
2000-05-15,AIV,NYSE,2.9639886847,2.9639886847,2.9230747305,2.9367127152,55051.9436508088,
2000-05-16,AIV,NYSE,2.9185287356,2.9639886847,2.9139827406,2.945804705,123534.7904443081,
2000-05-17,AIV,NYSE,2.945804705,2.9548966949,2.9230747305,2.9230747305,93130.7679454701,
2000-05-18,AIV,NYSE,2.9230747305,2.9412587101,2.895798761,2.9276207254,147001.9728584599,
2000-05-19,AIV,NYSE,2.9276207254,2.9367127152,2.9139827406,2.9367127152,95787.4301055627,
2000-05-22,AIV,NYSE,2.9548966949,2.9639886847,2.9321667203,2.945804705,184342.8354419843,
2000-05-23,AIV,NYSE,2.9367127152,2.9821726644,2.9276207254,2.9821726644,196297.8151624012,
2000-05-24,AIV,NYSE,2.9730806745,2.9730806745,2.9367127152,2.9594426898,156152.6980765567,
2000-05-25,AIV,NYSE,3.000356644,3.000356644,2.9367127152,2.9821726644,163089.5381612431,
2000-05-26,AIV,NYSE,2.9821726644,2.9821726644,2.9094367457,2.9276207254,36602.9008723876,
2000-05-30,AIV,NYSE,2.9367127152,2.9821726644,2.9139827406,2.9139827406,61398.4143665856,
2000-05-31,AIV,NYSE,2.9185287356,2.9185287356,2.8821607762,2.9139827406,111137.0336972091,
2000-06-01,AIV,NYSE,2.9139827406,2.9548966949,2.9139827406,2.9548966949,158809.3602366494,
2000-06-02,AIV,NYSE,2.9730806745,2.9821726644,2.9548966949,2.9548966949,60217.6756287667,
2000-06-05,AIV,NYSE,2.9367127152,2.9639886847,2.9276207254,2.945804705,137113.2859292261,
2000-06-06,AIV,NYSE,2.9821726644,3.000356644,2.9685346796,2.9958106491,144935.6800672767,
2000-06-07,AIV,NYSE,2.9958106491,3.0276326135,2.9867186593,3.0230866186,63169.5224733141,
2000-06-08,AIV,NYSE,3.0276326135,3.0458165932,2.9685346796,3.0367246034,85751.1508341016,
2000-06-09,AIV,NYSE,3.0458165932,3.054908583,3.0367246034,3.0412705983,107004.4481148428,
2000-06-12,AIV,NYSE,3.054908583,3.054908583,3.0321786084,3.0458165932,128110.1530533566,
2000-06-13,AIV,NYSE,3.0594545779,3.0730925627,3.0458165932,3.0594545779,168107.6777969736,
2000-06-14,AIV,NYSE,3.0867305474,3.109460522,3.054908583,3.0867305474,348317.9276565916,
2000-06-15,AIV,NYSE,3.0776385576,3.1367364915,3.0776385576,3.109460522,316585.5740777072,
2000-06-16,AIV,NYSE,3.109460522,3.109460522,3.0367246034,3.054908583,99772.4233457017,
2000-06-19,AIV,NYSE,3.054908583,3.0730925627,3.0458165932,3.0685465678,91359.6598387416,
2000-06-20,AIV,NYSE,3.0776385576,3.1549204711,3.0730925627,3.1549204711,186704.3129176222,
2000-06-21,AIV,NYSE,3.164012461,3.1685584559,3.1230985067,3.1594664661,93425.9526299248,
2000-06-22,AIV,NYSE,3.164012461,3.1867424356,3.1503744762,3.1594664661,329426.1078514883,
2000-06-23,AIV,NYSE,3.1458284813,3.1503744762,3.1276445017,3.1458284813,65973.7769756341,
2000-06-26,AIV,NYSE,3.1503744762,3.1503744762,3.0776385576,3.1049145271,156152.6980765567,
2000-06-27,AIV,NYSE,3.109460522,3.1821964406,3.1049145271,3.1731044508,219469.8128920982,
2000-06-28,AIV,NYSE,3.1731044508,3.2049264152,3.1731044508,3.2003804203,356287.9141368696,
2000-06-29,AIV,NYSE,3.2003804203,3.2503863644,3.1912884305,3.2458403694,146706.7881740051,
2000-06-30,AIV,NYSE,3.2503863644,3.2913003186,3.1458284813,3.1458284813,422999.6528236404,
2000-07-03,AIV,NYSE,3.1776504457,3.2094724101,3.1776504457,3.2049264152,71287.1012958194,
2000-07-05,AIV,NYSE,3.2549323593,3.2549323593,3.2185644,3.2185644,288395.4367122797,
2000-07-06,AIV,NYSE,3.2185644,3.268570344,3.1867424356,3.2640243491,864005.5713990201,
2000-07-07,AIV,NYSE,3.2731163389,3.3276682779,3.2731163389,3.3185762881,701653.9949489138,
2000-07-10,AIV,NYSE,3.3003923084,3.3458522576,3.2822083288,3.3049383033,244117.7340440689,
