date,code,exchange,open,high,low,close,volume,count_trx
2004-02-05,AIZ,NYSE,23.75,24.94,23.3,24.7,23555600.0,
2004-02-06,AIZ,NYSE,24.71,24.94,24.2,24.85,4715500.0,
2004-02-09,AIZ,NYSE,24.6,24.7,24.0,24.47,2898200.0,
2004-02-10,AIZ,NYSE,24.15,24.47,24.05,24.35,1566500.0,
2004-02-11,AIZ,NYSE,24.28,24.5,24.16,24.25,1939400.0,
2004-02-12,AIZ,NYSE,24.19,25.0,24.17,24.68,1464900.0,
2004-02-13,AIZ,NYSE,24.79,24.84,24.28,24.7,582800.0,
2004-02-17,AIZ,NYSE,24.75,24.9,24.5,24.6,567300.0,
2004-02-18,AIZ,NYSE,24.6,25.4,24.36,25.4,750300.0,
2004-02-19,AIZ,NYSE,25.25,25.98,25.25,25.68,1263600.0,
2004-02-20,AIZ,NYSE,25.69,25.69,25.0,25.35,714700.0,
2004-02-23,AIZ,NYSE,25.39,25.39,24.35,24.55,1238700.0,
2004-02-24,AIZ,NYSE,24.4,24.97,24.21,24.8,790000.0,
2004-02-25,AIZ,NYSE,24.8,25.0,24.7,24.85,288500.0,
2004-02-26,AIZ,NYSE,24.85,25.27,24.6,25.24,599800.0,
2004-02-27,AIZ,NYSE,25.15,25.75,25.11,25.74,1471300.0,
2004-03-01,AIZ,NYSE,25.74,26.19,25.7,25.8,763400.0,
2004-03-02,AIZ,NYSE,25.95,25.95,25.1,25.94,551100.0,
2004-03-03,AIZ,NYSE,25.7,25.8,25.35,25.48,432600.0,
2004-03-04,AIZ,NYSE,25.48,25.75,24.75,25.21,834100.0,
2004-03-05,AIZ,NYSE,25.02,25.64,25.0,25.55,419500.0,
2004-03-08,AIZ,NYSE,25.55,25.65,25.17,25.48,335700.0,
2004-03-09,AIZ,NYSE,25.5,25.5,24.71,25.0,762100.0,
2004-03-10,AIZ,NYSE,24.8,24.85,24.4,24.65,1015600.0,
2004-03-11,AIZ,NYSE,24.15,24.65,24.15,24.2,2425600.0,
2004-03-12,AIZ,NYSE,24.34,24.65,24.25,24.5,1461700.0,
2004-03-15,AIZ,NYSE,24.75,24.75,23.74,24.0,1517700.0,
2004-03-16,AIZ,NYSE,24.5,24.55,24.18,24.23,1416900.0,
2004-03-17,AIZ,NYSE,24.2,24.5,24.06,24.07,956400.0,
2004-03-18,AIZ,NYSE,24.07,24.1,23.71,23.8,945100.0,
2004-03-19,AIZ,NYSE,23.75,23.84,23.4,23.74,707800.0,
2004-03-22,AIZ,NYSE,23.4,23.75,23.09,23.7,961800.0,
2004-03-23,AIZ,NYSE,23.75,24.0,23.51,24.0,647700.0,
2004-03-24,AIZ,NYSE,24.0,24.05,23.77,23.8,483300.0,
2004-03-25,AIZ,NYSE,23.65,24.06,23.49,23.96,1198300.0,
2004-03-26,AIZ,NYSE,23.87,24.34,23.87,24.1,803400.0,
2004-03-29,AIZ,NYSE,24.11,24.44,24.11,24.37,753500.0,
2004-03-30,AIZ,NYSE,24.2,24.75,24.18,24.72,689900.0,
2004-03-31,AIZ,NYSE,24.75,25.29,24.6,25.15,680300.0,
2004-04-01,AIZ,NYSE,25.25,25.4,24.78,25.25,1259100.0,
2004-04-02,AIZ,NYSE,25.36,25.41,24.75,25.22,1119500.0,
2004-04-05,AIZ,NYSE,25.05,25.53,24.9,25.51,521700.0,
2004-04-06,AIZ,NYSE,25.45,26.0,25.25,25.94,666000.0,
