date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ALK,NYSE,8.875,9.0,8.75,8.75,616000.0,
2000-01-04,ALK,NYSE,8.796875,8.84375,8.625,8.640625,728000.0,
2000-01-05,ALK,NYSE,8.703125,8.75,8.515625,8.6875,743600.0,
2000-01-06,ALK,NYSE,8.6875,8.765625,8.53125,8.75,793600.0,
2000-01-07,ALK,NYSE,8.765625,9.078125,8.6875,9.015625,853200.0,
2000-01-10,ALK,NYSE,9.078125,9.1875,8.84375,8.859375,1236800.0,
2000-01-11,ALK,NYSE,8.96875,9.109375,8.859375,8.859375,1652800.0,
2000-01-12,ALK,NYSE,8.921875,9.0,8.59375,8.609375,827200.0,
2000-01-13,ALK,NYSE,8.515625,8.703125,8.46875,8.59375,924800.0,
2000-01-14,ALK,NYSE,8.625,8.703125,8.5,8.546875,862400.0,
2000-01-18,ALK,NYSE,8.578125,8.59375,8.53125,8.53125,480000.0,
2000-01-19,ALK,NYSE,8.515625,8.5625,8.3125,8.328125,703200.0,
2000-01-20,ALK,NYSE,8.34375,8.421875,8.078125,8.125,860400.0,
2000-01-21,ALK,NYSE,8.0,8.140625,7.796875,7.953125,1244400.0,
2000-01-24,ALK,NYSE,7.96875,8.0,7.53125,7.53125,1214800.0,
2000-01-25,ALK,NYSE,7.59375,7.734375,7.578125,7.625,673200.0,
2000-01-26,ALK,NYSE,7.625,8.1875,7.578125,8.0625,1457600.0,
2000-01-27,ALK,NYSE,8.09375,8.09375,7.9375,7.96875,784800.0,
2000-01-28,ALK,NYSE,8.015625,8.21875,8.0,8.109375,685600.0,
2000-01-31,ALK,NYSE,8.125,8.15625,7.96875,7.96875,881600.0,
2000-02-01,ALK,NYSE,7.46875,8.171875,7.375,7.9375,2593200.0,
2000-02-02,ALK,NYSE,7.90625,8.03125,7.734375,7.953125,1048000.0,
2000-02-03,ALK,NYSE,7.84375,7.890625,7.75,7.78125,1469600.0,
2000-02-04,ALK,NYSE,7.765625,7.796875,7.671875,7.671875,409200.0,
2000-02-07,ALK,NYSE,7.609375,7.75,7.546875,7.59375,942800.0,
2000-02-08,ALK,NYSE,7.59375,7.59375,7.453125,7.515625,1118800.0,
2000-02-09,ALK,NYSE,7.5,7.5,7.390625,7.40625,557200.0,
2000-02-10,ALK,NYSE,7.484375,7.546875,7.296875,7.453125,1375200.0,
2000-02-11,ALK,NYSE,7.40625,7.453125,7.296875,7.296875,328800.0,
2000-02-14,ALK,NYSE,7.28125,7.28125,6.765625,6.828125,1260400.0,
2000-02-15,ALK,NYSE,6.875,7.0,6.765625,6.921875,1059200.0,
2000-02-16,ALK,NYSE,6.921875,7.046875,6.859375,6.953125,1460800.0,
2000-02-17,ALK,NYSE,6.984375,7.140625,6.953125,7.0625,1176400.0,
2000-02-18,ALK,NYSE,7.140625,7.171875,6.9375,7.03125,709200.0,
2000-02-22,ALK,NYSE,7.03125,7.03125,6.8125,6.859375,1038800.0,
2000-02-23,ALK,NYSE,6.890625,6.890625,6.765625,6.78125,1683200.0,
2000-02-24,ALK,NYSE,6.796875,6.828125,6.65625,6.8125,543600.0,
2000-02-25,ALK,NYSE,6.75,6.765625,6.640625,6.65625,441200.0,
2000-02-28,ALK,NYSE,6.625,6.875,6.625,6.765625,420400.0,
2000-02-29,ALK,NYSE,6.828125,6.828125,6.546875,6.625,822800.0,
2000-03-01,ALK,NYSE,6.6875,6.84375,6.65625,6.671875,768800.0,
2000-03-02,ALK,NYSE,6.640625,6.65625,6.5,6.53125,463200.0,
2000-03-03,ALK,NYSE,6.546875,6.8125,6.46875,6.796875,743600.0,
2000-03-06,ALK,NYSE,6.734375,6.734375,6.40625,6.515625,742800.0,
2000-03-07,ALK,NYSE,6.546875,6.546875,6.3125,6.375,577600.0,
2000-03-08,ALK,NYSE,6.4375,6.75,6.4375,6.6875,1540400.0,
2000-03-09,ALK,NYSE,6.5625,6.78125,6.375,6.5,1522400.0,
2000-03-10,ALK,NYSE,6.59375,6.859375,6.546875,6.71875,684400.0,
2000-03-13,ALK,NYSE,6.71875,6.796875,6.515625,6.765625,476800.0,
2000-03-14,ALK,NYSE,6.78125,6.828125,6.40625,6.484375,1657600.0,
2000-03-15,ALK,NYSE,6.53125,7.578125,6.53125,7.515625,2187600.0,
2000-03-16,ALK,NYSE,7.578125,8.3125,7.46875,8.125,1650000.0,
2000-03-17,ALK,NYSE,8.0625,8.15625,7.609375,7.671875,1257600.0,
2000-03-20,ALK,NYSE,7.25,7.625,7.21875,7.5,2042000.0,
2000-03-21,ALK,NYSE,7.5,8.046875,7.46875,7.90625,1092000.0,
2000-03-22,ALK,NYSE,7.921875,7.921875,7.21875,7.234375,3034000.0,
2000-03-23,ALK,NYSE,7.234375,7.59375,7.140625,7.59375,1352400.0,
2000-03-24,ALK,NYSE,7.546875,7.765625,7.25,7.265625,2025600.0,
2000-03-27,ALK,NYSE,7.28125,7.453125,7.1875,7.234375,592400.0,
2000-03-28,ALK,NYSE,7.28125,7.5,7.28125,7.4375,1270400.0,
2000-03-29,ALK,NYSE,7.46875,7.609375,7.25,7.3125,1115600.0,
2000-03-30,ALK,NYSE,7.375,7.375,7.1875,7.203125,1036800.0,
2000-03-31,ALK,NYSE,7.1875,7.546875,7.171875,7.515625,1670000.0,
2000-04-03,ALK,NYSE,7.5,7.53125,7.1875,7.25,1019600.0,
2000-04-04,ALK,NYSE,7.3125,7.453125,7.015625,7.25,1118400.0,
2000-04-05,ALK,NYSE,7.265625,7.875,7.25,7.75,1115600.0,
2000-04-06,ALK,NYSE,7.71875,7.84375,7.6875,7.71875,476800.0,
2000-04-07,ALK,NYSE,7.65625,7.734375,7.40625,7.484375,499200.0,
2000-04-10,ALK,NYSE,7.5,7.6875,7.5,7.59375,593200.0,
2000-04-11,ALK,NYSE,7.65625,7.875,7.625,7.84375,742800.0,
2000-04-12,ALK,NYSE,7.90625,7.96875,7.75,7.84375,808400.0,
2000-04-13,ALK,NYSE,7.90625,7.90625,7.78125,7.796875,1517600.0,
2000-04-14,ALK,NYSE,7.75,7.765625,7.234375,7.421875,1028800.0,
2000-04-17,ALK,NYSE,7.3125,7.359375,7.125,7.234375,964400.0,
2000-04-18,ALK,NYSE,7.234375,7.5,7.21875,7.4375,871600.0,
2000-04-19,ALK,NYSE,7.34375,7.734375,7.234375,7.609375,980000.0,
2000-04-20,ALK,NYSE,7.609375,7.609375,7.296875,7.4375,608800.0,
2000-04-24,ALK,NYSE,7.4375,7.4375,7.03125,7.109375,859200.0,
2000-04-25,ALK,NYSE,7.15625,7.4375,7.15625,7.4375,474800.0,
2000-04-26,ALK,NYSE,7.4375,7.4375,7.15625,7.234375,920000.0,
2000-04-27,ALK,NYSE,7.1875,7.234375,7.0625,7.1875,452000.0,
2000-04-28,ALK,NYSE,7.1875,7.25,7.0625,7.1875,547200.0,
2000-05-01,ALK,NYSE,7.171875,7.5625,7.15625,7.46875,668400.0,
2000-05-02,ALK,NYSE,7.4375,7.515625,7.203125,7.3125,551600.0,
2000-05-03,ALK,NYSE,7.328125,7.328125,7.203125,7.21875,482000.0,
2000-05-04,ALK,NYSE,7.375,7.453125,7.34375,7.421875,653200.0,
2000-05-05,ALK,NYSE,7.421875,7.6875,7.40625,7.53125,653200.0,
2000-05-08,ALK,NYSE,7.59375,7.8125,7.515625,7.75,668000.0,
2000-05-09,ALK,NYSE,7.765625,7.796875,7.359375,7.5625,818000.0,
2000-05-10,ALK,NYSE,7.515625,7.640625,7.3125,7.375,579600.0,
2000-05-11,ALK,NYSE,7.375,7.53125,7.375,7.453125,753600.0,
2000-05-12,ALK,NYSE,7.4375,7.484375,7.125,7.203125,758800.0,
2000-05-15,ALK,NYSE,7.203125,7.375,7.125,7.296875,500000.0,
2000-05-16,ALK,NYSE,7.25,7.453125,7.1875,7.453125,901600.0,
2000-05-17,ALK,NYSE,7.390625,7.71875,7.375,7.53125,595600.0,
2000-05-18,ALK,NYSE,7.5,7.515625,7.1875,7.265625,418000.0,
2000-05-19,ALK,NYSE,7.25,7.25,7.15625,7.15625,354000.0,
2000-05-22,ALK,NYSE,7.15625,7.203125,6.984375,6.984375,680800.0,
2000-05-23,ALK,NYSE,6.984375,7.171875,6.984375,7.140625,579200.0,
2000-05-24,ALK,NYSE,8.0,8.0,7.375,7.5,3408800.0,
2000-05-25,ALK,NYSE,7.53125,7.65625,7.53125,7.609375,834400.0,
2000-05-26,ALK,NYSE,7.609375,7.609375,7.515625,7.515625,534000.0,
2000-05-30,ALK,NYSE,7.53125,7.828125,7.53125,7.78125,754000.0,
2000-05-31,ALK,NYSE,7.78125,7.8125,7.765625,7.78125,712000.0,
2000-06-01,ALK,NYSE,7.8125,7.984375,7.796875,7.984375,425200.0,
2000-06-02,ALK,NYSE,8.28125,8.296875,7.046875,7.625,3412800.0,
2000-06-05,ALK,NYSE,7.625,7.71875,7.421875,7.5,1382000.0,
2000-06-06,ALK,NYSE,7.5625,7.609375,7.265625,7.4375,904000.0,
2000-06-07,ALK,NYSE,7.46875,7.625,7.328125,7.59375,1488800.0,
2000-06-08,ALK,NYSE,7.5625,7.71875,7.515625,7.6875,520800.0,
2000-06-09,ALK,NYSE,7.703125,7.90625,7.6875,7.859375,711200.0,
2000-06-12,ALK,NYSE,7.875,7.875,7.34375,7.46875,798800.0,
2000-06-13,ALK,NYSE,7.46875,7.46875,7.203125,7.34375,749200.0,
2000-06-14,ALK,NYSE,7.3125,7.4375,7.125,7.4375,855600.0,
2000-06-15,ALK,NYSE,7.3125,7.375,7.203125,7.25,980000.0,
2000-06-16,ALK,NYSE,7.21875,7.234375,7.109375,7.203125,831200.0,
2000-06-19,ALK,NYSE,7.234375,7.296875,7.234375,7.25,426800.0,
2000-06-20,ALK,NYSE,7.3125,7.328125,7.203125,7.21875,1034000.0,
2000-06-21,ALK,NYSE,7.21875,7.21875,7.15625,7.171875,497200.0,
2000-06-22,ALK,NYSE,7.171875,7.171875,6.9375,6.9375,1183200.0,
2000-06-23,ALK,NYSE,6.96875,6.984375,6.84375,6.96875,580400.0,
2000-06-26,ALK,NYSE,6.984375,6.984375,6.78125,6.8125,386000.0,
2000-06-27,ALK,NYSE,6.8125,7.046875,6.8125,6.9375,1205600.0,
2000-06-28,ALK,NYSE,6.984375,7.0625,6.890625,7.046875,866400.0,
2000-06-29,ALK,NYSE,6.6875,6.90625,6.609375,6.640625,2145600.0,
2000-06-30,ALK,NYSE,6.703125,7.125,6.640625,6.78125,1596800.0,
2000-07-03,ALK,NYSE,6.796875,6.828125,6.71875,6.765625,199600.0,
2000-07-05,ALK,NYSE,6.9375,7.046875,6.765625,6.984375,1326800.0,
2000-07-06,ALK,NYSE,7.0,7.0,6.65625,6.953125,1743200.0,
2000-07-07,ALK,NYSE,7.0,7.046875,6.96875,7.0,397600.0,
2000-07-10,ALK,NYSE,7.015625,7.015625,6.8125,6.890625,1054000.0,
2000-07-11,ALK,NYSE,6.9375,6.9375,6.78125,6.78125,438800.0,
2000-07-12,ALK,NYSE,6.828125,7.234375,6.828125,7.171875,864800.0,
2000-07-13,ALK,NYSE,7.1875,7.234375,7.046875,7.109375,295200.0,
2000-07-14,ALK,NYSE,6.625,7.03125,6.59375,6.875,2476800.0,
2000-07-17,ALK,NYSE,6.9375,7.15625,6.90625,7.078125,577600.0,
2000-07-18,ALK,NYSE,7.078125,7.109375,6.875,6.984375,570800.0,
2000-07-19,ALK,NYSE,6.9375,6.9375,6.703125,6.734375,921600.0,
2000-07-20,ALK,NYSE,6.78125,6.8125,6.6875,6.75,528000.0,
2000-07-21,ALK,NYSE,6.734375,6.90625,6.65625,6.875,834400.0,
2000-07-24,ALK,NYSE,6.859375,7.0625,6.859375,6.921875,741600.0,
2000-07-25,ALK,NYSE,6.953125,7.046875,6.875,6.875,573200.0,
2000-07-26,ALK,NYSE,6.875,7.1875,6.8125,7.140625,943200.0,
