date,code,exchange,open,high,low,close,volume,count_trx
2000-01-03,ALL,NYSE,24.0,24.1875,23.25,23.5,2322400.0,
2000-01-04,ALL,NYSE,23.4375,23.75,22.75,22.75,2311000.0,
2000-01-05,ALL,NYSE,23.0,23.8125,23.0,23.75,2740100.0,
2000-01-06,ALL,NYSE,23.375,24.125,23.125,23.625,2410600.0,
2000-01-07,ALL,NYSE,23.75,24.8125,23.25,24.5,2682300.0,
2000-01-10,ALL,NYSE,24.625,24.9375,23.875,23.9375,2409200.0,
2000-01-11,ALL,NYSE,23.75,24.5625,23.75,24.0,1298300.0,
2000-01-12,ALL,NYSE,24.1875,24.75,24.0625,24.25,1655600.0,
2000-01-13,ALL,NYSE,24.1875,25.5,23.9375,24.8125,2365600.0,
2000-01-14,ALL,NYSE,25.0625,25.1875,24.0625,24.1875,2267900.0,
2000-01-18,ALL,NYSE,24.1875,25.0625,24.0625,24.0625,1838500.0,
2000-01-19,ALL,NYSE,24.375,24.5,23.5625,23.5625,2260700.0,
2000-01-20,ALL,NYSE,24.0,24.0,23.6875,23.75,2858200.0,
2000-01-21,ALL,NYSE,24.125,24.125,23.3125,23.5,2568800.0,
2000-01-24,ALL,NYSE,23.625,23.875,22.8125,22.8125,2460200.0,
2000-01-25,ALL,NYSE,23.125,23.625,22.8125,22.9375,2445900.0,
2000-01-26,ALL,NYSE,23.0,23.6875,22.6875,23.1875,2292300.0,
2000-01-27,ALL,NYSE,23.4375,23.9375,23.1875,23.1875,1933500.0,
2000-01-28,ALL,NYSE,23.1875,23.5625,22.8125,22.8125,2134000.0,
2000-01-31,ALL,NYSE,23.0,23.25,22.875,23.1875,1916000.0,
2000-02-01,ALL,NYSE,23.125,23.5625,22.9375,23.0625,2266000.0,
2000-02-02,ALL,NYSE,23.0,23.625,23.0,23.3125,1607200.0,
2000-02-03,ALL,NYSE,23.125,23.875,22.875,22.875,3086200.0,
2000-02-04,ALL,NYSE,23.0625,23.375,22.875,23.25,1876300.0,
2000-02-07,ALL,NYSE,23.5,23.5,22.875,22.875,1776100.0,
2000-02-08,ALL,NYSE,22.875,23.125,21.3125,22.0,2629000.0,
2000-02-09,ALL,NYSE,20.75,21.3125,19.875,19.9375,5705000.0,
2000-02-10,ALL,NYSE,20.1875,20.875,20.1875,20.5,4596900.0,
2000-02-11,ALL,NYSE,21.0,22.125,20.875,21.6875,4999100.0,
2000-02-14,ALL,NYSE,21.6875,22.0625,21.0625,21.1875,2943200.0,
2000-02-15,ALL,NYSE,21.625,21.875,21.5,21.6875,1395800.0,
2000-02-16,ALL,NYSE,21.125,21.9375,21.125,21.5,2652800.0,
2000-02-17,ALL,NYSE,21.375,21.75,21.0625,21.25,3400300.0,
2000-02-18,ALL,NYSE,21.25,21.5,20.75,21.0,2121600.0,
2000-02-22,ALL,NYSE,20.625,21.875,20.625,21.375,2355400.0,
2000-02-23,ALL,NYSE,21.125,21.3125,20.875,20.875,2075200.0,
2000-02-24,ALL,NYSE,21.0,21.125,20.3125,20.375,2988300.0,
2000-02-25,ALL,NYSE,20.25,20.5,19.875,19.875,3467100.0,
2000-02-28,ALL,NYSE,19.9375,20.375,19.8125,19.8125,2953100.0,
2000-02-29,ALL,NYSE,19.75,20.25,19.5,19.5,2735300.0,
2000-03-01,ALL,NYSE,19.5625,20.625,19.125,20.0,4933200.0,
2000-03-02,ALL,NYSE,20.0,20.25,19.1875,19.5,2859900.0,
2000-03-03,ALL,NYSE,19.75,19.9375,19.375,19.375,1955500.0,
2000-03-06,ALL,NYSE,19.1875,19.75,19.125,19.25,1808000.0,
2000-03-07,ALL,NYSE,19.1875,19.6875,18.5625,18.5625,4310400.0,
2000-03-08,ALL,NYSE,18.5,18.5,18.0,18.0625,4927900.0,
2000-03-09,ALL,NYSE,18.0,18.5,17.8125,18.1875,4258700.0,
2000-03-10,ALL,NYSE,18.4375,18.5625,17.875,17.9375,3053600.0,
2000-03-13,ALL,NYSE,17.25,17.8125,17.1875,17.5,4205800.0,
2000-03-14,ALL,NYSE,17.6875,17.9375,17.5625,17.6875,2865900.0,
2000-03-15,ALL,NYSE,17.6875,19.5,17.6875,19.0,5594700.0,
2000-03-16,ALL,NYSE,19.9375,21.6875,19.4375,21.1875,6382600.0,
2000-03-17,ALL,NYSE,21.375,22.0625,20.5,20.9375,3269900.0,
2000-03-20,ALL,NYSE,20.6875,20.875,20.1875,20.4375,1402100.0,
2000-03-21,ALL,NYSE,20.375,22.0625,20.1875,22.0,4363800.0,
2000-03-22,ALL,NYSE,21.375,22.0,21.0,21.4375,2930000.0,
2000-03-23,ALL,NYSE,21.75,22.625,21.375,22.25,3630500.0,
2000-03-24,ALL,NYSE,22.75,23.3125,22.4375,23.0,2722200.0,
2000-03-27,ALL,NYSE,23.0,23.0625,21.8125,22.0,1776600.0,
2000-03-28,ALL,NYSE,22.3125,22.9375,22.1875,22.625,2676900.0,
2000-03-29,ALL,NYSE,22.8125,22.9375,22.5,22.625,1578100.0,
2000-03-30,ALL,NYSE,22.625,24.1875,22.625,23.25,4102000.0,
2000-03-31,ALL,NYSE,23.875,24.0625,23.0,23.8125,4650400.0,
2000-04-03,ALL,NYSE,23.9375,24.5,23.5,24.5,1825900.0,
2000-04-04,ALL,NYSE,25.0,25.0625,22.3125,24.125,3989400.0,
2000-04-05,ALL,NYSE,23.625,23.8125,23.0,23.4375,2162000.0,
2000-04-06,ALL,NYSE,23.375,23.5625,22.5,22.8125,2165400.0,
2000-04-07,ALL,NYSE,22.8125,23.0,22.5625,22.625,2288600.0,
2000-04-10,ALL,NYSE,22.3125,23.1875,22.25,23.125,1870400.0,
2000-04-11,ALL,NYSE,23.375,23.375,22.875,22.9375,1561000.0,
2000-04-12,ALL,NYSE,23.0,24.1875,22.8125,23.25,1966200.0,
2000-04-13,ALL,NYSE,23.375,24.0625,23.3125,23.4375,2097500.0,
2000-04-14,ALL,NYSE,23.0,23.0,20.625,20.75,3250800.0,
2000-04-17,ALL,NYSE,20.875,21.25,20.5625,21.0,2813500.0,
2000-04-18,ALL,NYSE,21.1875,21.5,20.875,21.0,2123700.0,
2000-04-19,ALL,NYSE,20.8125,20.8125,20.0625,20.375,3032200.0,
2000-04-20,ALL,NYSE,20.0625,22.8125,20.0625,22.5625,3679200.0,
2000-04-24,ALL,NYSE,22.0,23.0625,22.0,23.0625,2453200.0,
2000-04-25,ALL,NYSE,23.0,23.9375,22.8125,23.8125,2208800.0,
2000-04-26,ALL,NYSE,23.625,24.0625,22.875,23.0625,2078500.0,
2000-04-27,ALL,NYSE,23.0,23.0,22.375,22.625,1526700.0,
2000-04-28,ALL,NYSE,22.375,23.8125,21.9375,23.625,2444700.0,
2000-05-01,ALL,NYSE,23.9375,25.0,23.75,24.0,2535700.0,
2000-05-02,ALL,NYSE,23.75,24.5625,23.6875,23.8125,1984900.0,
2000-05-03,ALL,NYSE,23.5625,23.8125,22.8125,23.0,1600800.0,
2000-05-04,ALL,NYSE,23.3125,23.5625,22.8125,22.8125,1002300.0,
2000-05-05,ALL,NYSE,22.8125,23.0625,22.75,22.875,891900.0,
2000-05-08,ALL,NYSE,22.5625,23.375,22.5625,23.0625,1194500.0,
2000-05-09,ALL,NYSE,23.125,23.4375,23.0,23.1875,1068800.0,
2000-05-10,ALL,NYSE,23.0625,23.75,23.0,23.125,1334100.0,
2000-05-11,ALL,NYSE,23.375,24.1875,23.375,23.8125,1873400.0,
2000-05-12,ALL,NYSE,24.0625,26.5,24.0625,25.5,5079800.0,
2000-05-15,ALL,NYSE,26.0,27.6875,25.875,27.0,4205200.0,
2000-05-16,ALL,NYSE,27.5,28.0,26.0,26.0,3671500.0,
2000-05-17,ALL,NYSE,25.75,26.625,25.5,26.1875,2332200.0,
2000-05-18,ALL,NYSE,26.1875,27.1875,26.1875,26.875,2285500.0,
2000-05-19,ALL,NYSE,26.125,27.25,26.125,26.75,1595600.0,
2000-05-22,ALL,NYSE,26.75,27.75,26.625,27.75,2166100.0,
2000-05-23,ALL,NYSE,27.75,28.6875,27.1875,28.6875,2914500.0,
2000-05-24,ALL,NYSE,28.6875,30.125,28.6875,30.0,5091400.0,
2000-05-25,ALL,NYSE,29.75,29.75,26.625,26.8125,3970100.0,
2000-05-26,ALL,NYSE,27.125,27.5,25.6875,26.8125,3087000.0,
2000-05-30,ALL,NYSE,26.8125,27.75,26.8125,27.1875,1165300.0,
2000-05-31,ALL,NYSE,26.9375,27.5,26.5,26.5,1517800.0,
2000-06-01,ALL,NYSE,26.625,28.25,26.625,27.6875,2064500.0,
2000-06-02,ALL,NYSE,28.25,28.25,27.5,27.9375,1992600.0,
2000-06-05,ALL,NYSE,27.75,28.375,27.125,27.1875,1919400.0,
2000-06-06,ALL,NYSE,26.875,27.375,26.75,27.3125,1484000.0,
2000-06-07,ALL,NYSE,27.125,28.4375,27.125,28.375,2017000.0,
2000-06-08,ALL,NYSE,28.5,28.5,27.0,27.25,2495300.0,
2000-06-09,ALL,NYSE,27.0625,27.4375,26.3125,26.6875,1898900.0,
2000-06-12,ALL,NYSE,26.75,27.125,26.3125,26.8125,1936100.0,
2000-06-13,ALL,NYSE,26.75,27.0625,26.4375,26.625,1743100.0,
2000-06-14,ALL,NYSE,26.625,26.75,25.3125,25.5,3934200.0,
2000-06-15,ALL,NYSE,25.3125,25.4375,23.5625,23.6875,4991500.0,
2000-06-16,ALL,NYSE,23.25,23.75,22.1875,22.375,7602300.0,
2000-06-19,ALL,NYSE,21.9375,24.125,21.9375,23.9375,3158400.0,
2000-06-20,ALL,NYSE,23.9375,24.25,23.8125,24.0625,2781100.0,
2000-06-21,ALL,NYSE,24.0,24.125,23.5625,23.9375,2840600.0,
2000-06-22,ALL,NYSE,23.75,23.9375,23.375,23.75,1963500.0,
2000-06-23,ALL,NYSE,24.0,24.125,23.375,23.5625,1903300.0,
2000-06-26,ALL,NYSE,23.5625,23.8125,22.875,23.3125,1429300.0,
2000-06-27,ALL,NYSE,23.375,24.25,23.375,23.75,1360500.0,
2000-06-28,ALL,NYSE,24.0,24.375,23.375,23.5,1105000.0,
2000-06-29,ALL,NYSE,23.375,23.625,23.0625,23.1875,1375800.0,
2000-06-30,ALL,NYSE,23.375,23.9375,22.25,22.25,2429200.0,
2000-07-03,ALL,NYSE,22.5,23.5625,22.5,23.5,1186300.0,
2000-07-05,ALL,NYSE,23.9375,24.6875,23.6875,24.0625,1818600.0,
2000-07-06,ALL,NYSE,24.3125,24.875,23.625,23.75,1219900.0,
2000-07-07,ALL,NYSE,24.0,24.3125,23.6875,23.6875,1614800.0,
2000-07-10,ALL,NYSE,23.6875,24.125,23.0625,23.25,1643700.0,
2000-07-11,ALL,NYSE,23.0625,23.75,23.0625,23.3125,1460400.0,
2000-07-12,ALL,NYSE,23.0625,24.25,23.0625,24.0,2156400.0,
2000-07-13,ALL,NYSE,24.1875,24.3125,23.75,24.1875,1719300.0,
2000-07-14,ALL,NYSE,24.4375,25.3125,24.25,24.6875,2049700.0,
2000-07-17,ALL,NYSE,24.375,24.875,24.3125,24.5,1464300.0,
2000-07-18,ALL,NYSE,24.25,24.4375,23.5,24.3125,1453600.0,
2000-07-19,ALL,NYSE,24.0,24.75,24.0,24.1875,2152900.0,
2000-07-20,ALL,NYSE,24.25,25.9375,24.25,25.0,3706300.0,
2000-07-21,ALL,NYSE,24.75,24.75,23.6875,24.5625,2947200.0,
2000-07-24,ALL,NYSE,24.5625,25.1875,24.375,24.6875,2132900.0,
2000-07-25,ALL,NYSE,25.0625,25.625,24.6875,25.4375,1787800.0,
2000-07-26,ALL,NYSE,25.8125,27.25,25.5625,26.75,3342200.0,
2000-07-27,ALL,NYSE,27.25,27.875,26.6875,27.75,2354000.0,
2000-07-28,ALL,NYSE,27.8125,28.25,27.25,27.5625,2520100.0,
2000-07-31,ALL,NYSE,27.75,28.3125,27.5625,27.5625,2177700.0,
2000-08-01,ALL,NYSE,27.625,28.3125,27.375,27.5,1976800.0,
2000-08-02,ALL,NYSE,27.125,27.5,26.875,27.0,1582900.0,
